drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
buprenorphine,HealthCanada,FDA,117,3.843626806833114,2010-03-05,2010-06-30,HealthCanada -> FDA
buprenorphine,FDA,EMA,3004,98.68593955321944,2010-06-30,2018-09-20,FDA -> EMA
buprenorphine,EMA,TGA,63,2.0696452036793693,2018-09-20,2018-11-22,EMA -> TGA
bupropion hydrochloride,FDA,HealthCanada,664,21.81340341655716,1996-10-04,1998-07-30,FDA -> HealthCanada
burosumab,EMA,HealthCanada,356,11.695137976346912,2017-12-14,2018-12-05,EMA -> HealthCanada
burosumab,HealthCanada,PMDA,267,8.771353482260183,2018-12-05,2019-08-29,HealthCanada -> PMDA
burosumab,PMDA,TGA,736,24.178712220762154,2019-08-29,2021-09-03,PMDA -> TGA
buspirone hydrochloride,HealthCanada,FDA,1450,47.63469119579501,1996-12-31,2000-12-20,HealthCanada -> FDA
busulfan,FDA,EMA,5649,185.57818659658344,1999-02-04,2014-07-24,FDA -> EMA
busulfan,EMA,HealthCanada,1016,33.37713534822602,2014-07-24,2017-05-05,EMA -> HealthCanada
butorphanol tartrate,FDA,HealthCanada,1287,42.27989487516425,1997-01-22,2000-08-01,FDA -> HealthCanada
cabazitaxel,FDA,EMA,217,7.128777923784494,2010-06-17,2011-01-20,FDA -> EMA
cabazitaxel,EMA,TGA,319,10.4796320630749,2011-01-20,2011-12-05,EMA -> TGA
cabazitaxel,TGA,HealthCanada,2934,96.38633377135348,2011-12-05,2019-12-17,TGA -> HealthCanada
cabergoline,FDA,HealthCanada,1285,42.21419185282523,1996-12-23,2000-06-30,FDA -> HealthCanada
cabotegravir,EMA,FDA,98,3.219448094612352,2020-10-15,2021-01-21,EMA -> FDA
cabotegravir,FDA,TGA,20,0.657030223390276,2021-01-21,2021-02-10,FDA -> TGA
cabotegravir,TGA,Swissmedic,240,7.884362680683311,2021-02-10,2021-10-08,TGA -> Swissmedic
cabotegravir,Swissmedic,HealthCanada,945,31.044678055190538,2021-10-08,2024-05-10,Swissmedic -> HealthCanada
cabozantinib,EMA,TGA,1491,48.98160315374507,2013-12-19,2018-01-18,EMA -> TGA
cabozantinib,TGA,FDA,1743,57.26018396846255,2018-01-18,2022-10-27,TGA -> FDA
caffeine,FDA,EMA,1679,55.157687253613666,2004-09-17,2009-04-23,FDA -> EMA
caffeine citrate,FDA,TGA,3830,125.82128777923784,1999-09-21,2010-03-17,FDA -> TGA
caffeine citrate,TGA,HealthCanada,3640,119.57950065703022,2010-03-17,2020-03-04,TGA -> HealthCanada
caffeine citrate,HealthCanada,EMA,113,3.712220762155059,2020-03-04,2020-06-25,HealthCanada -> EMA
calcitriol,FDA,HealthCanada,4029,132.3587385019711,1998-11-20,2009-12-01,FDA -> HealthCanada
calcium chloride,HealthCanada,FDA,271,8.902759526938238,1995-12-31,1996-09-27,HealthCanada -> FDA
calcium gluconate,FDA,HealthCanada,1637,53.777923784494085,2017-06-15,2021-12-08,FDA -> HealthCanada
canagliflozin,FDA,TGA,161,5.289093298291721,2013-03-29,2013-09-06,FDA -> TGA
canagliflozin,TGA,EMA,13,0.42706964520367935,2013-09-06,2013-09-19,TGA -> EMA
canagliflozin,EMA,HealthCanada,246,8.081471747700395,2013-09-19,2014-05-23,EMA -> HealthCanada
canakinumab,FDA,EMA,36,1.1826544021024967,2009-06-17,2009-07-23,FDA -> EMA
canakinumab,EMA,TGA,1841,60.4796320630749,2009-07-23,2014-08-07,EMA -> TGA
canakinumab,TGA,PMDA,840,27.59526938239159,2014-08-07,2016-11-24,TGA -> PMDA
canakinumab,PMDA,HealthCanada,43,1.4126149802890933,2016-11-24,2017-01-06,PMDA -> HealthCanada
candesartan cilexetil,FDA,HealthCanada,169,5.551905387647832,1998-06-04,1998-11-20,FDA -> HealthCanada
cangrelor,EMA,FDA,151,4.9605781865965834,2015-01-22,2015-06-22,EMA -> FDA
cannabidiol,FDA,EMA,395,12.976346911957949,2018-06-25,2019-07-25,FDA -> EMA
cannabidiol,EMA,TGA,421,13.830486202365309,2019-07-25,2020-09-18,EMA -> TGA
