measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,1980,26420.85085106749,29824.358849046614,23366.3489552699
1,Deaths,1,Global,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,2,Percent,1980,0.0005995084435657994,0.0006714255676901485,0.0005338233337007505
1,Deaths,1,Global,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,3,Rate,1980,0.5910062344463641,0.667139075781883,0.5226802871208762
1,Deaths,1,Global,3,Both,22,All ages,369,Maternal hypertensive disorders,1,Number,1980,58204.10146202248,64784.63431243702,51732.83572107483
1,Deaths,1,Global,3,Both,22,All ages,369,Maternal hypertensive disorders,2,Percent,1980,0.001320712502775976,0.001464280214998514,0.001179411413833982
1,Deaths,1,Global,3,Both,22,All ages,369,Maternal hypertensive disorders,3,Rate,1980,1.3019636282082176,1.4491631246399155,1.157208320394023
1,Deaths,1,Global,3,Both,22,All ages,370,Maternal obstructed labor and uterine rupture,1,Number,1980,23481.532539322903,27906.355201535043,19835.674252839453
1,Deaths,1,Global,3,Both,22,All ages,370,Maternal obstructed labor and uterine rupture,2,Percent,1980,0.0005328267345552195,0.0006292434560241071,0.00045177261861866386
1,Deaths,1,Global,3,Both,22,All ages,370,Maternal obstructed labor and uterine rupture,3,Rate,1980,0.5252568209601882,0.6242353812809013,0.4437028623323726
1,Deaths,1,Global,3,Both,22,All ages,374,Ectopic pregnancy,1,Number,1980,3996.6013206424786,4537.717554837559,3452.495969944551
1,Deaths,1,Global,3,Both,22,All ages,374,Ectopic pregnancy,2,Percent,1980,9.06827979303106e-05,0.00010246075930721817,7.911995675773646e-05
1,Deaths,1,Global,3,Both,22,All ages,374,Ectopic pregnancy,3,Rate,1980,0.08939970595234804,0.10150389857552052,0.07722864998330425
1,Deaths,1,Global,3,Both,22,All ages,375,Indirect maternal deaths,1,Number,1980,38702.666140093235,44755.819640133304,33489.11456746867
1,Deaths,1,Global,3,Both,22,All ages,375,Indirect maternal deaths,2,Percent,1980,0.000878155542789964,0.0010080447095226256,0.0007661850196876508
1,Deaths,1,Global,3,Both,22,All ages,375,Indirect maternal deaths,3,Rate,1980,0.8657373340256047,1.0011399172637592,0.7491157497928524
1,Deaths,1,Global,3,Both,22,All ages,376,Late maternal deaths,1,Number,1980,5360.892101883519,6908.983823827866,4137.097280012336
1,Deaths,1,Global,3,Both,22,All ages,376,Late maternal deaths,2,Percent,1980,0.00012163981034590308,0.00015559519151029977,9.448361124454338e-05
1,Deaths,1,Global,3,Both,22,All ages,376,Late maternal deaths,3,Rate,1980,0.11991743461507144,0.1545465941497631,0.09254245061148737
1,Deaths,1,Global,3,Both,22,All ages,379,Other direct maternal disorders,1,Number,1980,42255.4727371829,47858.66461486107,37042.17043984332
1,Deaths,1,Global,3,Both,22,All ages,379,Other direct maternal disorders,2,Percent,1980,0.0009588860419370547,0.0010769526081092703,0.0008482666536872681
1,Deaths,1,Global,3,Both,22,All ages,379,Other direct maternal disorders,3,Rate,1980,0.9452098256761656,1.0705472476681313,0.8285938174654853
1,Deaths,1,Global,3,Both,22,All ages,429,Breast cancer,1,Number,1980,281432.6098612989,297309.3898068829,265487.2732546639
1,Deaths,1,Global,3,Both,22,All ages,429,Breast cancer,2,Percent,1980,0.0063872965534215185,0.006739004450973675,0.006052726005639024
1,Deaths,1,Global,3,Both,22,All ages,429,Breast cancer,3,Rate,1980,6.295347108316864,6.6504937303414975,5.938666946955361
1,Deaths,1,Global,3,Both,22,All ages,432,Cervical cancer,1,Number,1980,199543.82968347296,224433.72790369517,182793.4626712835
1,Deaths,1,Global,3,Both,22,All ages,432,Cervical cancer,2,Percent,1980,0.004528456809849222,0.005079387283655193,0.004139623727412285
1,Deaths,1,Global,3,Both,22,All ages,432,Cervical cancer,3,Rate,1980,4.463582495999413,5.020342954086343,4.088894663678194
1,Deaths,1,Global,3,Both,22,All ages,435,Uterine cancer,1,Number,1980,49284.712476196095,54165.33323967559,43664.51124737657
1,Deaths,1,Global,3,Both,22,All ages,435,Uterine cancer,2,Percent,1980,0.0011185114223694797,0.0012233749466015016,0.0009859167108072064
1,Deaths,1,Global,3,Both,22,All ages,435,Uterine cancer,3,Rate,1980,1.1024464162989518,1.2116206936696656,0.9767285132761082
1,Deaths,1,Global,3,Both,22,All ages,438,Prostate cancer,1,Number,1980,149768.10523918964,159297.28148498383,136473.63973915557
1,Deaths,1,Global,3,Both,22,All ages,438,Prostate cancer,2,Percent,1980,0.0033993718664246573,0.0036406756930663967,0.0030988260732100815
1,Deaths,1,Global,3,Both,22,All ages,438,Prostate cancer,3,Rate,1980,3.350152666033619,3.563310168119702,3.0527696620402085
1,Deaths,1,Global,3,Both,22,All ages,441,Colon and rectum cancer,1,Number,1980,462372.6526291986,499011.0167716221,420618.76125530346
1,Deaths,1,Global,3,Both,22,All ages,441,Colon and rectum cancer,2,Percent,1980,0.010493353326978292,0.011274612857164606,0.009602686890687901
1,Deaths,1,Global,3,Both,22,All ages,441,Colon and rectum cancer,3,Rate,1980,10.342782746919701,11.162343848496167,9.408792761000255
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,1980,75530.8297071503,81724.77402813762,70956.23569454873
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,1980,0.0017142071361925231,0.001846467120693649,0.0016146061072539572
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,1980,1.6895440461573528,1.8280959697934245,1.587215260580059
1,Deaths,1,Global,3,Both,22,All ages,447,Nasopharynx cancer,1,Number,1980,52474.41821579183,58899.820826834024,44689.82900392351
1,Deaths,1,Global,3,Both,22,All ages,447,Nasopharynx cancer,2,Percent,1980,0.0011905033309478916,0.0013124941120685435,0.0010208490628856085
1,Deaths,1,Global,3,Both,22,All ages,447,Nasopharynx cancer,3,Rate,1980,1.1737967293065363,1.3175261278546704,0.9996637771638462
1,Deaths,1,Global,3,Both,22,All ages,450,Other pharynx cancer,1,Number,1980,33228.64149273425,37133.34890022602,30125.3868388473
1,Deaths,1,Global,3,Both,22,All ages,450,Other pharynx cancer,2,Percent,1980,0.0007541532619588161,0.0008459222668095302,0.0006849369574437943
1,Deaths,1,Global,3,Both,22,All ages,450,Other pharynx cancer,3,Rate,1980,0.7432892451151187,0.8306333823090688,0.6738727506252076
1,Deaths,1,Global,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1980,78620.48134149968,87848.72017653628,69424.3100161888
1,Deaths,1,Global,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,2,Percent,1980,0.0017843712783590054,0.001981399838424932,0.001581139746743623
1,Deaths,1,Global,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1980,1.7586562556187724,1.965082109018051,1.5529477181862597
1,Deaths,1,Global,3,Both,22,All ages,456,Pancreatic cancer,1,Number,1980,163598.89729047165,177770.67284366593,152946.45269192036
1,Deaths,1,Global,3,Both,22,All ages,456,Pancreatic cancer,2,Percent,1980,0.003713085212218521,0.004029971803883048,0.0034773799461943738
1,Deaths,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,1980,3.6595327225547267,3.976540216080386,3.4212489062867824
1,Deaths,1,Global,3,Both,22,All ages,459,Malignant skin melanoma,1,Number,1980,24355.41586278242,26020.01399718762,22280.520658256824
1,Deaths,1,Global,3,Both,22,All ages,459,Malignant skin melanoma,2,Percent,1980,0.0005527796904534571,0.0005853882103375601,0.0005070015081308253
1,Deaths,1,Global,3,Both,22,All ages,459,Malignant skin melanoma,3,Rate,1980,0.544804658206407,0.5820399418400345,0.49839146702608067
1,Deaths,1,Global,3,Both,22,All ages,462,Non-melanoma skin cancer,1,Number,1980,17366.522462950794,19334.36552547882,15706.470682216675
1,Deaths,1,Global,3,Both,22,All ages,462,Non-melanoma skin cancer,2,Percent,1980,0.0003941237249217727,0.00043226101397917787,0.0003592525111943991
1,Deaths,1,Global,3,Both,22,All ages,462,Non-melanoma skin cancer,3,Rate,1980,0.3884705721292872,0.432489121150357,0.35133698557493837
1,Deaths,1,Global,3,Both,22,All ages,465,Ovarian cancer,1,Number,1980,79959.03763710025,88950.30442973744,73868.70378870779
1,Deaths,1,Global,3,Both,22,All ages,465,Ovarian cancer,2,Percent,1980,0.0018149003964516616,0.0020145955453427355,0.0016815322124497372
1,Deaths,1,Global,3,Both,22,All ages,465,Ovarian cancer,3,Rate,1980,1.7885983313042528,1.9897233730363713,1.6523640633562036
1,Deaths,1,Global,3,Both,22,All ages,468,Testicular cancer,1,Number,1980,6974.763900852744,7482.00497621608,6569.300663706965
1,Deaths,1,Global,3,Both,22,All ages,468,Testicular cancer,2,Percent,1980,0.00015831186341305956,0.0001705724887622936,0.00014854131075850552
1,Deaths,1,Global,3,Both,22,All ages,468,Testicular cancer,3,Rate,1980,0.1560180242654399,0.16736446574065444,0.1469482444032112
1,Deaths,1,Global,3,Both,22,All ages,471,Kidney cancer,1,Number,1980,58851.76717678397,61270.6584855831,56258.401073733876
1,Deaths,1,Global,3,Both,22,All ages,471,Kidney cancer,2,Percent,1980,0.0013357160719646214,0.0013856566786781142,0.0012745775324516809
1,Deaths,1,Global,3,Both,22,All ages,471,Kidney cancer,3,Rate,1980,1.3164512189909272,1.3705592358752743,1.2584403871769099
1,Deaths,1,Global,3,Both,22,All ages,474,Bladder cancer,1,Number,1980,98391.26494434674,105045.92440199452,90284.71734206709
1,Deaths,1,Global,3,Both,22,All ages,474,Bladder cancer,2,Percent,1980,0.002232968067796638,0.0023796902925748912,0.0020542652719572475
1,Deaths,1,Global,3,Both,22,All ages,474,Bladder cancer,3,Rate,1980,2.200907583368895,2.34976521288874,2.0195727656603295
1,Deaths,1,Global,3,Both,22,All ages,477,Brain and central nervous system cancer,1,Number,1980,106990.82069535532,126261.59383796244,89747.35800320757
1,Deaths,1,Global,3,Both,22,All ages,477,Brain and central nervous system cancer,2,Percent,1980,0.002428256350095951,0.0028445882495486863,0.0020417333201677027
1,Deaths,1,Global,3,Both,22,All ages,477,Brain and central nervous system cancer,3,Rate,1980,2.3932704671747294,2.824337094592679,2.0075526107760626
1,Deaths,1,Global,3,Both,22,All ages,480,Thyroid cancer,1,Number,1980,17886.880629406973,19653.554870942753,16590.563701031337
1,Deaths,1,Global,3,Both,22,All ages,480,Thyroid cancer,2,Percent,1980,0.0004059590470291764,0.00044738445546489995,0.00037859361549898504
1,Deaths,1,Global,3,Both,22,All ages,480,Thyroid cancer,3,Rate,1980,0.4001104289323187,0.4396290461361724,0.37111320280939813
1,Deaths,1,Global,3,Both,22,All ages,483,Mesothelioma,1,Number,1980,12539.905048574064,14190.208125662639,11012.2291152744
1,Deaths,1,Global,3,Both,22,All ages,483,Mesothelioma,2,Percent,1980,0.0002845809673261832,0.0003230656363606909,0.00025003854114609056
1,Deaths,1,Global,3,Both,22,All ages,483,Mesothelioma,3,Rate,1980,0.2805042920399847,0.31741981049861745,0.2463318119074119
1,Deaths,1,Global,3,Both,22,All ages,484,Hodgkin lymphoma,1,Number,1980,28670.69009144005,32504.998363922772,21558.128815824923
1,Deaths,1,Global,3,Both,22,All ages,484,Hodgkin lymphoma,2,Percent,1980,0.00065071368155131,0.0007387515019485433,0.0004942203492918682
1,Deaths,1,Global,3,Both,22,All ages,484,Hodgkin lymphoma,3,Rate,1980,0.641332736990038,0.7271021206711463,0.4822323325229161
1,Deaths,1,Global,3,Both,22,All ages,485,Non-Hodgkin lymphoma,1,Number,1980,108989.52437429474,119491.0716919722,99370.60588641
1,Deaths,1,Global,3,Both,22,All ages,485,Non-Hodgkin lymphoma,2,Percent,1980,0.0024734007684442203,0.0027296854935999044,0.002264373761920891
1,Deaths,1,Global,3,Both,22,All ages,485,Non-Hodgkin lymphoma,3,Rate,1980,2.437979335247247,2.6728877403953772,2.222814394987892
1,Deaths,1,Global,3,Both,22,All ages,486,Multiple myeloma,1,Number,1980,34293.33532870968,37181.27065423138,31638.59295713951
1,Deaths,1,Global,3,Both,22,All ages,486,Multiple myeloma,2,Percent,1980,0.0007783868999505522,0.0008519133319754053,0.0007141701043258615
1,Deaths,1,Global,3,Both,22,All ages,486,Multiple myeloma,3,Rate,1980,0.767105309873406,0.8317053407990668,0.7077215564397616
1,Deaths,1,Global,3,Both,22,All ages,487,Leukemia,1,Number,1980,221449.60310085144,255967.68884124458,190958.6406636723
1,Deaths,1,Global,3,Both,22,All ages,487,Leukemia,2,Percent,1980,0.005024775736998303,0.005746273829999778,0.0043614600579057255
1,Deaths,1,Global,3,Both,22,All ages,487,Leukemia,3,Rate,1980,4.953591267216451,5.725724003922095,4.271540980637024
1,Deaths,1,Global,3,Both,22,All ages,297,Tuberculosis,1,Number,1980,1824812.0966995175,2106084.578919842,1498207.2285454476
1,Deaths,1,Global,3,Both,22,All ages,297,Tuberculosis,2,Percent,1980,0.04140456699053354,0.04735922512411152,0.034168724077446484
1,Deaths,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,1980,40.81909897307429,47.11086419696747,33.51329665930094
1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,1,Number,1980,1990.894710702273,4764.018403381022,1101.0881829120883
1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,2,Percent,1980,4.520116511387592e-05,0.00010761117467265917,2.4964282485674304e-05
1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,3,Rate,1980,0.04453418978760085,0.10656600702553229,0.02463016745541223
1,Deaths,1,Global,3,Both,22,All ages,302,Diarrheal diseases,1,Number,1980,3497080.3318029433,4391785.045654803,2788659.312176255
1,Deaths,1,Global,3,Both,22,All ages,302,Diarrheal diseases,2,Percent,1980,0.0793527640185222,0.09787620846205916,0.06312659818427332
1,Deaths,1,Global,3,Both,22,All ages,302,Diarrheal diseases,3,Rate,1980,78.22595457298802,98.23954409952053,62.37933246485466
1,Deaths,1,Global,3,Both,22,All ages,321,Other intestinal infectious diseases,1,Number,1980,4199.858471437413,5442.794231410673,3338.339621870044
1,Deaths,1,Global,3,Both,22,All ages,321,Other intestinal infectious diseases,2,Percent,1980,9.529695337653473e-05,0.00012405949122083057,7.626878915921712e-05
1,Deaths,1,Global,3,Both,22,All ages,321,Other intestinal infectious diseases,3,Rate,1980,0.09394635147836669,0.12174949783808531,0.07467509431645725
1,Deaths,1,Global,3,Both,22,All ages,322,Lower respiratory infections,1,Number,1980,3424140.25110863,3882329.253605714,3059020.4094389575
1,Deaths,1,Global,3,Both,22,All ages,322,Lower respiratory infections,2,Percent,1980,0.07769479756737217,0.08753401511746721,0.07017552248953644
1,Deaths,1,Global,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,1980,76.59436281712995,86.8435617758227,68.42702165301571
1,Deaths,1,Global,3,Both,22,All ages,328,Upper respiratory infections,1,Number,1980,38078.193284099165,60289.6810753231,12455.060923760328
1,Deaths,1,Global,3,Both,22,All ages,328,Upper respiratory infections,2,Percent,1980,0.000864404272598599,0.0013597321677786772,0.00028201210248296086
1,Deaths,1,Global,3,Both,22,All ages,328,Upper respiratory infections,3,Rate,1980,0.8517685427396828,1.3486158182093255,0.2786064195224144
1,Deaths,1,Global,3,Both,22,All ages,329,Otitis media,1,Number,1980,2038.5656482942104,3122.123822669792,1328.417940812731
1,Deaths,1,Global,3,Both,22,All ages,329,Otitis media,2,Percent,1980,4.628185380069467e-05,7.156261958082502e-05,3.0097033734806046e-05
1,Deaths,1,Global,3,Both,22,All ages,329,Otitis media,3,Rate,1980,0.045600537782128046,0.06983857765643495,0.02971529150958455
1,Deaths,1,Global,3,Both,22,All ages,332,Meningitis,1,Number,1980,436917.4957008234,500408.26113061554,383943.60246215574
1,Deaths,1,Global,3,Both,22,All ages,332,Meningitis,2,Percent,1980,0.009914470440664389,0.011315265485650386,0.008747847957875704
1,Deaths,1,Global,3,Both,22,All ages,332,Meningitis,3,Rate,1980,9.773378054834518,11.193598713521713,8.588408602358184
1,Deaths,1,Global,3,Both,22,All ages,337,Encephalitis,1,Number,1980,72041.27572829685,88615.44432452394,58410.02283668749
1,Deaths,1,Global,3,Both,22,All ages,337,Encephalitis,2,Percent,1980,0.0016348270080013868,0.0020199671232672797,0.0013179608528739782
1,Deaths,1,Global,3,Both,22,All ages,337,Encephalitis,3,Rate,1980,1.611486448066932,1.98223290988043,1.3065698695786732
1,Deaths,1,Global,3,Both,22,All ages,338,Diphtheria,1,Number,1980,56303.44447456538,77495.25996187823,41242.18478161912
1,Deaths,1,Global,3,Both,22,All ages,338,Diphtheria,2,Percent,1980,0.0012774739680040232,0.0017626400013009062,0.0009397154582484853
1,Deaths,1,Global,3,Both,22,All ages,338,Diphtheria,3,Rate,1980,1.2594479599784882,1.7334862543104388,0.9225436555969607
1,Deaths,1,Global,3,Both,22,All ages,339,Pertussis,1,Number,1980,341405.13234472525,658200.022341722,144169.094806144
1,Deaths,1,Global,3,Both,22,All ages,339,Pertussis,2,Percent,1980,0.00774603127145999,0.014886049265631345,0.0032824870635025927
1,Deaths,1,Global,3,Both,22,All ages,339,Pertussis,3,Rate,1980,7.63686842733025,14.723231999963284,3.224908778495206
