Other direct maternal disorders,Pregnancy and childbirth
Neonatal preterm birth,Pregnancy and childbirth
Neonatal encephalopathy due to birth asphyxia and trauma,"Diseases of the nervous system, ""Injury, poisoning and certain other consequences of external causes"""
Neonatal sepsis and other neonatal infections,Infectious and parasitic diseases
Hemolytic disease and other neonatal jaundice,"Diseases of the blood and blood-forming organs, Congenital malformations and chomosomal abnormalities"
Other neonatal disorders,Other
Protein-energy malnutrition,"""Endocrine, nutritional, and metabolic diseases"""
Peptic ulcer disease,Diseases of the digestive system
Gastritis and duodenitis,Diseases of the digestive system
Appendicitis,Diseases of the digestive system
Paralytic ileus and intestinal obstruction,Diseases of the digestive system
"Inguinal, femoral, and abdominal hernia",Diseases of the digestive system
Inflammatory bowel disease,Diseases of the digestive system
Vascular intestinal disorders,"Diseases of the digestive system, Diseases of the circulatory system"
Gallbladder and biliary diseases,Diseases of the digestive system
Pancreatitis,Diseases of the digestive system
Other digestive diseases,Diseases of the digestive system
Alzheimer's disease and other dementias,Mental and behavioural disorders
Parkinson's disease,Diseases of the nervous system
Idiopathic epilepsy,Diseases of the nervous system
Multiple sclerosis,Diseases of the nervous system
Motor neuron disease,Diseases of the nervous system
Other neurological disorders,Diseases of the nervous system
Adverse effects of medical treatment,"""Injury, poisoning and certain other consequences of external causes"""
Animal contact,Other
Foreign body,Other
Self-harm,"""Injury, poisoning and certain other consequences of external causes"""
Interpersonal violence,"""Injury, poisoning and certain other consequences of external causes"""
Exposure to forces of nature,"""Injury, poisoning and certain other consequences of external causes"""
Maternal deaths aggravated by HIV/AIDS,"Infectious and parasitic diseases, Pregnancy and childbirth"
Environmental heat and cold exposure,"""Injury, poisoning and certain other consequences of external causes"""
Ebola,Infectious and parasitic diseases
Tuberculosis,"Infectious and parasitic diseases, Diseases of the respiratory system"
HIV/AIDS,Infectious and parasitic diseases
Diarrheal diseases,Diseases of the digestive system
Other intestinal infectious diseases,"Infectious and parasitic diseases, Diseases of the digestive system"
Lower respiratory infections,"Infectious and parasitic diseases, Diseases of the respiratory system"
Upper respiratory infections,"Infectious and parasitic diseases, Diseases of the respiratory system"
Otitis media,"Infectious and parasitic diseases, Diseases of the ear and mastoid process"
Meningitis,"Infectious and parasitic diseases, Diseases of the nervous system"
Encephalitis,"Infectious and parasitic diseases, Diseases of the nervous system"
Diphtheria,"Infectious and parasitic diseases, Diseases of the respiratory system"
Pertussis,"Infectious and parasitic diseases, Diseases of the respiratory system"
Tetanus,"Infectious and parasitic diseases, Diseases of the nervous system"
Measles,"Infectious and parasitic diseases, Diseases of the skin"
Varicella and herpes zoster,"Infectious and parasitic diseases, Diseases of the skin, Diseases of the nervous system"
Ischemic heart disease,Diseases of the circulatory system
Stroke,"Diseases of the circulatory system, Diseases of the nervous system"
Hypertensive heart disease,Diseases of the circulatory system
Cardiomyopathy and myocarditis,"Infectious and parasitic diseases, Diseases of the circulatory system"
Atrial fibrillation and flutter,Diseases of the circulatory system
Aortic aneurysm,Diseases of the circulatory system
Lower extremity peripheral arterial disease,Diseases of the circulatory system
Endocarditis,Diseases of the circulatory system
Non-rheumatic valvular heart disease,Diseases of the circulatory system
Other cardiovascular and circulatory diseases,Diseases of the circulatory system
Chronic obstructive pulmonary disease,Diseases of the respiratory system
Pneumoconiosis,Diseases of the respiratory system
Asthma,Diseases of the respiratory system
Interstitial lung disease and pulmonary sarcoidosis,Diseases of the respiratory system
Other chronic respiratory diseases,Diseases of the respiratory system
Cirrhosis and other chronic liver diseases,Diseases of the digestive system
Decubitus ulcer,Diseases of the skin
Other skin and subcutaneous diseases,Diseases of the skin
Sudden infant death syndrome,Other
Road injuries,"""Injury, poisoning and certain other consequences of external causes"""
Other transport injuries,"""Injury, poisoning and certain other consequences of external causes"""
Falls,"""Injury, poisoning and certain other consequences of external causes"""
Drowning,"""Injury, poisoning and certain other consequences of external causes"""
"Fire, heat, and hot substances","""Injury, poisoning and certain other consequences of external causes"""
Poisonings,"""Injury, poisoning and certain other consequences of external causes"""
Exposure to mechanical forces,"""Injury, poisoning and certain other consequences of external causes"""
Eye cancer,"Neoplasms, Diseases of the eye and adnexa"
Soft tissue and other extraosseous sarcomas,"Diseases of the musculoskeletal system and connective tissue, Neoplasms"
Malignant neoplasm of bone and articular cartilage,"Neoplasms, Diseases of the musculoskeletal system and connective tissue"
Neuroblastoma and other peripheral nervous cell tumors,"Neoplasms, Diseases of the nervous system"
COVID-19,"Infectious and parasitic diseases, Diseases of the respiratory system"
Other unintentional injuries,"""Injury, poisoning and certain other consequences of external causes"""
Bipolar disorder,Mental and behavioural disorders
Anxiety disorders,Mental and behavioural disorders
Autism spectrum disorders,Mental and behavioural disorders
Attention-deficit/hyperactivity disorder,Mental and behavioural disorders
Conduct disorder,Mental and behavioural disorders
Idiopathic developmental intellectual disability,Mental and behavioural disorders
Lymphatic filariasis,"Other, Diseases of the circulatory system"
Onchocerciasis,"Infectious and parasitic diseases, Diseases of the skin"
Trachoma,"Infectious and parasitic diseases, Diseases of the eye and adnexa"
Other mental disorders,Mental and behavioural disorders
Benign prostatic hyperplasia,"Neoplasms, Diseases of the genitourinary system"
Blindness and vision loss,Diseases of the eye and adnexa
Food-borne trematodiases,Infectious and parasitic diseases
Male infertility,Pregnancy and childbirth
Polycystic ovarian syndrome,Diseases of the genitourinary system
Female infertility,Pregnancy and childbirth
Premenstrual syndrome,Diseases of the genitourinary system
Osteoarthritis,Diseases of the musculoskeletal system and connective tissue
Low back pain,Diseases of the musculoskeletal system and connective tissue
Neck pain,Diseases of the musculoskeletal system and connective tissue
Gout,Diseases of the musculoskeletal system and connective tissue
