Year,Disease_class,Prevalence
2002,Neoplasms,251855531.60856232
2002,Other,3841150451.2375636
2002,Pregnancy and childbirth,215616230.67095816
2003,Diseases of the blood and blood-forming organs,1221577373.3758368
2003,Diseases of the circulatory system,675676921.0075542
2003,Diseases of the digestive system,6489124903.581713
2003,Diseases of the ear,1226422596.2192721
2003,Diseases of the eye and adnexa,566364410.3213332
2003,Diseases of the genitourinary system,3171047314.5950093
2003,Diseases of the musculoskeletal system and connective tissue,1345695675.1383915
2003,Diseases of the nervous system,1023231019.0934522
2003,Diseases of the respiratory system,2347427817.434468
2003,Diseases of the skin,1103693202.684086
2003,"Injury, poisoning and certain other consequences of external causes",2042527990.787838
2003,Mental and behavioural disorders,951507600.9667156
2003,Neoplasms,257023730.69344887
2003,Other,3878958076.6540866
2003,Pregnancy and childbirth,220444140.75151107
2004,Diseases of the blood and blood-forming organs,1239522473.4566827
2004,Diseases of the circulatory system,664673563.5688736
2004,Diseases of the digestive system,6539076585.396172
2004,Diseases of the ear,1252271660.6537051
2004,Diseases of the eye and adnexa,579152004.862472
2004,Diseases of the genitourinary system,3225571243.7569094
2004,Diseases of the musculoskeletal system and connective tissue,1379510357.2043083
2004,Diseases of the nervous system,1041291508.9050223
2004,Diseases of the respiratory system,2346129187.333868
2004,Diseases of the skin,1116513435.5213122
2004,"Injury, poisoning and certain other consequences of external causes",2075565220.6515815
2004,Mental and behavioural disorders,964823399.4324718
2004,Neoplasms,262065576.12514204
2004,Other,3920036685.991921
2004,Pregnancy and childbirth,225174784.52869517
2005,Diseases of the blood and blood-forming organs,1257220653.1039739
2005,Diseases of the circulatory system,661435249.2993917
2005,Diseases of the digestive system,6597319256.565065
2005,Diseases of the ear,1280422639.299694
2005,Diseases of the eye and adnexa,592861679.3274342
2005,Diseases of the genitourinary system,3283384680.099526
2005,Diseases of the musculoskeletal system and connective tissue,1414026401.979887
2005,Diseases of the nervous system,1058733414.9256214
2005,Diseases of the respiratory system,2356856471.710475
2005,Diseases of the skin,1129785040.8399725
2005,"Injury, poisoning and certain other consequences of external causes",2113830333.472409
2005,Mental and behavioural disorders,978458030.5402361
2005,Neoplasms,267921565.87660718
2005,Other,3970229952.432114
2005,Pregnancy and childbirth,229182713.6698344
2006,Diseases of the blood and blood-forming organs,1272905091.9776347
2006,Diseases of the circulatory system,659794545.3133199
2006,Diseases of the digestive system,6649420600.882606
2006,Diseases of the ear,1309841125.2498183
2006,Diseases of the eye and adnexa,607038925.5955614
2006,Diseases of the genitourinary system,3335877447.7203937
2006,Diseases of the musculoskeletal system and connective tissue,1449151452.19171
2006,Diseases of the nervous system,1075421209.9094954
2006,Diseases of the respiratory system,2377312229.8382287
2006,Diseases of the skin,1142849358.4714584
2006,"Injury, poisoning and certain other consequences of external causes",2161583096.205358
2006,Mental and behavioural disorders,992364182.2595998
2006,Neoplasms,273828546.24662703
2006,Other,4028960963.723759
2006,Pregnancy and childbirth,232225483.7050878
2007,Diseases of the blood and blood-forming organs,1285474528.9969535
2007,Diseases of the circulatory system,653904196.1102829
2007,Diseases of the digestive system,6688077171.045567
2007,Diseases of the ear,1340699672.9995534
2007,Diseases of the eye and adnexa,621540545.1974727
