drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
portrazza,FDA,EMA,23,0.7555847568988173,2015-11-24,2015-12-17,FDA -> EMA
poteligeo,PMDA,FDA,2380,78.18659658344284,2012-02-01,2018-08-08,PMDA -> FDA
poteligeo,FDA,EMA,43,1.4126149802890933,2018-08-08,2018-09-20,FDA -> EMA
poteligeo,EMA,TGA,839,27.562417871222074,2018-09-20,2021-01-06,EMA -> TGA
poteligeo,TGA,Swissmedic,238,7.818659658344283,2021-01-06,2021-09-01,TGA -> Swissmedic
poteligeo,Swissmedic,HealthCanada,274,9.00131406044678,2021-09-01,2022-06-02,Swissmedic -> HealthCanada
pradaxa,EMA,HealthCanada,84,2.759526938239159,2008-03-18,2008-06-10,EMA -> HealthCanada
pradaxa,HealthCanada,FDA,861,28.28515111695138,2008-06-10,2010-10-19,HealthCanada -> FDA
pradaxa,FDA,PMDA,36,1.1826544021024967,2010-10-19,2010-11-24,FDA -> PMDA
pradaxa,PMDA,TGA,156,5.124835742444152,2010-11-24,2011-04-29,PMDA -> TGA
praluent,EMA,FDA,1,0.0328515111695138,2015-07-23,2015-07-24,EMA -> FDA
praluent,FDA,HealthCanada,262,8.607095926412615,2015-07-24,2016-04-11,FDA -> HealthCanada
praluent,HealthCanada,TGA,32,1.0512483574244416,2016-04-11,2016-05-13,HealthCanada -> TGA
praluent,TGA,PMDA,14,0.45992115637319314,2016-05-13,2016-05-27,TGA -> PMDA
praxbind,EMA,FDA,22,0.7227332457293035,2015-09-24,2015-10-16,EMA -> FDA
praxbind,FDA,HealthCanada,196,6.438896189224704,2015-10-16,2016-04-29,FDA -> HealthCanada
praxbind,HealthCanada,TGA,11,0.36136662286465177,2016-04-29,2016-05-10,HealthCanada -> TGA
precedex,FDA,HealthCanada,3645,119.7437582128778,1999-12-17,2009-12-09,FDA -> HealthCanada
precedex,HealthCanada,PMDA,4797,157.58869908015768,2009-12-09,2023-01-27,HealthCanada -> PMDA
pregabalin,FDA,HealthCanada,45,1.4783180026281209,2012-12-31,2013-02-14,FDA -> HealthCanada
premarin,FDA,HealthCanada,3747,123.0946123521682,2003-07-16,2013-10-18,FDA -> HealthCanada
prepandrix,EMA,TGA,2751,90.37450722733246,2008-02-21,2015-09-03,EMA -> TGA
prevacid,FDA,HealthCanada,2,0.0657030223390276,1995-05-10,1995-05-12,FDA -> HealthCanada
prevenar 13,EMA,TGA,173,5.683311432325887,2009-09-24,2010-03-16,EMA -> TGA
prevenar 20,TGA,Swissmedic,482,15.83442838370565,2022-11-30,2024-03-26,TGA -> Swissmedic
prevymis,HealthCanada,FDA,7,0.22996057818659657,2017-11-01,2017-11-08,HealthCanada -> FDA
prevymis,FDA,EMA,1,0.0328515111695138,2017-11-08,2017-11-09,FDA -> EMA
prevymis,EMA,PMDA,113,3.712220762155059,2017-11-09,2018-03-02,EMA -> PMDA
prezcobix,HealthCanada,FDA,224,7.35873850197109,2014-06-19,2015-01-29,HealthCanada -> FDA
pristiq,FDA,HealthCanada,341,11.202365308804204,2008-02-29,2009-02-04,FDA -> HealthCanada
privigen,HealthCanada,EMA,106,3.4822601839684624,2008-01-10,2008-04-25,HealthCanada -> EMA
procysbi,FDA,EMA,58,1.9053876478318001,2013-04-30,2013-06-27,FDA -> EMA
procysbi,EMA,HealthCanada,1447,47.53613666228647,2013-06-27,2017-06-13,EMA -> HealthCanada
progesterone,FDA,HealthCanada,7337,241.0315374507227,2001-04-25,2021-05-27,FDA -> HealthCanada
