"FORMULATION_ID"~"COMPONENT_ID"~"FORMULATION_TYPE"~"INGREDIENT_ID"~"LABEL_NAME_AND_POTENCY"~"CONCENTRATION_RATIO_1"~"CONCENTRATION_RATIO_2"~"POTENCY"~"POTENCY_MEASURED"~"UNIT_PROPORTION_CODE"~"ADDITIONAL_INFORMATION"~"STANDARDISED_FLAG"~"CREATION_DATE"~"LAST_UPDATE_DATE"~"QUANTITY"~"FORMULATION_INGREDIENT_TYPE"
273654~81530~E~53757~~~~~~mg~~~03-jul-2002 00:00:00~28-mar-1996 00:00:00~~S
273655~81530~E~53800~~~~~~mg~~~03-jul-2002 00:00:00~28-mar-1996 00:00:00~~S
273656~81530~E~93224~~~~~~mg~~~03-jul-2002 00:00:00~28-mar-1996 00:00:00~~S
273657~81530~E~1432~~~~~~mg~~~03-jul-2002 00:00:00~28-mar-1996 00:00:00~~PI
273762~81545~A~56455~~~~~~mg/g~~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~143~S
273763~81545~A~52577~~~~~~mg/g~~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~10~S
273764~81545~A~93375~~~~~~mg/g~~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~8~S
273765~81545~A~92690~~~~~~mg/g~~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~10~S
273766~81545~A~56423~~~~~~mg/g~~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~524~S
273767~81545~E~96544~~~~~~mg/g~POWDER~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~~S
273768~81545~E~93238~~~~~~microgram/g~~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~~S
273769~81545~E~54984~~~~~~mg/g~~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~~S
273770~81545~E~52214~~~~~~microlitre/g~~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~~S
273771~81545~E~93224~~~~~~~TO 1G~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~~S
273772~81546~A~96793~~~~~~MBq/mL~~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~200~S
273773~81546~E~55795~~~~~~QS~~~03-jul-2002 00:00:00~07-jun-2005 09:29:24~~S
273774~81546~E~56582~~~~~~QS~(TO 1ML)~~03-jul-2002 00:00:00~20-jun-2005 12:07:48~~S
273775~81547~E~55797~~~~~~mg/mL~~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~~S
273776~81547~E~63554~~~~~~mg/mL~~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~~S
273777~81547~E~58055~~~~~~mg/mL~~~03-jul-2002 00:00:00~01-dec-1995 00:00:00~~S
273778~81547~E~56582~~~~~~~(TO 1ML)~~03-jul-2002 00:00:00~04-dec-1995 00:00:00~~S
276567~81840~A~67157~~~~~~mg~leaf ext. dry conc. stand. (50.0 : 1) in 50% E:W~~03-jul-2002 00:00:00~23-jul-1996 00:00:00~4~S
276568~81840~E~93309~~~~~~mg~~~03-jul-2002 00:00:00~23-jul-1996 00:00:00~~S
276569~81840~E~77698~~~~~~mg~~~03-jul-2002 00:00:00~23-jul-1996 00:00:00~~S
276570~81840~E~57933~~~~~~mg~~~03-jul-2002 00:00:00~23-jul-1996 00:00:00~~S
276571~81840~E~55927~~~~~~mg~~~03-jul-2002 00:00:00~23-jul-1996 00:00:00~~S
276572~81840~E~53757~~~~~~mg~~~03-jul-2002 00:00:00~23-jul-1996 00:00:00~~S
276573~81840~E~93287~~~~~~microgram~~~03-jul-2002 00:00:00~23-jul-1996 00:00:00~~S
276574~81840~E~94457~~~~~~microgram~~~03-jul-2002 00:00:00~23-jul-1996 00:00:00~~S
276575~81840~E~53800~~~~~~mg~~~03-jul-2002 00:00:00~23-jul-1996 00:00:00~~S
276576~81840~E~93224~~~~~~mg~~~03-jul-2002 00:00:00~23-jul-1996 00:00:00~~S
276604~81842~A~53586~~~~~~mg~~~03-jul-2002 00:00:00~24-may-1996 00:00:00~500~S
276605~81842~E~93260~~~~~~mg~~~03-jul-2002 00:00:00~24-may-1996 00:00:00~~S
276606~81842~E~53757~~~~~~mg~~~03-jul-2002 00:00:00~24-may-1996 00:00:00~~S
276607~81842~E~53800~~~~~~mg~~~03-jul-2002 00:00:00~24-may-1996 00:00:00~~S
276608~81842~E~93224~~~~~~mg~~~03-jul-2002 00:00:00~24-may-1996 00:00:00~~S
277255~81902~A~59932~~~~~~mg~root ext. dry conc. stand. (5.0 : 1) in 35% E:W Equiv. Ginsenosid~~03-jul-2002 00:00:00~23-may-1996 00:00:00~40~S
277256~81902~A~63235~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~1.513~S
277257~81902~A~56145~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~2.5~S
277258~81902~A~55660~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~2.2~S
277259~81902~A~55594~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~1.05~S
277260~81902~A~53030~~~~~~microgram~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~1.15~S
277261~81902~A~52558~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~17.5~S
277262~81902~A~53698~~~~~~microgram~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~460~S
277263~81902~A~54851~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~15.75~S
277264~81902~A~52224~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~72~S
277265~81902~A~55685~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~20~S
277266~81902~A~68855~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~9~S
277267~81902~A~94805~~~~~~mg~~~03-jul-2002 00:00:00~04-apr-2016 00:00:00~2.8~S
277268~81902~A~94872~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~3.1~S
277269~81902~A~68854~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~35.5~S
277270~81902~A~68856~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~16.5~S
277271~81902~A~56455~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~1.25~S
277272~81902~A~95202~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~352~S
277273~81902~A~93309~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~92~S
277274~81902~A~53425~~~~~~microgram~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~11.5~S
277275~81902~A~93271~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~10.5~S
277276~81902~E~55637~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~~S
277277~81902~E~57933~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~~S
277278~81902~E~55927~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~~S
277279~81902~E~77698~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~~S
277280~81902~E~53564~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~~S
277281~81902~E~52214~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~~S
277282~81902~E~53757~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~~S
277283~81902~E~53800~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~~S
277284~81902~E~93224~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~~S
277285~81902~E~55876~~~~~~microgram~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~~S
277286~81902~E~58056~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~~S
277287~81902~E~93283~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~~S
277288~81902~E~93285~~~~~~mg~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~~S
278024~81964~A~55087~~~~~~mg~~~03-jul-2002 00:00:00~26-feb-1996 00:00:00~250~S
278025~81964~A~100644~~~~~~mg~~~03-jul-2002 00:00:00~04-apr-2016 00:00:00~100~S
278026~81964~A~55577~~~~~~mg~~~03-jul-2002 00:00:00~26-feb-1996 00:00:00~30~S
278027~81964~A~53142~~~~~~mg~~~03-jul-2002 00:00:00~26-feb-1996 00:00:00~10~S
278028~81964~E~57948~~~~~~mg~~~03-jul-2002 00:00:00~01-mar-1996 00:00:00~~S
278029~81964~E~55549~~~~~~mg~~~03-jul-2002 00:00:00~26-feb-1996 00:00:00~~S
278030~81964~E~55458~~~~~~mg~~~03-jul-2002 00:00:00~26-feb-1996 00:00:00~~S
278031~81964~E~53757~~~~~~mg~~~03-jul-2002 00:00:00~26-feb-1996 00:00:00~~S
278032~81964~E~55925~~~~~~mg~~~03-jul-2002 00:00:00~26-feb-1996 00:00:00~~S
278033~81964~E~53800~~~~~~mg~~~03-jul-2002 00:00:00~26-feb-1996 00:00:00~~S
278034~81964~E~52014~~~~~~mg~~~03-jul-2002 00:00:00~26-feb-1996 00:00:00~~S
278035~81964~E~55624~~~~~~mg~~~03-jul-2002 00:00:00~26-feb-1996 00:00:00~~S
278036~81964~E~93224~~~~~~mg~~~03-jul-2002 00:00:00~26-feb-1996 00:00:00~~S
278037~81964~E~2326~~~~~~~~~03-jul-2002 00:00:00~26-feb-1996 00:00:00~~PI
278744~82003~A~68601~~~~~~mg~rhiz. powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~17~S
278745~82003~A~94992~~~~~~mg~fruit peri. powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~11.3~S
278746~82003~A~68511~~~~~~mg~root & rhiz. powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~5.7~S
278747~82003~A~68507~~~~~~mg~root powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~17~S
278748~82003~A~68586~~~~~~mg~root bark powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~11.3~S
278749~82003~A~65400~~~~~~mg~rhiz. powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~4.2~S
278750~82003~A~68513~~~~~~mg~fruit powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~14.9~S
278751~82003~A~72521~~~~~~mg~root powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~11.3~S
278752~82003~A~82709~~~~~~mg~fruit powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~4.2~S
278753~82003~A~68599~~~~~~mg~fruit powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~11.3~S
278754~82003~A~68666~~~~~~mg~stem bark powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~11.3~S
278755~82003~A~82479~~~~~~mg~stem sapwood powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~3.5~S
278756~82003~A~72780~~~~~~mg~tuber powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~11.3~S
278757~82003~A~91382~~~~~~mg~root powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~5.7~S
278758~82003~A~94992~~~~~~mg~fruit peri. powder immature~~03-jul-2002 00:00:00~17-may-1996 00:00:00~11.3~S
278759~82003~A~82709~~~~~~mg~fruit powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~5.7~S
278760~82003~A~60135~~~~~~mg~stem heartwood powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~2.8~S
278947~82020~A~55685~~~~~~mg~~~03-jul-2002 00:00:00~17-may-1996 00:00:00~150~S
278948~82020~A~54398~~~~~~mg~~~03-jul-2002 00:00:00~17-may-1996 00:00:00~200~S
278949~82020~A~60155~~~~~~mg~herb ext. dry conc. (4.0 : 1) in 100% W Range (4-9:1)~~03-jul-2002 00:00:00~17-may-1996 00:00:00~25~S
278950~82020~A~59168~~~~~~mg~bulb ext. dry conc. (7.0 : 1) in 100% E Range (7-12:1)~~03-jul-2002 00:00:00~17-may-1996 00:00:00~7.14~S
278951~82020~A~96853~~~~~~mg~fruit ext. dry conc. (4.0 : 1) in 15% E:W Range(4-12:1)~~03-jul-2002 00:00:00~17-may-1996 00:00:00~75~S
278952~82020~E~55458~~~~~~mg~~~03-jul-2002 00:00:00~17-may-1996 00:00:00~~S
278953~82020~E~93242~~~~~~mg~~~03-jul-2002 00:00:00~17-may-1996 00:00:00~~S
278954~82020~E~54400~~~~~~mg~~~03-jul-2002 00:00:00~17-may-1996 00:00:00~~S
278955~82020~E~96025~~~~~~microgram~~~03-jul-2002 00:00:00~17-may-1996 00:00:00~~S
278956~82020~E~93278~~~~~~mg~~~03-jul-2002 00:00:00~17-may-1996 00:00:00~~S
278957~82020~E~55549~~~~~~mg~~~03-jul-2002 00:00:00~17-may-1996 00:00:00~~S
278958~82020~E~93316~~~~~~mg~~~03-jul-2002 00:00:00~17-may-1996 00:00:00~~S
278959~82020~E~53140~~~~~~mg~~~03-jul-2002 00:00:00~17-may-1996 00:00:00~~S
278960~82020~E~59168~~~~~~mg~bulb powder~~03-jul-2002 00:00:00~17-may-1996 00:00:00~~S
278961~82020~E~76094~~~~~~mg~~~03-jul-2002 00:00:00~17-may-1996 00:00:00~~S
278962~82020~E~52543~~~~~~mg~~~03-jul-2002 00:00:00~17-may-1996 00:00:00~~S
279639~82091~A~55334~~~~~~mg~~~03-jul-2002 00:00:00~19-mar-1996 00:00:00~20~S
279640~82091~E~54252~~~~~~mg~~~03-jul-2002 00:00:00~19-mar-1996 00:00:00~~S
279641~82091~E~93242~~~~~~mg~~~03-jul-2002 00:00:00~19-mar-1996 00:00:00~~S
279642~82091~E~67610~~~~~~mg~~~03-jul-2002 00:00:00~19-mar-1996 00:00:00~~S
279643~82091~E~55888~~~~~~mg~~~03-jul-2002 00:00:00~19-mar-1996 00:00:00~~S
283774~82446~A~53312~~~~~~mg~~~03-jul-2002 00:00:00~13-may-1996 00:00:00~50~S
283775~82446~E~57948~~~~~~mg~~~03-jul-2002 00:00:00~13-may-1996 00:00:00~~S
283776~82446~E~53800~~~~~~mg~~~03-jul-2002 00:00:00~13-may-1996 00:00:00~~S
283777~82446~E~53757~~~~~~mg~~~03-jul-2002 00:00:00~13-may-1996 00:00:00~~S
283778~82446~E~55925~~~~~~mg~~~03-jul-2002 00:00:00~13-may-1996 00:00:00~~S
283779~82446~E~93224~~~~~~mg~~~03-jul-2002 00:00:00~13-may-1996 00:00:00~~S
283780~82446~E~52416~~~~~~mg~~~03-jul-2002 00:00:00~13-may-1996 00:00:00~~S
283781~82446~E~2112~~~~~~~~~03-jul-2002 00:00:00~13-may-1996 00:00:00~~PI
284025~82469~A~100644~~~~~~mg/mL~~~03-jul-2002 00:00:00~04-apr-2016 00:00:00~20~S
284026~82469~A~55577~~~~~~mg/mL~~~03-jul-2002 00:00:00~14-may-1996 00:00:00~4~S
284027~82469~E~56424~~~~~~mg/mL~~~03-jul-2002 00:00:00~14-may-1996 00:00:00~~S
284028~82469~E~53800~~~~~~mg/mL~~~03-jul-2002 00:00:00~14-may-1996 00:00:00~~S
284029~82469~E~55549~~~~~~mg/mL~~~03-jul-2002 00:00:00~14-may-1996 00:00:00~~S
284030~82469~E~55799~~~~~~mg/mL~~~03-jul-2002 00:00:00~14-may-1996 00:00:00~~S
284031~82469~E~55690~~~~~~microgram/mL~~~03-jul-2002 00:00:00~14-may-1996 00:00:00~~S
284032~82469~E~52877~~~~~~mg/mL~~~03-jul-2002 00:00:00~04-apr-2016 00:00:00~~S
284033~82469~E~93224~~~~~~mg/mL~~~03-jul-2002 00:00:00~14-may-1996 00:00:00~~S
284034~82469~E~1186~~~~~~microgram/mL~~~03-jul-2002 00:00:00~14-may-1996 00:00:00~~PI
284035~82469~E~2202~~~~~~mg/mL~~~03-jul-2002 00:00:00~14-may-1996 00:00:00~~PI
284870~82529~A~52779~~~~~~mg/mL~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~.4~S
284871~82529~A~53142~~~~~~mg/mL~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~2~S
284872~82529~A~55577~~~~~~mg/mL~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~6~S
284873~82529~E~53800~~~~~~mL/mL~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284874~82529~E~75927~~~~~~mL/mL~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284875~82529~E~54475~~~~~~mg/mL~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284876~82529~E~55458~~~~~~mg/mL~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284877~82529~E~55549~~~~~~mL/mL~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284878~82529~E~63554~~~~~~mg/mL~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284879~82529~E~55774~~~~~~mg/mL~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284880~82529~E~52120~~~~~~mg/mL~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284881~82529~E~54644~~~~~~mg/mL~FROM NIPASEPT~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284882~82529~E~53524~~~~~~mg/mL~FROM NIPASEPT~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284883~82529~E~93365~~~~~~mg/mL~FROM NIPASEPT~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284884~82529~E~53462~~~~~~mL/mL~(95.8%)~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284885~82529~E~55799~~~~~~mg/mL~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284886~82529~E~55987~~~~~~mg/mL~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284887~82529~E~93377~~~~~~mg/mL~~~03-jul-2002 00:00:00~26-oct-2006 11:14:34~~S
284888~82529~E~93224~~~~~~QS~~~03-jul-2002 00:00:00~21-may-1996 00:00:00~~S
284891~82529~E~596~~~~~~microgram/mL~~~03-jul-2002 00:00:00~15-apr-2005 16:04:33~~PI
284892~82529~E~1953~~~~~~microgram/mL~~~03-jul-2002 00:00:00~15-apr-2005 16:04:34~~PI
285344~82558~A~54723~~~~~~mg/mL~~~03-jul-2002 00:00:00~23-may-1996 00:00:00~20~S
285345~82558~E~96365~~~~~~microlitre/mL~~~03-jul-2002 00:00:00~03-aug-2007 08:35:19~~S
285346~82558~E~93476~~~~~~microlitre/mL~~~03-jul-2002 00:00:00~03-aug-2007 08:35:19~~S
285347~82558~E~52323~~~~~~microlitre/mL~~~03-jul-2002 00:00:00~03-aug-2007 08:35:19~~S
285348~82558~E~55223~~~~~~microlitre/mL~~~03-jul-2002 00:00:00~03-aug-2007 08:35:17~~S
285349~82558~E~53462~~~~~~microlitre/mL~~~03-jul-2002 00:00:00~03-aug-2007 08:35:19~~S
285350~82558~E~54541~~~~~~microlitre/mL~~~03-jul-2002 00:00:00~03-aug-2007 08:35:19~~S
285351~82558~E~53048~~~~~~QS~~~03-jul-2002 00:00:00~03-aug-2007 09:42:35~~S
286010~82611~A~60419~~~~~~mL/mL~fruit hull ext. liq. (1 : 1) in 60% E:W~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~1~S
286011~82611~E~53462~~~~~~mL/mL~~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~~S
286012~82611~E~93224~~~~~~mL/mL~~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~~S
286173~82625~A~53259~~~~~~mg~~~03-jul-2002 00:00:00~03-jun-1996 00:00:00~60~S
286174~82625~E~54252~~~~~~mg~~~03-jul-2002 00:00:00~03-jun-1996 00:00:00~~S
286175~82625~E~80981~~~~~~mg~~~03-jul-2002 00:00:00~03-jun-1996 00:00:00~~S
286176~82625~E~57908~~~~~~mg~~~03-jul-2002 00:00:00~03-jun-1996 00:00:00~~S
286177~82625~E~54400~~~~~~mg~~~03-jul-2002 00:00:00~03-jun-1996 00:00:00~~S
290337~82966~A~68493~~~~~~mg~root powder~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~51.5~S
290338~82966~A~94992~~~~~~mg~fruit peri. powder~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~51.5~S
290339~82966~A~68511~~~~~~mg~root & rhiz. powder~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~15.5~S
290340~82966~A~68423~~~~~~mg~fruit. body powder~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~31~S
290341~82966~E~62337~~~~~~microgram~rhiz. juice fresh~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~~S
290342~82966~E~57920~~~~~~ng~~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~~S
291167~83041~A~89945~~~~~~mg~(from Epanoil (R) 503mg)~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~500~S
291168~83041~A~53586~~~~~~mg~~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~500~S
291169~83041~E~93260~~~~~~mg~~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~~S
291170~83041~E~53757~~~~~~mg~~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~~S
291171~83041~E~53800~~~~~~mg~~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~~S
291172~83041~E~93224~~~~~~mg~~~03-jul-2002 00:00:00~11-jul-1996 00:00:00~~S
292705~83158~A~69782~~~~~~mL/mL~~~03-jul-2002 00:00:00~22-jul-1996 00:00:00~1~S
292706~83158~E~53462~~~~~~microlitre/mL~~~03-jul-2002 00:00:00~22-jul-1996 00:00:00~~S
292707~83158~E~93224~~~~~~microlitre/mL~~~03-jul-2002 00:00:00~22-jul-1996 00:00:00~~S
296248~83490~A~53586~~~~~~mg~equiv gamma linolenic acid 50mg~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~500~S
296249~83490~A~70352~~~~~~mg~fruit ext dry conc (10:1 in 50% E:W)~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~50~S
296250~83490~E~93309~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296251~83490~E~77698~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296252~83490~E~57933~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296253~83490~E~53757~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296254~83490~E~93283~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296255~83490~E~93287~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296256~83490~E~93285~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296257~83490~E~55549~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296258~83490~E~55403~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296259~83490~E~53800~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296260~83490~E~93224~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296332~83498~A~81933~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~.73~S
296333~83498~E~79271~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296334~83498~E~54252~~~~~~mg~MONOHYDRATE~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296335~83498~E~67610~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296336~83498~E~93242~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296337~83498~E~92561~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296338~83498~E~56316~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296339~83498~E~55886~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296340~83498~E~58409~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296341~83498~E~54400~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296342~83498~E~77698~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296343~83498~E~93377~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296344~83498~E~55624~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296345~83499~A~81933~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~.73~S
296346~83499~E~79271~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296347~83499~E~54252~~~~~~mg~MONOHYDRATE~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296348~83499~E~67610~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296349~83499~E~93242~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296350~83499~E~92561~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296351~83499~E~56316~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296352~83499~E~55886~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296353~83499~E~58409~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296354~83499~E~54400~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296355~83499~E~77698~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296356~83499~E~93377~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296357~83499~E~55624~~~~~~mg~~~03-jul-2002 00:00:00~23-aug-1996 00:00:00~~S
296612~83516~A~81933~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~1.46~S
296613~83516~E~79271~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296614~83516~E~54252~~~~~~mg~MONOHYDRATE~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296615~83516~E~67610~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296616~83516~E~93242~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296617~83516~E~92561~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296618~83516~E~56316~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296619~83516~E~55886~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296620~83516~E~58409~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296621~83516~E~54400~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296622~83516~E~77698~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296623~83516~E~93377~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296624~83517~A~81933~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~1.46~S
296625~83517~E~79271~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296626~83517~E~54252~~~~~~mg~MONOHYDRATE~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296627~83517~E~67610~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296628~83517~E~93242~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
296629~83517~E~92561~~~~~~mg~~~03-jul-2002 00:00:00~26-aug-1996 00:00:00~~S
