drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
vemlidy,FDA,PMDA,1,0.0328515111695138,2016-11-10,2016-11-11,FDA -> PMDA
vemlidy,PMDA,HealthCanada,187,6.14323258869908,2016-11-11,2017-05-17,PMDA -> HealthCanada
venclexta,FDA,HealthCanada,172,5.650459921156373,2016-04-11,2016-09-30,FDA -> HealthCanada
venclexta,HealthCanada,TGA,76,2.4967148488830486,2016-09-30,2016-12-15,HealthCanada -> TGA
verkazia,EMA,HealthCanada,522,17.1484888304862,2017-07-20,2018-12-24,EMA -> HealthCanada
verkazia,HealthCanada,FDA,912,29.96057818659658,2018-12-24,2021-06-23,HealthCanada -> FDA
verquvo,FDA,PMDA,99,3.252299605781866,2021-01-19,2021-04-28,FDA -> PMDA
verquvo,PMDA,EMA,22,0.7227332457293035,2021-04-28,2021-05-20,PMDA -> EMA
verquvo,EMA,Swissmedic,125,4.106438896189225,2021-05-20,2021-09-22,EMA -> Swissmedic
verquvo,Swissmedic,TGA,49,1.609724047306176,2021-09-22,2021-11-10,Swissmedic -> TGA
verquvo,TGA,HealthCanada,534,17.542706964520367,2021-11-10,2023-04-28,TGA -> HealthCanada
verzenio,FDA,HealthCanada,554,18.199737187910642,2017-09-28,2019-04-05,FDA -> HealthCanada
verzenio,HealthCanada,TGA,1146,37.64783180026281,2019-04-05,2022-05-25,HealthCanada -> TGA
vfend,FDA,HealthCanada,819,26.905387647831798,2002-05-24,2004-08-20,FDA -> HealthCanada
vfend,HealthCanada,TGA,2700,88.69908015768725,2004-08-20,2012-01-11,HealthCanada -> TGA
victoza,EMA,PMDA,218,7.1616294349540075,2009-04-23,2009-11-27,EMA -> PMDA
victoza,PMDA,FDA,59,1.938239159001314,2009-11-27,2010-01-25,PMDA -> FDA
victoza,FDA,HealthCanada,116,3.8107752956636003,2010-01-25,2010-05-21,FDA -> HealthCanada
victoza,HealthCanada,TGA,89,2.923784494086728,2010-05-21,2010-08-18,HealthCanada -> TGA
victrelis,FDA,EMA,6,0.19710906701708278,2011-05-13,2011-05-19,FDA -> EMA
victrelis,EMA,TGA,217,7.128777923784494,2011-05-19,2011-12-22,EMA -> TGA
vidaza,FDA,EMA,1673,54.96057818659658,2004-05-19,2008-12-17,FDA -> EMA
vidaza,EMA,HealthCanada,310,10.183968462549277,2008-12-17,2009-10-23,EMA -> HealthCanada
vidaza,HealthCanada,TGA,1266,41.59001314060447,2009-10-23,2013-04-11,HealthCanada -> TGA
vimizim,FDA,EMA,6,0.19710906701708278,2014-02-14,2014-02-20,FDA -> EMA
vimizim,EMA,HealthCanada,132,4.336399474375821,2014-02-20,2014-07-02,EMA -> HealthCanada
vimizim,HealthCanada,TGA,153,5.026281208935611,2014-07-02,2014-12-02,HealthCanada -> TGA
vimovo,FDA,HealthCanada,258,8.47568988173456,2010-04-30,2011-01-13,FDA -> HealthCanada
vimovo,HealthCanada,TGA,278,9.132720105124836,2011-01-13,2011-10-18,HealthCanada -> TGA
vimpat,EMA,FDA,124,4.073587385019711,2008-06-26,2008-10-28,EMA -> FDA
vimpat,FDA,HealthCanada,702,23.061760840998684,2008-10-28,2010-09-30,FDA -> HealthCanada
vimpat,HealthCanada,TGA,2854,93.75821287779237,2010-09-30,2018-07-24,HealthCanada -> TGA
viread,FDA,HealthCanada,508,16.68856767411301,2001-10-26,2003-03-18,FDA -> HealthCanada
viread,HealthCanada,TGA,3836,126.01839684625492,2003-03-18,2013-09-17,HealthCanada -> TGA
vitekta,EMA,TGA,26,0.8541392904073587,2013-09-19,2013-10-15,EMA -> TGA
vitekta,TGA,FDA,344,11.300919842312746,2013-10-15,2014-09-24,TGA -> FDA
vitrakvi,FDA,HealthCanada,226,7.424441524310118,2018-11-26,2019-07-10,FDA -> HealthCanada
vitrakvi,HealthCanada,EMA,15,0.49277266754270693,2019-07-10,2019-07-25,HealthCanada -> EMA
vitrakvi,EMA,TGA,399,13.107752956636006,2019-07-25,2020-08-27,EMA -> TGA
vizimpro,FDA,PMDA,63,2.0696452036793693,2018-09-27,2018-11-29,FDA -> PMDA
vizimpro,PMDA,EMA,63,2.0696452036793693,2018-11-29,2019-01-31,PMDA -> EMA
vocabria,HealthCanada,EMA,211,6.931668856767411,2020-03-18,2020-10-15,HealthCanada -> EMA
vocabria,EMA,FDA,98,3.219448094612352,2020-10-15,2021-01-21,EMA -> FDA
vocabria,FDA,Swissmedic,260,8.541392904073588,2021-01-21,2021-10-08,FDA -> Swissmedic
volibris,HealthCanada,EMA,32,1.0512483574244416,2008-03-20,2008-04-21,HealthCanada -> EMA
volibris,EMA,TGA,2850,93.62680683311432,2008-04-21,2016-02-09,EMA -> TGA
volibris,TGA,PMDA,1843,60.545335085413925,2016-02-09,2021-02-25,TGA -> PMDA
voranigo,FDA,HealthCanada,21,0.6898817345597897,2024-08-06,2024-08-27,FDA -> HealthCanada
voranigo,HealthCanada,TGA,14,0.45992115637319314,2024-08-27,2024-09-10,HealthCanada -> TGA
vosevi,EMA,FDA,26,0.8541392904073587,2017-06-22,2017-07-18,EMA -> FDA
vosevi,FDA,HealthCanada,29,0.9526938239159001,2017-07-18,2017-08-16,FDA -> HealthCanada
vosevi,HealthCanada,TGA,209,6.865965834428383,2017-08-16,2018-03-13,HealthCanada -> TGA
votrient,FDA,EMA,185,6.077529566360052,2009-10-19,2010-04-22,FDA -> EMA
votrient,EMA,HealthCanada,35,1.149802890932983,2010-04-22,2010-05-27,EMA -> HealthCanada
votrient,HealthCanada,TGA,26,0.8541392904073587,2010-05-27,2010-06-22,HealthCanada -> TGA
votrient,TGA,PMDA,807,26.511169513797633,2010-06-22,2012-09-06,TGA -> PMDA
voxzogo,EMA,FDA,148,4.862023653088042,2021-06-24,2021-11-19,EMA -> FDA
voxzogo,FDA,TGA,222,7.293035479632063,2021-11-19,2022-06-29,FDA -> TGA
voydeya,PMDA,EMA,76,2.4967148488830486,2023-12-08,2024-02-22,PMDA -> EMA
voydeya,EMA,FDA,36,1.1826544021024967,2024-02-22,2024-03-29,EMA -> FDA
voydeya,FDA,Swissmedic,32,1.0512483574244416,2024-03-29,2024-04-30,FDA -> Swissmedic
voydeya,Swissmedic,HealthCanada,80,2.628120893561104,2024-04-30,2024-07-19,Swissmedic -> HealthCanada
vpriv,FDA,EMA,118,3.876478318002628,2010-02-26,2010-06-24,FDA -> EMA
vpriv,EMA,HealthCanada,99,3.252299605781866,2010-06-24,2010-10-01,EMA -> HealthCanada
vpriv,HealthCanada,TGA,510,16.754270696452036,2010-10-01,2012-02-23,HealthCanada -> TGA
vumerity,FDA,EMA,688,22.601839684625492,2019-10-29,2021-09-16,FDA -> EMA
vumerity,EMA,TGA,183,6.011826544021025,2021-09-16,2022-03-18,EMA -> TGA
vyalev,HealthCanada,TGA,303,9.95400788436268,2023-05-03,2024-03-01,HealthCanada -> TGA
vyalev,TGA,FDA,229,7.522996057818659,2024-03-01,2024-10-16,TGA -> FDA
vyepti,FDA,HealthCanada,325,10.676741130091983,2020-02-21,2021-01-11,FDA -> HealthCanada
vyepti,HealthCanada,TGA,149,4.894875164257556,2021-01-11,2021-06-09,HealthCanada -> TGA
vyepti,TGA,Swissmedic,124,4.073587385019711,2021-06-09,2021-10-11,TGA -> Swissmedic
vyepti,Swissmedic,EMA,31,1.0183968462549278,2021-10-11,2021-11-11,Swissmedic -> EMA
vyloy,PMDA,EMA,143,4.697766097240473,2024-03-04,2024-07-25,PMDA -> EMA
vyloy,EMA,FDA,85,2.7923784494086727,2024-07-25,2024-10-18,EMA -> FDA
vyloy,FDA,HealthCanada,56,1.8396846254927726,2024-10-18,2024-12-13,FDA -> HealthCanada
vyndaqel,EMA,PMDA,763,25.065703022339026,2011-07-21,2013-08-22,EMA -> PMDA
vyndaqel,PMDA,FDA,2080,68.3311432325887,2013-08-22,2019-05-03,PMDA -> FDA
vyndaqel,FDA,HealthCanada,262,8.607095926412615,2019-05-03,2020-01-20,FDA -> HealthCanada
vyndaqel,HealthCanada,Swissmedic,45,1.4783180026281209,2020-01-20,2020-03-05,HealthCanada -> Swissmedic
