DRUG_CODE,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Pharmaceutical_form,Administration_route,Decision,Decision_date,Current_status,Marketing_authorisation_holder,Decision_year,Marketing_authorisation_holder_extracted,Drug_class,Agency
17104,02099233,glucophage,metformin hydrochloride,tablet,oral,marketed,31.12.1995,approved,sanofi-aventis canada inc,1995,sanofi-aventis,small molecule,HealthCanada
17160,02142112,lamictal,lamotrigine,tablet,oral,marketed,31.12.1995,approved,glaxosmithkline inc,1995,glaxosmithkline,small molecule,HealthCanada
17199,00887056,naproxen-na,naproxen sodium,tablet,oral,marketed,31.12.1995,approved,pro doc limitee,1995,pro doc,small molecule,HealthCanada
17201,02142104,lamictal,lamotrigine,tablet,oral,marketed,31.12.1995,approved,glaxosmithkline inc,1995,glaxosmithkline,small molecule,HealthCanada
17203,02142082,lamictal,lamotrigine,tablet,oral,marketed,31.12.1995,approved,glaxosmithkline inc,1995,glaxosmithkline,small molecule,HealthCanada
17230,02142074,teva-gemfibrozil,gemfibrozil,tablet,oral,marketed,31.12.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
17250,02100622,sulcrate,sucralfate,tablet,oral,marketed,31.12.1995,approved,abbvie corporation,1995,abbvie,small molecule,HealthCanada
17416,02064480,salazopyrin tab 500mg,sulfasalazine,tablet,oral,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
17417,02064472,salazopyrin en-tabs 500 mg,sulfasalazine,tablet,oral,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
17781,02097575,allernix extra strength,diphenhydramine hydrochloride,tablet,oral,marketed,31.12.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
17789,02141442,diflucan one,fluconazole,capsule,oral,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
17794,02097583,allernix,diphenhydramine hydrochloride,tablet,oral,marketed,31.12.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
17799,02150670,neoral,cyclosporine,capsule,oral,marketed,31.12.1995,approved,novartis pharmaceuticals canada inc,1995,novartis,peptides and proteins,HealthCanada
17801,02150697,neoral,cyclosporine,solution,oral,marketed,31.12.1995,approved,novartis pharmaceuticals canada inc,1995,novartis,peptides and proteins,HealthCanada
17813,02150689,neoral,cyclosporine,capsule,oral,marketed,31.12.1995,approved,novartis pharmaceuticals canada inc,1995,novartis,peptides and proteins,HealthCanada
17814,02150662,neoral,cyclosporine,capsule,oral,marketed,31.12.1995,approved,novartis pharmaceuticals canada inc,1995,novartis,peptides and proteins,HealthCanada
17817,02041456,ativan,lorazepam,tablet,sublingual,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
17826,02147602,apo-acebutolol,acebutolol (acebutolol hydrochloride),tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
17827,02147610,apo-acebutolol,acebutolol (acebutolol hydrochloride),tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
17828,02147629,apo-acebutolol,acebutolol (acebutolol hydrochloride),tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
17852,02103567,sulcrate suspension plus,sucralfate,suspension,oral,marketed,31.12.1995,approved,abbvie corporation,1995,abbvie,small molecule,HealthCanada
17880,02083736,extra strength cold medication daytime relief,acetaminophen; dextromethorphan hydrobromide; pseudoephedrine hydrochloride,tablet,oral,marketed,31.12.1995,approved,vita health products inc,1995,vita health,small molecule,HealthCanada
17887,02039842,extra strength cold medication nighttime relief,dextromethorphan hydrobromide; pseudoephedrine hydrochloride; acetaminophen; chlorpheniramine maleate,tablet,oral,marketed,31.12.1995,approved,vita health products inc,1995,vita health,small molecule,HealthCanada
17893,02063808,dipentum,olsalazine sodium,capsule,oral,marketed,31.12.1995,approved,searchlight pharma inc,1995,searchlight,small molecule,HealthCanada
17903,02045729,zestoretic,lisinopril; hydrochlorothiazide,tablet,oral,marketed,31.12.1995,approved,searchlight pharma inc,1995,searchlight,small molecule,HealthCanada
17905,02039532,tenormin,atenolol,tablet,oral,marketed,31.12.1995,approved,searchlight pharma inc,1995,searchlight,small molecule,HealthCanada
18005,02132702,zoloft,sertraline (sertraline hydrochloride),capsule,oral,marketed,31.12.1995,approved,bgp pharma ulc,1995,bgp,small molecule,HealthCanada
18010,02024152,diflucan,fluconazole,powder,oral,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
18024,02148714,naloxone hcl injection - 1mg/ml usp,naloxone hydrochloride,liquid,subcutaneous; intravenous; intramuscular,approved,01.02.1995,approved,sandoz canada incorporated,1995,sandoz,small molecule,HealthCanada
18025,02148706,naloxone hcl injection - 0.4mg/ml usp,naloxone hydrochloride,liquid,subcutaneous; intravenous; intramuscular,approved,01.02.1995,approved,sandoz canada incorporated,1995,sandoz,small molecule,HealthCanada
18040,02147653,apo-trazodone d tablets 150mg,trazodone hydrochloride,tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
18045,02147645,apo-trazodone tablets 100mg,trazodone hydrochloride,tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
18046,02147637,apo-trazodone tablets 50mg,trazodone hydrochloride,tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
18065,02153483,mylan-indapamide,indapamide,tablet,oral,approved,15.02.1995,approved,mylan pharmaceuticals ulc,1995,mylan,small molecule,HealthCanada
18066,02146908,biaxin,clarithromycin,granules,oral,approved,08.02.1995,approved,bgp pharma ulc,1995,bgp,small molecule,HealthCanada
18071,02132591,teva-loperamide,loperamide hydrochloride,tablet,oral,marketed,31.12.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
18072,02064405,cyklokapron 500 mg,tranexamic acid,tablet,oral,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
18080,02145839,vesanoid,tretinoin,capsule,oral,marketed,31.12.1995,approved,cheplapharm arzneimittel gmbh,1995,cheplapharm,small molecule,HealthCanada
18081,02063786,mycobutin,rifabutin,capsule,oral,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
18085,02145316,nitroglycerin in 5% dextrose inj.-400mcg/ml,nitroglycerin; dextrose,solution,intravenous,marketed,31.12.1995,approved,baxter corporation,1995,baxter,small molecule,HealthCanada
18086,02145308,nitroglycerin in 5% dextrose inj.-200mcg/ml,dextrose; nitroglycerin,solution,intravenous,marketed,31.12.1995,approved,baxter corporation,1995,baxter,small molecule,HealthCanada
18189,02144298,teva-trazodone,trazodone hydrochloride,tablet,oral,marketed,18.01.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
18190,02144271,teva-trazodone,trazodone hydrochloride,tablet,oral,marketed,18.01.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
18191,02144263,teva-trazodone,trazodone hydrochloride,tablet,oral,marketed,31.12.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
18200,02158159,acid concentrate d12264,acetic acid; potassium chloride; magnesium chloride; dextrose; sodium chloride; calcium chloride,solution,haemodialysis,marketed,31.12.1995,approved,vantive ulc,1995,vantive,other,HealthCanada
18202,02158221,acid concentrate d12262,calcium chloride; dextrose; potassium chloride; sodium chloride; acetic acid; magnesium chloride,solution,haemodialysis,marketed,31.12.1995,approved,vantive ulc,1995,vantive,other,HealthCanada
18228,02076306,iopidine,apraclonidine (apraclonidine hydrochloride),solution,ophthalmic,marketed,31.12.1995,approved,essential pharma switzerland gmbh,1995,essential,small molecule,HealthCanada
18239,02158582,teva-diclofenac sr,diclofenac sodium,tablet,oral,marketed,31.12.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
18240,02128446,anodan-hc ointment,zinc sulfate; hydrocortisone acetate,ointment,topical; rectal,marketed,31.12.1995,approved,odan laboratories ltd,1995,odan,small molecule,HealthCanada
18242,02082136,gentamicin(e),gentamicin (gentamicin sulfate),solution,intravenous,marketed,31.12.1995,approved,baxter corporation,1995,baxter,small molecule,HealthCanada
18243,02082152,gentamicin(e),gentamicin (gentamicin sulfate),solution,intravenous,marketed,31.12.1995,approved,baxter corporation,1995,baxter,small molecule,HealthCanada
18268,02158329,acid concentrate d12248,sodium chloride; acetic acid; magnesium chloride; potassium chloride; calcium chloride; dextrose,solution,haemodialysis,marketed,31.12.1995,approved,vantive ulc,1995,vantive,other,HealthCanada
18289,02024179,octostim liq inj. 15mcg/ml,desmopressin acetate,solution,subcutaneous; intravenous,marketed,31.12.1995,approved,ferring inc,1995,ferring,peptides and proteins,HealthCanada
18306,02132648,fragmin,dalteparin sodium,solution,intravenous; subcutaneous,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,peptides and proteins,HealthCanada
18307,02132621,fragmin,dalteparin sodium,solution,intravenous; subcutaneous,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,peptides and proteins,HealthCanada
18310,02161060,calcium-45 0.25-4.5,calcium chloride,powder,haemodialysis,marketed,31.12.1995,approved,vantive ulc,1995,vantive,small molecule,HealthCanada
18314,02130181,proleukin,aldesleukin,powder,intravenous,marketed,31.12.1995,approved,sterimax inc,1995,sterimax,peptides and proteins,HealthCanada
18315,02145901,hydromorphone hydrochloride injection usp,hydromorphone hydrochloride,solution,intravenous; intramuscular; subcutaneous,approved,29.03.1995,approved,sandoz canada incorporated,1995,sandoz,small molecule,HealthCanada
18321,02160986,calcium-45 0.5-4.5,calcium chloride,powder,haemodialysis,marketed,31.12.1995,approved,vantive ulc,1995,vantive,small molecule,HealthCanada
18323,02145928,hydromorphone hp 10,hydromorphone hydrochloride,solution,intramuscular; intravenous; subcutaneous,approved,29.03.1995,approved,sandoz canada incorporated,1995,sandoz,small molecule,HealthCanada
18324,02146126,hydromorphone hp 50,hydromorphone hydrochloride,solution,subcutaneous; intramuscular; intravenous,approved,29.03.1995,approved,sandoz canada incorporated,1995,sandoz,small molecule,HealthCanada
18325,02145936,hydromorphone hp 20,hydromorphone hydrochloride,solution,intramuscular; intravenous; subcutaneous,approved,29.03.1995,approved,sandoz canada incorporated,1995,sandoz,small molecule,HealthCanada
18349,02009013,asaphen,acetylsalicylic acid,tablet,oral,marketed,31.12.1995,approved,pharmascience inc,1995,pharmascience,small molecule,HealthCanada
18355,02163543,apo-oxybutynin,oxybutynin chloride,tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
18371,02064413,cyklokapron 100 mg/ml,tranexamic acid,solution,intravenous,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
18421,02158574,teva-doxycycline,doxycycline (doxycycline hyclate),tablet,oral,marketed,31.12.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
18480,02153432,zinecard,dexrazoxane,powder,intravenous,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
18491,02143291,ocuflox,ofloxacin,solution,ophthalmic,marketed,31.12.1995,approved,abbvie corporation,1995,abbvie,small molecule,HealthCanada
18493,02153564,pentasa,mesalazine,suppository,rectal,marketed,31.12.1995,approved,ferring inc,1995,ferring,small molecule,HealthCanada
18494,02153556,pentasa,mesalazine,suspension,rectal,marketed,31.12.1995,approved,ferring inc,1995,ferring,small molecule,HealthCanada
18496,02153521,pentasa,mesalazine,suspension,rectal,marketed,31.12.1995,approved,ferring inc,1995,ferring,small molecule,HealthCanada
18500,02166704,prometrium,progesterone,capsule,oral,marketed,31.12.1995,approved,organon canada inc.,1995,organon,peptides and proteins,HealthCanada
18513,02071010,alnox gas,nitrous oxide; oxygen,gas,inhalation,marketed,31.12.1995,approved,air liquide canada inc.,1995,air liquide,other,HealthCanada
18515,02165503,prevacid,lansoprazole,capsule,oral,approved,12.05.1995,approved,takeda pharmaceuticals america inc,1995,takeda,small molecule,HealthCanada
18516,02165511,prevacid,lansoprazole,capsule,oral,approved,12.05.1995,approved,takeda pharmaceuticals america inc,1995,takeda,small molecule,HealthCanada
18554,02035472,dormer 211 face cream spf 15,oxybenzone; octinoxate; avobenzone,cream,topical,marketed,31.12.1995,approved,dormer laboratories inc.,1995,dormer,small molecule,HealthCanada
18556,02125323,hydromorph contin-controlled release cap - 3mg,hydromorphone hydrochloride,capsule,oral,marketed,31.12.1995,approved,purdue pharma,1995,purdue,small molecule,HealthCanada
18558,02125331,hydromorph contin-controlled release cap - 6mg,hydromorphone hydrochloride,capsule,oral,marketed,31.12.1995,approved,purdue pharma,1995,purdue,small molecule,HealthCanada
18614,02166739,verapamil hydrochloride injection usp,verapamil hydrochloride,liquid,intravenous,approved,06.05.1995,approved,sandoz canada incorporated,1995,sandoz,small molecule,HealthCanada
18627,02132680,colestid tablets,colestipol hydrochloride,tablet,oral,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
18634,02125447,r & c shampoo with conditioner,pyrethrins; piperonyl butoxide,shampoo,topical,marketed,31.12.1995,approved,medtech products inc,1995,medtech,other,HealthCanada
18640,02168898,estring,estradiol,ring (slow-release),vaginal,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
18647,02065673,intralipid 20%,soybean oil,emulsion,intravenous,marketed,31.12.1995,approved,fresenius kabi canada ltd,1995,fresenius,other,HealthCanada
18663,02170175,oxygene - gas inh,oxygen,gas,inhalation,marketed,31.12.1995,approved,previmed inc.,1995,previmed,other,HealthCanada
18685,02145766,visipaque 270,iodixanol,solution,intraarterial; intravenous,marketed,31.12.1995,approved,ge healthcare canada inc,1995,ge,small molecule,HealthCanada
18686,02014874,70% dextrose injection usp,dextrose,solution,intravenous,marketed,31.12.1995,approved,baxter corporation,1995,baxter,small molecule,HealthCanada
18694,02145774,visipaque 320,iodixanol,solution,intravenous; intraarterial,marketed,31.12.1995,approved,ge healthcare canada inc,1995,ge,small molecule,HealthCanada
18737,02156040,fluanxol depot 10%- liq im 100mg/ml,flupentixol decanoate,solution,intramuscular,marketed,31.12.1995,approved,lundbeck canada inc,1995,lundbeck,small molecule,HealthCanada
18739,02156008,fluanxol 0.5mg - tab,flupentixol (flupentixol dihydrochloride),tablet,oral,marketed,31.12.1995,approved,lundbeck canada inc,1995,lundbeck,small molecule,HealthCanada
18740,02156016,fluanxol 3mg - tab,flupentixol (flupentixol dihydrochloride),tablet,oral,marketed,31.12.1995,approved,lundbeck canada inc,1995,lundbeck,small molecule,HealthCanada
18742,02148382,minims cyclopentolate hydrochloride,cyclopentolate hydrochloride,solution,ophthalmic,marketed,31.12.1995,approved,bausch & lomb inc,1995,bausch & lomb,small molecule,HealthCanada
18744,02148463,minims pilocarpine nitrate,pilocarpine nitrate,drops,ophthalmic,marketed,31.12.1995,approved,bausch & lomb inc,1995,bausch & lomb,small molecule,HealthCanada
18747,02148390,minims fluorescein sodium,fluorescein sodium,drops,ophthalmic,marketed,31.12.1995,approved,bausch & lomb inc,1995,bausch & lomb,small molecule,HealthCanada
18749,02148544,minims tetracaine hydrochloride,tetracaine hydrochloride,drops,ophthalmic,marketed,31.12.1995,approved,bausch & lomb inc,1995,bausch & lomb,small molecule,HealthCanada
18750,02148498,minims prednisolone sodium phosphate,prednisolone sodium phosphate,drops,ophthalmic,marketed,31.12.1995,approved,bausch & lomb inc,1995,bausch & lomb,small molecule,HealthCanada
18751,02148528,minims tetracaine hydrochloride,tetracaine hydrochloride,drops,ophthalmic,marketed,31.12.1995,approved,bausch & lomb inc,1995,bausch & lomb,small molecule,HealthCanada
18754,02042320,min-ovral 21,ethinyl estradiol; levonorgestrel,tablet,oral,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
18755,02042339,min-ovral 28,levonorgestrel; ethinyl estradiol,tablet,oral,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
18758,02148536,minims tropicamide,tropicamide,drops,ophthalmic,marketed,31.12.1995,approved,bausch & lomb inc,1995,bausch & lomb,small molecule,HealthCanada
18759,02148455,minims phenylephrine hydrochloride,phenylephrine hydrochloride,solution,ophthalmic,marketed,31.12.1995,approved,bausch & lomb inc,1995,bausch & lomb,small molecule,HealthCanada
18768,02177102,famvir,famciclovir,tablet,oral,marketed,31.12.1995,approved,searchlight pharma inc,1995,searchlight,small molecule,HealthCanada
18778,02171899,timoptic-xe,timolol (timolol maleate),solution,ophthalmic,marketed,31.12.1995,approved,elvium life sciences,1995,elvium,small molecule,HealthCanada
18779,02167794,apo-sotalol,sotalol hydrochloride,tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
18786,02087286,alkeran,melphalan (melphalan hydrochloride); buffer solution,solution; powder; kit,intravenous; intraarterial,marketed,31.12.1995,approved,aspen pharmacare canada inc.,1995,aspen,small molecule,HealthCanada
18791,02138670,refresh,polyvinyl alcohol,drops,ophthalmic,marketed,31.12.1995,approved,abbvie corporation,1995,abbvie,other,HealthCanada
18800,02156032,fluanxol depot 2% -liq im 20mg/ml,flupentixol decanoate,solution,intramuscular,marketed,31.12.1995,approved,lundbeck canada inc,1995,lundbeck,small molecule,HealthCanada
18806,02177145,apo-cyclobenzaprine,cyclobenzaprine hydrochloride,tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
18835,02162849,glucophage,metformin hydrochloride,tablet,oral,marketed,31.12.1995,approved,sanofi-aventis canada inc,1995,sanofi-aventis,small molecule,HealthCanada
18860,02148447,minims phenylephrine hydrochloride,phenylephrine hydrochloride,solution,ophthalmic,marketed,31.12.1995,approved,bausch & lomb inc,1995,bausch & lomb,small molecule,HealthCanada
18862,02148358,minims atropine sulphate,atropine sulfate,drops,ophthalmic,marketed,31.12.1995,approved,bausch & lomb inc,1995,bausch & lomb,small molecule,HealthCanada
18868,02129043,orgaran,danaparoid sodium,solution,intravenous; subcutaneous,marketed,31.12.1995,approved,aspen pharmacare canada inc.,1995,aspen,small molecule,HealthCanada
18874,02172712,mylan-beclo aq,beclomethasone dipropionate,suspension; aerosol,nasal,approved,07.07.1995,approved,mylan pharmaceuticals ulc,1995,mylan,small molecule,HealthCanada
18877,02177757,m-eslon,morphine sulfate,capsule,oral,approved,31.07.1995,approved,ethypharm inc,1995,ethypharm,small molecule,HealthCanada
18878,02177749,m-eslon,morphine sulfate,capsule,oral,approved,31.07.1995,approved,ethypharm inc,1995,ethypharm,small molecule,HealthCanada
18903,02144344,carnitor,levocarnitine,solution,intravenous,approved,19.01.1995,approved,"leadiant biosciences, inc",1995,leadiant,small molecule,HealthCanada
18931,02144328,carnitor,levocarnitine,tablet,oral,approved,19.01.1995,approved,"leadiant biosciences, inc",1995,leadiant,small molecule,HealthCanada
18969,02166747,manerix,moclobemide,tablet,oral,marketed,31.12.1995,approved,"bausch health, canada inc.",1995,bausch,small molecule,HealthCanada
18988,01934325,depo-medrol,methylprednisolone acetate,suspension,intralesional; intraarticular; intramuscular; intrasynovial,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
19026,02142775,robitussin extra strength cough control,guaifenesin; dextromethorphan hydrobromide,syrup,oral,marketed,31.12.1995,approved,haleon canada ulc,1995,haleon,small molecule,HealthCanada
19044,02142783,robitussin extra strength mucus and phlegm,guaifenesin,syrup,oral,marketed,31.12.1995,approved,haleon canada ulc,1995,haleon,small molecule,HealthCanada
19047,02177188,apo-bromazepam,bromazepam,tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
19048,02177897,apo-clonazepam,clonazepam,tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
19049,02163799,codeine contin 200mg controlled release tab,"codeine (codeine monohydrate, codeine sulfate trihydrate)",tablet,oral,marketed,31.12.1995,approved,purdue pharma,1995,purdue,small molecule,HealthCanada
19050,02163748,codeine contin 100mg controlled release tab,"codeine (codeine monohydrate, codeine sulfate trihydrate)",tablet,oral,marketed,31.12.1995,approved,purdue pharma,1995,purdue,small molecule,HealthCanada
19051,02163780,codeine contin 150mg controlled release tab,"codeine (codeine monohydrate, codeine sulfate trihydrate)",tablet,oral,marketed,31.12.1995,approved,purdue pharma,1995,purdue,small molecule,HealthCanada
19056,02177161,apo-bromazepam,bromazepam,tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
19058,02173360,teva-salbutamol sterinebs p.f.,salbutamol (salbutamol sulfate),solution,inhalation,approved,19.07.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
19060,02172380,robitussin extra strength cough & cold,dextromethorphan hydrobromide; guaifenesin; pseudoephedrine hydrochloride,syrup,oral,marketed,31.12.1995,approved,haleon canada ulc,1995,haleon,small molecule,HealthCanada
19063,02177889,apo-clonazepam,clonazepam,tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
19064,02177587,pms-fluoxetine,fluoxetine (fluoxetine hydrochloride),capsule,oral,marketed,31.12.1995,approved,pharmascience inc,1995,pharmascience,small molecule,HealthCanada
19074,02177579,pms-fluoxetine,fluoxetine (fluoxetine hydrochloride),capsule,oral,marketed,31.12.1995,approved,pharmascience inc,1995,pharmascience,small molecule,HealthCanada
19094,02144336,carnitor,levocarnitine,solution,oral,approved,19.01.1995,approved,"leadiant biosciences, inc",1995,leadiant,small molecule,HealthCanada
19100,02182238,co-ne-o2-n2 mixture,carbon monoxide; neon; oxygen; nitrogen,gas,inhalation,marketed,31.12.1995,approved,messer canada inc.,1995,messer,other,HealthCanada
19101,02154773,co-he-o2-n2 mixture,nitrogen; carbon monoxide; oxygen; helium,gas,inhalation,marketed,31.12.1995,approved,messer canada inc.,1995,messer,other,HealthCanada
19102,02154757,meopa,oxygen; nitrous oxide,gas,inhalation,marketed,31.12.1995,approved,messer canada inc.,1995,messer,other,HealthCanada
19115,02172577,ketoprofen sr,ketoprofen,tablet,oral,marketed,31.12.1995,approved,aa pharma inc,1995,aa,small molecule,HealthCanada
19125,02162814,apo-diclo sr,diclofenac sodium,tablet,oral,marketed,31.12.1995,approved,apotex inc,1995,apotex,small molecule,HealthCanada
19167,02182815,cozaar,losartan potassium,tablet,oral,marketed,31.12.1995,approved,organon canada inc.,1995,organon,small molecule,HealthCanada
19168,02182874,cozaar,losartan potassium,tablet,oral,marketed,31.12.1995,approved,organon canada inc.,1995,organon,small molecule,HealthCanada
19183,02130157,allopurinol-200,allopurinol,tablet,oral,marketed,31.12.1995,approved,pro doc limitee,1995,not reported,small molecule,HealthCanada
19189,00667080,pro-furosemide,furosemide,tablet,oral,marketed,31.12.1995,approved,pro doc limitee,1995,pro doc,small molecule,HealthCanada
19197,02160773,diofluor strips,fluorescein sodium,strip,ophthalmic,marketed,31.12.1995,approved,dioptic pharmaceuticals inc,1995,dioptic,small molecule,HealthCanada
19200,02128187,cefoxitin for injection,cefoxitin (cefoxitin sodium),powder,intravenous; intramuscular,marketed,31.12.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
19201,02128195,cefoxitin for injection,cefoxitin (cefoxitin sodium),powder,intravenous; intramuscular,marketed,31.12.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
19202,02167840,innohep,tinzaparin sodium,solution,subcutaneous,approved,24.05.1995,approved,leo pharma inc,1995,leo,peptides and proteins,HealthCanada
19221,02179660,pms-clonazepam,clonazepam,tablet,oral,marketed,31.12.1995,approved,pharmascience inc,1995,pharmascience,small molecule,HealthCanada
19241,02169649,betaseron,interferon beta-1b,powder,subcutaneous,marketed,31.12.1995,approved,bayer inc,1995,bayer,peptides and proteins,HealthCanada
19242,02166720,sandoz timolol,timolol (timolol maleate),solution,ophthalmic,marketed,31.12.1995,approved,sandoz canada incorporated,1995,sandoz,small molecule,HealthCanada
19252,02166712,sandoz timolol,timolol (timolol maleate),solution,ophthalmic,marketed,31.12.1995,approved,sandoz canada incorporated,1995,sandoz,small molecule,HealthCanada
19257,02156091,noritate,metronidazole,cream,topical,marketed,31.12.1995,approved,"bausch health, canada inc.",1995,bausch,small molecule,HealthCanada
19262,02154811,nitrous oxide u.s.p.,nitrous oxide,gas,inhalation,marketed,31.12.1995,approved,messer canada inc.,1995,messer,other,HealthCanada
19263,02154730,carbon dioxide u.s.p,carbon dioxide,gas,inhalation,marketed,31.12.1995,approved,messer canada inc.,1995,messer,other,HealthCanada
19290,02154846,helium / oxygen mixture,helium; oxygen,gas,inhalation,marketed,31.12.1995,approved,messer canada inc.,1995,messer,other,HealthCanada
19291,02154781,medical air u.s.p.,oxygen; nitrogen,gas,inhalation,marketed,31.12.1995,approved,messer canada inc.,1995,messer,other,HealthCanada
19292,02154803,nitrogen n.f.,nitrogen,gas,inhalation,marketed,31.12.1995,approved,messer canada inc.,1995,messer,other,HealthCanada
19293,02154749,carbogen,carbon dioxide; oxygen,gas,inhalation,marketed,31.12.1995,approved,messer canada inc.,1995,messer,other,HealthCanada
19299,02154838,oxygen usp,oxygen,gas,inhalation,marketed,31.12.1995,approved,messer canada inc.,1995,messer,other,HealthCanada
19313,02162717,anaprox ds,naproxen sodium,tablet,oral,marketed,31.12.1995,approved,atnahs pharma uk limited,1995,atnahs,small molecule,HealthCanada
19314,02162466,naprosyn,naproxen,tablet,oral,marketed,31.12.1995,approved,searchlight pharma inc,1995,searchlight,small molecule,HealthCanada
19315,02162423,naprosyn,naproxen,tablet,oral,marketed,31.12.1995,approved,searchlight pharma inc,1995,searchlight,small molecule,HealthCanada
19348,02162660,toradol,ketorolac tromethamine,tablet,oral,marketed,31.12.1995,approved,aa pharma inc,1995,aa,small molecule,HealthCanada
19357,02184486,procainamide hydrochloride injection usp,procainamide hydrochloride,solution,intramuscular; intravenous,marketed,31.12.1995,approved,sandoz canada incorporated,1995,sandoz,small molecule,HealthCanada
19409,02185431,metoclopramide hydrochloride injection,metoclopramide hydrochloride,liquid,intramuscular; intravenous,approved,14.09.1995,approved,sandoz canada incorporated,1995,sandoz,small molecule,HealthCanada
19418,01977415,acetaminophen caplets 325 mg,acetaminophen,tablet,oral,marketed,31.12.1995,approved,laboratoires trianon inc.,1995,trianon,small molecule,HealthCanada
19419,01977474,acetaminophen caplets 500 mg,acetaminophen,tablet,oral,marketed,31.12.1995,approved,laboratoires trianon inc.,1995,trianon,small molecule,HealthCanada
19446,02162725,anaprox,naproxen sodium,tablet,oral,marketed,31.12.1995,approved,atnahs pharma uk limited,1995,atnahs,small molecule,HealthCanada
19449,02091453,dequadin oral paint,dequalinium chloride,solution,buccal,marketed,31.12.1995,approved,pharmascience inc,1995,pharmascience,small molecule,HealthCanada
19460,02086026,florinef,fludrocortisone 21-acetate,tablet,oral,marketed,31.12.1995,approved,endo operations ltd.,1995,endo,small molecule,HealthCanada
19475,02150336,aspirin extra strength,acetylsalicylic acid,tablet,oral,marketed,31.12.1995,approved,bayer inc,1995,bayer,small molecule,HealthCanada
19479,02150840,canesten comfortab 3,clotrimazole,tablet,vaginal,marketed,31.12.1995,approved,bayer inc,1995,bayer,small molecule,HealthCanada
19480,02150859,canesten comfortab 1,clotrimazole,tablet,vaginal,marketed,31.12.1995,approved,bayer inc,1995,bayer,small molecule,HealthCanada
19483,02150891,canesten 6 day internal cream,clotrimazole,cream,vaginal,marketed,31.12.1995,approved,bayer inc,1995,bayer,small molecule,HealthCanada
19484,02150905,canesten 3 day internal cream,clotrimazole,cream,vaginal,marketed,31.12.1995,approved,bayer inc,1995,bayer,small molecule,HealthCanada
19487,02150867,canesten 1% topical cream,clotrimazole,cream,topical,marketed,31.12.1995,approved,bayer inc,1995,bayer,small molecule,HealthCanada
