DRUG_CODE,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Pharmaceutical_form,Administration_route,Decision,Decision_date,Current_status,Marketing_authorisation_holder,Decision_year,Marketing_authorisation_holder_extracted,Drug_class,Agency
103180,02543311,taro-posaconazole,posaconazole,tablet,oral,approved,29.11.2023,approved,taro pharmaceuticals inc,2023,taro,small molecule,HealthCanada
103181,02543346,every sun day sun fluid,avobenzone; homosalate; octisalate; octinoxate; octocrylene,lotion,topical,approved,17.11.2023,approved,"have&be usa, inc., dist.",2023,have&be,small molecule,HealthCanada
103183,02543362,hello sunshine,avobenzone; homosalate; octocrylene; octisalate,lotion,topical,approved,17.11.2023,approved,it cosmetics canada,2023,it,small molecule,HealthCanada
103185,02543389,jamp eplerenone,eplerenone,tablet,oral,approved,30.11.2023,approved,jamp pharma corporation,2023,jamp,small molecule,HealthCanada
103186,02543397,jamp eplerenone,eplerenone,tablet,oral,approved,30.11.2023,approved,jamp pharma corporation,2023,jamp,small molecule,HealthCanada
103188,02543419,ag-letrozole tablets,letrozole,tablet,oral,approved,24.11.2023,approved,angita pharma inc.,2023,angita,small molecule,HealthCanada
103191,02543443,degil sun 50 spf fps,homosalate; avobenzone; oxybenzone; octocrylene; octisalate,lotion,topical,approved,23.11.2023,approved,degil safety products (1989) inc.,2023,degil safety products,small molecule,HealthCanada
103192,02543451,kalydeco,ivacaftor,granules,oral,approved,28.11.2023,approved,vertex pharmaceuticals (canada) incorporated,2023,vertex,small molecule,HealthCanada
103193,02543478,m-doxycycline,doxycycline (doxycycline hyclate),tablet,oral,approved,28.11.2023,approved,mantra pharma inc,2023,mantra,small molecule,HealthCanada
103196,02543508,jamp nebivolol,nebivolol (nebivolol hydrochloride),tablet,oral,approved,08.12.2023,approved,jamp pharma corporation,2023,jamp,small molecule,HealthCanada
103199,02543532,litfulo,ritlecitinib (ritlecitinib tosylate),capsule,oral,approved,29.11.2023,approved,pfizer canada ulc,2023,pfizer,small molecule,HealthCanada
103200,02543540,refreshing day cream crème de jour rafraîchissante spf 15 fps 15,bemotrizinol; octisalate; avobenzone; ensulizole,cream,topical,approved,28.11.2023,approved,beiersdorf canada inc,2023,beiersdorf,small molecule,HealthCanada
103201,02543559,elrexfio,elranatamab,solution,subcutaneous,approved,06.12.2023,approved,pfizer canada ulc,2023,pfizer,biologics,HealthCanada
103202,02543567,elrexfio,elranatamab,solution,subcutaneous,approved,06.12.2023,approved,pfizer canada ulc,2023,pfizer,biologics,HealthCanada
103203,02543575,leflunomide,leflunomide,tablet,oral,approved,30.11.2023,approved,sivem pharmaceuticals ulc,2023,sivem,small molecule,HealthCanada
103204,02543583,leflunomide,leflunomide,tablet,oral,approved,30.11.2023,approved,sivem pharmaceuticals ulc,2023,sivem,small molecule,HealthCanada
103205,02543605,nurtec odt,rimegepant (rimegepant sulfate),tablet,oral,approved,01.12.2023,approved,pfizer canada ulc,2023,pfizer,small molecule,HealthCanada
103207,02543613,m-dienogest,dienogest,tablet,oral,approved,01.12.2023,approved,mantra pharma inc,2023,mantra,small molecule,HealthCanada
103210,02543656,nuvaxovid,sars-cov-2 recombinant spike protein,suspension,intramuscular,approved,05.12.2023,approved,novavax inc.,2023,novavax,vaccine,HealthCanada
103213,02543672,desvenlafaxine,desvenlafaxine,tablet,oral,approved,05.12.2023,approved,pro doc limitee,2023,pro doc,small molecule,HealthCanada
103214,02543680,desvenlafaxine,desvenlafaxine,tablet,oral,approved,05.12.2023,approved,pro doc limitee,2023,pro doc,small molecule,HealthCanada
103216,02543710,ag-lamotrigine,lamotrigine,tablet,oral,approved,07.12.2023,approved,angita pharma inc.,2023,angita,small molecule,HealthCanada
103217,02543729,ag-lamotrigine,lamotrigine,tablet,oral,approved,07.12.2023,approved,angita pharma inc.,2023,angita,small molecule,HealthCanada
103218,02543737,ag-lamotrigine,lamotrigine,tablet,oral,approved,07.12.2023,approved,angita pharma inc.,2023,angita,small molecule,HealthCanada
103226,02543834,dailyscreen hydrating daily cream,octocrylene; homosalate; octisalate; avobenzone,cream,topical,approved,08.12.2023,approved,"supergoop, llc",2023,supergoop,small molecule,HealthCanada
103232,02543893,timewise repair volu-firm day cream sunscreen broad spectrum spf 30,avobenzone; octisalate; octocrylene,cream,topical,approved,12.12.2023,approved,mary kay cosmetics ltd,2023,mary kay,small molecule,HealthCanada
103233,02543907,noyada,captopril,solution,oral,approved,18.12.2023,approved,ethypharm inc,2023,ethypharm,small molecule,HealthCanada
103234,02543915,noyada,captopril,solution,oral,approved,18.12.2023,approved,ethypharm inc,2023,ethypharm,small molecule,HealthCanada
103236,02543931,uplizna,inebilizumab,solution,intravenous,approved,15.12.2023,approved,amgen canada inc,2023,amgen,biologics,HealthCanada
103239,02543974,"vancomycin hydrochloride for injection, usp",vancomycin (vancomycin hydrochloride),powder,intravenous,approved,18.12.2023,approved,hikma canada limited,2023,hikma,small molecule,HealthCanada
103240,02543990,pro-dutasteride,dutasteride,capsule,oral,approved,18.12.2023,approved,pro doc limitee,2023,pro doc,small molecule,HealthCanada
103241,02543982,"vancomycin hydrochloride for injection, usp",vancomycin (vancomycin hydrochloride),powder,intravenous,approved,18.12.2023,approved,hikma canada limited,2023,hikma,small molecule,HealthCanada
103242,02544008,fave fluid spf50+ ultralight screen,bemotrizinol; avobenzone; ensulizole,lotion,topical,approved,15.12.2023,approved,grace & fire pty ltd,2023,grace & fire,small molecule,HealthCanada
103244,02544040,abrysvo,rsv subgroup a stabilized prefusion f protein; rsv subgroup b stabilized prefusion f protein,kit; powder,intramuscular,approved,21.12.2023,approved,pfizer canada ulc,2023,pfizer,vaccine,HealthCanada
103245,02544024,nra-ursodiol,ursodiol,tablet,oral,approved,20.12.2023,approved,nora pharma inc,2023,nora,small molecule,HealthCanada
103246,02544032,nra-ursodiol,ursodiol,tablet,oral,approved,20.12.2023,approved,nora pharma inc,2023,nora,small molecule,HealthCanada
103270,02544172,viagra,sildenafil (sildenafil citrate),film; soluble,oral,approved,28.12.2023,approved,bgp pharma ulc,2023,bgp,small molecule,HealthCanada
103271,02544180,wezlana,ustekinumab,solution,subcutaneous,approved,27.12.2023,approved,amgen canada inc,2023,amgen,biologics,HealthCanada
103272,02544199,wezlana,ustekinumab,solution,subcutaneous,approved,27.12.2023,approved,amgen canada inc,2023,amgen,biologics,HealthCanada
103273,02544202,wezlana,ustekinumab,solution,subcutaneous,approved,27.12.2023,approved,amgen canada inc,2023,amgen,biologics,HealthCanada
103274,02544210,wezlana i.v.,ustekinumab,solution,intravenous,approved,27.12.2023,approved,amgen canada inc,2023,amgen,biologics,HealthCanada
