Non_proprietary_name,n_agencies,drug_names,has_globally_consistent_name
acetaminophen; dextromethorphan hydrobromide; pseudoephedrine hydrochloride; chlorpheniramine maleate,1,"['hot lemon relief for symptoms of cough, cold and flu extra strength']",True
acetaminophen; dextromethorphan hydrobromide; pseudoephedrine hydrochloride; guaifenesin,1,"['benylin extra strength all-in-one cough, cold & flu with warming sensation']",True
acetaminophen; diphenhydramine hydrochloride,1,['extra strength tylenol nighttime'],True
acetaminophen; diphenhydramine hydrochloride; phenylephrine hydrochloride,1,"['nighttime cold', 'vicks nyquil hot remedy']",True
acetaminophen; diphenhydramine hydrochloride; pseudoephedrine hydrochloride,1,['extra strength flu relief nightime'],True
acetaminophen; doxylamine succinate; dextromethorphan hydrobromide,1,['nyquil cold & flu liquicaps'],True
acetaminophen; doxylamine succinate; phenylephrine hydrochloride,1,['nyquil sinus liquicaps'],True
acetaminophen; doxylamine succinate; pseudoephedrine hydrochloride,1,['sinus medication'],True
acetaminophen; guaifenesin; dextromethorphan hydrobromide; pseudoephedrine hydrochloride,1,['cold and flu-in-one extra strength'],True
acetaminophen; guaifenesin; pseudoephedrine hydrochloride; dextromethorphan hydrobromide,1,"['benylin all-in-one cold, flu & cough liquid gels']",True
acetaminophen; menthol,1,"[""buckley's complete""]",True
acetaminophen; methocarbamol,1,"['extra strength muscle & back pain relief', 'muscle & back pain relief caplets', 'muscle and back pain relief']",True
acetaminophen; pheniramine maleate; phenylephrine hydrochloride,1,['neocitran cold & sore throat night'],True
acetaminophen; phenylephrine hydrochloride,1,"['benylin extra strength cold & sinus day', 'dayquil sinus liquicaps']",True
acetaminophen; phenylephrine hydrochloride; dextromethorphan hydrobromide,1,['daytime cold'],True
acetaminophen; phenylephrine hydrochloride; diphenhydramine hydrochloride,1,"['extra strength total symptom relief sugar-free', 'neocitran extra strength total cold night']",True
acetaminophen; phenylephrine hydrochloride; guaifenesin; dextromethorphan hydrobromide,1,"['mucinex multi-action congestion, cold & cough']",True
acetaminophen; phenylephrine hydrochloride; pheniramine maleate,1,['neocitran extra strength cold & sinus night - apple cinnamon'],True
acetaminophen; pseudoephedrine hydrochloride,1,"[""children's tylenol cold & stuffy nose"", 'extra strength sudafed head cold & sinus', 'extra strength tylenol cold & sinus daytime', 'extra strength tylenol sinus pressure & pain']",True
acetaminophen; pseudoephedrine hydrochloride; chlorpheniramine maleate,1,['extra strength tylenol cold & sinus nighttime'],True
acetaminophen; pseudoephedrine hydrochloride; dextromethorphan hydrobromide,1,['extra strength flu relief daytime'],True
acetaminophen; pseudoephedrine hydrochloride; dextromethorphan hydrobromide; doxylamine succinate,1,"[""buckley's cold & sinus 24 hour pack""]",True
acetaminophen; pseudoephedrine hydrochloride; diphenhydramine hydrochloride,1,"['extra strength tylenol complete cold, cough & flu nighttime']",True
acetaminophen; pseudoephedrine hydrochloride; doxylamine succinate,1,['cold and sinus relief combo'],True
acetaminophen; pseudoephedrine hydrochloride; guaifenesin; dextromethorphan hydrobromide,1,"['benylin extra strength all-in-one cold, flu & cough']",True
acetaminophen; pseudoephedrine hydrochloride; guaifenesin; dextromethorphan hydrobromide; doxylamine succinate,1,['complete liquid capsules'],True
acetaminophen; tramadol hydrochloride,1,"['auro-tramadol/acetaminophen', 'mar-tramadol/acet', 'nra-tramadol/acet', 'teva-tramadol/acetaminophen']",True
acetazolamide,1,['acetazolamide'],True
acetazolamide (acetazolamide sodium),1,"['acetazolamide for injection usp', 'acetazolamide for injection, usp']",True
acetazolamide sodium,1,['acetazolamide sodium'],True
"acetic acid, glacial",1,"['acetic acid', 'hydrocortisone and acetic acid']",True
acetic acid; calcium chloride; dextrose; magnesium chloride; potassium chloride; sodium chloride,1,['acid concentrate d12293'],True
acetic acid; calcium chloride; dextrose; potassium chloride; magnesium chloride; sodium chloride,1,['acid concentrate d12275'],True
acetic acid; calcium chloride; magnesium chloride; sodium chloride; potassium chloride; dextrose,1,['acid concentrate d12286'],True
acetic acid; calcium chloride; potassium chloride; magnesium chloride; dextrose; sodium chloride,1,['acid concentrate a1231'],True
acetic acid; calcium chloride; potassium chloride; magnesium chloride; sodium chloride; dextrose,1,['acid concentrate a1226'],True
acetic acid; calcium chloride; sodium chloride; magnesium chloride; dextrose; potassium chloride,1,['acid concentrate a1277'],True
acetic acid; magnesium chloride; dextrose; potassium chloride; calcium chloride,1,['selectbag one (ax 2525 g)'],True
acetic acid; magnesium chloride; sodium chloride; calcium chloride; dextrose; potassium chloride,1,['acid concentrate d12290'],True
acetic acid; magnesium chloride; sodium chloride; dextrose; potassium chloride; calcium chloride,1,"['acid concentrate a1253', 'naturalyte h-410']",True
acetic acid; potassium chloride; dextrose; calcium chloride; magnesium chloride; sodium chloride,1,['acid concentrate a1298'],True
acetic acid; potassium chloride; dextrose; magnesium chloride; calcium chloride; sodium chloride,1,['acid concentrate a1227'],True
acetic acid; potassium chloride; magnesium chloride; dextrose; sodium chloride; calcium chloride,1,['acid concentrate d12264'],True
acetic acid; potassium chloride; sodium chloride; magnesium chloride; dextrose; calcium chloride,1,['acid concentrate a1241'],True
acetic acid; sodium chloride; calcium chloride; dextrose; magnesium chloride; potassium chloride,1,"['naturalyte h-330', 'naturalyte h-624']",True
acetic acid; sodium chloride; calcium chloride; potassium chloride; magnesium chloride; dextrose,1,['acid concentrate a1252'],True
acetic acid; sodium chloride; dextrose; magnesium chloride; calcium chloride; potassium chloride,1,['acid concentrate a1296'],True
acetic acid; sodium chloride; magnesium chloride; potassium chloride; dextrose; calcium chloride,1,['acid concentrate a1262'],True
acetic acid; sodium chloride; potassium chloride; magnesium chloride; calcium chloride; dextrose,1,['acid concentrate a1294'],True
acetylcholine chloride,1,['miochol-e'],True
acetylcysteine,2,"['acetadote', 'acetylcysteine', 'acetylcysteine solution', 'acetylcysteine solution usp', 'cetylev']",False
acetylcysteine lysine,1,['legubeti'],True
acetylsalicylic acid,1,"['asa', 'asa 81 mg', 'asa daily low dose', 'asa ec', 'asaphen', 'asaphen e.c. 80 mg', 'aspirin 81mg', 'aspirin 81mg quick chews', 'aspirin coated for delayed release regular strength', 'aspirin extra strength', 'enteric coated daily low dose asa 81 mg', 'entrophen', 'entrophen chewable', 'jamp-asa 81mg ec', 'jamp-asa chew', 'jamp-asa ec', 'm-asa 80 mg croquable', 'praxis asa ec 81 mg daily low dose', 'pro-aas - 80 (croquable)', 'pro-aas ec - 80', 'rivasa 80 mg ec', 'rivasa 80mg croquable - tab', 'rivasa 81 mg ec', 'rivasa fc', 'sns-asa ec']",True
acetylsalicylic acid; codeine phosphate; caffeine; butalbital,1,['apo-butalbital-acetylsalicylic acid-caffeine-codeine-c 1/4'],True
acetylsalicylic acid; methocarbamol,1,"['extra strength muscle & back pain asa 500 mg methocarbamol 400 mg & acetylsalicylic acid 500 mg', 'robaxisal extra strength']",True
acidum bempedoicum,1,['nilemdo'],True
acidum carglumicum,1,['carbaglu'],True
acitretin,2,"['acitretin', 'mint-acitretin', 'soriatane', 'taro-acitretin']",False
aclidinium bromide,4,"['bretaris genuair', 'duaklir pressair', 'eklira genuair', 'tudorza genuair', 'tudorza pressair']",False
aclidinium bromide/formoterol fumarate dihydrate,1,"['brimica genuair', 'duaklir genuair']",True
aclidinium bromide; formoterol fumarate dihydrate,1,['duaklir genuair'],True
acoltremon,1,['tryptyr'],True
acoramidis,1,['beyonttra'],True
acoramidis hydrochloride,1,['attruby'],True
acotiamide,1,['acofide'],True
activated recombinant dna human coagulation factor vii (rfviia),1,['novoseven'],True
acyclovir,2,"['acyclovir', 'apo-acyclovir', 'apo-acyclovir ointment', 'avaclyr', 'mint-acyclovir', 'mylan-acyclovir', 'sitavig', 'taro-acyclovir', 'teva-acyclovir', 'xerese', 'zovirax']",False
acyclovir (acyclovir sodium),1,['acyclovir sodium injection'],True
acyclovir sodium,1,"['acyclovir', 'acyclovir in sodium chloride 0.9% preservative free', 'acyclovir sodium']",True
acyclovir; hydrocortisone,1,['xerese'],True
