Non_proprietary_name,n_agencies,drug_names,has_globally_consistent_name
ceftazidime / avibactam,1,['zavicefta'],True
ceftazidime/avibactam,1,['zavicefta'],True
ceftibuten dihydrate,1,['cedax'],True
ceftobiprole (ceftobiprole medocaril sodium),1,['zevtera'],True
ceftobiprole medocaril,1,['zeftera'],True
ceftobiprole medocaril sodium,2,['zevtera'],True
ceftolozane / tazobactam,2,['zerbaxa'],True
ceftolozane sulfate,1,['zerbaxa'],True
ceftriaxone (ceftriaxone sodium),1,"['ceftriaxone for injection', 'ceftriaxone injection, usp', 'ceftriaxone sodium for injection', 'ceftriaxone sodium for injection bp']",True
ceftriaxone sodium,1,"['ceftriaxone', 'ceftriaxone and dextrose in duplex container', 'ceftriaxone in plastic container', 'ceftriaxone sodium']",True
cefuroxime (cefuroxime axetil),1,"['apo-cefuroxime', 'auro-cefuroxime', 'ceftin', 'jamp cefuroxime']",True
cefuroxime (cefuroxime sodium),1,"['cefuroxime for injection, usp']",True
cefuroxime axetil,1,['cefuroxime axetil'],True
cefuroxime sodium,1,"['cefuroxime and dextrose in duplex container', 'cefuroxime sodium', 'cefuroxime sodium in plastic container']",True
cefuroxime; cefuroxime sodium,1,['cefuroxime; cefuroxime sodium'],True
celecoxib,3,"['ag-celecoxib', 'apo-celecoxib', 'auro-celecoxib', 'bio-celecoxib', 'celebrex', 'celecoxib', 'elyxyb', 'jamp-celecoxib', 'm-celecoxib', 'mar-celecoxib', 'mint-celecoxib', 'nra-celecoxib', 'pmsc-celecoxib', 'riva-celecox', 'seglentis']",True
cemiplimab,4,['libtayo'],True
cemiplimab-rwlc,1,['libtayo'],True
cenegermin,2,['oxervate'],True
cenegermin-bkbj,1,['oxervate'],True
cenobamate,4,"['ontozry', 'xcopri']",False
cephalexin,1,"['cephalexin', 'panixine disperdose']",True
cephalexin (cephalexin monohydrate),1,"['auro-cephalexin', 'cephalexin', 'jamp cephalexin', 'jamp cephalexin suspension', 'lupin-cephalexin']",True
ceritinib,5,['zykadia'],True
cerivastatin sodium,1,['baycol'],True
cerliponase alfa,3,['brineura'],True
certolizumab,1,['cimzia'],True
certolizumab pegol,4,['cimzia'],True
cetirizine hydrochloride,2,"['ag-cetirizine', 'allergy relief', 'allergy relief liquid gels', 'apo-cetirizine', 'bio-cetirizine', 'cetirizine', 'cetirizine extra strength', 'cetirizine hydrochloride', 'cetirizine hydrochloride allergy', 'cetirizine hydrochloride allergy; cetirizine hydrochloride hives', 'cetirizine hydrochloride allergy; cetirizine hydrochloride hives relief', 'cetirizine hydrochloride and pseudoephedrine hydrochloride', ""children's cetirizine hydrochloride allergy"", ""children's cetirizine hydrochloride allergy; children's cetirizine hydrochloride hives relief"", ""children's zyrtec allergy; children's zyrtec hives"", ""children's zyrtec allergy; children's zyrtec hives relief"", 'extra strength allergy relief', 'jamp cetirizine tablets', 'jamp-cetirizine', 'm-cetirizine', 'mar-cetirizine', 'nat-cetirizine', 'nra-cetirizine tablets', 'pms-cetirizine', 'quzyttir', 'reactine', 'reactine allergy', 'reactine allergy liquid gels', 'reactine fast melt junior', 'reactine rapid dissolve', 'teva-cetirizine', 'zerviate', 'zyrtec', 'zyrtec allergy', 'zyrtec allergy; zyrtec hives', 'zyrtec-d 12 hour']",False
cetrorelix (cetrorelix acetate),1,['cetrotide'],True
cetrorelix acetate,1,"['cetrorelix acetate', 'cetrotide']",True
cetuximab,3,['erbitux'],True
cetuximab sarotalocan sodium,1,['akalux'],True
cetylpyridinium chloride,1,"['antiseptic oral rinse', 'colgate total active prevention', 'colgate total active prevention gum health', 'crest gum care', 'crest pro-health bacteria guard', 'crest pro-health gum & breath purify', 'crest pro-health invigorating clean multi-protection', 'crest pro-health multi protection', 'oral-b gum therapy', 'periogard protect cetylpyridinium chloride mouthwash', 'therabreath healthy gums oral rinse']",True
cevimeline hydrochloride,1,"['cevimeline hydrochloride', 'evoxac']",True
chadox-1-s,1,['vaxzevria'],True
chadox1-s,1,['covid-19 vaccine astrazeneca'],True
characterised viable autologous cartilage cells expanded ex vivo expressing specific marker proteins,1,['chondrocelect'],True
charcoal activated,1,"['activated charcoal', 'activated charcoal 260mg', 'activated charcoal capsules', 'charco caps']",True
chenodeoxycholic acid,1,['chenodeoxycholic acid sigma-tau'],True
chenodiol,1,"['chenodiol', 'ctexli']",True
chikungunya vaccine (live),1,['ixchiq'],True
chikungunya virus live-attenuated,1,['ixchiq'],True
chloral hydrate,1,['chloral hydrate syrup odan'],True
chlordiazepoxide hydrochloride,1,['chlordiazepoxide hydrochloride and clidinium bromide'],True
chlorhexidine gluconate,2,"['antiseptic body cleanser', 'baxedin pre-op', 'chloraprep one-step sepp; chloraprep single swabstick; chloraprep triple swabstick', 'chloraprep one-step; chloraprep one-step frepp; chloraprep with tint', 'chlorhexidine 4% antiseptic hand wash', 'chlorhexidine gluconate', 'chlorhexidine solution', 'dexidin 2 solution', 'e-z scrub', 'endure 400 scrub-stat 4', 'endure 420 cida-stat', 'euro-chlorhexidine', 'hygenipak 2% chg foaming skin cleanser', 'loris 2% chg solution', 'loris 2% chg wipe/serviette', 'oro clear', 'oro-clense', 'paroex', 'peridex oral rinse', 'periochip', 'periogard', 'periogard alcohol free', 'pms-chlorhexidine', 'pms-chlorhexidine without alcohol', 'prevantics maxi swabstick; prevantics swab; prevantics swabstick', 'purell antimicrobial foam handwash 2% chg', 'readyprep chg', 'soluprep aq sponge', 'soluprep aq swab', 'soluprep ld sponge', 'soluprep s']",False
chlorhexidine gluconate; alcohol anhydrous,1,['avagard chg'],True
chlorhexidine gluconate; isopropyl alcohol,1,"['3m soluprep sponge', 'baxedin 2% - 70%', 'chloraprep swabsticks', 'soluprep swab', 'soluprep wipe']",True
chlorhexidine gluconate; lidocaine hydrochloride (lidocaine hydrochloride monohydrate),1,['instillagel'],True
chlormethine,1,['ledaga'],True
chlormethine (chlormethine hydrochloride),1,['ledaga'],True
chlormethine hydrochloride,1,['ledaga'],True
chloroprocaine hydrochloride,2,"['chloroprocaine hydrochloride', 'clorotekal', 'iheezo']",True
chloroquine phosphate,1,['chloroquine phosphate'],True
chlorothiazide sodium,1,['chlorothiazide sodium'],True
chloroxylenol,1,"['applaud ab antiseptic lotionized hand soap', 'digiclean e foam hand soap', 'phenrex mvd', 'purklenz', 'quick clean', 'soft care defend', 'soft care defend foam']",True
chlorpheniramine maleate,1,"['advil allergy and congestion relief; advil multi-symptom cold & flu', 'advil allergy sinus', ""children's advil allergy sinus"", 'chlorpheniramine maleate', 'hydrocodone bitartrate and chlorpheniramine maleate', 'hydrocodone bitartrate, chlorpheniramine maleate and pseudoephedrine hydrochloride', 'tuxarin er', 'vituz', 'zutripro']",True
chlorpheniramine maleate; acetaminophen; dextromethorphan hydrobromide; pseudoephedrine hydrochloride,1,"['robitussin total cough, cold & flu nighttime extra strength']",True
chlorpheniramine maleate; acetaminophen; phenylephrine hydrochloride,1,['extra strength tylenol sinus nighttime'],True
chlorpheniramine maleate; acetaminophen; pseudoephedrine hydrochloride; dextromethorphan hydrobromide,1,"[""buckley's complete extra strength cough, cold and flu night""]",True
chlorpheniramine maleate; dextromethorphan hydrobromide; pseudoephedrine hydrochloride; acetaminophen,1,['neocitran ultra strength total flu night'],True
chlorpheniramine maleate; ibuprofen; pseudoephedrine hydrochloride,1,"['advil cold & sinus convenience pack', 'advil cold and sinus nighttime']",True
chlorpheniramine maleate; phenylephrine hydrochloride; acetaminophen,1,['benylin extra strength cold & sinus night'],True
chlorpheniramine maleate; pseudoephedrine hydrochloride; acetaminophen,1,['extra strength allergy sinus medication'],True
chlorpheniramine maleate; pseudoephedrine hydrochloride; dextromethorphan hydrobromide; acetaminophen,1,['night time total extra strength'],True
chlorpheniramine polistirex,1,"['codeprex', 'hydrocodone polistirex and chlorpheniramine polistirex', 'hydrocodone polistirex and chlorpheniramne polistirex', 'tussicaps', 'tuzistra xr']",True
chlorpromazine hydrochloride,1,['chlorpromazine hydrochloride'],True
chlorthalidone,2,"['chlorthalidone', 'hemiclor', 'jamp chlorthalidone', 'thalitone']",False
chlorthalidone; atenolol,1,['aa-atenidone'],True
chlorthalidone; azilsartan medoxomil (azilsartan medoxomil potassium),1,['edarbyclor'],True
chlorzoxazone,1,['chlorzoxazone'],True
cholera vaccine,1,['vaxchora'],True
"cholera vaccine, oral, live",1,['vaxchora'],True
cholestyramine,1,"['cholestyramine', 'cholestyramine light', 'locholest', 'locholest light', 'prevalite']",True
cholestyramine resin,1,"['cholestyramine-odan', 'jamp-cholestyramine', 'olestyr']",True
cholic acid,2,"['cholbam', 'orphacol']",False
choline c-11,1,['choline c-11'],True
choline fenofibrate,1,"['fenofibric acid', 'trilipix']",True
"chondroitin sulfate sodium, glucosamine hydrochloride",1,['condrosulf plus'],True
choriogonadotropin alfa,2,['ovidrel'],True
chorionic gonadotropin,1,"['chorionic gonadotropin for injection, usp', 'pregnyl']",True
chromic chloride,2,"['addaven', 'chromic chloride']",False
ciclesonide,3,"['alvesco', 'omnaris', 'zetonna']",True
ciclopirox,2,"['apo-ciclopirox', 'ciclopirox', 'loprox', 'penlac', 'taro-ciclopirox']",False
ciclopirox olamine,1,['loprox'],True
ciclosporin,2,"['cequa', 'ikervis', 'restaysis', 'vekacia', 'verkazia', 'vevizye']",True
cidofovir,1,"['cidofovir', 'vistide']",True
cidofovir (cidofovir dihydrate),1,['mar-cidofovir'],True
cilastatin sodium,1,"['imipenem and cilastatin', 'recarbrio']",True
cilazapril (cilazapril monohydrate),1,"['apo-cilazapril', 'mylan-cilazapril']",True
cilazapril (cilazapril monohydrate); hydrochlorothiazide,1,['apo-cilazapril/hctz'],True
cilgavimab / tixagevimab,1,['evusheld'],True
cilostazol,1,"['cilostazol', 'pletal']",True
ciltacabtagene autoleucel,2,['carvykti'],True
cimetidine,1,"['cimetidine', 'tagamet hb', 'tagamet hb 200']",True
cimetidine hydrochloride,1,['cimetidine hydrochloride'],True
cinacalcet,1,"['cinacalcet accordpharma', 'cinacalcet mylan']",True
cinacalcet (cinacalcet hydrochloride),1,"['apo-cinacalcet', 'auro-cinacalcet', 'cinacalcet', 'jamp cinacalcet tablets', 'm-cinacalcet', 'mar-cinacalcet', 'mylan-cinacalcet', 'pms-cinacalcet', 'teva-cinacalcet']",True
cinacalcet hydrochloride,2,"['cinacalcet hydrochloride', 'mimpara', 'sensipar']",False
cinnarizine / dimenhydrinate,1,['cizigo; cizinate; cizere'],True
cipaglucosidase alfa,3,['pombiliti'],True
cipaglucosidase alfa-atga,1,['pombiliti'],True
ciprofloxacin,2,"['cipro', 'cipro oral suspension', 'cipro xr', 'ciprodex', 'ciprofloxacin', 'ciprofloxacin and dexamethasone', 'ciprofloxacin extended release', 'ciprofloxacin in dextrose 5%', 'ciprofloxacin in dextrose 5% in plastic container', 'ciprofloxacin intravenous infusion bp', 'otiprio']",False
ciprofloxacin (ciprofloxacin hydrochloride),1,"['act ciprofloxacin', 'auro-ciprofloxacin', 'bio-ciprofloxacin', 'ciloxan', 'ciprofloxacin', 'jamp-ciprofloxacin', 'mar-ciprofloxacin', 'mint-ciproflox', 'nra-ciprofloxacin', 'pms-ciprofloxacin', 'pro-ciprofloxacin', 'riva-ciprofloxacin', 'sandoz ciprofloxacin', 'taro-ciproflox']",True
ciprofloxacin (ciprofloxacin hydrochloride); dexamethasone,1,"['sandoz ciprofloxacin / dexamethasone', 'taro-ciprofloxacin/dexamethasone']",True
ciprofloxacin (ciprofloxacin hydrochloride); fluocinolone acetonide,1,['otixal'],True
"ciprofloxacin (ciprofloxacin, ciprofloxacin hydrochloride)",1,['pms-ciprofloxacin xl'],True
ciprofloxacin hydrochloride,2,"['cetraxal', 'ciloxan', 'cipro hc', 'ciprofloxacin hydrochloride', 'linhaliq', 'otovel', 'proquin xr']",False
ciprofloxacin; ciprofloxacin hydrochloride,1,['ciprofloxacin; ciprofloxacin hydrochloride'],True
cisapride monohydrate,1,"['propulsid', 'propulsid quicksolv']",True
cisatracurium (cisatracurium besylate),1,['cisatracurium besylate injection usp multidose'],True
cisatracurium besylate,1,"['cisatracurium besylate', 'cisatracurium besylate preservative free', 'cisatracurium besylate; cisatracurium besylate preservative free', 'nimbex; nimbex preservative free']",True
cisplatin,2,"['cisplatin', 'cisplatin injection', 'cisplatin injection bp', 'cisplatin injection, bp']",False
citalopram (citalopram hydrobromide),1,"['ag-citalopram', 'ag-citalopram tablets', 'apo-citalopram', 'auro-citalopram', 'celexa 20 mg', 'celexa 40 mg', 'citalopram', 'citalopram - 10', 'citalopram - 20', 'citalopram - 40', 'ctp 30', 'm-citalopram', 'mar-citalopram', 'mint-citalopram', 'natco-citalopram', 'nra-citalopram', 'pms-citalopram', 'riva-citalopram', 'teva-citalopram']",True
citalopram hydrobromide,1,"['celexa', 'citalopram hydrobromide']",True
citric acid,1,"['citric acid; magnesium oxide; sodium picosulfate', 'clenpiq', 'idkit:hp', 'phexxi', 'prepopik', 'sodium picosulfate, magnesium oxide and anhydrous citric acid', 'urologic g in plastic container']",True
citric acid monohydrate; dextrose; sodium citrate dihydrate,1,['anticoagulant citrate dextrose solution usp (acd) formula a'],True
citric acid; magnesium chloride; potassium chloride; sodium acetate; calcium chloride; dextrose; sodium chloride,1,['hemosate ultra hs2150'],True
citric acid; sodium phosphate monobasic; dextrose; sodium citrate dihydrate,1,['anticoagulant solution citrate phosphate dextrose (cpd)'],True
cladribine,4,"['cladribine', 'cladribine injection', 'mavenclad', 'movectro']",True
clarithromycin,2,"['apo-clarithromycin', 'apo-clarithromycin xl', 'biaxin', 'biaxin xl', 'clarithromycin', 'm-clarithromycin', 'sandoz clarithromycin', 'taro-clarithromycin', 'teva-clarithromycin xl']",True
clascoterone,3,['winlevi'],True
clavulanic acid (clavulanate potassium); amoxicillin (amoxicillin sodium),1,['amoxicillin sodium and potassium clavulanate for injection'],True
clavulanic acid (clavulanate potassium); amoxicillin (amoxicillin trihydrate),1,"['auro-amoxiclav', 'clavulin 400', 'jamp amoxi clav', 'jamp amoxi clav suspension', 'm-amoxi clav', 'pro-amoxi clav', 'sandoz amoxi-clav tablet']",True
clazosentan sodium,1,['pivlaz'],True
clemastine fumarate,1,['clemastine fumarate'],True
clevidipine,3,['cleviprex'],True
clindamycin (clindamycin hydrochloride),1,"['auro-clindamycin', 'clindamycin', 'jamp clindamycin', 'm-clindamycin', 'med-clindamycin', 'nra-clindamycin', 'riva-clindamycin', 'teva-clindamycin']",True
clindamycin (clindamycin phosphate),1,"['clindamycin injection in 5% dextrose', 'clindamycin injection usp', 'clindamycin iv infusion', 'taro-clindamycin']",True
clindamycin (clindamycin phosphate); benzoyl peroxide,1,['clindoxyl gel'],True
clindamycin hydrochloride,1,['clindamycin hydrochloride'],True
clindamycin palmitate hydrochloride,1,['clindamycin palmitate hydrochloride'],True
clindamycin phosphate,1,"['cleocin', 'clindagel', 'clindamycin phosphate', 'clindamycin phosphate and tretinoin', 'clindamycin phosphate in 0.9% sodium chloride', 'clindamycin phosphate in 5% dextrose in plastic container', 'clindamycin phosphate in dextrose 5%', 'clindamycin phosphate in dextrose 5% in plastic container', 'clindesse', 'clindets', 'evoclin', 'veltin', 'xaciato', 'ziana']",True
clindamycin phosphate hydrate/benzoyl peroxide,1,['duac'],True
clindamycin phosphate; tretinoin,1,['biacna topical gel'],True
clobazam,3,"['apo-clobazam', 'clobazam', 'frisium', 'onfi', 'sympazan', 'teva-clobazam']",False
clobetasol propionate,3,"['clobetasol propionate', 'clobetasol propionate (emollient)', 'clobex', 'clobex shampoo', 'clobex spray', 'cormax', 'dermovate cream', 'dermovate ointment', 'dermovate scalp application', 'embeline', 'embeline e', 'impeklo', 'impoyz', 'jamp clobetasol spray', 'mylan-clobetasol scalp application', 'odan clobetasol spray', 'olux', 'olux e', 'reddy-clobetasol shampoo', 'sandoz clobetasol', 'taro-clobetasol cream usp, 0.05%', 'taro-clobetasol ointment usp, 0.05%', 'taro-clobetasol shampoo', 'taro-clobetasol spray', 'taro-clobetasol topical solution usp, 0.05%']",False
clobetasone butyrate,1,['spectro eczemacare medicated cream'],True
clocortolone pivalate,1,['clocortolone pivalate'],True
clodronate disodium,1,['clasteon'],True
clofarabine,4,"['clofara', 'clofarabine', 'clolar', 'ivozall']",False
clomiphene citrate,1,['clomiphene citrate'],True
clomipramine hydrochloride,2,"['clomipramine hydrochloride', 'taro-clomipramine']",False
clonazepam,2,"['apo-clonazepam', 'clonazepam', 'klonopin rapidly disintegrating', 'pms-clonazepam', 'pms-clonazepam-r', 'pro-clonazepam', 'riva-clonazepam']",False
clonidine,1,"['clonidine', 'nexiclon xr']",True
clonidine hydrochloride,2,"['clonidine', 'clonidine hydrochloride', 'duraclon', 'jamp clonidine', 'jenloga; kapvay', 'mar-clonidine', 'mint-clonidine', 'onyda xr', 'sandoz clonidine', 'teva-clonidine']",False
clopidogrel,1,"['clopidogrel 1a pharma', 'clopidogrel acino', 'clopidogrel acino pharma', 'clopidogrel acino pharma gmbh', 'clopidogrel bms', 'clopidogrel dura', 'clopidogrel hcs', 'clopidogrel hexal', 'clopidogrel krka', 'clopidogrel mylan', 'clopidogrel qualimed', 'clopidogrel ratiopharm', 'clopidogrel ratiopharm gmbh', 'clopidogrel sandoz', 'clopidogrel tad', 'clopidogrel teva', 'clopidogrel teva generics b.v.', 'clopidogrel teva pharma', 'clopidogrel teva pharma b.v.', 'clopidogrel winthrop', 'grepid', 'iscover', 'plavix', 'zopya', 'zylagren', 'zyllt']",True
clopidogrel (clopidogrel bisulfate),1,"['act clopidogrel', 'ag-clopidogrel', 'apo-clopidogrel', 'auro-clopidogrel', 'bio-clopidogrel', 'clopidogrel', 'jamp-clopidogrel', 'm-clopidogrel', 'mar-clopidogrel', 'mint-clopidogrel', 'nra-clopidogrel', 'plavix', 'pms-clopidogrel', 'riva-clopidogrel', 'taro-clopidogrel', 'teva-clopidogrel']",True
clopidogrel / acetylsalicylic acid,1,"['clopidogrel / acetylsalicylic acid teva', 'duocover', 'duoplavin']",True
clopidogrel bisulfate,1,"['clopidogrel bisulfate', 'plavix']",True
clopidogrel/aspirin,1,['co plavix/duo cover'],True
clorazepate dipotassium,1,['clorazepate dipotassium'],True
clostridium botulinum type a toxin - haemagglutinin complex,1,['dysport'],True
clotrimazole,2,"['canesten 1 day internal cream', 'canesten 1% topical cream', 'canesten 3 day internal cream', 'canesten 6 day internal cream', 'canesten combi 1 day', 'canesten combi 1 day internal + external creams', 'canesten combi 1 day soft capsule + extra strength external cream', 'canesten combi 3 day', 'canesten comfortab 1', 'canesten comfortab 3', 'canesten external antifungal cream', 'canesten external cream', 'canesten extra strength external antifungal cream', 'canesten soft capsule 1', 'clotrimazole', 'clotrimazole external antifungal cream', 'clotrimazole extra strength external antifungal cream', 'clotrimazole topical', 'clotrimazole vaginal 3', 'clotrimazole vaginal 6', 'gyne-lotrimin 3', 'gyne-lotrimin 3 combination pack', 'gynix', 'trivagizole 3']",False
clotrimazole; fluconazole,1,['canesoral combi 1 day'],True
cloxacillin (cloxacillin sodium),1,"['cloxacillin for injection', 'jamp cloxacillin']",True
clozapine,3,"['aa-clozapine', 'clozapine', 'clozaril', 'fazaclo odt', 'gen-clozapine', 'versacloz']",False
coagulation factor ix (human),1,['immunine vh'],True
coagulation factor ix (human); coagulation factor vii (human); coagulation factor ii (human); protein c; protein s; coagulation factor x (human),1,['octaplex'],True
coagulation factor ix (recombinant),1,['benefix'],True
"coagulation factor ix (recombinant), pegylated",1,['rebinyn'],True
coagulation factor x (human); coagulation factor ii (human); coagulation factor vii (human); protein s; coagulation factor ix (human); protein c,1,['octaplex'],True
coagulation factor x (human); coagulation factor vii (human); protein s; protein c; coagulation factor ii (human); coagulation factor ix (human),1,['beriplex p/n 500'],True
coal tar,1,"['coal-tar shampoo', 'derm oil', 'psoriasin gel', 'psoriasin ointment']",True
cobicistat,3,"['cobicistat', 'genvoya', 'prezcobix', 'stribild', 'symtuza', 'tybost']",True
cobicistat; darunavir (darunavir ethanolate),1,['prezcobix'],True
cobicistat; emtricitabine; darunavir (darunavir ethanolate); tenofovir alafenamide (tenofovir alafenamide hemifumarate),1,['symtuza'],True
cobicistat; emtricitabine; tenofovir disoproxil fumarate; elvitegravir,1,['stribild'],True
cobimetinib,1,['cotellic'],True
cobimetinib (cobimetinib fumarate),1,['cotellic'],True
cobimetinib fumarate,1,['cotellic'],True
cocaine hydrochloride,1,"['goprelto', 'numbrino']",True
"codeine (codeine monohydrate, codeine sulfate trihydrate)",1,"['codeine contin 100mg controlled release tab', 'codeine contin 150mg controlled release tab', 'codeine contin 200mg controlled release tab', 'codeine contin 50mg controlled release tab']",True
codeine phosphate,1,"['prometh hydrochloride,phenylephrine hydrochloride w/codeine phosphate', 'promethazine hydrochloride and codeine phosphate', 'promethazine hydrochloride, phenylephrine hydrochloride w/codeine phosphate', 'promethazine hydrochloride,phenylephrine hydrochloride w/codeine phosphate', 'promethazine with codeine']",True
codeine phosphate; butalbital; acetylsalicylic acid; caffeine,1,['apo-butalbital-acetylsalicylic acid-caffeine-codeine-c 1/2'],True
codeine phosphate; diphenhydramine hydrochloride; ammonium chloride,1,['cough and allergy syrup with codeine'],True
codeine phosphate; promethazine hydrochloride,1,['promethazine hydrochloride and codeine phosphate; promethazine hydrochloride; codeine phosphate'],True
codeine phosphate; pseudoephedrine hydrochloride; guaifenesin,1,['cough syrup with codeine'],True
codeine sulfate,1,['codeine sulfate'],True
colchicine,2,"['colchicine', 'colcrys', 'euro-colchicine', 'gloperba', 'jamp-colchicine', 'lodoco', 'mitigare', 'myinfla', 'pms-colchicine', 'probenecid and colchicine']",False
colesevelam hydrochloride,2,"['apo-colesevelam', 'colesevelam hydrochloride', 'lodalis', 'welchol']",False
colestilan,1,['bindren'],True
colestipol hydrochloride,2,"['colestid tablets', 'colestipol hydrochloride']",False
colistimethate sodium,4,"['colistimethate for injection usp', 'colistimethate sodium', 'colobreathe', 'tadim']",False
colistin (colistimethate sodium),1,"['colistimethate for injection u.s.p.', 'colistimethate for injection, usp']",True
collagenase,1,['xiaflex'],True
collagenase clostridium histolyticum,3,"['xiaflex', 'xiapex']",False
collagenase clostridium histolyticum-aaes,1,['qwo'],True
concentrate of proteolytic enzymes enriched in bromelain,2,['nexobrid'],True
concizumab,4,['alhemo'],True
concizumab-mtci,1,['alhemo'],True
conestat alfa,1,['ruconest'],True
conivaptan hydrochloride,1,"['vaprisol', 'vaprisol; vaprisol in 5% dextrose in plastic container']",True
conjugated estrogens,1,['premarin'],True
conjugated estrogens / bazedoxifene acetate,1,['duavive'],True
conjugated estrogens/medroxyprogesterone acetate,1,['prempro/premphase'],True
copanlisib,1,['aliqopa'],True
copanlisib dihydrochloride,1,['aliqopa'],True
copper,1,['miudella'],True
copper (64cu) chloride,1,['cuprymina'],True
copper (copper gluconate); vitamin d3 (cholecalciferol); zinc (zinc oxide); magnesium (magnesium oxide); vitamin b12 (cyanocobalamin); d-pantothenic acid (calcium d-pantothenate); vitamin b1 (thiamine mononitrate); iodine (potassium iodide); ascorbic acid; iron (ferrous fumarate); calcium (calcium carbonate); vitamin b6 (pyridoxine hydrochloride); vitamin e (dl-alpha tocopheryl acetate); folic acid; beta-carotene; nicotinamide; vitamin b2 (riboflavin),1,['pregnancy multivitamin folic 5'],True
copper (cupric sulfate); selenium (selenious acid); zinc (zinc sulfate); iodide (sodium iodide); manganese (manganese sulfate),1,['micro+ te pediatric'],True
copper cu-64 dotatate,1,['detectnet'],True
corifollitropin alfa,2,['elonva'],True
coronavirus (sars-cov-2) rna vaccine,1,"['comirnaty', 'daichirona', 'kostaive', 'spikevax']",True
coronavirus modified uridine rna vaccine,1,"['comirnaty', 'covid-19 vaccine moderna', 'spikevax']",True
coronavirus rna vaccine,1,['spikevax'],True
corticorelin ovine triflutate,1,['acthrel'],True
cortisone acetate,1,['cortisone acetate'],True
corynebacterium diphtheriae crm-197 protein; meningococcal group c oligosaccharide,1,['menjugate liquid'],True
cosibelimab-ipdl,1,['unloxcyt'],True
cosyntropin,1,['cosyntropin'],True
covid-19 (sars-cov-2) vaccine,1,"['jcovden', 'vaxzevria']",True
covid-19 mrna vaccine (nucleoside-modified),1,"['comirnaty', 'covid-19 vaccine moderna']",True
covid-19 vaccine (chadox1-s [recombinant]),1,['covid-19 vaccine astrazeneca'],True
"covid-19 vaccine (recombinant, adjuvanted)",1,"['bimervax', 'nuvaxovid', 'vidprevtyn beta']",True
crinecerfont,1,['crenessity'],True
crisaborole,4,"['eucrisa', 'staquis']",False
crisantaspase,4,"['enrylaze', 'erwinase', 'rylaze']",False
crizanlizumab,2,['adakveo'],True
crizanlizumab-tmca,1,['adakveo'],True
crizotinib,5,['xalkori'],True
crofelemer,1,['mytesi'],True
cromolyn sodium,1,"['crolom', 'cromolyn sodium', 'cromoptic', 'gastrocrom', 'nasalcrom']",True
crovalimab,2,['piasky'],True
crovalimab-akkz,1,['piasky'],True
cupric chloride,1,['cupric chloride'],True
cupric sulfate,1,"['cupric sulfate', 'multrys; tralement']",True
cx-024414,1,['spikevax'],True
cyanocobalamin,1,"['calomist', 'cyanocobalamin', 'nascobal']",True
cyclizine lactate,1,['valoid'],True
cyclobenzaprine hydrochloride,2,"['ag-cyclobenzaprine', 'amrix', 'apo-cyclobenzaprine', 'auro-cyclobenzaprine', 'cyclobenzaprine', 'cyclobenzaprine hydrochloride', 'jamp-cyclobenzaprine', 'pms-cyclobenzaprine - tab 10mg', 'pro-cyclobenzaprine', 'riva-cyclobenzaprine']",False
cyclopentolate hydrochloride,2,"['akpentolate', 'cyclopentolate hydrochloride', 'minims cyclopentolate hydrochloride']",False
cyclophosphamide,2,"['cyclophosphamide', 'cyclophosphamide for injection usp', 'procytox', 'procytox tab 25mg', 'procytox tab 50mg']",False
cyclosporin,1,['restasis'],True
cyclosporine,2,"['cequa', 'cyclosporine', 'gengraf', 'neoral', 'restasis', 'restasis multidose', 'restasis; restasis multidose', 'sandoz cyclosporine', 'teva-cyclosporine', 'verkazia', 'vevye']",True
cyproheptadine hydrochloride,2,"['cyproheptadine hydrochloride', 'euro-cyproheptadine 2mg/5ml', 'jamp-cyproheptadine', 'mar-cyproheptadine']",False
cyproterone acetate,1,"['cyproterone', 'med-cyproterone', 'riva-cyproterone']",True
cyproterone acetate; ethinyl estradiol,1,['diane-35'],True
cysteamine (cysteamine bitartrate),1,['procysbi'],True
cysteamine (cysteamine hydrochloride),1,['cystadrops'],True
cysteamine bitartrate,1,['procysbi'],True
cysteamine hydrochloride,1,"['cystadrops', 'cystaran']",True
cysteine hydrochloride,1,"['cysteine hydrochloride', 'elcys', 'nouress']",True
cytarabine,2,"['cytarabine', 'cytarabine injection', 'cytosar-u', 'depocyt', 'pms-cytarabine', 'vyxeos']",False
cytarabine; daunorubicin,1,['vyxeos'],True
cytomegalovirus immunoglobulin (human),1,['cytogam'],True
d-biotin,1,['qizenday'],True
d-pantothenic acid (calcium d-pantothenate); beta-carotene; vitamin b12 (cyanocobalamin); copper (cupric oxide); vitamin d3 (cholecalciferol); zinc (zinc oxide); vitamin b2 (riboflavin); magnesium (magnesium oxide); iodine (potassium iodide); nicotinamide; vitamin b1 (thiamine mononitrate); folic acid; ascorbic acid (ascorbic acid); calcium (calcium carbonate); vitamin b6 (pyridoxine hydrochloride); vitamin e (dl-alpha tocopheryl acetate); iron (ferrous fumarate),1,['pregvit folic 5'],True
dabigatran etexilate,2,"['dabigatran etexilate accord', 'dabigatran etexilate leon farma', 'pradaxa']",True
dabigatran etexilate (dabigatran etexilate mesilate),1,"['apo-dabigatran', 'pradaxa']",True
dabigatran etexilate mesilate,1,['pradaxa'],True
dabigatran etexilate mesylate,1,"['dabigatran etexilate mesylate', 'pradaxa']",True
dabigatran etexilate methanesulfonate,1,['pradaxa'],True
