Non_proprietary_name,Drug_name,n_agencies_per_name,n_agencies,is_globally_consistent
carbon dioxide,carbon dioxide u.s.p,1,2,False
carbon dioxide,"carbon dioxide, usp",1,2,False
"carbon dioxide, usp","carbon dioxide, usp",1,1,True
carbon dioxide; oxygen,carbogen,1,1,True
carbon monoxide; neon; oxygen; nitrogen,co-ne-o2-n2 mixture,1,1,True
carboplatin,carboplatin,1,2,False
carboplatin,carboplatin injection bp,1,2,False
carboplatin,paraplatin,1,2,False
carboprost (carboprost tromethamine),carboprost tromethamine injection,1,1,True
carboprost (carboprost tromethamine),carboprost tromethamine injection usp,1,1,True
carboprost (carboprost tromethamine),"carboprost tromethamine injection, usp",1,1,True
carboprost (carboprost tromethamine),hemabate,1,1,True
carboprost tromethamine,carboprost tromethamine,1,1,True
carboxymethylcellulose sodium,preservative-free thera tears lubricant eye drops,1,1,True
carboxymethylcellulose sodium,refresh contacts,1,1,True
carboxymethylcellulose sodium,refresh liquigel,1,1,True
carboxymethylcellulose sodium,refresh plus,1,1,True
carboxymethylcellulose sodium,refresh tears,1,1,True
carboxymethylcellulose sodium,theratears lubricant eye drops,1,1,True
carfilzomib,carfilzomib,1,5,False
carfilzomib,kyprolis,5,5,True
carglumic acid,carbaglu,3,4,False
carglumic acid,carglumic acid,1,4,False
carglumic acid,ucedane,1,4,False
cariprazine,reagila,1,1,True
cariprazine (cariprazine hydrochloride),vraylar,1,1,True
cariprazine hydrochloride,cariprazine hydrochloride,1,2,False
cariprazine hydrochloride,reagila,1,2,False
cariprazine hydrochloride,vraylar,1,2,False
carisoprodol,carisoprodol,1,1,True
carmustine,bicnu,1,3,False
carmustine,carmustine,1,3,False
carmustine,carmustine for injection usp,1,3,False
carmustine,carmustine obvius,1,3,False
carmustine,gliadel,1,3,False
carteolol hydrochloride,carteolol hydrochloride,1,1,True
carteolol hydrochloride /latanoprost,mikeluna,1,1,True
carvedilol,apo-carvedilol,1,3,False
carvedilol,artist,1,3,False
carvedilol,auro-carvedilol,1,3,False
carvedilol,carvedilol,2,3,False
carvedilol,coreg,1,3,False
carvedilol,jamp-carvedilol,1,3,False
carvedilol,pms-carvedilol,1,3,False
carvedilol,teva-carvedilol,1,3,False
carvedilol phosphate,carvedilol phosphate,1,1,True
carvedilol phosphate,coreg cr,1,1,True
casimersen,amondys 45,1,1,True
casirivimab / imdevimab,ronapreve,1,1,True
casirivimab and imdevimab,ronapreve,1,1,True
"casirivimab, imdevimab",ronapreve,1,1,True
casirivimab/imdevimab,ronapreve,1,1,True
casopitant,zunrisa,1,1,True
caspofungin,caspofungin accord,1,1,True
caspofungin (caspofungin acetate),cancidas,1,1,True
caspofungin (caspofungin acetate),caspofungin for injection,1,1,True
caspofungin acetate,cancidas,1,1,True
caspofungin acetate,caspofungin acetate,1,1,True
cat (felis domesticus) pelt and cat dander,allergenic extract-standardized cat hair,1,1,True
catridecacog,novothirteen,3,4,False
catridecacog,tretten,1,4,False
catumaxomab,korjuny,1,2,False
catumaxomab,removab,2,2,True
cedazuridine,inqovi,1,1,True
cedazuridine; decitabine,inqovi,1,1,True
cediranib maleate,zemfirza,1,1,True
cefaclor,ceclor cd,1,1,True
cefaclor,cefaclor,1,1,True
cefaclor,raniclor,1,1,True
cefadroxil,apo-cefadroxil,1,1,True
cefadroxil (cefadroxil monohydrate),jamp cefadroxil,1,1,True
cefadroxil (cefadroxil monohydrate),teva-cefadroxil,1,1,True
cefadroxil/cefadroxil hemihydrate,cefadroxil,1,1,True
cefazolin (cefazolin sodium),cefazolin for injection,1,1,True
cefazolin (cefazolin sodium),cefazolin for injection usp,1,1,True
cefazolin (cefazolin sodium),"cefazolin for injection, usp",1,1,True
cefazolin (cefazolin sodium),"cefazolin in dextrose injection, usp",1,1,True
cefazolin (cefazolin sodium),cefazolin sodium for injection bp,1,1,True
cefazolin sodium,cefazolin and dextrose,1,1,True
cefazolin sodium,cefazolin in dextrose,1,1,True
cefazolin sodium,cefazolin sodium,1,1,True
cefdinir,cefdinir,1,1,True
cefdinir,omnicef,1,1,True
cefditoren pivoxil,spectracef,1,1,True
cefepime (cefepime hydrochloride),apo-cefepime,1,1,True
cefepime (cefepime hydrochloride),cefepime for injection usp,1,1,True
cefepime / enmetazobactam,exblifep,1,1,True
cefepime hydrochloride,cefepime and dextrose in duplex container,1,1,True
cefepime hydrochloride,cefepime hydrochloride,1,1,True
cefepime hydrochloride,cefepime hydrochloride in plastic container,1,1,True
cefepime hydrochloride,cefepime in plastic container,1,1,True
cefepime hydrochloride,exblifep,1,1,True
cefepime hydrochloride,maxipime,1,1,True
cefiderocol,fetcroja,1,1,True
cefiderocol sulfate tosylate,fetroja,1,1,True
cefixime,auro-cefixime,1,2,False
cefixime,cefixime,1,2,False
cefixime,suprax,1,2,False
cefoperazone sodium,cefobid,1,1,True
cefotaxime sodium,cefotaxime,1,2,False
cefotaxime sodium,cefotaxime and dextrose 2.4% in plastic container; cefotaxime and dextrose 3.9% in plastic container,1,2,False
cefotaxime sodium,cefotaxime sodium,1,2,False
cefotaxime sodium,"cefotaxime sodium for injection, bp",1,2,False
cefotaxime sodium,cefotaxime; cefotaxime sodium,1,2,False
cefotetan disodium,cefotetan,1,1,True
cefotetan disodium,cefotetan and dextrose in duplex container,1,1,True
cefoxitin (cefoxitin sodium),cefoxitin for injection,1,1,True
cefoxitin sodium,cefoxitin,1,1,True
cefoxitin sodium,cefoxitin and dextrose in duplex container,1,1,True
cefoxitin sodium,cefoxitin in plastic container,1,1,True
cefpodoxime proxetil,cefpodoxime proxetil,1,1,True
cefprozil,auro-cefprozil,1,2,False
cefprozil,cefprozil,1,2,False
cefprozil,cefzil,1,2,False
cefprozil (cefprozil monohydrate),auro-cefprozil,1,1,True
cefprozil (cefprozil monohydrate),taro-cefprozil,1,1,True
ceftaroline fosamil,ceftaroline fosamil,1,3,False
ceftaroline fosamil,teflaro,1,3,False
ceftaroline fosamil,zinforo,2,3,False
ceftazidime,ceftazidime,1,1,True
ceftazidime,ceftazidime in dextrose container,1,1,True
ceftazidime (ceftazidime pentahydrate),ceftazidime for injection bp,1,1,True
ceftazidime / avibactam,zavicefta,1,1,True
ceftazidime/avibactam,zavicefta,1,1,True
ceftibuten dihydrate,cedax,1,1,True
ceftobiprole (ceftobiprole medocaril sodium),zevtera,1,1,True
ceftobiprole medocaril,zeftera,1,1,True
ceftobiprole medocaril sodium,zevtera,2,2,True
ceftolozane / tazobactam,zerbaxa,2,2,True
ceftolozane sulfate,zerbaxa,1,1,True
ceftriaxone (ceftriaxone sodium),ceftriaxone for injection,1,1,True
ceftriaxone (ceftriaxone sodium),"ceftriaxone injection, usp",1,1,True
ceftriaxone (ceftriaxone sodium),ceftriaxone sodium for injection,1,1,True
ceftriaxone (ceftriaxone sodium),ceftriaxone sodium for injection bp,1,1,True
ceftriaxone sodium,ceftriaxone,1,1,True
ceftriaxone sodium,ceftriaxone and dextrose in duplex container,1,1,True
ceftriaxone sodium,ceftriaxone in plastic container,1,1,True
ceftriaxone sodium,ceftriaxone sodium,1,1,True
cefuroxime (cefuroxime axetil),apo-cefuroxime,1,1,True
cefuroxime (cefuroxime axetil),auro-cefuroxime,1,1,True
cefuroxime (cefuroxime axetil),ceftin,1,1,True
cefuroxime (cefuroxime axetil),jamp cefuroxime,1,1,True
cefuroxime (cefuroxime sodium),"cefuroxime for injection, usp",1,1,True
cefuroxime axetil,cefuroxime axetil,1,1,True
cefuroxime sodium,cefuroxime and dextrose in duplex container,1,1,True
cefuroxime sodium,cefuroxime sodium,1,1,True
cefuroxime sodium,cefuroxime sodium in plastic container,1,1,True
cefuroxime; cefuroxime sodium,cefuroxime; cefuroxime sodium,1,1,True
celecoxib,ag-celecoxib,1,3,False
celecoxib,apo-celecoxib,1,3,False
celecoxib,auro-celecoxib,1,3,False
celecoxib,bio-celecoxib,1,3,False
celecoxib,celebrex,3,3,True
celecoxib,celecoxib,2,3,False
celecoxib,elyxyb,1,3,False
celecoxib,jamp-celecoxib,1,3,False
celecoxib,m-celecoxib,1,3,False
celecoxib,mar-celecoxib,1,3,False
celecoxib,mint-celecoxib,1,3,False
celecoxib,nra-celecoxib,1,3,False
celecoxib,pmsc-celecoxib,1,3,False
celecoxib,riva-celecox,1,3,False
celecoxib,seglentis,1,3,False
cemiplimab,libtayo,4,4,True
cemiplimab-rwlc,libtayo,1,1,True
cenegermin,oxervate,2,2,True
cenegermin-bkbj,oxervate,1,1,True
cenobamate,ontozry,2,4,False
cenobamate,xcopri,2,4,False
cephalexin,cephalexin,1,1,True
cephalexin,panixine disperdose,1,1,True
cephalexin (cephalexin monohydrate),auro-cephalexin,1,1,True
cephalexin (cephalexin monohydrate),cephalexin,1,1,True
cephalexin (cephalexin monohydrate),jamp cephalexin,1,1,True
cephalexin (cephalexin monohydrate),jamp cephalexin suspension,1,1,True
cephalexin (cephalexin monohydrate),lupin-cephalexin,1,1,True
ceritinib,zykadia,5,5,True
cerivastatin sodium,baycol,1,1,True
cerliponase alfa,brineura,3,3,True
certolizumab,cimzia,1,1,True
certolizumab pegol,cimzia,4,4,True
cetirizine hydrochloride,ag-cetirizine,1,2,False
cetirizine hydrochloride,allergy relief,1,2,False
cetirizine hydrochloride,allergy relief liquid gels,1,2,False
cetirizine hydrochloride,apo-cetirizine,1,2,False
cetirizine hydrochloride,bio-cetirizine,1,2,False
cetirizine hydrochloride,cetirizine,1,2,False
cetirizine hydrochloride,cetirizine extra strength,1,2,False
cetirizine hydrochloride,cetirizine hydrochloride,1,2,False
cetirizine hydrochloride,cetirizine hydrochloride allergy,1,2,False
cetirizine hydrochloride,cetirizine hydrochloride allergy; cetirizine hydrochloride hives,1,2,False
cetirizine hydrochloride,cetirizine hydrochloride allergy; cetirizine hydrochloride hives relief,1,2,False
cetirizine hydrochloride,cetirizine hydrochloride and pseudoephedrine hydrochloride,1,2,False
cetirizine hydrochloride,children's cetirizine hydrochloride allergy,1,2,False
cetirizine hydrochloride,children's cetirizine hydrochloride allergy; children's cetirizine hydrochloride hives relief,1,2,False
cetirizine hydrochloride,children's zyrtec allergy; children's zyrtec hives,1,2,False
cetirizine hydrochloride,children's zyrtec allergy; children's zyrtec hives relief,1,2,False
cetirizine hydrochloride,extra strength allergy relief,1,2,False
cetirizine hydrochloride,jamp cetirizine tablets,1,2,False
cetirizine hydrochloride,jamp-cetirizine,1,2,False
cetirizine hydrochloride,m-cetirizine,1,2,False
cetirizine hydrochloride,mar-cetirizine,1,2,False
cetirizine hydrochloride,nat-cetirizine,1,2,False
cetirizine hydrochloride,nra-cetirizine tablets,1,2,False
cetirizine hydrochloride,pms-cetirizine,1,2,False
cetirizine hydrochloride,quzyttir,1,2,False
cetirizine hydrochloride,reactine,1,2,False
cetirizine hydrochloride,reactine allergy,1,2,False
cetirizine hydrochloride,reactine allergy liquid gels,1,2,False
cetirizine hydrochloride,reactine fast melt junior,1,2,False
cetirizine hydrochloride,reactine rapid dissolve,1,2,False
cetirizine hydrochloride,teva-cetirizine,1,2,False
cetirizine hydrochloride,zerviate,1,2,False
cetirizine hydrochloride,zyrtec,1,2,False
cetirizine hydrochloride,zyrtec allergy,1,2,False
cetirizine hydrochloride,zyrtec allergy; zyrtec hives,1,2,False
cetirizine hydrochloride,zyrtec-d 12 hour,1,2,False
cetrorelix (cetrorelix acetate),cetrotide,1,1,True
cetrorelix acetate,cetrorelix acetate,1,1,True
cetrorelix acetate,cetrotide,1,1,True
cetuximab,erbitux,3,3,True
cetuximab sarotalocan sodium,akalux,1,1,True
cetylpyridinium chloride,antiseptic oral rinse,1,1,True
cetylpyridinium chloride,colgate total active prevention,1,1,True
cetylpyridinium chloride,colgate total active prevention gum health,1,1,True
cetylpyridinium chloride,crest gum care,1,1,True
cetylpyridinium chloride,crest pro-health bacteria guard,1,1,True
cetylpyridinium chloride,crest pro-health gum & breath purify,1,1,True
cetylpyridinium chloride,crest pro-health invigorating clean multi-protection,1,1,True
cetylpyridinium chloride,crest pro-health multi protection,1,1,True
cetylpyridinium chloride,oral-b gum therapy,1,1,True
cetylpyridinium chloride,periogard protect cetylpyridinium chloride mouthwash,1,1,True
cetylpyridinium chloride,therabreath healthy gums oral rinse,1,1,True
cevimeline hydrochloride,cevimeline hydrochloride,1,1,True
cevimeline hydrochloride,evoxac,1,1,True
chadox-1-s,vaxzevria,1,1,True
chadox1-s,covid-19 vaccine astrazeneca,1,1,True
characterised viable autologous cartilage cells expanded ex vivo expressing specific marker proteins,chondrocelect,1,1,True
charcoal activated,activated charcoal,1,1,True
charcoal activated,activated charcoal 260mg,1,1,True
charcoal activated,activated charcoal capsules,1,1,True
charcoal activated,charco caps,1,1,True
chenodeoxycholic acid,chenodeoxycholic acid sigma-tau,1,1,True
chenodiol,chenodiol,1,1,True
chenodiol,ctexli,1,1,True
chikungunya vaccine (live),ixchiq,1,1,True
chikungunya virus live-attenuated,ixchiq,1,1,True
chloral hydrate,chloral hydrate syrup odan,1,1,True
chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride and clidinium bromide,1,1,True
chlorhexidine gluconate,antiseptic body cleanser,1,2,False
chlorhexidine gluconate,baxedin pre-op,1,2,False
chlorhexidine gluconate,chloraprep one-step sepp; chloraprep single swabstick; chloraprep triple swabstick,1,2,False
chlorhexidine gluconate,chloraprep one-step; chloraprep one-step frepp; chloraprep with tint,1,2,False
chlorhexidine gluconate,chlorhexidine 4% antiseptic hand wash,1,2,False
chlorhexidine gluconate,chlorhexidine gluconate,1,2,False
chlorhexidine gluconate,chlorhexidine solution,1,2,False
chlorhexidine gluconate,dexidin 2 solution,1,2,False
chlorhexidine gluconate,e-z scrub,1,2,False
chlorhexidine gluconate,endure 400 scrub-stat 4,1,2,False
chlorhexidine gluconate,endure 420 cida-stat,1,2,False
chlorhexidine gluconate,euro-chlorhexidine,1,2,False
chlorhexidine gluconate,hygenipak 2% chg foaming skin cleanser,1,2,False
chlorhexidine gluconate,loris 2% chg solution,1,2,False
chlorhexidine gluconate,loris 2% chg wipe/serviette,1,2,False
chlorhexidine gluconate,oro clear,1,2,False
chlorhexidine gluconate,oro-clense,1,2,False
chlorhexidine gluconate,paroex,1,2,False
chlorhexidine gluconate,peridex oral rinse,1,2,False
chlorhexidine gluconate,periochip,1,2,False
chlorhexidine gluconate,periogard,1,2,False
chlorhexidine gluconate,periogard alcohol free,1,2,False
chlorhexidine gluconate,pms-chlorhexidine,1,2,False
chlorhexidine gluconate,pms-chlorhexidine without alcohol,1,2,False
chlorhexidine gluconate,prevantics maxi swabstick; prevantics swab; prevantics swabstick,1,2,False
chlorhexidine gluconate,purell antimicrobial foam handwash 2% chg,1,2,False
chlorhexidine gluconate,readyprep chg,1,2,False
chlorhexidine gluconate,soluprep aq sponge,1,2,False
chlorhexidine gluconate,soluprep aq swab,1,2,False
chlorhexidine gluconate,soluprep ld sponge,1,2,False
chlorhexidine gluconate,soluprep s,1,2,False
chlorhexidine gluconate; alcohol anhydrous,avagard chg,1,1,True
chlorhexidine gluconate; isopropyl alcohol,3m soluprep sponge,1,1,True
chlorhexidine gluconate; isopropyl alcohol,baxedin 2% - 70%,1,1,True
chlorhexidine gluconate; isopropyl alcohol,chloraprep swabsticks,1,1,True
chlorhexidine gluconate; isopropyl alcohol,soluprep swab,1,1,True
chlorhexidine gluconate; isopropyl alcohol,soluprep wipe,1,1,True
chlorhexidine gluconate; lidocaine hydrochloride (lidocaine hydrochloride monohydrate),instillagel,1,1,True
chlormethine,ledaga,1,1,True
chlormethine (chlormethine hydrochloride),ledaga,1,1,True
chlormethine hydrochloride,ledaga,1,1,True
chloroprocaine hydrochloride,chloroprocaine hydrochloride,1,2,False
chloroprocaine hydrochloride,clorotekal,2,2,True
chloroprocaine hydrochloride,iheezo,1,2,False
chloroquine phosphate,chloroquine phosphate,1,1,True
chlorothiazide sodium,chlorothiazide sodium,1,1,True
chloroxylenol,applaud ab antiseptic lotionized hand soap,1,1,True
chloroxylenol,digiclean e foam hand soap,1,1,True
chloroxylenol,phenrex mvd,1,1,True
chloroxylenol,purklenz,1,1,True
chloroxylenol,quick clean,1,1,True
chloroxylenol,soft care defend,1,1,True
chloroxylenol,soft care defend foam,1,1,True
chlorpheniramine maleate,advil allergy and congestion relief; advil multi-symptom cold & flu,1,1,True
chlorpheniramine maleate,advil allergy sinus,1,1,True
chlorpheniramine maleate,children's advil allergy sinus,1,1,True
chlorpheniramine maleate,chlorpheniramine maleate,1,1,True
chlorpheniramine maleate,hydrocodone bitartrate and chlorpheniramine maleate,1,1,True
chlorpheniramine maleate,"hydrocodone bitartrate, chlorpheniramine maleate and pseudoephedrine hydrochloride",1,1,True
chlorpheniramine maleate,tuxarin er,1,1,True
chlorpheniramine maleate,vituz,1,1,True
chlorpheniramine maleate,zutripro,1,1,True
chlorpheniramine maleate; acetaminophen; dextromethorphan hydrobromide; pseudoephedrine hydrochloride,"robitussin total cough, cold & flu nighttime extra strength",1,1,True
chlorpheniramine maleate; acetaminophen; phenylephrine hydrochloride,extra strength tylenol sinus nighttime,1,1,True
chlorpheniramine maleate; acetaminophen; pseudoephedrine hydrochloride; dextromethorphan hydrobromide,"buckley's complete extra strength cough, cold and flu night",1,1,True
chlorpheniramine maleate; dextromethorphan hydrobromide; pseudoephedrine hydrochloride; acetaminophen,neocitran ultra strength total flu night,1,1,True
chlorpheniramine maleate; ibuprofen; pseudoephedrine hydrochloride,advil cold & sinus convenience pack,1,1,True
chlorpheniramine maleate; ibuprofen; pseudoephedrine hydrochloride,advil cold and sinus nighttime,1,1,True
chlorpheniramine maleate; phenylephrine hydrochloride; acetaminophen,benylin extra strength cold & sinus night,1,1,True
chlorpheniramine maleate; pseudoephedrine hydrochloride; acetaminophen,extra strength allergy sinus medication,1,1,True
chlorpheniramine maleate; pseudoephedrine hydrochloride; dextromethorphan hydrobromide; acetaminophen,night time total extra strength,1,1,True
chlorpheniramine polistirex,codeprex,1,1,True
chlorpheniramine polistirex,hydrocodone polistirex and chlorpheniramine polistirex,1,1,True
chlorpheniramine polistirex,hydrocodone polistirex and chlorpheniramne polistirex,1,1,True
chlorpheniramine polistirex,tussicaps,1,1,True
chlorpheniramine polistirex,tuzistra xr,1,1,True
chlorpromazine hydrochloride,chlorpromazine hydrochloride,1,1,True
chlorthalidone,chlorthalidone,1,2,False
chlorthalidone,hemiclor,1,2,False
chlorthalidone,jamp chlorthalidone,1,2,False
chlorthalidone,thalitone,1,2,False
chlorthalidone; atenolol,aa-atenidone,1,1,True
chlorthalidone; azilsartan medoxomil (azilsartan medoxomil potassium),edarbyclor,1,1,True
chlorzoxazone,chlorzoxazone,1,1,True
cholera vaccine,vaxchora,1,1,True
"cholera vaccine, oral, live",vaxchora,1,1,True
cholestyramine,cholestyramine,1,1,True
cholestyramine,cholestyramine light,1,1,True
cholestyramine,locholest,1,1,True
cholestyramine,locholest light,1,1,True
cholestyramine,prevalite,1,1,True
cholestyramine resin,cholestyramine-odan,1,1,True
cholestyramine resin,jamp-cholestyramine,1,1,True
cholestyramine resin,olestyr,1,1,True
cholic acid,cholbam,1,2,False
cholic acid,orphacol,1,2,False
choline c-11,choline c-11,1,1,True
choline fenofibrate,fenofibric acid,1,1,True
choline fenofibrate,trilipix,1,1,True
"chondroitin sulfate sodium, glucosamine hydrochloride",condrosulf plus,1,1,True
choriogonadotropin alfa,ovidrel,2,2,True
chorionic gonadotropin,"chorionic gonadotropin for injection, usp",1,1,True
chorionic gonadotropin,pregnyl,1,1,True
chromic chloride,addaven,1,2,False
chromic chloride,chromic chloride,1,2,False
ciclesonide,alvesco,2,3,False
ciclesonide,omnaris,3,3,True
ciclesonide,zetonna,1,3,False
ciclopirox,apo-ciclopirox,1,2,False
ciclopirox,ciclopirox,1,2,False
ciclopirox,loprox,1,2,False
ciclopirox,penlac,1,2,False
ciclopirox,taro-ciclopirox,1,2,False
ciclopirox olamine,loprox,1,1,True
ciclosporin,cequa,1,2,False
ciclosporin,ikervis,2,2,True
ciclosporin,restaysis,1,2,False
ciclosporin,vekacia,1,2,False
ciclosporin,verkazia,1,2,False
ciclosporin,vevizye,1,2,False
cidofovir,cidofovir,1,1,True
cidofovir,vistide,1,1,True
cidofovir (cidofovir dihydrate),mar-cidofovir,1,1,True
cilastatin sodium,imipenem and cilastatin,1,1,True
cilastatin sodium,recarbrio,1,1,True
cilazapril (cilazapril monohydrate),apo-cilazapril,1,1,True
cilazapril (cilazapril monohydrate),mylan-cilazapril,1,1,True
cilazapril (cilazapril monohydrate); hydrochlorothiazide,apo-cilazapril/hctz,1,1,True
cilgavimab / tixagevimab,evusheld,1,1,True
cilostazol,cilostazol,1,1,True
cilostazol,pletal,1,1,True
ciltacabtagene autoleucel,carvykti,2,2,True
cimetidine,cimetidine,1,1,True
cimetidine,tagamet hb,1,1,True
cimetidine,tagamet hb 200,1,1,True
cimetidine hydrochloride,cimetidine hydrochloride,1,1,True
cinacalcet,cinacalcet accordpharma,1,1,True
cinacalcet,cinacalcet mylan,1,1,True
cinacalcet (cinacalcet hydrochloride),apo-cinacalcet,1,1,True
cinacalcet (cinacalcet hydrochloride),auro-cinacalcet,1,1,True
cinacalcet (cinacalcet hydrochloride),cinacalcet,1,1,True
cinacalcet (cinacalcet hydrochloride),jamp cinacalcet tablets,1,1,True
cinacalcet (cinacalcet hydrochloride),m-cinacalcet,1,1,True
cinacalcet (cinacalcet hydrochloride),mar-cinacalcet,1,1,True
cinacalcet (cinacalcet hydrochloride),mylan-cinacalcet,1,1,True
cinacalcet (cinacalcet hydrochloride),pms-cinacalcet,1,1,True
cinacalcet (cinacalcet hydrochloride),teva-cinacalcet,1,1,True
cinacalcet hydrochloride,cinacalcet hydrochloride,1,2,False
cinacalcet hydrochloride,mimpara,1,2,False
cinacalcet hydrochloride,sensipar,1,2,False
cinnarizine / dimenhydrinate,cizigo; cizinate; cizere,1,1,True
cipaglucosidase alfa,pombiliti,3,3,True
cipaglucosidase alfa-atga,pombiliti,1,1,True
ciprofloxacin,cipro,1,2,False
ciprofloxacin,cipro oral suspension,1,2,False
ciprofloxacin,cipro xr,1,2,False
ciprofloxacin,ciprodex,1,2,False
ciprofloxacin,ciprofloxacin,1,2,False
ciprofloxacin,ciprofloxacin and dexamethasone,1,2,False
ciprofloxacin,ciprofloxacin extended release,1,2,False
ciprofloxacin,ciprofloxacin in dextrose 5%,1,2,False
ciprofloxacin,ciprofloxacin in dextrose 5% in plastic container,1,2,False
ciprofloxacin,ciprofloxacin intravenous infusion bp,1,2,False
ciprofloxacin,otiprio,1,2,False
ciprofloxacin (ciprofloxacin hydrochloride),act ciprofloxacin,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride),auro-ciprofloxacin,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride),bio-ciprofloxacin,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride),ciloxan,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride),ciprofloxacin,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride),jamp-ciprofloxacin,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride),mar-ciprofloxacin,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride),mint-ciproflox,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride),nra-ciprofloxacin,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride),pms-ciprofloxacin,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride),pro-ciprofloxacin,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride),riva-ciprofloxacin,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride),sandoz ciprofloxacin,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride),taro-ciproflox,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride); dexamethasone,sandoz ciprofloxacin / dexamethasone,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride); dexamethasone,taro-ciprofloxacin/dexamethasone,1,1,True
ciprofloxacin (ciprofloxacin hydrochloride); fluocinolone acetonide,otixal,1,1,True
"ciprofloxacin (ciprofloxacin, ciprofloxacin hydrochloride)",pms-ciprofloxacin xl,1,1,True
ciprofloxacin hydrochloride,cetraxal,1,2,False
ciprofloxacin hydrochloride,ciloxan,1,2,False
ciprofloxacin hydrochloride,cipro hc,1,2,False
ciprofloxacin hydrochloride,ciprofloxacin hydrochloride,1,2,False
ciprofloxacin hydrochloride,linhaliq,1,2,False
ciprofloxacin hydrochloride,otovel,1,2,False
ciprofloxacin hydrochloride,proquin xr,1,2,False
ciprofloxacin; ciprofloxacin hydrochloride,ciprofloxacin; ciprofloxacin hydrochloride,1,1,True
cisapride monohydrate,propulsid,1,1,True
cisapride monohydrate,propulsid quicksolv,1,1,True
cisatracurium (cisatracurium besylate),cisatracurium besylate injection usp multidose,1,1,True
cisatracurium besylate,cisatracurium besylate,1,1,True
cisatracurium besylate,cisatracurium besylate preservative free,1,1,True
cisatracurium besylate,cisatracurium besylate; cisatracurium besylate preservative free,1,1,True
cisatracurium besylate,nimbex; nimbex preservative free,1,1,True
cisplatin,cisplatin,1,2,False
cisplatin,cisplatin injection,1,2,False
cisplatin,cisplatin injection bp,1,2,False
cisplatin,"cisplatin injection, bp",1,2,False
citalopram (citalopram hydrobromide),ag-citalopram,1,1,True
citalopram (citalopram hydrobromide),ag-citalopram tablets,1,1,True
citalopram (citalopram hydrobromide),apo-citalopram,1,1,True
citalopram (citalopram hydrobromide),auro-citalopram,1,1,True
citalopram (citalopram hydrobromide),celexa 20 mg,1,1,True
citalopram (citalopram hydrobromide),celexa 40 mg,1,1,True
citalopram (citalopram hydrobromide),citalopram,1,1,True
citalopram (citalopram hydrobromide),citalopram - 10,1,1,True
citalopram (citalopram hydrobromide),citalopram - 20,1,1,True
citalopram (citalopram hydrobromide),citalopram - 40,1,1,True
citalopram (citalopram hydrobromide),ctp 30,1,1,True
citalopram (citalopram hydrobromide),m-citalopram,1,1,True
citalopram (citalopram hydrobromide),mar-citalopram,1,1,True
citalopram (citalopram hydrobromide),mint-citalopram,1,1,True
citalopram (citalopram hydrobromide),natco-citalopram,1,1,True
citalopram (citalopram hydrobromide),nra-citalopram,1,1,True
citalopram (citalopram hydrobromide),pms-citalopram,1,1,True
citalopram (citalopram hydrobromide),riva-citalopram,1,1,True
citalopram (citalopram hydrobromide),teva-citalopram,1,1,True
citalopram hydrobromide,celexa,1,1,True
citalopram hydrobromide,citalopram hydrobromide,1,1,True
citric acid,citric acid; magnesium oxide; sodium picosulfate,1,1,True
citric acid,clenpiq,1,1,True
citric acid,idkit:hp,1,1,True
citric acid,phexxi,1,1,True
citric acid,prepopik,1,1,True
citric acid,"sodium picosulfate, magnesium oxide and anhydrous citric acid",1,1,True
citric acid,urologic g in plastic container,1,1,True
citric acid monohydrate; dextrose; sodium citrate dihydrate,anticoagulant citrate dextrose solution usp (acd) formula a,1,1,True
citric acid; magnesium chloride; potassium chloride; sodium acetate; calcium chloride; dextrose; sodium chloride,hemosate ultra hs2150,1,1,True
citric acid; sodium phosphate monobasic; dextrose; sodium citrate dihydrate,anticoagulant solution citrate phosphate dextrose (cpd),1,1,True
cladribine,cladribine,1,4,False
cladribine,cladribine injection,1,4,False
cladribine,mavenclad,4,4,True
cladribine,movectro,1,4,False
clarithromycin,apo-clarithromycin,1,2,False
clarithromycin,apo-clarithromycin xl,1,2,False
clarithromycin,biaxin,1,2,False
clarithromycin,biaxin xl,1,2,False
clarithromycin,clarithromycin,2,2,True
clarithromycin,m-clarithromycin,1,2,False
clarithromycin,sandoz clarithromycin,1,2,False
clarithromycin,taro-clarithromycin,1,2,False
clarithromycin,teva-clarithromycin xl,1,2,False
clascoterone,winlevi,3,3,True
