Non_proprietary_name,australia,ema,fda,healthcanada,japan,swissmedic,n_unique_drug_names
clotrimazole; fluconazole,,,,['canesoral combi 1 day'],,,1
cloxacillin (cloxacillin sodium),,,,"['cloxacillin for injection', 'jamp cloxacillin']",,,2
clozapine,,,"['clozapine', 'fazaclo odt', 'versacloz']","['aa-clozapine', 'clozaril', 'gen-clozapine']",['clozaril'],,6
coagulation factor ix (human),,,,['immunine vh'],,,1
coagulation factor ix (human); coagulation factor vii (human); coagulation factor ii (human); protein c; protein s; coagulation factor x (human),,,,['octaplex'],,,1
coagulation factor ix (recombinant),,,,['benefix'],,,1
"coagulation factor ix (recombinant), pegylated",,,,['rebinyn'],,,1
coagulation factor x (human); coagulation factor ii (human); coagulation factor vii (human); protein s; coagulation factor ix (human); protein c,,,,['octaplex'],,,1
coagulation factor x (human); coagulation factor vii (human); protein s; protein c; coagulation factor ii (human); coagulation factor ix (human),,,,['beriplex p/n 500'],,,1
coal tar,,,,"['coal-tar shampoo', 'derm oil', 'psoriasin gel', 'psoriasin ointment']",,,4
cobicistat,['tybost'],['tybost'],"['cobicistat', 'genvoya', 'prezcobix', 'stribild', 'symtuza', 'tybost']",,,,6
cobicistat; darunavir (darunavir ethanolate),,,,['prezcobix'],,,1
cobicistat; emtricitabine; darunavir (darunavir ethanolate); tenofovir alafenamide (tenofovir alafenamide hemifumarate),,,,['symtuza'],,,1
cobicistat; emtricitabine; tenofovir disoproxil fumarate; elvitegravir,,,,['stribild'],,,1
cobimetinib,,['cotellic'],,,,,1
cobimetinib (cobimetinib fumarate),,,,['cotellic'],,,1
cobimetinib fumarate,,,['cotellic'],,,,1
cocaine hydrochloride,,,"['goprelto', 'numbrino']",,,,2
"codeine (codeine monohydrate, codeine sulfate trihydrate)",,,,"['codeine contin 100mg controlled release tab', 'codeine contin 150mg controlled release tab', 'codeine contin 200mg controlled release tab', 'codeine contin 50mg controlled release tab']",,,4
codeine phosphate,,,"['prometh hydrochloride,phenylephrine hydrochloride w/codeine phosphate', 'promethazine hydrochloride and codeine phosphate', 'promethazine hydrochloride, phenylephrine hydrochloride w/codeine phosphate', 'promethazine hydrochloride,phenylephrine hydrochloride w/codeine phosphate', 'promethazine with codeine']",,,,5
codeine phosphate; butalbital; acetylsalicylic acid; caffeine,,,,['apo-butalbital-acetylsalicylic acid-caffeine-codeine-c 1/2'],,,1
codeine phosphate; diphenhydramine hydrochloride; ammonium chloride,,,,['cough and allergy syrup with codeine'],,,1
codeine phosphate; promethazine hydrochloride,,,['promethazine hydrochloride and codeine phosphate; promethazine hydrochloride; codeine phosphate'],,,,1
codeine phosphate; pseudoephedrine hydrochloride; guaifenesin,,,,['cough syrup with codeine'],,,1
codeine sulfate,,,['codeine sulfate'],,,,1
colchicine,,,"['colchicine', 'colcrys', 'gloperba', 'lodoco', 'mitigare', 'probenecid and colchicine']","['euro-colchicine', 'jamp-colchicine', 'myinfla', 'pms-colchicine']",,,10
colesevelam hydrochloride,,,"['colesevelam hydrochloride', 'welchol']","['apo-colesevelam', 'lodalis']",,,4
colestilan,,['bindren'],,,,,1
colestipol hydrochloride,,,['colestipol hydrochloride'],['colestid tablets'],,,2
colistimethate sodium,['tadim'],['colobreathe'],['colistimethate sodium'],['colistimethate for injection usp'],,,4
colistin (colistimethate sodium),,,,"['colistimethate for injection u.s.p.', 'colistimethate for injection, usp']",,,2
collagenase,,,,,['xiaflex'],,1
collagenase clostridium histolyticum,['xiaflex'],['xiapex'],['xiaflex'],,,,2
collagenase clostridium histolyticum-aaes,,,['qwo'],,,,1
concentrate of proteolytic enzymes enriched in bromelain,,['nexobrid'],,,,['nexobrid'],1
concizumab,['alhemo'],['alhemo'],,,['alhemo'],['alhemo'],1
concizumab-mtci,,,['alhemo'],,,,1
conestat alfa,,['ruconest'],,,,,1
conivaptan hydrochloride,,,"['vaprisol', 'vaprisol; vaprisol in 5% dextrose in plastic container']",,,,2
conjugated estrogens,,,,['premarin'],,,1
conjugated estrogens / bazedoxifene acetate,['duavive'],,,,,,1
conjugated estrogens/medroxyprogesterone acetate,,,['prempro/premphase'],,,,1
copanlisib,,['aliqopa'],,,,,1
copanlisib dihydrochloride,,,['aliqopa'],,,,1
copper,,,['miudella'],,,,1
copper (64cu) chloride,,['cuprymina'],,,,,1
copper (copper gluconate); vitamin d3 (cholecalciferol); zinc (zinc oxide); magnesium (magnesium oxide); vitamin b12 (cyanocobalamin); d-pantothenic acid (calcium d-pantothenate); vitamin b1 (thiamine mononitrate); iodine (potassium iodide); ascorbic acid; iron (ferrous fumarate); calcium (calcium carbonate); vitamin b6 (pyridoxine hydrochloride); vitamin e (dl-alpha tocopheryl acetate); folic acid; beta-carotene; nicotinamide; vitamin b2 (riboflavin),,,,['pregnancy multivitamin folic 5'],,,1
copper (cupric sulfate); selenium (selenious acid); zinc (zinc sulfate); iodide (sodium iodide); manganese (manganese sulfate),,,,['micro+ te pediatric'],,,1
copper cu-64 dotatate,,,['detectnet'],,,,1
corifollitropin alfa,['elonva'],['elonva'],,,,,1
coronavirus (sars-cov-2) rna vaccine,,,,,"['comirnaty', 'daichirona', 'kostaive', 'spikevax']",,4
coronavirus modified uridine rna vaccine,,,,,"['comirnaty', 'covid-19 vaccine moderna', 'spikevax']",,3
coronavirus rna vaccine,,,,,['spikevax'],,1
corticorelin ovine triflutate,,,['acthrel'],,,,1
cortisone acetate,,,['cortisone acetate'],,,,1
corynebacterium diphtheriae crm-197 protein; meningococcal group c oligosaccharide,,,,['menjugate liquid'],,,1
cosibelimab-ipdl,,,['unloxcyt'],,,,1
cosyntropin,,,['cosyntropin'],,,,1
covid-19 (sars-cov-2) vaccine,,,,,"['jcovden', 'vaxzevria']",,2
covid-19 mrna vaccine (nucleoside-modified),,"['comirnaty', 'covid-19 vaccine moderna']",,,,,2
covid-19 vaccine (chadox1-s [recombinant]),,['covid-19 vaccine astrazeneca'],,,,,1
"covid-19 vaccine (recombinant, adjuvanted)",,"['bimervax', 'nuvaxovid', 'vidprevtyn beta']",,,,,3
crinecerfont,,,['crenessity'],,,,1
crisaborole,['staquis'],['staquis'],['eucrisa'],['eucrisa'],,,2
crisantaspase,['erwinase'],['enrylaze'],,['rylaze'],,['enrylaze'],3
crizanlizumab,['adakveo'],['adakveo'],,,,,1
crizanlizumab-tmca,,,['adakveo'],,,,1
crizotinib,['xalkori'],['xalkori'],['xalkori'],['xalkori'],['xalkori'],,1
crofelemer,,,['mytesi'],,,,1
cromolyn sodium,,,"['crolom', 'cromolyn sodium', 'cromoptic', 'gastrocrom', 'nasalcrom']",,,,5
crovalimab,,['piasky'],,,['piasky'],,1
crovalimab-akkz,,,['piasky'],,,,1
cupric chloride,,,['cupric chloride'],,,,1
cupric sulfate,,,"['cupric sulfate', 'multrys; tralement']",,,,2
cx-024414,,,,,,['spikevax'],1
cyanocobalamin,,,"['calomist', 'cyanocobalamin', 'nascobal']",,,,3
cyclizine lactate,['valoid'],,,,,,1
cyclobenzaprine hydrochloride,,,"['amrix', 'cyclobenzaprine hydrochloride']","['ag-cyclobenzaprine', 'apo-cyclobenzaprine', 'auro-cyclobenzaprine', 'cyclobenzaprine', 'jamp-cyclobenzaprine', 'pms-cyclobenzaprine - tab 10mg', 'pro-cyclobenzaprine', 'riva-cyclobenzaprine']",,,10
cyclopentolate hydrochloride,,,"['akpentolate', 'cyclopentolate hydrochloride']",['minims cyclopentolate hydrochloride'],,,3
cyclophosphamide,,,['cyclophosphamide'],"['cyclophosphamide for injection usp', 'procytox', 'procytox tab 25mg', 'procytox tab 50mg']",,,5
cyclosporin,['restasis'],,,,,,1
cyclosporine,,,"['cequa', 'cyclosporine', 'gengraf', 'neoral', 'restasis', 'restasis; restasis multidose', 'verkazia', 'vevye']","['cequa', 'neoral', 'restasis', 'restasis multidose', 'sandoz cyclosporine', 'teva-cyclosporine', 'verkazia']",,,11
cyproheptadine hydrochloride,,,['cyproheptadine hydrochloride'],"['euro-cyproheptadine 2mg/5ml', 'jamp-cyproheptadine', 'mar-cyproheptadine']",,,4
cyproterone acetate,,,,"['cyproterone', 'med-cyproterone', 'riva-cyproterone']",,,3
cyproterone acetate; ethinyl estradiol,,,,['diane-35'],,,1
cysteamine (cysteamine bitartrate),,,,['procysbi'],,,1
cysteamine (cysteamine hydrochloride),,,,['cystadrops'],,,1
cysteamine bitartrate,,,['procysbi'],,,,1
cysteamine hydrochloride,,,"['cystadrops', 'cystaran']",,,,2
cysteine hydrochloride,,,"['cysteine hydrochloride', 'elcys', 'nouress']",,,,3
cytarabine,,,"['cytarabine', 'cytosar-u', 'depocyt', 'vyxeos']","['cytarabine injection', 'pms-cytarabine']",,,6
cytarabine; daunorubicin,,,,['vyxeos'],,,1
cytomegalovirus immunoglobulin (human),,,,['cytogam'],,,1
d-biotin,,['qizenday'],,,,,1
d-pantothenic acid (calcium d-pantothenate); beta-carotene; vitamin b12 (cyanocobalamin); copper (cupric oxide); vitamin d3 (cholecalciferol); zinc (zinc oxide); vitamin b2 (riboflavin); magnesium (magnesium oxide); iodine (potassium iodide); nicotinamide; vitamin b1 (thiamine mononitrate); folic acid; ascorbic acid (ascorbic acid); calcium (calcium carbonate); vitamin b6 (pyridoxine hydrochloride); vitamin e (dl-alpha tocopheryl acetate); iron (ferrous fumarate),,,,['pregvit folic 5'],,,1
dabigatran etexilate,['pradaxa'],"['dabigatran etexilate accord', 'dabigatran etexilate leon farma', 'pradaxa']",,,,,3
dabigatran etexilate (dabigatran etexilate mesilate),,,,"['apo-dabigatran', 'pradaxa']",,,2
dabigatran etexilate mesilate,['pradaxa'],,,,,,1
dabigatran etexilate mesylate,,,"['dabigatran etexilate mesylate', 'pradaxa']",,,,2
dabigatran etexilate methanesulfonate,,,,,['pradaxa'],,1
dabrafenib,,"['finlee', 'tafinlar']",,,['tafinlar'],,2
dabrafenib (dabrafenib mesylate),,,,['tafinlar'],,,1
dabrafenib mesilate,['tafinlar'],,,,['tafinlar'],,1
dabrafenib mesylate,,,['tafinlar'],,,,1
dacarbazine,,,['dacarbazine'],['dacarbazine for injection bp'],,,2
daclatasvir,['daklinza'],['daklinza'],,,['daklinza'],,1
daclatasvir dihydrochloride,,,['daklinza'],,,,1
daclatasvir hydrochloride/asunaprevir/beclabuvir hydrochloride,,,,,['ximency'],,1
daclizumab,['zinbryta'],['zinbryta'],['zinbryta'],,,,1
dacomitinib,,['vizimpro'],['vizimpro'],,['vizimpro'],,1
dactinomycin,,,['dactinomycin'],,,,1
dalbavancin,,"['exulett', 'xydalba']",,,,,2
dalbavancin (dalbavancin hydrochloride),,,,['xydalba'],,,1
dalbavancin hydrochloride,,,['dalvance'],,,,1
dalfampridine,,,"['ampyra', 'dalfampridine']",,,,2
dalfopristin,,,['synercid'],,,,1
dalteparin,['fragmin'],,,,,,1
dalteparin sodium,,,,['fragmin'],,,1
damoctocog alfa pegol,['jivi'],['jivi'],,,['jivi'],,1
danaparoid sodium,,,['orgaran'],['orgaran'],,,1
danazol,,,['danazol'],,,,1
danicopan,,['voydeya'],['voydeya'],['voydeya'],['voydeya'],['voydeya'],1
dantrolene sodium,,,"['dantrolene sodium', 'revonto', 'ryanodex']","['dantrolene sodium for injection, usp']",,,4
"dantrolene sodium, hemiheptahydrate",,['agilus'],,,,,1
dapagliflozin,"['appebb, az dapagliflozin, bms dapagliflozin, bms/az dapagliflozin, edistride, empliciti and forxiga', 'forxiga']","['dapagliflozin viatris', 'edistride', 'forxiga']","['dapagliflozin', 'dapagliflozin and saxagliptin', 'dapagliflozin;metformin hydrochloride', 'farxiga', 'qtern', 'qternmet xr', 'xigduo xr']","['ag-dapagliflozin', 'apo-dapagliflozin', 'auro-dapagliflozin', 'gln-dapagliflozin', 'jamp dapagliflozin', 'm-dapagliflozin', 'nra-dapagliflozin', 'pms-dapagliflozin', 'pro-dapagliflozin', 'riva-dapagliflozin', 'sandoz dapagliflozin']",['forxiga'],,22
dapagliflozin (dapagliflozin propanediol monohydrate),,,,['forxiga'],,,1
dapagliflozin (dapagliflozin propanediol monohydrate); metformin hydrochloride,,,,['xigduo'],,,1
dapagliflozin / metformin,,"['ebymect', 'xigduo']",,,,,2
dapagliflozin and sitagliptin,['sidapvia'],,,,,,1
dapagliflozin || metformin,,,['dapagliflozin and metformin'],,,,1
"dapagliflozin, saxagliptin monohydrate",,,['dapagliflozin and saxagliptin monohydrate'],,,,1
dapagliflozin; metformin,['xigduo xr'],,,,,,1
dapagliflozin; metformin hydrochloride,,,,"['apo-dapagliflozin-metformin', 'auro-dapagliflozin / metformin']",,,2
dapiprazole hydrochloride,,,['dapiprazole hydrochloride'],,,,1
dapoxetine,['priligy'],,,,,,1
daprodustat,,['jesduvroq'],['jesduvroq'],,,,1
dapsone,['aczone'],,"['aczone', 'dapsone']","['aczone', 'mar-dapsone']",,,3
daptomycin,['cubicin'],"['cubicin', 'daptomycin hospira']","['cubicin; cubicin rf', 'daptomycin', 'daptomycin in 0.9% sodium chloride; dapzura rt']","['cubicin rf', 'daptomycin for injection']",,,7
daratumumab,['darzalex sc'],['darzalex'],['darzalex'],"['darzalex', 'darzalex sc']",['darzalex'],,2
daratumumab and hyaluronidase-fihj,,,['darzalex faspro'],,,,1
darbepoetin alfa,,['aranesp'],['aranesp'],['aranesp'],,,1
daridorexant,,['quviviq'],,,,['quviviq'],1
daridorexant (daridorexant hydrochloride),,,,['quviviq'],,,1
daridorexant hydrochloride,,,['quviviq'],,,,1
darifenacin (darifenacin hydrobromide),,,,"['apo-darifenacin', 'enablex', 'jamp darifenacin']",,,3
darifenacin hydrobromide,,,"['darifenacin', 'darifenacin hydrobromide', 'enablex']",,,,3
darinaparsin,,,,,['darvias'],,1
darolutamid,,,,,,['nubeqa'],1
darolutamide,['nubeqa'],['nubeqa'],['nubeqa'],['nubeqa'],['nubeqa'],,1
darolutamidum,,,,,,['nubeqa'],1
darunavir,,"['darunavir krka', 'darunavir mylan', 'prezista']","['darunavir', 'prezista']","['apo-darunavir', 'darunavir']",,,5
darunavir (darunavir propylene glycolate),,,,['auro-darunavir'],,,1
darunavir / cobicistat,,['rezolsta'],,,,,1
darunavir / cobicistat / emtricitabine / tenofovir alafenamide,,['symtuza'],,,,,1
darunavir and ritonavir,,,['darunavir and ritonavir'],,,,1
darunavir ethanolate,,,['darunavir ethanolate'],,,,1
darvadstrocel,,['alofisel'],,,,,1
dasabuvir,,['exviera'],,,,,1
dasabuvir sodium,,,"['viekira pak (copackaged)', 'viekira xr']",,,,2
dasatinib,['sprycel'],"['dasatinib accord', 'dasatinib accord healthcare', 'dasatinib accordpharma', 'sprycel']","['dasatinib', 'phyrago', 'sprycel']","['apo-dasatinib', 'taro-dasatinib']",,,8
dasatinib (dasatinib (s)-propylene glycol),,,,['reddy-dasatinib'],,,1
dasatinib (dasatinib monohydrate),,,,"['sprycel', 'teva-dasatinib']",,,2
dasiglucagon,,['zegalogue'],,,,,1
dasiglucagon hydrochloride,,,['zegalogue; zegalogue (autoinjector)'],,,,1
dasiprotimut-t,,['lympreva'],,,,,1
datopotamab deruxtecan,,['datroway'],,,,,1
datopotamab deruxtecan-dlnk,,,['datroway'],,,,1
daunorubicin (daunorubicin hydrochloride),,,,['daunorubicin hydrochloride injection'],,,1
daunorubicin / cytarabine,,['vyxeos'],,,,,1
daunorubicin citrate,,,['daunoxome'],,,,1
daunorubicin hydrochloride,,,"['cerubidine', 'daunorubicin hydrochloride']",,,,2
daunorubicin/cytarabine,['vyxeos'],,,,,,1
daxibotulinumtoxina-lanm,,,['daxxify'],,,,1
decitabine,,['dacogen'],"['dacogen', 'decitabine']",['demylocan'],,,3
decitabine / cedazuridine,,['inaqovi'],,,,,1
decitabine and cedazuridine,['inqovi 35/100'],,,,,,1
"defatted powder of arachis hypogaea l., semen (peanuts)",,['palforzia'],,,,,1
deferasirox,['exjade'],"['deferasirox accord', 'deferasirox mylan', 'exjade']","['deferasirox', 'exjade', 'jadenu', 'jadenu sprinkle']","['apo-deferasirox', 'apo-deferasirox (type j)', 'auro-deferasirox (type j)', 'exjade', 'jadenu', 'pms-deferasirox', 'pms-deferasirox (type j)', 'sandoz deferasirox', 'sandoz deferasirox (type j)', 'taro-deferasirox', 'taro-deferasirox (type j)']",,,15
deferiprone,['ferriprox'],"['deferiprone lipomed', 'ferriprox']","['deferiprone', 'ferriprox']","['ferriprox', 'ferriprox mr', 'taro-deferiprone']",,,5
deferoxamine mesylate,,,['deferoxamine mesylate'],['deferoxamine mesylate for injection'],,,2
defibrotide,,['defitelio'],,['defitelio'],,['defitelio'],1
defibrotide sodium,,,['defitelio'],,,,1
deflazacort,,,"['deflazacort', 'emflaza', 'jaythari']",,,,3
degarelix,['firmagon'],['degarelix accord'],,,,,2
degarelix (as acetate),,['firmagon'],,,,,1
degarelix (degarelix acetate),,,,['firmagon'],,,1
degarelix acetate,,,['firmagon'],,,,1
dehydrated alcohol,,,['dehydrated alcohol'],,,,1
delafloxacin,,['quofenix'],,,,,1
delafloxacin meglumine,,,['baxdela'],,,,1
delamanid,,['deltyba'],,,['deltyba'],,1
delavirdine mesylate,,,['rescriptor'],,,,1
delgocitinib,,['anzupgo'],,,['corectim'],,2
delta-9-tetrahydrocannabinol (cannabis sativa extract); cannabidiol (cannabis sativa extract),,,,['sativex'],,,1
demeclocycline hydrochloride,,,['demeclocycline hydrochloride'],,,,1
"dengue tetravalent vaccine (live, attenuated)",,"['dengvaxia', 'qdenga']",,,,,2
denileukin diftitox,,,['ontak'],,,,1
denileukin diftitox-cxdl,,,['lymphir'],,,,1
denosumab,"['jubbonti/wyost', 'prolia', 'xgeva']","['jubbonti', 'obodence', 'osenvelt', 'prolia', 'stoboclo', 'wyost', 'xgeva']",['prolia; xgeva'],"['jubbonti', 'prolia', 'wyost', 'xgeva']",['pralia'],,10
denosumab-bbdz,,,['jubbonti; wyost'],,,,1
denosumab-bmwo,,,['osenvelt; stoboclo'],,,,1
denosumab-bnht,,,['bomyntra; conexxence; denosumab-bnht'],,,,1
denosumab-dssb,,,['denosumab-dssb; ospomyv; xbryk'],,,,1
deoxycholic acid,['belkyra'],,"['deoxycholic acid', 'kybella']",['belkyra'],,,3
dequalinium chloride,,,,"['dequadin', 'dequadin oral paint', 'dequadin oral spray', 'vablys']",,,4
dermatophagoides farinae,,,,"['allergenic extract - standardized mite dermatophagoides farinae', 'allergenic extract standardized mite df (30,000 au/ml)', 'allergenic extract, standardardized mite, d. farinae']",,,3
dermatophagoides farinae; dermatophagoides pteronyssinus,,,,"['acarizax', 'allergenic extract - standardized mite mix', 'allergenic extract, standardized mite mixed']",,,3
dermatophagoides pteronyssinus,,,,"['allergenic extract - standardized mite dermatophagoides pteronyssinus', 'allergenic extract standardized mite dp (30,000 au/ml)', 'allergenic extract, standardized mite, d.pteronyssinus']",,,3
desflurane,,,['desflurane'],['suprane'],,,2
desipramine hydrochloride,,,['desipramine hydrochloride'],['desipramine'],,,2
desirudin recombinant,,,['iprivask'],,,,1
desloratadine,,"['aerius', 'dasselta', 'desloratadine actavis', 'desloratadine krka', 'desloratadine ratiopharm', 'desloratadine teva']","['clarinex', 'clarinex d 24 hour', 'clarinex-d 12 hour', 'desloratadine', 'desloratadine and pseudoephedrine sulfate 24 hour']","['aerius', 'aerius kids', 'desloratadine', 'desloratadine allergy control']",,,13
desloratadine; pseudoephedrine sulfate,,,,['aerius sinus + allergy'],,,1
desmopressin,['nocdurna'],,,,,,1
desmopressin (desmopressin acetate),,,,['ddavp melt'],,,1
desmopressin acetate,,,"['ddavp', 'desmopressin acetate', 'desmopressin acetate (needs no refrigeration)', 'desmopressin acetate preservative free', 'minirin', 'nocdurna', 'noctiva']","['apo-desmopressin', 'bipazen', 'desmopressin spray', 'octostim liq inj. 15mcg/ml']",,,11
desmopressin acetate (desmopressin acetate trihydrate),,,,['pms-desmopressin'],,,1
desogestrel,,,"['averi', 'bekyree', 'cyclessa', 'desogestrel and ethinyl estradiol', 'desogestrel and ethinyl estradiol; desogestrel; ethinyl estradiol', 'desogestrel; ethinyl; velivet', 'emoquette', 'enskyce', 'isibloom', 'kalliga', 'kariva', 'kimidess', 'mircette', 'pimtrea', 'simliya', 'viorele', 'volnea']",,,,17
desonide,,,"['desonate', 'desonide', 'verdeso']",['pdp-desonide'],,,4
desoximetasone,,,"['desoximetasone', 'topicort']",['topicort'],,,2
desvenlafaxine,,"['ellefore', 'pristiqs']","['desvenlafaxine', 'khedezla']","['apo-desvenlafaxine', 'desvenlafaxine', 'sandoz desvenlafaxine']",,,6
desvenlafaxine (desvenlafaxine succinate),,,,"['ag-desvenlafaxine', 'jamp desvenlafaxine', 'pristiq', 'taro-desvenlafaxine', 'teva-desvenlafaxine']",,,5
desvenlafaxine fumarate,,,['desvenlafaxine'],,,,1
desvenlafaxine succinate,,,"['desvenlafaxine succinate', 'pristiq']",,,,2
deucravacitinib,['sotyktu'],['sotyktu'],['sotyktu'],['sotyktu'],,,1
deuruxolitinib phosphate,,,['leqselvi'],,,,1
deutetrabenazine,['austedo'],,"['austedo', 'austedo xr', 'deutetrabenazine']",,,,3
deutivacaftor,,,['alyftrek'],,,,1
dexamethasone,['ozurdex'],"['neofordex', 'ozurdex']","['dexamethasone', 'dexasporin', 'dextenza', 'dexycu kit', 'hemady', 'ozurdex', 'tobradex st', 'tobramycin and dexamethasone']","['apo-dexamethasone', 'odan-dexamethasone elixir', 'ozurdex', 'pms-dexamethasone']",,,12
dexamethasone phosphate,,['dexamethasone taw'],,,,,1
dexamethasone phosphate (dexamethasone sodium phosphate),,,,"['dexamethasone omega unidose', 'dexamethasone-omega']",,,2
dexamethasone sodium phosphate,,,"['dexamethasone sodium phosphate', 'dexamethasone sodium phosphate preservative free', 'neomycin sulfate and dexamethasone sodium phosphate']",,,,3
dexamethasone; ciprofloxacin (ciprofloxacin hydrochloride),,,,['ciprodex'],,,1
dexbrompheniramine maleate,,,['dexbrompheniramine maleate and pseudoephedrine sulfate'],,,,1
dexchlorpheniramine maleate,,,['polmon'],,,,1
dexlansoprazole,,,"['dexilant', 'dexilant solutab', 'dexlansoprazole']","['apo-dexlansoprazole', 'dexilant']",,,4
dexmedetomidine,,['dexdor'],,,,,1
dexmedetomidine (dexmedetomidine hydrochloride),,,,"['dexmedetomidine hydrochloride for injection', 'dexmedetomidine hydrochloride for injection, usp', 'dexmedetomidine hydrochloride injection', 'precedex']",,,4
dexmedetomidine hydrochloride,,,"['dexmedetomidine hydrochloride', 'igalmi', 'precedex']",,['precedex'],,3
dexmethylphenidate hydrochloride,,,"['azstarys', 'dexmethylphenidate hydrochloride', 'focalin', 'focalin xr']",,,,4
dexrazoxane,,['savene'],,['zinecard'],,,2
dexrazoxane hydrochloride,,,"['dexrazoxane hydrochloride', 'totect', 'zinecard']",,,,3
dextran 70; glycerine; hypromellose,,,,['tears naturale forte'],,,1
dextroamphetamine,,,['xelstrym'],,,,1
dextroamphetamine saccharate,,,['dextroamphetamine saccharate; amphetamine aspartate monohydrate; dextroamphetamine sulfate; amphetamine sulfate'],,,,1
dextroamphetamine sulfate,,,['dextroamphetamine sulfate'],"['dextroamphetamine', 'teva-dextroamphetamine sr']",,,3
dextromethorphan hydrobromide,,,"['dextromethorphan hydrobromide and quinidine sulfate', 'guaifenesin and dextromethorphan hydrobromide', 'mucinex dm', 'nuedexta', 'promethazine dm', 'promethazine hydrochloride and dextromethorphan hydrobromide']","['benylin for children dry cough', ""buckley's dry cough extra strength"", 'dry cough relief extra strength', 'robitussin dm coughgels liqui-gels toux']",,,10
dextromethorphan hydrobromide; acetaminophen; diphenhydramine hydrochloride,,,,"[""children's tylenol complete cold, cough & fever nighttime""]",,,1
dextromethorphan hydrobromide; acetaminophen; diphenhydramine hydrochloride; pseudoephedrine hydrochloride,,,,['flu relief'],,,1
dextromethorphan hydrobromide; acetaminophen; doxylamine succinate,,,,['vicks nyquil cold & flu'],,,1
dextromethorphan hydrobromide; acetaminophen; doxylamine succinate; pseudoephedrine hydrochloride,,,,['nighttime cold & flu liquid capsules'],,,1
dextromethorphan hydrobromide; acetaminophen; guaifenesin; phenylephrine hydrochloride,,,,"['dayquil complete + vicks vapocool cold & flu liquid', 'vicks dayquil complete cold & flu liquid']",,,2
dextromethorphan hydrobromide; acetaminophen; guaifenesin; pseudoephedrine hydrochloride,,,,['cold & sinus liquid fastgels'],,,1
dextromethorphan hydrobromide; acetaminophen; pseudoephedrine hydrochloride,,,,"['daytime cold & flu liquid capsules', 'neocitran ultra strength total flu']",,,2
dextromethorphan hydrobromide; chlorpheniramine maleate,,,,"['coldaside cough & cold', 'nyquil kids cough & cold']",,,2
dextromethorphan hydrobromide; chlorpheniramine maleate; acetaminophen; guaifenesin; pseudoephedrine hydrochloride,,,,['benylin extra strength mucus & phlegm plus cold relief night'],,,1
dextromethorphan hydrobromide; chlorpheniramine maleate; acetaminophen; phenylephrine hydrochloride,,,,['extra strength tylenol cold nighttime'],,,1
dextromethorphan hydrobromide; diphenhydramine hydrochloride; acetaminophen,,,,"['benylin for children all-in-one cold & fever nightime', ""children's tylenol cold and cough nighttime""]",,,2
dextromethorphan hydrobromide; diphenhydramine hydrochloride; pseudoephedrine hydrochloride; guaifenesin; acetaminophen,,,,"['flu, cough & cold complete day and night']",,,1
dextromethorphan hydrobromide; doxylamine succinate; acetaminophen,,,,['nighttime cold & flu relief'],,,1
dextromethorphan hydrobromide; doxylamine succinate; acetaminophen; phenylephrine hydrochloride,,,,['vicks nyquil complete cold & flu'],,,1
dextromethorphan hydrobromide; doxylamine succinate; phenylephrine hydrochloride,,,,['nyquil kids'],,,1
dextromethorphan hydrobromide; doxylamine succinate; pseudoephedrine hydrochloride; acetaminophen,,,,"[""buckley's complete nighttime softgels"", 'cold & sinus liquid capsules']",,,2
dextromethorphan hydrobromide; guaifenesin,,,,"['cough & chest congestion regular strength', 'jack & jill honey cough & cold']",,,2
dextromethorphan hydrobromide; guaifenesin; menthol,,,,['benylin extra strength for people with diabetes'],,,1
dextromethorphan hydrobromide; guaifenesin; pseudoephedrine hydrochloride,,,,['robitussin extra strength cough & cold'],,,1
dextromethorphan hydrobromide; menthol; pseudoephedrine hydrochloride; guaifenesin,,,,['benylin extra strength cough complete'],,,1
dextromethorphan hydrobromide; phenylephrine hydrochloride; acetaminophen,,,,"['cough & cold relief', 'extra strength tylenol cold daytime']",,,2
dextromethorphan hydrobromide; phenylephrine hydrochloride; acetaminophen; guaifenesin,,,,['vicks dayquil complete cold & flu liquicaps'],,,1
dextromethorphan hydrobromide; phenylephrine hydrochloride; brompheniramine maleate,,,,"[""robitussin children's cough & cold bedtime""]",,,1
dextromethorphan hydrobromide; phenylephrine hydrochloride; guaifenesin,,,,"['mucinex multi-action congestion, stuffy nose & cough liquid']",,,1
dextromethorphan hydrobromide; promethazine hydrochloride,,,['promethazine hydrochloride and dextromethorphan hydrobromide; promethazine hydrochloride; dextromethorphan hydrobromide'],,,,1
dextromethorphan hydrobromide; pseudoephedrine hydrochloride,,,,['jack & jill multi-symptom cold & cough'],,,1
dextromethorphan hydrobromide; pseudoephedrine hydrochloride; acetaminophen; chlorpheniramine maleate,,,,"[""children's tylenol cold and cough"", 'extra strength cold medication nighttime relief']",,,2
dextromethorphan hydrobromide; pseudoephedrine hydrochloride; chlorpheniramine maleate; acetaminophen,,,,['cold medication'],,,1
dextromethorphan hydrobromide; pseudoephedrine hydrochloride; guaifenesin; acetaminophen,,,,['benylin extra strength mucus & phlegm plus cold relief'],,,1
dextromethorphan polistirex,,,['dextromethorphan polistirex'],,,,1
dextromethorphan/quinidine,,['nuedexta'],,,,,1
