Non_proprietary_name,australia,ema,fda,healthcanada,japan,swissmedic,n_unique_drug_names
acetaminophen; dextromethorphan hydrobromide; guaifenesin; phenylephrine hydrochloride,,,,"['mucinex multi-action congestion, cold & cough solution']",,,1
acetaminophen; dextromethorphan hydrobromide; phenylephrine hydrochloride,,,,['dayquil cold & flu'],,,1
acetaminophen; dextromethorphan hydrobromide; pseudoephedrine hydrochloride,,,,['extra strength cold medication daytime relief'],,,1
acetaminophen; dextromethorphan hydrobromide; pseudoephedrine hydrochloride; chlorpheniramine maleate,,,,"['hot lemon relief for symptoms of cough, cold and flu extra strength']",,,1
acetaminophen; dextromethorphan hydrobromide; pseudoephedrine hydrochloride; guaifenesin,,,,"['benylin extra strength all-in-one cough, cold & flu with warming sensation']",,,1
acetaminophen; diphenhydramine hydrochloride,,,,['extra strength tylenol nighttime'],,,1
acetaminophen; diphenhydramine hydrochloride; phenylephrine hydrochloride,,,,"['nighttime cold', 'vicks nyquil hot remedy']",,,2
acetaminophen; diphenhydramine hydrochloride; pseudoephedrine hydrochloride,,,,['extra strength flu relief nightime'],,,1
acetaminophen; doxylamine succinate; dextromethorphan hydrobromide,,,,['nyquil cold & flu liquicaps'],,,1
acetaminophen; doxylamine succinate; phenylephrine hydrochloride,,,,['nyquil sinus liquicaps'],,,1
acetaminophen; doxylamine succinate; pseudoephedrine hydrochloride,,,,['sinus medication'],,,1
acetaminophen; guaifenesin; dextromethorphan hydrobromide; pseudoephedrine hydrochloride,,,,['cold and flu-in-one extra strength'],,,1
acetaminophen; guaifenesin; pseudoephedrine hydrochloride; dextromethorphan hydrobromide,,,,"['benylin all-in-one cold, flu & cough liquid gels']",,,1
acetaminophen; menthol,,,,"[""buckley's complete""]",,,1
acetaminophen; methocarbamol,,,,"['extra strength muscle & back pain relief', 'muscle & back pain relief caplets', 'muscle and back pain relief']",,,3
acetaminophen; pheniramine maleate; phenylephrine hydrochloride,,,,['neocitran cold & sore throat night'],,,1
acetaminophen; phenylephrine hydrochloride,,,,"['benylin extra strength cold & sinus day', 'dayquil sinus liquicaps']",,,2
acetaminophen; phenylephrine hydrochloride; dextromethorphan hydrobromide,,,,['daytime cold'],,,1
acetaminophen; phenylephrine hydrochloride; diphenhydramine hydrochloride,,,,"['extra strength total symptom relief sugar-free', 'neocitran extra strength total cold night']",,,2
acetaminophen; phenylephrine hydrochloride; guaifenesin; dextromethorphan hydrobromide,,,,"['mucinex multi-action congestion, cold & cough']",,,1
acetaminophen; phenylephrine hydrochloride; pheniramine maleate,,,,['neocitran extra strength cold & sinus night - apple cinnamon'],,,1
acetaminophen; pseudoephedrine hydrochloride,,,,"[""children's tylenol cold & stuffy nose"", 'extra strength sudafed head cold & sinus', 'extra strength tylenol cold & sinus daytime', 'extra strength tylenol sinus pressure & pain']",,,4
acetaminophen; pseudoephedrine hydrochloride; chlorpheniramine maleate,,,,['extra strength tylenol cold & sinus nighttime'],,,1
acetaminophen; pseudoephedrine hydrochloride; dextromethorphan hydrobromide,,,,['extra strength flu relief daytime'],,,1
acetaminophen; pseudoephedrine hydrochloride; dextromethorphan hydrobromide; doxylamine succinate,,,,"[""buckley's cold & sinus 24 hour pack""]",,,1
acetaminophen; pseudoephedrine hydrochloride; diphenhydramine hydrochloride,,,,"['extra strength tylenol complete cold, cough & flu nighttime']",,,1
acetaminophen; pseudoephedrine hydrochloride; doxylamine succinate,,,,['cold and sinus relief combo'],,,1
acetaminophen; pseudoephedrine hydrochloride; guaifenesin; dextromethorphan hydrobromide,,,,"['benylin extra strength all-in-one cold, flu & cough']",,,1
acetaminophen; pseudoephedrine hydrochloride; guaifenesin; dextromethorphan hydrobromide; doxylamine succinate,,,,['complete liquid capsules'],,,1
acetaminophen; tramadol hydrochloride,,,,"['auro-tramadol/acetaminophen', 'mar-tramadol/acet', 'nra-tramadol/acet', 'teva-tramadol/acetaminophen']",,,4
acetazolamide,,,['acetazolamide'],,,,1
acetazolamide (acetazolamide sodium),,,,"['acetazolamide for injection usp', 'acetazolamide for injection, usp']",,,2
acetazolamide sodium,,,['acetazolamide sodium'],,,,1
"acetic acid, glacial",,,"['acetic acid', 'hydrocortisone and acetic acid']",,,,2
acetic acid; calcium chloride; dextrose; magnesium chloride; potassium chloride; sodium chloride,,,,['acid concentrate d12293'],,,1
acetic acid; calcium chloride; dextrose; potassium chloride; magnesium chloride; sodium chloride,,,,['acid concentrate d12275'],,,1
acetic acid; calcium chloride; magnesium chloride; sodium chloride; potassium chloride; dextrose,,,,['acid concentrate d12286'],,,1
acetic acid; calcium chloride; potassium chloride; magnesium chloride; dextrose; sodium chloride,,,,['acid concentrate a1231'],,,1
acetic acid; calcium chloride; potassium chloride; magnesium chloride; sodium chloride; dextrose,,,,['acid concentrate a1226'],,,1
acetic acid; calcium chloride; sodium chloride; magnesium chloride; dextrose; potassium chloride,,,,['acid concentrate a1277'],,,1
acetic acid; magnesium chloride; dextrose; potassium chloride; calcium chloride,,,,['selectbag one (ax 2525 g)'],,,1
acetic acid; magnesium chloride; sodium chloride; calcium chloride; dextrose; potassium chloride,,,,['acid concentrate d12290'],,,1
acetic acid; magnesium chloride; sodium chloride; dextrose; potassium chloride; calcium chloride,,,,"['acid concentrate a1253', 'naturalyte h-410']",,,2
acetic acid; potassium chloride; dextrose; calcium chloride; magnesium chloride; sodium chloride,,,,['acid concentrate a1298'],,,1
acetic acid; potassium chloride; dextrose; magnesium chloride; calcium chloride; sodium chloride,,,,['acid concentrate a1227'],,,1
acetic acid; potassium chloride; magnesium chloride; dextrose; sodium chloride; calcium chloride,,,,['acid concentrate d12264'],,,1
acetic acid; potassium chloride; sodium chloride; magnesium chloride; dextrose; calcium chloride,,,,['acid concentrate a1241'],,,1
acetic acid; sodium chloride; calcium chloride; dextrose; magnesium chloride; potassium chloride,,,,"['naturalyte h-330', 'naturalyte h-624']",,,2
acetic acid; sodium chloride; calcium chloride; potassium chloride; magnesium chloride; dextrose,,,,['acid concentrate a1252'],,,1
acetic acid; sodium chloride; dextrose; magnesium chloride; calcium chloride; potassium chloride,,,,['acid concentrate a1296'],,,1
acetic acid; sodium chloride; magnesium chloride; potassium chloride; dextrose; calcium chloride,,,,['acid concentrate a1262'],,,1
acetic acid; sodium chloride; potassium chloride; magnesium chloride; calcium chloride; dextrose,,,,['acid concentrate a1294'],,,1
acetylcholine chloride,,,,['miochol-e'],,,1
acetylcysteine,,,"['acetadote', 'acetylcysteine', 'cetylev']","['acetylcysteine solution', 'acetylcysteine solution usp']",,,5
acetylcysteine lysine,,,['legubeti'],,,,1
acetylsalicylic acid,,,,"['asa', 'asa 81 mg', 'asa daily low dose', 'asa ec', 'asaphen', 'asaphen e.c. 80 mg', 'aspirin 81mg', 'aspirin 81mg quick chews', 'aspirin coated for delayed release regular strength', 'aspirin extra strength', 'enteric coated daily low dose asa 81 mg', 'entrophen', 'entrophen chewable', 'jamp-asa 81mg ec', 'jamp-asa chew', 'jamp-asa ec', 'm-asa 80 mg croquable', 'praxis asa ec 81 mg daily low dose', 'pro-aas - 80 (croquable)', 'pro-aas ec - 80', 'rivasa 80 mg ec', 'rivasa 80mg croquable - tab', 'rivasa 81 mg ec', 'rivasa fc', 'sns-asa ec']",,,25
acetylsalicylic acid; codeine phosphate; caffeine; butalbital,,,,['apo-butalbital-acetylsalicylic acid-caffeine-codeine-c 1/4'],,,1
acetylsalicylic acid; methocarbamol,,,,"['extra strength muscle & back pain asa 500 mg methocarbamol 400 mg & acetylsalicylic acid 500 mg', 'robaxisal extra strength']",,,2
acidum bempedoicum,,,,,,['nilemdo'],1
acidum carglumicum,,,,,,['carbaglu'],1
acitretin,,,"['acitretin', 'soriatane']","['mint-acitretin', 'taro-acitretin']",,,4
aclidinium bromide,['bretaris genuair'],"['bretaris genuair', 'eklira genuair']","['duaklir pressair', 'tudorza pressair']",['tudorza genuair'],,,5
aclidinium bromide/formoterol fumarate dihydrate,,"['brimica genuair', 'duaklir genuair']",,,,,2
aclidinium bromide; formoterol fumarate dihydrate,,,,['duaklir genuair'],,,1
acoltremon,,,['tryptyr'],,,,1
acoramidis,,['beyonttra'],,,,,1
acoramidis hydrochloride,,,['attruby'],,,,1
acotiamide,,,,,['acofide'],,1
activated recombinant dna human coagulation factor vii (rfviia),,['novoseven'],,,,,1
acyclovir,,,"['acyclovir', 'avaclyr', 'sitavig', 'xerese', 'zovirax']","['apo-acyclovir', 'apo-acyclovir ointment', 'mint-acyclovir', 'mylan-acyclovir', 'taro-acyclovir', 'teva-acyclovir']",,,11
acyclovir (acyclovir sodium),,,,['acyclovir sodium injection'],,,1
acyclovir sodium,,,"['acyclovir', 'acyclovir in sodium chloride 0.9% preservative free', 'acyclovir sodium']",,,,3
acyclovir; hydrocortisone,,,,['xerese'],,,1
ad26.cov2.s,,['covid-19 vaccine janssen'],,,,,1
adagrasib,,['krazati'],['krazati'],,,,1
adalimumab,"['abrilada', 'amgevita', 'ardalicip/ciptunec', 'hadlima', 'hulio', 'humira', 'idacio', 'yuflyma']","['amgevita', 'amsparity', 'cyltezo', 'halimatoz', 'hefiya', 'hukyndra', 'hulio', 'hyrimoz', 'idacio', 'imraldi', 'kromeya', 'libmyris', 'solymbic', 'yuflyma']",['humira'],"['abrilada', 'amgevita', 'hadlima', 'hadlima pushtouch', 'hulio', 'humira', 'hyrimoz', 'idacio', 'simlandi', 'yuflyma']",['humira'],,20
adalimumab-aacf,,,['idacio'],,,,1
adalimumab-aaty,,,['yuflyma'],,,,1
adalimumab-adaz,,,['hyrimoz'],,,,1
adalimumab-adbm,,,['cyltezo'],,,,1
adalimumab-afzb,,,['abrilada'],,,,1
adalimumab-aqvh,,,['yusimry'],,,,1
adalimumab-atto,,,['amjevita'],,,,1
adalimumab-bwwd,,,['hadlima'],,,,1
adalimumab-fkjp,,,['hulio'],,,,1
adalimumab-ryvk,,,['simlandi'],,,,1
adapalene,,,"['adapalene', 'adapalene and benzoyl peroxide', 'cabtreo', 'differin', 'epiduo', 'epiduo forte']","['differin', 'differin xp']",,,7
adapalene; benzoyl peroxide,,,,"['sandoz adapalene / benzoyl peroxide', 'sandoz adapalene / benzoyl peroxide forte', 'tactupump', 'tactupump forte', 'taro-adapalene/benzoyl peroxide']",,,5
adefovir dipivoxil,['hepsera'],,"['adefovir dipivoxil', 'hepsera']",,,,2
adenosine,,,"['adenoscan', 'adenosine']",['adenosine injection'],,,3
adenovirus serotype 26 encoding the sars-cov-2 spike glycoprotein,['covid-19 vaccine janssen'],,,,,,1
adenovirus-mediated herpes simplex virus-thymidine kinase gene,,['cerepro'],,,,,1
ado-trastuzumab emtansine,,,['kadcyla'],,,,1
adsorbed cell culture-derived influenza vaccine,,,,,['adsorbed cell culture-derived influenza vaccine h5n1'],,1
adsorbed diphtheria-purified pertussis-tetanus-inactivated polio (sabin strain) combined vaccine,,,,,"['quattrovac', 'tetrabik']",,2
adsorbed diphtheria-purified pertussis-tetanus-inactivated polio (salk vaccine) combined vaccine,,,,,['squarekids'],,1
adsorbed influenza vaccine,,,,,['adsorbed influenza vaccine'],,1
adsorbed influenza vaccine (h5n1),,,,,['adsorbed influenza vaccine (h5n1) “hokken”'],,1
aducanumab,,['aduhelm'],,,,,1
aducanumab-avwa,,,['aduhelm'],,,,1
afamelanotide,['scenesse'],['scenesse'],['scenesse'],,,,1
afatinib,['giotrif'],['giotrif'],['afatinib'],,,,2
afatinib (afatinib dimaleate),,,,"['giotrif', 'mar-afatinib', 'sandoz afatinib']",,,3
afatinib dimaleate,,,['gilotrif'],,,,1
afatinib maleate,,,,,['giotrif'],,1
aflibercept,"['eylea', 'zaltrap, aflitiv, lidaveg']","['afqlir', 'ahzantive', 'baiama', 'eydenzelt', 'eylea', 'opuviz', 'pavblu', 'skojoy', 'yesafili', 'zaltrap']","['eylea', 'eylea hd']","['eylea', 'eylea hd']",['eylea'],,12
aflibercept-abzv,,,['enzeevu'],,,,1
aflibercept-ayyh,,,['pavblu'],,,,1
aflibercept-jbvf,,,['yesafili'],,,,1
aflibercept-mrbb,,,['ahzantive'],,,,1
aflibercept-yszy,,,['opuviz'],,,,1
agalsidase alfa,,['replagal'],,['replagal'],,,1
agalsidase alfa ghu,['replagal'],,,,,,1
agalsidase beta,,,['fabrazyme'],['fabrazyme'],,,1
agomelatine,['valdoxan'],"['thymanax', 'valdoxan']",,,,,2
air polymer-type a,,,['exem foam kit'],,,,1
alanylglutamine,['dipeptiven'],,,,,,1
alatrofloxacin mesylate,,,['trovan preservative free'],,,,1
albendazole,,,"['albendazole', 'albenza']",,,,2
albiglutide,,['eperzan'],['tanzeum'],,,,2
albumin,"['albunate 5, albunate 20 and albunate 25']",,,,,,1
albumin (human),['albumex 20/albumex 5/albumex 4'],,,"['albumin (human) 25% solution usp', 'albumin (human) 5% solution, usp', 'alburex - 25', 'alburex - 5', 'plasbumin-5', 'stannous maa kit', 'sterile diluent for allergenic extract - albumin saline with phenol']",,,8
albumin human,,,['optison'],,,,1
albuterol,,,['albuterol'],,,,1
albuterol sulfate,,,"['accuneb', 'airsupra', 'albuterol sulfate', 'albuterol sulfate and ipratropium bromide', 'albuterol sulfate and ipratropium bromide; albuterol sulfate; ipratropium bromide', 'combivent', 'combivent respimat', 'duoneb', 'proair digihaler; proair respiclick', 'proair hfa', 'proventil-hfa', 'ventolin hfa', 'vospire er']",,,,13
albutrepenonacog alfa,['idelvion'],['idelvion'],,,['idelvion'],,1
alcaftadine,,,"['alcaftadine', 'lastacaft']",,,,2
alclometasone dipropionate,,,['alclometasone dipropionate'],,,,1
alcohol,,,"['ablysinol', 'avagard']",,,,2
aldesleukin,,,,['proleukin'],,,1
alectinib,['alecensa'],['alecensa'],,,,,1
alectinib (alectinib hydrochloride),,,,['alecensaro'],,,1
alectinib hydrochloride,['alecensa'],,['alecensa'],,['alecensa'],,1
alemtuzumab,"['lemtrada, remniq']",['lemtrada'],['campath; lemtrada'],"['lemtrada', 'mabcampath']",,,4
alendronate sodium,,,"['alendronate sodium', 'binosto', 'fosamax', 'fosamax plus d']",,,,4
alendronic acid,"['alendraccord, alendrocor, pharmacor alendronate']",,,,,,1
alendronic acid (alendronate sodium trihydrate); vitamin d3,,,,['jamp alendronate / vitamin d3'],,,1
alendronic acid (alendronate sodium trihydrate); vitamin d3 (cholecalciferol),,,,['fosavance'],,,1
alendronic acid (alendronate sodium),,,,"['ach-alendronate', 'ag-alendronate', 'ag-alendronate sodium', 'alendronate', 'alendronate-70', 'apo-alendronate', 'auro-alendronate', 'fosamax', 'jamp alendronate sodium', 'm-alendronate', 'mint-alendronate', 'nra-alendronate', 'pms-alendronate-fc', 'riva-alendronate fc', 'sandoz alendronate', 'teva-alendronate']",,,16
alendronic acid (alendronate sodium); vitamin d3 (cholecalciferol),,,,['apo-alendronate/vitamin d3'],,,1
alendronic acid / colecalciferol,,"['alendronate sodium and colecalciferol, msd']",,,,,1
alfacalcidol,,,,"['one-alpha', 'sandoz alfacalcidol']",,,2
alfentanil hydrochloride,,,['alfentanil'],,,,1
alfuzosin hydrochloride,,,"['alfuzosin hydrochloride', 'uroxatral']","['alfuzosin', 'apo-alfuzosin', 'auro-alfuzosin', 'sandoz alfuzosin', 'xatral']",,,7
alglucosidase alfa,,,"['lumizyme', 'myozyme']",['myozyme'],['myozyme'],,2
alipogene tiparvovec,,['glybera'],,,,,1
alirocumab,['praluent'],['praluent'],['praluent'],['praluent'],['praluent'],,1
aliskiren,,"['enviage', 'rasilez', 'sprimeo', 'tekturna']",,,['rasilez'],,4
aliskiren / amlodipine,,['rasilamlo'],,,,,1
aliskiren / amlodipine / hydrochlorothiazide,,['rasitrio'],,,,,1
aliskiren / hydrochlorothiazide,,['sprimeo hct'],,,,,1
aliskiren hemifumarate,,,"['aliskiren hemifumarate', 'amturnide', 'tekamlo', 'tekturna', 'tekturna hct', 'valturna']",,,,6
aliskiren hemifumarate / hydrochlorothiazide,,"['rasilez hct', 'riprazo hct']",,,,,2
"aliskiren, amlodipine, hydrochlorothiazide",['rasilamlo hct'],,,,,,1
aliskiren/amlodipine,['rasilamlo'],,,,,,1
aliskiren/hydrochlorothiazide,['rasilez hct/enviage hct'],,,,,,1
alitretinoin,,,['panretin'],['hanzema'],,,2
allergen extract - alum precipitated,,,,['allergy canada allergen extract - alum precipitated'],,,1
allergen pollen extract of 5 grasses,['oralair tablet'],,,,,,1
allergenic extract non-pollen,,,,"['omega allergenic extracts - non-pollens (aqueous)', 'omega allergenic extracts - non-pollens (glycerinated)', 'omega allergenic extracts - non-pollens (suspal)']",,,3
allergenic extracts pollens,,,,"['omega allergenic extracts - pollens (aqueous)', 'omega allergenic extracts - pollens (glycerinated)', 'omega allergenic extracts - pollens (suspal)']",,,3
allergens of peanut (arachis hypogaea),,,,,,['palforzia'],1
allogeneic t cells genetically modified with a retroviral vector encoding for a truncated form of the human low affinity nerve growth factor receptor (δlngfr) and the herpes simplex i virus thymidine kinase (hsv-tk mut2),,['zalmoxis'],,,,,1
allopurinol,,,"['allopurinol', 'duzallo']","['allopurinol-200', 'apo-allopurinol', 'jamp allopurinol', 'mar-allopurinol']",,,6
allopurinol / lesinurad,,['duzallo'],,,,,1
allopurinol sodium,,,"['allopurinol sodium', 'aloprim']",,,,2
almotriptan (almotriptan malate),,,,"['almotriptan', 'mylan-almotriptan', 'sandoz almotriptan', 'teva-almotriptan']",,,4
almotriptan malate,,,"['almotriptan malate', 'axert']",,,,2
alogliptin,"['nesina, vipidia']",['vipidia'],['alogliptin; metformin hydrochloride'],,,,3
alogliptin (alogliptin benzoate),,,,['nesina'],,,1
alogliptin (alogliptin benzoate); metformin hydrochloride,,,,['kazano'],,,1
alogliptin / metformin,,['vipdomet'],,,,,1
alogliptin / pioglitazone,,['incresync'],,,,,1
alogliptin and metformin hydrochloride,,,['alogliptin and metformin hydrochloride'],,,,1
alogliptin benzoate,,,"['alogliptin', 'kazano', 'nesina', 'oseni']",,,,4
alosetron hydrochloride,,,"['alosetron hydrochloride', 'lotronex']",,,,2
alpelisib,['piqray'],"['piqray', 'vijoice']","['piqray', 'vijoice']",['piqray'],,['piqray'],2
alpha-1-antitrypsin,,['infinia'],,,,,1
alpha-1-proteinase inhibitor,['prolastin-c'],,,,,,1
alpha-tocopherol acetate,,,['infuvite adult'],,,,1
alpha1-proteinase inhibitor (human),,,,"['glassia', 'prolastin-c']",,,2
alprazolam,,,"['alprazolam', 'niravam', 'xanax xr']","['apo-alpraz', 'apo-alpraz ts', 'pro-alprazolam']",,,6
alprostadil,,,"['alprostadil', 'caverject', 'caverject impulse', 'edex', 'muse']","['caverject sterile powder', 'caverject sterile powder - pws 23.2mcg/vial']",,,7
