Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form,Drug_number,dpd_info_url
ORAL,MARKETED,88524,APPROVED,11.02.2013,2013,DILTIAZEM CD,SANIS HEALTH INC,SANIS,02400448,DILTIAZEM HYDROCHLORIDE,Small molecule,CAPSULE (CONTROLLED-DELIVERY),88524,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88524
ORAL,MARKETED,88525,APPROVED,11.02.2013,2013,DILTIAZEM CD,SANIS HEALTH INC,SANIS,02400456,DILTIAZEM HYDROCHLORIDE,Small molecule,CAPSULE (CONTROLLED-DELIVERY),88525,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88525
ORAL,MARKETED,88526,APPROVED,11.02.2013,2013,DILTIAZEM CD,SANIS HEALTH INC,SANIS,02400464,DILTIAZEM HYDROCHLORIDE,Small molecule,CAPSULE (CONTROLLED-DELIVERY),88526,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88526
ORAL,MARKETED,88532,APPROVED,11.02.2013,2013,CLINDAMYCIN,SANIS HEALTH INC,Sanis,02400529,CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE),Small molecule,CAPSULE,88532,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88532
ORAL,MARKETED,88533,APPROVED,11.02.2013,2013,CLINDAMYCIN,SANIS HEALTH INC,Sanis,02400537,CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE),Small molecule,CAPSULE,88533,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88533
ORAL,MARKETED,88535,APPROVED,11.02.2013,2013,CLOPIDOGREL,SANIS HEALTH INC,Sanis,02400553,CLOPIDOGREL (CLOPIDOGREL BISULFATE),Small molecule,TABLET,88535,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88535
ORAL,MARKETED,88536,APPROVED,24.12.2013,2013,AURO-DONEPEZIL,AURO PHARMA INC,Auro,02400561,DONEPEZIL HYDROCHLORIDE,Small molecule,TABLET,88536,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88536
ORAL,MARKETED,88537,APPROVED,24.12.2013,2013,AURO-DONEPEZIL,AURO PHARMA INC,Auro,02400588,DONEPEZIL HYDROCHLORIDE,Small molecule,TABLET,88537,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88537
ORAL,MARKETED,88543,APPROVED,11.02.2013,2013,ENALAPRIL,SANIS HEALTH INC,Sanis,02400650,ENALAPRIL MALEATE,Small molecule,TABLET,88543,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88543
ORAL,MARKETED,88544,APPROVED,11.02.2013,2013,ENALAPRIL,SANIS HEALTH INC,Sanis,02400669,ENALAPRIL MALEATE,Small molecule,TABLET,88544,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88544
ORAL,MARKETED,88545,APPROVED,11.02.2013,2013,ENALAPRIL,SANIS HEALTH INC,Sanis,02400677,ENALAPRIL MALEATE,Small molecule,TABLET,88545,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88545
ORAL,MARKETED,88546,APPROVED,11.02.2013,2013,ENALAPRIL,SANIS HEALTH INC,SANIS,02400685,ENALAPRIL MALEATE,Small molecule,TABLET,88546,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88546
ORAL,MARKETED,88547,APPROVED,22.01.2013,2013,SILDENAFIL,SIVEM PHARMACEUTICALS ULC,SIVEM,02400693,SILDENAFIL (SILDENAFIL CITRATE),Small molecule,TABLET,88547,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88547
ORAL,MARKETED,88548,APPROVED,22.01.2013,2013,SILDENAFIL,SIVEM PHARMACEUTICALS ULC,SIVEM,02400707,SILDENAFIL (SILDENAFIL CITRATE),Small molecule,TABLET,88548,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88548
ORAL,MARKETED,88549,APPROVED,22.01.2013,2013,SILDENAFIL,SIVEM PHARMACEUTICALS ULC,SIVEM,02400715,SILDENAFIL (SILDENAFIL CITRATE),Small molecule,TABLET,88549,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88549
INTRAVENOUS,MARKETED,88577,APPROVED,29.01.2013,2013,"CEFAZOLIN FOR INJECTION, USP",FRESENIUS KABI CANADA LTD,Fresenius,02401029,CEFAZOLIN (CEFAZOLIN SODIUM),Small molecule,POWDER FOR SOLUTION,88577,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88577
