Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form,Drug_number,dpd_info_url
ORAL,APPROVED,9,MARKETED,31.12.1951,1951,TAPAZOLE,ENDO OPERATIONS LTD.,Endo,00015741,METHIMAZOLE,Small molecule,TABLET,9,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=9
ORAL,APPROVED,15,MARKETED,31.12.1965,1965,AVENTYL,AA PHARMA INC,AA,00015229,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),Small molecule,CAPSULE,15,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=15
ORAL,APPROVED,16,MARKETED,31.12.1965,1965,AVENTYL,AA PHARMA INC,AA,00015237,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),Small molecule,CAPSULE,16,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=16
TOPICAL,MARKETED,57,MARKETED,31.12.1951,1951,MINERALE LEGERE HUILE,LABORATOIRE ATLAS INC,Atlas,00050520,MINERAL OIL LIGHT,Other,LIQUID,57,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=57
ORAL,MARKETED,68,MARKETED,31.12.1951,1951,METHYLENE BLEU LIQ 1%,LABORATOIRE ATLAS INC,Atlas,00050466,METHYLENE BLUE,Small molecule,LIQUID,68,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=68
ORAL,MARKETED,69,MARKETED,31.12.1951,1951,METHYLENE BLEU LIQ 2%,LABORATOIRE ATLAS INC,Atlas,00050474,METHYLENE BLUE,Small molecule,LIQUID,69,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=69
INTRAVENOUS; SUBCUTANEOUS; INTRAMUSCULAR,MARKETED,115,MARKETED,31.12.1951,1951,BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP,PFIZER CANADA ULC,Pfizer,00037818,SODIUM CHLORIDE,Other,SOLUTION,115,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=115
INTRAVENOUS; SUBCUTANEOUS; INTRAMUSCULAR,MARKETED,117,MARKETED,31.12.1952,1952,BACTERIOSTATIC WATER FOR INJECTION USP,PFIZER CANADA ULC,Pfizer,00038202,WATER,Other,SOLUTION,117,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=117
INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,MARKETED,160,MARKETED,31.12.1951,1951,PAPAVERINE HYDROCHLORIDE INJECTION USP,SANDOZ CANADA INCORPORATED,Sandoz,00009881,PAPAVERINE HYDROCHLORIDE,Small molecule,LIQUID,160,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=160
RECTAL,MARKETED,193,MARKETED,31.12.1951,1951,GRAVOL SUPPOSITORIES,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00013609,DIMENHYDRINATE,Small molecule,SUPPOSITORY,193,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=193
INTRAMUSCULAR,MARKETED,197,MARKETED,31.12.1953,1953,GRAVOL IM,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00013579,DIMENHYDRINATE,Small molecule,SOLUTION,197,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=197
ORAL,MARKETED,198,MARKETED,31.12.1963,1963,OVOL DROPS,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00013617,SIMETHICONE,Small molecule,DROPS,198,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=198
TOPICAL,MARKETED,211,MARKETED,31.12.1954,1954,XYLOCAINE OINTMENT 5%,ASPEN PHARMACARE CANADA INC.,Aspen,00001961,LIDOCAINE,Small molecule,OINTMENT,211,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=211
TOPICAL,MARKETED,212,MARKETED,31.12.1951,1951,XYLOCAINE JELLY 2%,ASPEN PHARMACARE CANADA INC.,Aspen,00001694,LIDOCAINE HYDROCHLORIDE,Small molecule,GEL,212,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=212
INTRAVENOUS,MARKETED,227,MARKETED,31.12.1952,1952,QUELICIN,PFIZER CANADA ULC,Pfizer,00038172,SUCCINYLCHOLINE CHLORIDE,Small molecule,SOLUTION,227,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=227
TOPICAL; IRRIGATION; INTRAPERITONEAL,MARKETED,228,MARKETED,31.12.1966,1966,SODIUM CHLORIDE IRRIGATION USP,ICU MEDICAL CANADA INC,ICU Medical,00037834,SODIUM CHLORIDE,Other,SOLUTION,228,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=228
TOPICAL; INTRAPERITONEAL; IRRIGATION,MARKETED,229,MARKETED,31.12.1964,1964,STERILE WATER FOR IRRIGATION USP,ICU MEDICAL CANADA INC,ICU Medical,00038229,WATER,Other,LIQUID,229,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=229
INTRAVENOUS,MARKETED,250,MARKETED,31.12.1963,1963,COSMEGEN,RECORDATI RARE DISEASES CANADA INC,Recordati,00213071,DACTINOMYCIN,Small molecule,POWDER FOR SOLUTION,250,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=250
OPHTHALMIC,MARKETED,254,MARKETED,31.12.1964,1964,ALCON ATROPINE,ALCON CANADA INC,Alcon,00035017,ATROPINE SULFATE,Small molecule,SOLUTION,254,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=254
OPHTHALMIC,MARKETED,259,MARKETED,31.12.1963,1963,MAXITROL,NOVARTIS PHARMACEUTICALS CANADA INC,Novartis,00042676,POLYMYXIN B SULFATE; DEXAMETHASONE; NEOMYCIN (NEOMYCIN SULFATE),Small molecule,SUSPENSION,259,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=259
OPHTHALMIC,MARKETED,260,MARKETED,31.12.1951,1951,MYDRIACYL,ALCON CANADA INC,Alcon,00000981,TROPICAMIDE,Small molecule,SOLUTION,260,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=260
ORAL,MARKETED,287,MARKETED,31.12.1964,1964,CUPRIMINE,"BAUSCH HEALTH, CANADA INC.",Bausch,00016055,PENICILLAMINE,Small molecule,CAPSULE,287,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=287
ORAL,MARKETED,290,MARKETED,31.12.1966,1966,TEVA-QUININE,TEVA CANADA LIMITED,Teva,00021016,QUININE SULFATE,Small molecule,CAPSULE,290,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=290
ORAL,MARKETED,316,MARKETED,31.12.1956,1956,ATARAX,SEARCHLIGHT PHARMA INC,Searchlight,00024694,HYDROXYZINE HYDROCHLORIDE,Small molecule,SYRUP,316,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=316
INTRAMUSCULAR; INTRABURSAL; INTRA-ARTICULAR; INTRADERMAL,MARKETED,354,MARKETED,31.12.1965,1965,CELESTONE SOLUSPAN,ORGANON CANADA INC.,Organon,00028096,BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE); BETAMETHASONE ACETATE,Small molecule,SUSPENSION,354,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=354
ORAL,MARKETED,405,MARKETED,31.12.1957,1957,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Pharmascience,00178799,PHENOBARBITAL,Small molecule,TABLET,405,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=405
ORAL,MARKETED,406,MARKETED,31.12.1957,1957,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Pharmascience,00178802,PHENOBARBITAL,Small molecule,TABLET,406,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=406
ORAL,MARKETED,407,MARKETED,31.12.1957,1957,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Pharmascience,00178810,PHENOBARBITAL,Small molecule,TABLET,407,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=407
ORAL,MARKETED,408,MARKETED,31.12.1957,1957,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Pharmascience,00178829,PHENOBARBITAL,Small molecule,TABLET,408,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=408
INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS,MARKETED,415,MARKETED,31.12.1946,1946,"DIHYDROERGOTAMINE (DHE), 1MG/ML",STERIMAX INC,Sterimax,00027243,DIHYDROERGOTAMINE MESYLATE,Small molecule,LIQUID,415,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=415
ORAL,MARKETED,430,MARKETED,31.12.1961,1961,PROVERA 5MG TABLETS,PFIZER CANADA ULC,Pfizer,00030937,MEDROXYPROGESTERONE ACETATE,Small molecule,TABLET,430,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=430
ORAL,MARKETED,432,MARKETED,31.12.1954,1954,CORTEF,PFIZER CANADA ULC,Pfizer,00030910,HYDROCORTISONE,Small molecule,TABLET,432,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=432
ORAL,MARKETED,433,MARKETED,31.12.1954,1954,CORTEF,PFIZER CANADA ULC,Pfizer,00030929,HYDROCORTISONE,Small molecule,TABLET,433,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=433
ORAL,MARKETED,507,MARKETED,31.12.1967,1967,TEVA-PREDNISONE,TEVA CANADA LIMITED,Teva,00021695,PREDNISONE,Small molecule,TABLET,507,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=507
ORAL,MARKETED,579,MARKETED,31.12.1967,1967,TEVA-PHENIRAM,TEVA CANADA LIMITED,Teva,00021288,CHLORPHENIRAMINE MALEATE,Small molecule,TABLET,579,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=579
BLOCK/INFILTRATION,MARKETED,585,MARKETED,31.12.1954,1954,XYLOCAINE 1%,ASPEN PHARMACARE CANADA INC.,Aspen,00001732,LIDOCAINE HYDROCHLORIDE,Small molecule,SOLUTION,585,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=585
BLOCK/INFILTRATION,MARKETED,587,MARKETED,31.12.1954,1954,XYLOCAINE 2%,ASPEN PHARMACARE CANADA INC.,Aspen,00036641,LIDOCAINE HYDROCHLORIDE,Small molecule,SOLUTION,587,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=587
BLOCK/INFILTRATION,MARKETED,589,MARKETED,31.12.1954,1954,XYLOCAINE 1% W EPINEPHRINE 1:100000,ASPEN PHARMACARE CANADA INC.,Aspen,00001791,LIDOCAINE HYDROCHLORIDE; EPINEPHRINE (EPINEPHRINE BITARTRATE),Small molecule,SOLUTION,589,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=589
BLOCK/INFILTRATION,MARKETED,590,MARKETED,31.12.1954,1954,XYLOCAINE 1% W EPINEPHRINE 1:200000,ASPEN PHARMACARE CANADA INC.,Aspen,00001805,EPINEPHRINE (EPINEPHRINE BITARTRATE); LIDOCAINE HYDROCHLORIDE,Small molecule,SOLUTION,590,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=590
ORAL,MARKETED,613,MARKETED,31.12.1953,1953,DILANTIN-125 SUSPENSION,BGP PHARMA ULC,BGP,00023450,PHENYTOIN,Small molecule,SUSPENSION,613,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=613
TOPICAL,MARKETED,631,MARKETED,31.12.1968,1968,LOCACORTEN VIOFORM,ENDO OPERATIONS LTD.,Endo,00074462,FLUMETHASONE PIVALATE; CLIOQUINOL,Small molecule,CREAM,631,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=631
SUBCUTANEOUS,MARKETED,635,MARKETED,31.12.1964,1964,OCTOCAINE HCL 2% EPINEPHRINE 1:50000,NOVOCOL PHARMACEUTICAL OF CANADA INC,NOVOCOL,00151874,LIDOCAINE HYDROCHLORIDE; EPINEPHRINE (EPINEPHRINE BITARTRATE),Small molecule,SOLUTION,635,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=635
SUBCUTANEOUS,MARKETED,636,MARKETED,31.12.1964,1964,OCTOCAINE HCL 2% EPINEPHRINE 1:100000,NOVOCOL PHARMACEUTICAL OF CANADA INC,NOVOCOL,00151866,EPINEPHRINE (EPINEPHRINE BITARTRATE); LIDOCAINE HYDROCHLORIDE,Small molecule,SOLUTION,636,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=636
ORAL,MARKETED,651,MARKETED,31.12.1966,1966,TEVA-QUININE,TEVA CANADA LIMITED,Teva,00021008,QUININE SULFATE,Small molecule,CAPSULE,651,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=651
RECTAL,MARKETED,721,MARKETED,31.12.1969,1969,FLEET ENEMA MINERAL OIL,C B FLEET COMPANY INC,Fleet,00107875,MINERAL OIL,Other,ENEMA,721,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=721
ORAL,MARKETED,728,MARKETED,31.12.1961,1961,LIBRAX,"BAUSCH HEALTH, CANADA INC.",Bausch,00115630,CHLORDIAZEPOXIDE HYDROCHLORIDE; CLIDINIUM BROMIDE,Small molecule,CAPSULE,728,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=728
ORAL,MARKETED,731,MARKETED,31.12.1964,1964,ZARONTIN SYRUP,SEARCHLIGHT PHARMA INC,Searchlight,00023485,ETHOSUXIMIDE,Small molecule,SYRUP,731,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=731
ORAL,MARKETED,769,MARKETED,31.12.1968,1968,DILANTIN-30 SUSPENSION,BGP PHARMA ULC,BGP,00023442,PHENYTOIN,Small molecule,SUSPENSION,769,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=769
ORAL,MARKETED,771,MARKETED,31.12.1960,1960,ZARONTIN,SEARCHLIGHT PHARMA INC,Searchlight,00022799,ETHOSUXIMIDE,Small molecule,CAPSULE,771,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=771
ORAL,MARKETED,772,MARKETED,31.12.1951,1951,THYROID,SEARCHLIGHT PHARMA INC,Searchlight,00023949,THYROID,Peptides and proteins,TABLET,772,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=772
ORAL,MARKETED,773,MARKETED,31.12.1951,1951,THYROID,SEARCHLIGHT PHARMA INC,Searchlight,00023957,THYROID,Peptides and proteins,TABLET,773,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=773
ORAL,MARKETED,774,MARKETED,31.12.1951,1951,THYROID,SEARCHLIGHT PHARMA INC,Searchlight,00023965,THYROID,Peptides and proteins,TABLET,774,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=774
ORAL,MARKETED,777,MARKETED,31.12.1969,1969,TEGRETOL,NOVARTIS PHARMACEUTICALS CANADA INC,Novartis,00010405,CARBAMAZEPINE,Small molecule,TABLET,777,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=777
ORAL,MARKETED,778,MARKETED,31.12.1968,1968,TEVA-HYDROCHLOROTHIAZIDE,TEVA CANADA LIMITED,Teva,00021474,HYDROCHLOROTHIAZIDE,Small molecule,TABLET,778,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=778
OPHTHALMIC,MARKETED,780,MARKETED,31.12.1969,1969,MYDRIACYL,ALCON CANADA INC,Alcon,00001007,TROPICAMIDE,Small molecule,SOLUTION,780,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=780
INTRASYNOVIAL; INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR,MARKETED,789,MARKETED,31.12.1969,1969,DEPO-MEDROL,PFIZER CANADA ULC,Pfizer,00030767,METHYLPREDNISOLONE ACETATE,Small molecule,SUSPENSION,789,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=789
OPHTHALMIC,MARKETED,793,MARKETED,31.12.1969,1969,ALCON TEARS 0.5%,ALCON CANADA INC,Alcon,00000809,HYPROMELLOSE,Other,SOLUTION,793,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=793
OPHTHALMIC,MARKETED,794,MARKETED,31.12.1970,1970,ALCON TEARS 1%,ALCON CANADA INC,Alcon,00000817,HYPROMELLOSE,Other,SOLUTION,794,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=794
TOPICAL,MARKETED,810,MARKETED,31.12.1957,1957,VIOFORM HYDROCORTISONE,ENDO OPERATIONS LTD.,Endo,00074500,HYDROCORTISONE; CLIOQUINOL,Small molecule,CREAM,810,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=810
ORAL,MARKETED,812,MARKETED,31.12.1968,1968,TEVA-HYDROCHLOROTHIAZIDE,TEVA CANADA LIMITED,Teva,00021482,HYDROCHLOROTHIAZIDE,Small molecule,TABLET,812,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=812
INTRAPERITONEAL; SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR,MARKETED,817,MARKETED,31.12.1967,1967,SODIUM CHLORIDE INJECTION USP,PFIZER CANADA ULC,Pfizer,00037796,SODIUM CHLORIDE,Other,SOLUTION,817,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=817
OTIC,MARKETED,868,MARKETED,31.12.1969,1969,LOCACORTEN VIOFORM EARDROPS,ENDO OPERATIONS LTD.,ENDO,00074454,FLUMETHASONE PIVALATE; CLIOQUINOL,Small molecule,DROPS,868,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=868
ORAL,MARKETED,872,MARKETED,31.12.1970,1970,FIORINAL-C 1/4,ARALEZ PHARMACEUTICALS CANADA INC,Aralez,00176192,BUTALBITAL; CAFFEINE; ACETYLSALICYLIC ACID; CODEINE PHOSPHATE,Small molecule,CAPSULE,872,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=872
ORAL,MARKETED,873,MARKETED,31.12.1970,1970,FIORINAL-C 1/2,ARALEZ PHARMACEUTICALS CANADA INC,Aralez,00176206,CODEINE PHOSPHATE; ACETYLSALICYLIC ACID; CAFFEINE; BUTALBITAL,Small molecule,CAPSULE,873,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=873
INTRAVENOUS,MARKETED,933,MARKETED,31.12.1958,1958,FUNGIZONE,CHEPLAPHARM ARZNEIMITTEL GMBH,CHEPLAPHARM,00029149,AMPHOTERICIN B,Small molecule,POWDER FOR SOLUTION,933,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=933
OPHTHALMIC,MARKETED,934,MARKETED,31.12.1970,1970,ALBALON,ABBVIE CORPORATION,AbbVie,00001147,NAPHAZOLINE HYDROCHLORIDE,Small molecule,DROPS,934,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=934
ORAL,MARKETED,937,MARKETED,31.12.1960,1960,LOMOTIL,PFIZER CANADA ULC,Pfizer,00036323,ATROPINE SULFATE; DIPHENOXYLATE HYDROCHLORIDE,Small molecule,TABLET,937,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=937
ORAL,MARKETED,938,MARKETED,31.12.1970,1970,MATULANE,"LEADIANT BIOSCIENCES, INC",Leadiant,00012750,PROCARBAZINE (PROCARBAZINE HYDROCHLORIDE),Small molecule,CAPSULE,938,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=938
INTRAMUSCULAR; INTRASPINAL; SUBCUTANEOUS; INTRAVENOUS; OPHTHALMIC; INTRACARDIAC,MARKETED,940,MARKETED,31.12.1951,1951,ADRENALIN,SEARCHLIGHT PHARMA INC,Searchlight,00155357,EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE),Small molecule,SOLUTION,940,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=940
ORAL,MARKETED,943,MARKETED,18.12.1986,1986,CODEINE PHOSPHATE SYRUP,LABORATOIRE ATLAS INC,Atlas,00050024,CODEINE PHOSPHATE,Small molecule,SYRUP,943,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=943
ORAL,MARKETED,944,MARKETED,31.12.1970,1970,SINEQUAN,AA PHARMA INC,AA,00024325,DOXEPIN (DOXEPIN HYDROCHLORIDE),Small molecule,CAPSULE,944,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=944
ORAL,MARKETED,945,MARKETED,31.12.1970,1970,SINEQUAN,AA PHARMA INC,AA,00024333,DOXEPIN (DOXEPIN HYDROCHLORIDE),Small molecule,CAPSULE,945,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=945
ORAL,MARKETED,946,MARKETED,31.12.1970,1970,SINEQUAN,AA PHARMA INC,AA,00024341,DOXEPIN (DOXEPIN HYDROCHLORIDE),Small molecule,CAPSULE,946,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=946
ORAL,MARKETED,959,MARKETED,31.12.1954,1954,MYLERAN,ASPEN PHARMACARE CANADA INC.,Aspen,00004618,BUSULFAN,Small molecule,TABLET,959,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=959
ORAL,MARKETED,960,MARKETED,31.12.1954,1954,PURINETHOL,TEVA CANADA LIMITED,Teva,00004723,MERCAPTOPURINE,Small molecule,TABLET,960,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=960
ORAL,MARKETED,1036,MARKETED,31.12.1951,1951,DILANTIN,BGP PHARMA ULC,BGP,00022772,PHENYTOIN SODIUM,Small molecule,CAPSULE,1036,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1036
ORAL,MARKETED,1037,MARKETED,31.12.1951,1951,DILANTIN,BGP PHARMA ULC,BGP,00022780,PHENYTOIN SODIUM,Small molecule,CAPSULE,1037,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1037
ORAL,MARKETED,1086,MARKETED,31.12.1952,1952,DILANTIN INFATABS,BGP PHARMA ULC,BGP,00023698,PHENYTOIN,Small molecule,TABLET (CHEWABLE),1086,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1086
RECTAL,MARKETED,1090,MARKETED,31.12.1950,1950,NEO-LARYNGOBIS,TEVA CANADA LIMITED,Teva,00065927,BISMUTH DIPROPYLACETATE,Small molecule,SUPPOSITORY,1090,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1090
ORAL,MARKETED,1124,MARKETED,31.12.1971,1971,TEVA-AMPICILLIN,TEVA CANADA LIMITED,Teva,00020885,AMPICILLIN (AMPICILLIN TRIHYDRATE),Small molecule,CAPSULE,1124,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1124
ORAL,MARKETED,1125,MARKETED,31.12.1971,1971,TEVA-AMPICILLIN,TEVA CANADA LIMITED,Teva,00020877,AMPICILLIN (AMPICILLIN TRIHYDRATE),Small molecule,CAPSULE,1125,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1125
INTRAVENOUS; INTRAMUSCULAR,MARKETED,1130,MARKETED,31.12.1971,1971,SOLU-MEDROL,PFIZER CANADA ULC,Pfizer,00036137,METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE),Small molecule,POWDER FOR SOLUTION,1130,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1130
INTRAMUSCULAR; INTRAVENOUS,MARKETED,1132,MARKETED,31.12.1970,1970,SOLU-MEDROL,PFIZER CANADA ULC,Pfizer,00030678,METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE),Small molecule,POWDER FOR SOLUTION,1132,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1132
INTRASYNOVIAL; INTRALESIONAL; INTRA-ARTICULAR; INTRAMUSCULAR,MARKETED,1134,MARKETED,31.12.1960,1960,DEPO-MEDROL,PFIZER CANADA ULC,Pfizer,00030759,METHYLPREDNISOLONE ACETATE,Small molecule,SUSPENSION,1134,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1134
OPHTHALMIC,MARKETED,1172,MARKETED,31.12.1971,1971,ALCAINE,ALCON CANADA INC,Alcon,00035076,PROPARACAINE HYDROCHLORIDE,Small molecule,DROPS,1172,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1172
INTRAVENOUS,MARKETED,1181,MARKETED,31.12.1970,1970,MANNITOL INJECTION USP,PFIZER CANADA ULC,Pfizer,00038024,MANNITOL,Small molecule,SOLUTION,1181,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1181
ORAL,MARKETED,1192,MARKETED,31.12.1966,1966,IMURAN,ASPEN PHARMACARE CANADA INC.,Aspen,00004596,AZATHIOPRINE,Small molecule,TABLET,1192,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1192
ORAL,MARKETED,1193,MARKETED,31.12.1957,1957,LEUKERAN,ASPEN PHARMACARE CANADA INC.,Aspen,00004626,CHLORAMBUCIL,Small molecule,TABLET,1193,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1193
ORAL,MARKETED,1195,MARKETED,31.12.1964,1964,ALKERAN,ASPEN PHARMACARE CANADA INC.,Aspen,00004715,MELPHALAN,Small molecule,TABLET,1195,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1195
INTRAVENOUS; INTRAMUSCULAR,MARKETED,1214,MARKETED,31.12.1972,1972,KETALAR,SEARCHLIGHT PHARMA INC,Searchlight,00224391,KETAMINE (KETAMINE HYDROCHLORIDE),Small molecule,SOLUTION,1214,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1214
INTRAVENOUS; INTRAMUSCULAR,MARKETED,1215,MARKETED,31.12.1972,1972,KETALAR,SEARCHLIGHT PHARMA INC,Searchlight,00224405,KETAMINE (KETAMINE HYDROCHLORIDE),Small molecule,SOLUTION,1215,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1215
ORAL,MARKETED,1225,MARKETED,31.12.1972,1972,DALACIN C FLAVOURED GRANULES,PFIZER CANADA ULC,Pfizer,00225851,CLINDAMYCIN (CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE),Small molecule,GRANULES FOR SOLUTION,1225,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1225
ORAL,MARKETED,1233,MARKETED,31.12.1971,1971,FIORINAL,ARALEZ PHARMACEUTICALS CANADA INC,Aralez,00226327,CAFFEINE; ACETYLSALICYLIC ACID; BUTALBITAL,Small molecule,CAPSULE,1233,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1233
INTRAPERITONEAL; IRRIGATION,MARKETED,1239,MARKETED,31.12.1964,1964,SODIUM CHLORIDE IRRIGATION USP,ICU MEDICAL CANADA INC,ICU Medical,00037826,SODIUM CHLORIDE,Other,SOLUTION,1239,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1239
SUBLINGUAL,MARKETED,1253,MARKETED,31.12.1972,1972,NITROSTAT,BGP PHARMA ULC,BGP,00037621,NITROGLYCERIN,Small molecule,TABLET,1253,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1253
SUBLINGUAL,MARKETED,1254,MARKETED,31.12.1972,1972,NITROSTAT,BGP PHARMA ULC,BGP,00037613,NITROGLYCERIN,Small molecule,TABLET,1254,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1254
ORAL,MARKETED,1256,MARKETED,31.12.1951,1951,KIDS GRAVOL LIQUID,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00230197,DIMENHYDRINATE,Small molecule,SYRUP,1256,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1256
INTRAMUSCULAR,MARKETED,1275,MARKETED,31.12.1955,1955,DELATESTRYL,"BAUSCH HEALTH, CANADA INC.",Bausch,00029246,TESTOSTERONE ENANTHATE,Peptides and proteins,SOLUTION,1275,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=1275
