DRUG_CODE,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Pharmaceutical_form,Administration_route,Decision,Decision_date,Current_status,Marketing_authorisation_holder,Decision_year
72917,02248562,APO-METRONIDAZOLE,METRONIDAZOLE,CAPSULE,ORAL,MARKETED,27.11.2003,MARKETED,APOTEX INC,2003
72923,02248568,ROBITUSSIN SUGAR FREE COUGH CONTROL,GUAIFENESIN; DEXTROMETHORPHAN HYDROBROMIDE,SYRUP,ORAL,APPROVED,12.10.2005,MARKETED,GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC,2005
72935,02248580,EXTRA STRENGTH FLU RELIEF DAYTIME,ACETAMINOPHEN; PSEUDOEPHEDRINE HYDROCHLORIDE; DEXTROMETHORPHAN HYDROBROMIDE,TABLET,ORAL,MARKETED,01.03.2004,MARKETED,VITA HEALTH PRODUCTS INC,2004
72943,02248588,INFACOL,SIMETHICONE,SUSPENSION,ORAL,MARKETED,27.07.2006,MARKETED,LEDA HEALTH INNOVATIONS INC.,2006
72967,02248611,REYATAZ,ATAZANAVIR (ATAZANAVIR SULFATE),CAPSULE,ORAL,APPROVED,05.12.2003,MARKETED,BRISTOL-MYERS SQUIBB CANADA,2003
72981,02248624,FASLODEX,FULVESTRANT,SOLUTION,INTRAMUSCULAR,APPROVED,17.02.2004,MARKETED,ASTRAZENECA CANADA INC,2004
72996,02248639,OCTREOTIDE ACETATE OMEGA,OCTREOTIDE (OCTREOTIDE ACETATE),SOLUTION,SUBCUTANEOUS; INTRAVENOUS,APPROVED,05.01.2004,MARKETED,OMEGA LABORATORIES LIMITED,2004
72997,02248640,OCTREOTIDE ACETATE OMEGA,OCTREOTIDE (OCTREOTIDE ACETATE),SOLUTION,INTRAVENOUS; SUBCUTANEOUS,APPROVED,05.01.2004,MARKETED,OMEGA LABORATORIES LIMITED,2004
72998,02248641,OCTREOTIDE ACETATE OMEGA,OCTREOTIDE (OCTREOTIDE ACETATE),SOLUTION,SUBCUTANEOUS; INTRAVENOUS,APPROVED,05.01.2004,MARKETED,OMEGA LABORATORIES LIMITED,2004
72999,02248642,OCTREOTIDE ACETATE OMEGA,OCTREOTIDE (OCTREOTIDE ACETATE),SOLUTION,INTRAVENOUS; SUBCUTANEOUS,APPROVED,05.01.2004,MARKETED,OMEGA LABORATORIES LIMITED,2004
73002,02248645,ADVIL COLD & SINUS PLUS,IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE; CHLORPHENIRAMINE MALEATE,TABLET,ORAL,APPROVED,19.12.2003,MARKETED,HALEON CANADA ULC,2003
73003,02248646,EXTRA STRENGTH HEAD COLD AND SINUS,PSEUDOEPHEDRINE HYDROCHLORIDE; ACETAMINOPHEN,TABLET,ORAL,MARKETED,01.04.2004,MARKETED,VITA HEALTH PRODUCTS INC,2004
73040,02248676,IRESSA,GEFITINIB,TABLET,ORAL,APPROVED,17.12.2003,MARKETED,ASTRAZENECA CANADA INC,2003
73064,02248700,EXTRA STRENGTH FLU RELIEF NIGHTIME,ACETAMINOPHEN; DIPHENHYDRAMINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE,TABLET,ORAL,MARKETED,07.01.2004,MARKETED,VITA HEALTH PRODUCTS INC,2004
73070,02248706,PRO-ALPRAZOLAM,ALPRAZOLAM,TABLET,ORAL,APPROVED,17.12.2003,MARKETED,PRO DOC LIMITEE,2003
73086,02248722,ACULAR LS,KETOROLAC TROMETHAMINE,SOLUTION,OPHTHALMIC,APPROVED,12.01.2004,MARKETED,ABBVIE CORPORATION,2004
73098,02248730,APO-ALENDRONATE,ALENDRONIC ACID (ALENDRONATE SODIUM),TABLET,ORAL,APPROVED,27.05.2005,MARKETED,APOTEX INC,2005
73120,02248752,CARVEDILOL,CARVEDILOL,TABLET,ORAL,APPROVED,03.03.2004,MARKETED,SIVEM PHARMACEUTICALS ULC,2004
73121,02248753,CARVEDILOL,CARVEDILOL,TABLET,ORAL,APPROVED,03.03.2004,MARKETED,SIVEM PHARMACEUTICALS ULC,2004
73122,02248754,CARVEDILOL,CARVEDILOL,TABLET,ORAL,APPROVED,03.03.2004,MARKETED,SIVEM PHARMACEUTICALS ULC,2004
73123,02248755,CARVEDILOL,CARVEDILOL,TABLET,ORAL,APPROVED,03.03.2004,MARKETED,SIVEM PHARMACEUTICALS ULC,2004
73124,02248756,SANDOZ CIPROFLOXACIN,CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE),TABLET,ORAL,MARKETED,18.02.2004,MARKETED,SANDOZ CANADA INCORPORATED,2004
73125,02248757,SANDOZ CIPROFLOXACIN,CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE),TABLET,ORAL,MARKETED,18.02.2004,MARKETED,SANDOZ CANADA INCORPORATED,2004
73126,02248758,SANDOZ CIPROFLOXACIN,CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE),TABLET,ORAL,MARKETED,18.02.2004,MARKETED,SANDOZ CANADA INCORPORATED,2004
73130,02248762,PMS-MIRTAZAPINE,MIRTAZAPINE,TABLET,ORAL,APPROVED,14.01.2004,MARKETED,PHARMASCIENCE INC,2004
73131,02248763,AA-ATENIDONE,CHLORTHALIDONE; ATENOLOL,TABLET,ORAL,APPROVED,15.01.2004,MARKETED,AA PHARMA INC,2004
73132,02248764,AA-ATENIDONE,ATENOLOL; CHLORTHALIDONE,TABLET,ORAL,APPROVED,15.01.2004,MARKETED,AA PHARMA INC,2004
73177,02248808,ADDERALL XR,MIXED SALTS AMPHETAMINE,CAPSULE (EXTENDED RELEASE),ORAL,APPROVED,23.01.2004,MARKETED,TAKEDA CANADA INC,2004
73178,02248809,ADDERALL XR,MIXED SALTS AMPHETAMINE,CAPSULE (EXTENDED RELEASE),ORAL,APPROVED,23.01.2004,MARKETED,TAKEDA CANADA INC,2004
73179,02248810,ADDERALL XR,MIXED SALTS AMPHETAMINE,CAPSULE (EXTENDED RELEASE),ORAL,APPROVED,23.01.2004,MARKETED,TAKEDA CANADA INC,2004
73180,02248811,ADDERALL XR,MIXED SALTS AMPHETAMINE,CAPSULE (EXTENDED RELEASE),ORAL,APPROVED,23.01.2004,MARKETED,TAKEDA CANADA INC,2004
73181,02248812,ADDERALL XR,MIXED SALTS AMPHETAMINE,CAPSULE (EXTENDED RELEASE),ORAL,APPROVED,23.01.2004,MARKETED,TAKEDA CANADA INC,2004
73182,02248813,ADDERALL XR,MIXED SALTS AMPHETAMINE,CAPSULE (EXTENDED RELEASE),ORAL,APPROVED,23.01.2004,MARKETED,TAKEDA CANADA INC,2004
73193,02248823,ACID CONCENTRATE A1253,ACETIC ACID; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; CALCIUM CHLORIDE,SOLUTION,HAEMODIALYSIS,MARKETED,28.08.2006,MARKETED,CHIEF MEDICAL SUPPLIES LTD,2006
73225,02248854,THERATEARS LUBRICANT EYE DROPS,CARBOXYMETHYLCELLULOSE SODIUM,SOLUTION,OPHTHALMIC,MARKETED,24.06.2004,MARKETED,MEDTECH PRODUCTS INC,2004
73226,02248855,PMS-METOPROLOL-L,METOPROLOL TARTRATE,TABLET,ORAL,APPROVED,19.03.2004,MARKETED,PHARMASCIENCE INC,2004
73230,02248858,BENYLIN FOR CHILDREN COUGH NIGHT,DIPHENHYDRAMINE HYDROCHLORIDE,SOLUTION,ORAL,APPROVED,07.04.2011,MARKETED,MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,2011
73231,02248859,BENYLIN SLEEP TIME,DIPHENHYDRAMINE HYDROCHLORIDE,LIQUID,ORAL,APPROVED,27.01.2011,MARKETED,MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,2011
73232,02248860,TEVA-TOPIRAMATE,TOPIRAMATE,TABLET,ORAL,MARKETED,14.09.2005,MARKETED,TEVA CANADA LIMITED,2005
73233,02248861,TEVA-TOPIRAMATE,TOPIRAMATE,TABLET,ORAL,MARKETED,14.09.2005,MARKETED,TEVA CANADA LIMITED,2005
73234,02248862,TEVA-TOPIRAMATE,TOPIRAMATE,TABLET,ORAL,APPROVED,14.09.2005,MARKETED,TEVA CANADA LIMITED,2005
73287,02248913,PAROXETINE-10,PAROXETINE (PAROXETINE HYDROCHLORIDE),TABLET,ORAL,APPROVED,05.02.2004,MARKETED,PRO DOC LIMITEE,2004
73288,02248914,PAROXETINE-20,PAROXETINE (PAROXETINE HYDROCHLORIDE),TABLET,ORAL,APPROVED,05.02.2004,MARKETED,PRO DOC LIMITEE,2004
73289,02248915,PAROXETINE-30,PAROXETINE (PAROXETINE HYDROCHLORIDE),TABLET,ORAL,APPROVED,05.02.2004,MARKETED,PRO DOC LIMITEE,2004
73309,02248934,BICARBONATE CONCENTRATE B38,SODIUM BICARBONATE,SOLUTION,HAEMODIALYSIS,MARKETED,04.07.2005,MARKETED,CHIEF MEDICAL SUPPLIES LTD,2005
73340,02248965,FABRAZYME,AGALSIDASE BETA,POWDER FOR SOLUTION,INTRAVENOUS,APPROVED,23.01.2004,MARKETED,SANOFI-AVENTIS CANADA INC,2004
73341,02248966,FABRAZYME,AGALSIDASE BETA,POWDER FOR SOLUTION,INTRAVENOUS,APPROVED,23.01.2004,MARKETED,SANOFI-AVENTIS CANADA INC,2004
73355,02248973,APO-MELOXICAM,MELOXICAM,TABLET,ORAL,APPROVED,03.02.2004,MARKETED,APOTEX INC,2004
73356,02248974,APO-MELOXICAM,MELOXICAM,TABLET,ORAL,APPROVED,03.02.2004,MARKETED,APOTEX INC,2004
73377,02248992,ZOMIG NASAL SPRAY,ZOLMITRIPTAN,SPRAY,ORAL; NASAL,APPROVED,02.03.2004,MARKETED,XEDITON PHARMACEUTICALS INC,2004
73378,02248993,ZOMIG NASAL SPRAY,ZOLMITRIPTAN,SPRAY,ORAL; NASAL,APPROVED,02.03.2004,MARKETED,XEDITON PHARMACEUTICALS INC,2004
73379,02248994,DIARRHEA RELIEF,LOPERAMIDE HYDROCHLORIDE,TABLET,ORAL,APPROVED,29.01.2004,MARKETED,PHARMASCIENCE INC,2004
73384,02248999,ELIGARD,LEUPROLIDE ACETATE,"POWDER FOR SUSPENSION, SUSTAINED-RELEASE",SUBCUTANEOUS,APPROVED,23.02.2004,MARKETED,TOLMAR INTERNATIONAL LTD.,2004
73392,02249057,REPLAGAL,AGALSIDASE ALFA,SOLUTION,INTRAVENOUS,APPROVED,06.02.2004,MARKETED,TAKEDA CANADA INC,2004
73416,02249324,APO-METHYLPHENIDATE,METHYLPHENIDATE HYDROCHLORIDE,TABLET,ORAL,MARKETED,02.11.2004,MARKETED,APOTEX INC,2004
73417,02249332,APO-METHYLPHENIDATE,METHYLPHENIDATE HYDROCHLORIDE,TABLET,ORAL,MARKETED,02.11.2004,MARKETED,APOTEX INC,2004
73420,02249405,ACTIVELLE,ESTRADIOL; NORETHINDRONE ACETATE,TABLET,ORAL,APPROVED,30.03.2004,MARKETED,NOVO NORDISK CANADA INC,2004
73429,02249464,PREVACID FASTAB,LANSOPRAZOLE,TABLET (DELAYED-RELEASE),ORAL,APPROVED,01.04.2004,MARKETED,TAKEDA PHARMACEUTICALS AMERICA INC,2004
