DRUG_CODE,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Pharmaceutical_form,Administration_route,Decision,Decision_date,Current_status,Marketing_authorisation_holder,Decision_year
9,00015741,TAPAZOLE,METHIMAZOLE,TABLET,ORAL,MARKETED,31.12.1951,APPROVED,ENDO OPERATIONS LTD.,1951
15,00015229,AVENTYL,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),CAPSULE,ORAL,MARKETED,31.12.1965,APPROVED,AA PHARMA INC,1965
16,00015237,AVENTYL,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),CAPSULE,ORAL,MARKETED,31.12.1965,APPROVED,AA PHARMA INC,1965
57,00050520,MINERALE LEGERE HUILE,MINERAL OIL LIGHT,LIQUID,TOPICAL,MARKETED,31.12.1951,MARKETED,LABORATOIRE ATLAS INC,1951
68,00050466,METHYLENE BLEU LIQ 1%,METHYLENE BLUE,LIQUID,ORAL,MARKETED,31.12.1951,MARKETED,LABORATOIRE ATLAS INC,1951
69,00050474,METHYLENE BLEU LIQ 2%,METHYLENE BLUE,LIQUID,ORAL,MARKETED,31.12.1951,MARKETED,LABORATOIRE ATLAS INC,1951
115,00037818,BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP,SODIUM CHLORIDE,SOLUTION,INTRAVENOUS; SUBCUTANEOUS; INTRAMUSCULAR,MARKETED,31.12.1951,MARKETED,PFIZER CANADA ULC,1951
117,00038202,BACTERIOSTATIC WATER FOR INJECTION USP,WATER,SOLUTION,INTRAVENOUS; SUBCUTANEOUS; INTRAMUSCULAR,MARKETED,31.12.1952,MARKETED,PFIZER CANADA ULC,1952
160,00009881,PAPAVERINE HYDROCHLORIDE INJECTION USP,PAPAVERINE HYDROCHLORIDE,LIQUID,INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,MARKETED,31.12.1951,MARKETED,SANDOZ CANADA INCORPORATED,1951
193,00013609,GRAVOL SUPPOSITORIES,DIMENHYDRINATE,SUPPOSITORY,RECTAL,MARKETED,31.12.1951,MARKETED,CHURCH & DWIGHT CANADA CORP,1951
197,00013579,GRAVOL IM,DIMENHYDRINATE,SOLUTION,INTRAMUSCULAR,MARKETED,31.12.1953,MARKETED,CHURCH & DWIGHT CANADA CORP,1953
198,00013617,OVOL DROPS,SIMETHICONE,DROPS,ORAL,MARKETED,31.12.1963,MARKETED,CHURCH & DWIGHT CANADA CORP,1963
211,00001961,XYLOCAINE OINTMENT 5%,LIDOCAINE,OINTMENT,TOPICAL,MARKETED,31.12.1954,MARKETED,ASPEN PHARMACARE CANADA INC.,1954
212,00001694,XYLOCAINE JELLY 2%,LIDOCAINE HYDROCHLORIDE,GEL,TOPICAL,MARKETED,31.12.1951,MARKETED,ASPEN PHARMACARE CANADA INC.,1951
227,00038172,QUELICIN,SUCCINYLCHOLINE CHLORIDE,SOLUTION,INTRAVENOUS,MARKETED,31.12.1952,MARKETED,PFIZER CANADA ULC,1952
228,00037834,SODIUM CHLORIDE IRRIGATION USP,SODIUM CHLORIDE,SOLUTION,TOPICAL; IRRIGATION; INTRAPERITONEAL,MARKETED,31.12.1966,MARKETED,ICU MEDICAL CANADA INC,1966
229,00038229,STERILE WATER FOR IRRIGATION USP,WATER,LIQUID,TOPICAL; INTRAPERITONEAL; IRRIGATION,MARKETED,31.12.1964,MARKETED,ICU MEDICAL CANADA INC,1964
250,00213071,COSMEGEN,DACTINOMYCIN,POWDER FOR SOLUTION,INTRAVENOUS,MARKETED,31.12.1963,MARKETED,RECORDATI RARE DISEASES CANADA INC,1963
254,00035017,ALCON ATROPINE,ATROPINE SULFATE,SOLUTION,OPHTHALMIC,MARKETED,31.12.1964,MARKETED,ALCON CANADA INC,1964
259,00042676,MAXITROL,POLYMYXIN B SULFATE; DEXAMETHASONE; NEOMYCIN (NEOMYCIN SULFATE),SUSPENSION,OPHTHALMIC,MARKETED,31.12.1963,MARKETED,NOVARTIS PHARMACEUTICALS CANADA INC,1963
260,00000981,MYDRIACYL,TROPICAMIDE,SOLUTION,OPHTHALMIC,MARKETED,31.12.1951,MARKETED,ALCON CANADA INC,1951
287,00016055,CUPRIMINE,PENICILLAMINE,CAPSULE,ORAL,MARKETED,31.12.1964,MARKETED,"BAUSCH HEALTH, CANADA INC.",1964
290,00021016,TEVA-QUININE,QUININE SULFATE,CAPSULE,ORAL,MARKETED,31.12.1966,MARKETED,TEVA CANADA LIMITED,1966
316,00024694,ATARAX,HYDROXYZINE HYDROCHLORIDE,SYRUP,ORAL,MARKETED,31.12.1956,MARKETED,SEARCHLIGHT PHARMA INC,1956
354,00028096,CELESTONE SOLUSPAN,BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE); BETAMETHASONE ACETATE,SUSPENSION,INTRAMUSCULAR; INTRABURSAL; INTRA-ARTICULAR; INTRADERMAL,MARKETED,31.12.1965,MARKETED,ORGANON CANADA INC.,1965
405,00178799,PHENOBARB,PHENOBARBITAL,TABLET,ORAL,MARKETED,31.12.1957,MARKETED,PENDOPHARM DIVISION OF PHARMASCIENCE INC,1957
406,00178802,PHENOBARB,PHENOBARBITAL,TABLET,ORAL,MARKETED,31.12.1957,MARKETED,PENDOPHARM DIVISION OF PHARMASCIENCE INC,1957
407,00178810,PHENOBARB,PHENOBARBITAL,TABLET,ORAL,MARKETED,31.12.1957,MARKETED,PENDOPHARM DIVISION OF PHARMASCIENCE INC,1957
408,00178829,PHENOBARB,PHENOBARBITAL,TABLET,ORAL,MARKETED,31.12.1957,MARKETED,PENDOPHARM DIVISION OF PHARMASCIENCE INC,1957
415,00027243,"DIHYDROERGOTAMINE (DHE), 1MG/ML",DIHYDROERGOTAMINE MESYLATE,LIQUID,INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS,MARKETED,31.12.1946,MARKETED,STERIMAX INC,1946
430,00030937,PROVERA 5MG TABLETS,MEDROXYPROGESTERONE ACETATE,TABLET,ORAL,MARKETED,31.12.1961,MARKETED,PFIZER CANADA ULC,1961
432,00030910,CORTEF,HYDROCORTISONE,TABLET,ORAL,MARKETED,31.12.1954,MARKETED,PFIZER CANADA ULC,1954
433,00030929,CORTEF,HYDROCORTISONE,TABLET,ORAL,MARKETED,31.12.1954,MARKETED,PFIZER CANADA ULC,1954
507,00021695,TEVA-PREDNISONE,PREDNISONE,TABLET,ORAL,MARKETED,31.12.1967,MARKETED,TEVA CANADA LIMITED,1967
579,00021288,TEVA-PHENIRAM,CHLORPHENIRAMINE MALEATE,TABLET,ORAL,MARKETED,31.12.1967,MARKETED,TEVA CANADA LIMITED,1967
585,00001732,XYLOCAINE 1%,LIDOCAINE HYDROCHLORIDE,SOLUTION,BLOCK/INFILTRATION,MARKETED,31.12.1954,MARKETED,ASPEN PHARMACARE CANADA INC.,1954
587,00036641,XYLOCAINE 2%,LIDOCAINE HYDROCHLORIDE,SOLUTION,BLOCK/INFILTRATION,MARKETED,31.12.1954,MARKETED,ASPEN PHARMACARE CANADA INC.,1954
589,00001791,XYLOCAINE 1% W EPINEPHRINE 1:100000,LIDOCAINE HYDROCHLORIDE; EPINEPHRINE (EPINEPHRINE BITARTRATE),SOLUTION,BLOCK/INFILTRATION,MARKETED,31.12.1954,MARKETED,ASPEN PHARMACARE CANADA INC.,1954
590,00001805,XYLOCAINE 1% W EPINEPHRINE 1:200000,EPINEPHRINE (EPINEPHRINE BITARTRATE); LIDOCAINE HYDROCHLORIDE,SOLUTION,BLOCK/INFILTRATION,MARKETED,31.12.1954,MARKETED,ASPEN PHARMACARE CANADA INC.,1954
613,00023450,DILANTIN-125 SUSPENSION,PHENYTOIN,SUSPENSION,ORAL,MARKETED,31.12.1953,MARKETED,BGP PHARMA ULC,1953
631,00074462,LOCACORTEN VIOFORM,FLUMETHASONE PIVALATE; CLIOQUINOL,CREAM,TOPICAL,MARKETED,31.12.1968,MARKETED,ENDO OPERATIONS LTD.,1968
635,00151874,OCTOCAINE HCL 2% EPINEPHRINE 1:50000,LIDOCAINE HYDROCHLORIDE; EPINEPHRINE (EPINEPHRINE BITARTRATE),SOLUTION,SUBCUTANEOUS,MARKETED,31.12.1964,MARKETED,NOVOCOL PHARMACEUTICAL OF CANADA INC,1964
636,00151866,OCTOCAINE HCL 2% EPINEPHRINE 1:100000,EPINEPHRINE (EPINEPHRINE BITARTRATE); LIDOCAINE HYDROCHLORIDE,SOLUTION,SUBCUTANEOUS,MARKETED,31.12.1964,MARKETED,NOVOCOL PHARMACEUTICAL OF CANADA INC,1964
651,00021008,TEVA-QUININE,QUININE SULFATE,CAPSULE,ORAL,MARKETED,31.12.1966,MARKETED,TEVA CANADA LIMITED,1966
721,00107875,FLEET ENEMA MINERAL OIL,MINERAL OIL,ENEMA,RECTAL,MARKETED,31.12.1969,MARKETED,C B FLEET COMPANY INC,1969
728,00115630,LIBRAX,CHLORDIAZEPOXIDE HYDROCHLORIDE; CLIDINIUM BROMIDE,CAPSULE,ORAL,MARKETED,31.12.1961,MARKETED,"BAUSCH HEALTH, CANADA INC.",1961
731,00023485,ZARONTIN SYRUP,ETHOSUXIMIDE,SYRUP,ORAL,MARKETED,31.12.1964,MARKETED,SEARCHLIGHT PHARMA INC,1964
769,00023442,DILANTIN-30 SUSPENSION,PHENYTOIN,SUSPENSION,ORAL,MARKETED,31.12.1968,MARKETED,BGP PHARMA ULC,1968
771,00022799,ZARONTIN,ETHOSUXIMIDE,CAPSULE,ORAL,MARKETED,31.12.1960,MARKETED,SEARCHLIGHT PHARMA INC,1960
772,00023949,THYROID,THYROID,TABLET,ORAL,MARKETED,31.12.1951,MARKETED,SEARCHLIGHT PHARMA INC,1951
773,00023957,THYROID,THYROID,TABLET,ORAL,MARKETED,31.12.1951,MARKETED,SEARCHLIGHT PHARMA INC,1951
774,00023965,THYROID,THYROID,TABLET,ORAL,MARKETED,31.12.1951,MARKETED,SEARCHLIGHT PHARMA INC,1951
777,00010405,TEGRETOL,CARBAMAZEPINE,TABLET,ORAL,MARKETED,31.12.1969,MARKETED,NOVARTIS PHARMACEUTICALS CANADA INC,1969
778,00021474,TEVA-HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,TABLET,ORAL,MARKETED,31.12.1968,MARKETED,TEVA CANADA LIMITED,1968
780,00001007,MYDRIACYL,TROPICAMIDE,SOLUTION,OPHTHALMIC,MARKETED,31.12.1969,MARKETED,ALCON CANADA INC,1969
789,00030767,DEPO-MEDROL,METHYLPREDNISOLONE ACETATE,SUSPENSION,INTRASYNOVIAL; INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR,MARKETED,31.12.1969,MARKETED,PFIZER CANADA ULC,1969
793,00000809,ALCON TEARS 0.5%,HYPROMELLOSE,SOLUTION,OPHTHALMIC,MARKETED,31.12.1969,MARKETED,ALCON CANADA INC,1969
794,00000817,ALCON TEARS 1%,HYPROMELLOSE,SOLUTION,OPHTHALMIC,MARKETED,31.12.1970,MARKETED,ALCON CANADA INC,1970
810,00074500,VIOFORM HYDROCORTISONE,HYDROCORTISONE; CLIOQUINOL,CREAM,TOPICAL,MARKETED,31.12.1957,MARKETED,ENDO OPERATIONS LTD.,1957
812,00021482,TEVA-HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,TABLET,ORAL,MARKETED,31.12.1968,MARKETED,TEVA CANADA LIMITED,1968
817,00037796,SODIUM CHLORIDE INJECTION USP,SODIUM CHLORIDE,SOLUTION,INTRAPERITONEAL; SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR,MARKETED,31.12.1967,MARKETED,PFIZER CANADA ULC,1967
868,00074454,LOCACORTEN VIOFORM EARDROPS,FLUMETHASONE PIVALATE; CLIOQUINOL,DROPS,OTIC,MARKETED,31.12.1969,MARKETED,ENDO OPERATIONS LTD.,1969
872,00176192,FIORINAL-C 1/4,BUTALBITAL; CAFFEINE; ACETYLSALICYLIC ACID; CODEINE PHOSPHATE,CAPSULE,ORAL,MARKETED,31.12.1970,MARKETED,ARALEZ PHARMACEUTICALS CANADA INC,1970
873,00176206,FIORINAL-C 1/2,CODEINE PHOSPHATE; ACETYLSALICYLIC ACID; CAFFEINE; BUTALBITAL,CAPSULE,ORAL,MARKETED,31.12.1970,MARKETED,ARALEZ PHARMACEUTICALS CANADA INC,1970
933,00029149,FUNGIZONE,AMPHOTERICIN B,POWDER FOR SOLUTION,INTRAVENOUS,MARKETED,31.12.1958,MARKETED,CHEPLAPHARM ARZNEIMITTEL GMBH,1958
934,00001147,ALBALON,NAPHAZOLINE HYDROCHLORIDE,DROPS,OPHTHALMIC,MARKETED,31.12.1970,MARKETED,ABBVIE CORPORATION,1970
937,00036323,LOMOTIL,ATROPINE SULFATE; DIPHENOXYLATE HYDROCHLORIDE,TABLET,ORAL,MARKETED,31.12.1960,MARKETED,PFIZER CANADA ULC,1960
938,00012750,MATULANE,PROCARBAZINE (PROCARBAZINE HYDROCHLORIDE),CAPSULE,ORAL,MARKETED,31.12.1970,MARKETED,"LEADIANT BIOSCIENCES, INC",1970
940,00155357,ADRENALIN,EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE),SOLUTION,INTRAMUSCULAR; INTRASPINAL; SUBCUTANEOUS; INTRAVENOUS; OPHTHALMIC; INTRACARDIAC,MARKETED,31.12.1951,MARKETED,SEARCHLIGHT PHARMA INC,1951
943,00050024,CODEINE PHOSPHATE SYRUP,CODEINE PHOSPHATE,SYRUP,ORAL,MARKETED,18.12.1986,MARKETED,LABORATOIRE ATLAS INC,1986
944,00024325,SINEQUAN,DOXEPIN (DOXEPIN HYDROCHLORIDE),CAPSULE,ORAL,MARKETED,31.12.1970,MARKETED,AA PHARMA INC,1970
945,00024333,SINEQUAN,DOXEPIN (DOXEPIN HYDROCHLORIDE),CAPSULE,ORAL,MARKETED,31.12.1970,MARKETED,AA PHARMA INC,1970
946,00024341,SINEQUAN,DOXEPIN (DOXEPIN HYDROCHLORIDE),CAPSULE,ORAL,MARKETED,31.12.1970,MARKETED,AA PHARMA INC,1970
959,00004618,MYLERAN,BUSULFAN,TABLET,ORAL,MARKETED,31.12.1954,MARKETED,ASPEN PHARMACARE CANADA INC.,1954
960,00004723,PURINETHOL,MERCAPTOPURINE,TABLET,ORAL,MARKETED,31.12.1954,MARKETED,TEVA CANADA LIMITED,1954
1036,00022772,DILANTIN,PHENYTOIN SODIUM,CAPSULE,ORAL,MARKETED,31.12.1951,MARKETED,BGP PHARMA ULC,1951
1037,00022780,DILANTIN,PHENYTOIN SODIUM,CAPSULE,ORAL,MARKETED,31.12.1951,MARKETED,BGP PHARMA ULC,1951
1086,00023698,DILANTIN INFATABS,PHENYTOIN,TABLET (CHEWABLE),ORAL,MARKETED,31.12.1952,MARKETED,BGP PHARMA ULC,1952
1090,00065927,NEO-LARYNGOBIS,BISMUTH DIPROPYLACETATE,SUPPOSITORY,RECTAL,MARKETED,31.12.1950,MARKETED,TEVA CANADA LIMITED,1950
1124,00020885,TEVA-AMPICILLIN,AMPICILLIN (AMPICILLIN TRIHYDRATE),CAPSULE,ORAL,MARKETED,31.12.1971,MARKETED,TEVA CANADA LIMITED,1971
1125,00020877,TEVA-AMPICILLIN,AMPICILLIN (AMPICILLIN TRIHYDRATE),CAPSULE,ORAL,MARKETED,31.12.1971,MARKETED,TEVA CANADA LIMITED,1971
1130,00036137,SOLU-MEDROL,METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE),POWDER FOR SOLUTION,INTRAVENOUS; INTRAMUSCULAR,MARKETED,31.12.1971,MARKETED,PFIZER CANADA ULC,1971
1132,00030678,SOLU-MEDROL,METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE),POWDER FOR SOLUTION,INTRAMUSCULAR; INTRAVENOUS,MARKETED,31.12.1970,MARKETED,PFIZER CANADA ULC,1970
1134,00030759,DEPO-MEDROL,METHYLPREDNISOLONE ACETATE,SUSPENSION,INTRASYNOVIAL; INTRALESIONAL; INTRA-ARTICULAR; INTRAMUSCULAR,MARKETED,31.12.1960,MARKETED,PFIZER CANADA ULC,1960
1172,00035076,ALCAINE,PROPARACAINE HYDROCHLORIDE,DROPS,OPHTHALMIC,MARKETED,31.12.1971,MARKETED,ALCON CANADA INC,1971
1181,00038024,MANNITOL INJECTION USP,MANNITOL,SOLUTION,INTRAVENOUS,MARKETED,31.12.1970,MARKETED,PFIZER CANADA ULC,1970
1192,00004596,IMURAN,AZATHIOPRINE,TABLET,ORAL,MARKETED,31.12.1966,MARKETED,ASPEN PHARMACARE CANADA INC.,1966
1193,00004626,LEUKERAN,CHLORAMBUCIL,TABLET,ORAL,MARKETED,31.12.1957,MARKETED,ASPEN PHARMACARE CANADA INC.,1957
1195,00004715,ALKERAN,MELPHALAN,TABLET,ORAL,MARKETED,31.12.1964,MARKETED,ASPEN PHARMACARE CANADA INC.,1964
1214,00224391,KETALAR,KETAMINE (KETAMINE HYDROCHLORIDE),SOLUTION,INTRAVENOUS; INTRAMUSCULAR,MARKETED,31.12.1972,MARKETED,SEARCHLIGHT PHARMA INC,1972
1215,00224405,KETALAR,KETAMINE (KETAMINE HYDROCHLORIDE),SOLUTION,INTRAVENOUS; INTRAMUSCULAR,MARKETED,31.12.1972,MARKETED,SEARCHLIGHT PHARMA INC,1972
1225,00225851,DALACIN C FLAVOURED GRANULES,CLINDAMYCIN (CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE),GRANULES FOR SOLUTION,ORAL,MARKETED,31.12.1972,MARKETED,PFIZER CANADA ULC,1972
1233,00226327,FIORINAL,CAFFEINE; ACETYLSALICYLIC ACID; BUTALBITAL,CAPSULE,ORAL,MARKETED,31.12.1971,MARKETED,ARALEZ PHARMACEUTICALS CANADA INC,1971
1239,00037826,SODIUM CHLORIDE IRRIGATION USP,SODIUM CHLORIDE,SOLUTION,INTRAPERITONEAL; IRRIGATION,MARKETED,31.12.1964,MARKETED,ICU MEDICAL CANADA INC,1964
1253,00037621,NITROSTAT,NITROGLYCERIN,TABLET,SUBLINGUAL,MARKETED,31.12.1972,MARKETED,BGP PHARMA ULC,1972
1254,00037613,NITROSTAT,NITROGLYCERIN,TABLET,SUBLINGUAL,MARKETED,31.12.1972,MARKETED,BGP PHARMA ULC,1972
1256,00230197,KIDS GRAVOL LIQUID,DIMENHYDRINATE,SYRUP,ORAL,MARKETED,31.12.1951,MARKETED,CHURCH & DWIGHT CANADA CORP,1951
1275,00029246,DELATESTRYL,TESTOSTERONE ENANTHATE,SOLUTION,INTRAMUSCULAR,MARKETED,31.12.1955,MARKETED,"BAUSCH HEALTH, CANADA INC.",1955
1286,00232378,TEVA-PREDNISONE,PREDNISONE,TABLET,ORAL,MARKETED,31.12.1972,MARKETED,TEVA CANADA LIMITED,1972
1293,00232807,TEVA-CHLORPROMAZINE,CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE),TABLET,ORAL,MARKETED,31.12.1967,MARKETED,TEVA CANADA LIMITED,1967
1294,00232823,TEVA-CHLORPROMAZINE,CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE),TABLET,ORAL,MARKETED,31.12.1967,MARKETED,TEVA CANADA LIMITED,1967
1295,00232831,TEVA-CHLORPROMAZINE,CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE),TABLET,ORAL,MARKETED,31.12.1967,MARKETED,TEVA CANADA LIMITED,1967
1327,00236683,CARBOLITH,LITHIUM CARBONATE,CAPSULE,ORAL,MARKETED,31.12.1971,MARKETED,"BAUSCH HEALTH, CANADA INC.",1971
1396,00036129,MEDROL,METHYLPREDNISOLONE,TABLET,ORAL,MARKETED,31.12.1968,MARKETED,PFIZER CANADA ULC,1968
1397,00030988,MEDROL,METHYLPREDNISOLONE,TABLET,ORAL,MARKETED,31.12.1960,MARKETED,PFIZER CANADA ULC,1960
1398,00030783,DEPO-TESTOSTERONE INJ 100MG/ML,TESTOSTERONE CYPIONATE,SOLUTION,INTRAMUSCULAR,MARKETED,31.12.1953,MARKETED,PFIZER CANADA ULC,1953
1401,00023760,NORLUTATE,NORETHINDRONE ACETATE,TABLET,ORAL,MARKETED,31.12.1961,MARKETED,SEARCHLIGHT PHARMA INC,1961
1403,00028606,ALDACTONE 25 MG,SPIRONOLACTONE,TABLET,ORAL,MARKETED,31.12.1959,MARKETED,PFIZER CANADA ULC,1959
1470,00247855,FML,FLUOROMETHOLONE,SUSPENSION,OPHTHALMIC,MARKETED,31.12.1972,MARKETED,ABBVIE CORPORATION,1972
1471,00247960,ETIBI,ETHAMBUTOL HYDROCHLORIDE,TABLET,ORAL,MARKETED,31.12.1972,MARKETED,"BAUSCH HEALTH, CANADA INC.",1972
1472,00247979,ETIBI,ETHAMBUTOL HYDROCHLORIDE,TABLET,ORAL,MARKETED,31.12.1972,MARKETED,"BAUSCH HEALTH, CANADA INC.",1972
1508,00155365,ADRENALIN TOPICAL SOLUTION,EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE),SOLUTION,TOPICAL,MARKETED,31.12.1951,MARKETED,SEARCHLIGHT PHARMA INC,1951
1530,00252506,CYCLOGYL,CYCLOPENTOLATE HYDROCHLORIDE,DROPS,OPHTHALMIC,MARKETED,31.12.1972,MARKETED,ALCON CANADA INC,1972
1553,00254142,DULCOLAX,BISACODYL,TABLET (ENTERIC-COATED),ORAL,MARKETED,31.12.1958,MARKETED,SANOFI CONSUMER HEALTH INC,1958
1555,00003875,DULCOLAX,BISACODYL,SUPPOSITORY,RECTAL,MARKETED,31.12.1958,MARKETED,SANOFI CONSUMER HEALTH INC,1958
1619,00260428,DEPO-MEDROL WITH LIDOCAINE,LIDOCAINE HYDROCHLORIDE; METHYLPREDNISOLONE ACETATE,SUSPENSION,PERIARTICULAR; INTRASYNOVIAL; INTRABURSAL; INTRA-ARTICULAR,MARKETED,31.12.1973,MARKETED,PFIZER CANADA ULC,1973
1620,00260436,DALACIN C PHOSPHATE,CLINDAMYCIN (CLINDAMYCIN PHOSPHATE),SOLUTION,INTRAVENOUS; INTRAMUSCULAR,MARKETED,31.12.1973,MARKETED,PFIZER CANADA ULC,1973
1628,00061085,"LACTATED RINGER'S INJECTION, USP",POTASSIUM CHLORIDE; SODIUM LACTATE; SODIUM CHLORIDE; CALCIUM CHLORIDE,SOLUTION,INTRAVENOUS,MARKETED,31.12.1957,MARKETED,BAXTER CORPORATION,1957
1649,00263818,COTAZYM,LIPASE; AMYLASE; PROTEASE,CAPSULE (IMMEDIATE RELEASE),ORAL,MARKETED,31.12.1973,MARKETED,ORGANON CANADA INC.,1973
1667,00266493,TARDAN SHP,COAL TAR; SALICYLIC ACID; TRICLOSAN,SHAMPOO,TOPICAL,MARKETED,31.12.1973,MARKETED,ODAN LABORATORIES LTD,1973
1668,00266507,ADASEPT LIQ 0.5%,TRICLOSAN,LIQUID,TOPICAL,MARKETED,31.12.1973,MARKETED,ODAN LABORATORIES LTD,1973
1673,00061131,"LACTATED RINGER'S AND 5% DEXTROSE INJECTION, USP",POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE; CALCIUM CHLORIDE; DEXTROSE,SOLUTION,INTRAVENOUS,MARKETED,31.12.1973,MARKETED,BAXTER CORPORATION,1973
1734,00038245,STERILE WATER FOR INJECTION USP,WATER,SOLUTION,INTRAVENOUS,MARKETED,31.12.1951,MARKETED,ICU MEDICAL CANADA INC,1951
1736,00037788,SODIUM CHLORIDE INJECTION USP,SODIUM CHLORIDE,SOLUTION,INTRAVENOUS,MARKETED,31.12.1960,MARKETED,ICU MEDICAL CANADA INC,1960
1738,00039500,NORMOSOL-R,POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE; MAGNESIUM CHLORIDE (MAGNESIUM CHLORIDE HEXAHYDRATE),SOLUTION,INTRAVENOUS,MARKETED,31.12.1965,MARKETED,ICU MEDICAL CANADA INC,1965
1740,00038016,MANNITOL INJECTION USP,MANNITOL,SOLUTION,INTRAVENOUS,MARKETED,31.12.1963,MARKETED,ICU MEDICAL CANADA INC,1963
1743,00224227,LMD 10% IN 0.9% SODIUM CHLORIDE,DEXTRAN; SODIUM CHLORIDE,SOLUTION,INTRAVENOUS,MARKETED,31.12.1968,MARKETED,PFIZER CANADA ULC,1968
1744,00224235,LMD 10% IN DEXTROSE 5%,DEXTRAN; DEXTROSE,SOLUTION,INTRAVENOUS,MARKETED,31.12.1968,MARKETED,PFIZER CANADA ULC,1968
1745,00039470,LACTATED RINGER'S INJECTION,POTASSIUM CHLORIDE; CALCIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,SOLUTION,INTRAVENOUS,MARKETED,31.12.1951,MARKETED,ICU MEDICAL CANADA INC,1951
1746,00037974,DEXTROSE INJECTION USP,DEXTROSE,SOLUTION,INTRAVENOUS,MARKETED,31.12.1951,MARKETED,ICU MEDICAL CANADA INC,1951
1747,00038946,5% DEXTROSE AND 0.9% SODIUM CHLORIDE,SODIUM CHLORIDE; DEXTROSE,SOLUTION,INTRAVENOUS,MARKETED,31.12.1951,MARKETED,ICU MEDICAL CANADA INC,1951
1750,00038903,5% DEXTROSE AND 0.45% SODIUM CHLORIDE,SODIUM CHLORIDE; DEXTROSE,SOLUTION,INTRAVENOUS,MARKETED,31.12.1951,MARKETED,ICU MEDICAL CANADA INC,1951
1802,00280437,CORTISONE ACETATE,CORTISONE ACETATE,TABLET,ORAL,MARKETED,31.12.1973,MARKETED,"BAUSCH HEALTH, CANADA INC.",1973
1812,00282081,LANVIS,THIOGUANINE,TABLET,ORAL,MARKETED,31.12.1974,MARKETED,ASPEN PHARMACARE CANADA INC.,1974
1830,00284106,XYLOCAINE 2% W EPINEPHRINE 1:200000,EPINEPHRINE (EPINEPHRINE BITARTRATE); LIDOCAINE HYDROCHLORIDE,SOLUTION,EPIDURAL,MARKETED,31.12.1965,MARKETED,ASPEN PHARMACARE CANADA INC.,1965
1889,00292990,OVOL FOR GAS 80 MG TABLET,SIMETHICONE,TABLET,ORAL,MARKETED,31.12.1974,MARKETED,CHURCH & DWIGHT CANADA CORP,1974
1905,00261998,SODIUM BICARBONATE INJECTION USP,SODIUM BICARBONATE,SOLUTION,INTRAVENOUS,MARKETED,31.12.1974,MARKETED,PFIZER CANADA ULC,1974
1911,00298409,PHENOL SALINE INJ,PHENOL; SODIUM CHLORIDE,LIQUID,SUBCUTANEOUS; INTRADERMAL,MARKETED,31.12.1963,MARKETED,ALK-ABELLO INC,1963
1912,00298417,GLYCERINATED PHENOL SALINE,PHENOL; GLYCERINE; SODIUM CHLORIDE,LIQUID,INTRADERMAL; SUBCUTANEOUS,MARKETED,31.12.1963,MARKETED,ALK-ABELLO INC,1963
1913,00299979,ALLERGENIC EXTRACT NON POLLENS,NON POLLEN,LIQUID,INTRADERMAL; PERCUTANEOUS; SUBCUTANEOUS,MARKETED,31.12.1963,MARKETED,ALK-ABELLO INC,1963
1914,00299987,ALLERGENIC EXTRACT POLLENS,POLLEN,LIQUID,INTRADERMAL; SUBCUTANEOUS; PERCUTANEOUS,MARKETED,31.12.1963,MARKETED,ALK-ABELLO INC,1963
1931,00287873,SANDOZ COLCHICINE,COLCHICINE,TABLET,ORAL,MARKETED,31.12.1974,MARKETED,SANDOZ CANADA INCORPORATED,1974
1937,00301175,PRED FORTE,PREDNISOLONE ACETATE,SUSPENSION,OPHTHALMIC,MARKETED,31.12.1974,MARKETED,ABBVIE CORPORATION,1974
1954,00022381,CORTROSYN INJ 0.25MG,TETRACOSACTIDE,POWDER FOR SOLUTION,INTRAMUSCULAR; INTRAVENOUS,MARKETED,31.12.1974,MARKETED,"AMPHASTAR PHARMACEUTICALS, INC.",1974
