Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Marketing_authorisation_holder_extracted,Agency,Indications_and_usage,Origin,Referral,Disease_name(s),DRUG_CODE
anda202995,,larin 1/20,ethinyl estradiol,novast labs,,tablet,oral,approved,authorised,04.12.2013,2013,no,,,,,,,yes,,,novast,FDA,,fda,no,,
anda202996,,larin 1.5/30,ethinyl estradiol,novast labs,,tablet,oral,approved,authorised,20.03.2014,2014,no,,,,,,,yes,,,novast,FDA,,fda,no,,
anda203006,,norethindrone and ethinyl estradiol,ethinyl estradiol,xiromed,,tablet,oral,approved,discontinued,05.08.2013,2013,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda203038,,norethindrone acetate and ethinyl estradiol,ethinyl estradiol,glenmark pharms ltd,,tablet,oral,approved,authorised,02.04.2015,2015,no,,,,"endocrine, nutritional, and metabolic diseases; diseases of the musculoskeletal system and connective tissue",,,yes,,,glenmark,FDA,"1 indications and usage norethindrone acetate and ethinyl estradiol tablets are a combination of an estrogen and progestin indicated in a woman with a uterus for: • treatment of moderate to severe vasomotor symptoms due to menopause ( 1.1 ) • prevention of postmenopausal osteoporosis ( 1.2 ) 1.1 treatment of moderate to severe vasomotor symptoms due to menopause 1.2 prevention of postmenopausal osteoporosis limitation of use when prescribing solely for the prevention of postmenopausal osteoporosis, first consider the use of non-estrogen medications. consider estrogen therapy only for women at significant risk of osteoporosis.",fda,no,<menopause>,
anda203163,,ashlyna,ethinyl estradiol,glenmark pharms ltd,,tablet,oral,approved,authorised,23.02.2015,2015,no,,,,pregnancy and childbirth,,,yes,,,glenmark,FDA,"1 indications and usage ashlyna is indicated for use by females of reproductive potential to prevent pregnancy. ashlyna is a combination of levonorgestrel, a progestin, and ethinyl estradiol, an estrogen, indicated for use by females of reproductive potential to prevent pregnancy. ( 1 )",fda,no,not reported,
anda203164,,levonorgestrel and ethinyl estradiol,ethinyl estradiol,glenmark pharms ltd,,tablet,oral,approved,authorised,12.06.2015,2015,no,,,,,,,yes,,,glenmark,FDA,,fda,no,,
anda203371,,norethindrone and ethinyl estradiol and ferrous fumarate,ethinyl estradiol,xiromed,,tablet,oral,approved,authorised,23.04.2014,2014,no,,,,,,,yes,,,xiromed,FDA,,fda,no,,
anda203413,,cyclafem 0.5/35,ethinyl estradiol,endo operations,,tablet,oral,approved,discontinued,16.12.2015,2015,no,,,,,,,yes,,,endo,FDA,,fda,no,,
anda203435,,leribane,ethinyl estradiol,novast labs,,tablet,oral,approved,authorised,03.06.2016,2016,no,,,,,,,yes,,,novast,FDA,,fda,no,,
anda203448,,kaitlib fe,ethinyl estradiol,lupin ltd,,tablet,oral,approved,authorised,17.12.2015,2015,no,,,,,,,yes,,,lupin,FDA,,fda,no,,
anda203770,,jaimiess,ethinyl estradiol,xiromed,,tablet,oral,approved,authorised,27.12.2017,2017,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda203865,,norgestimate and ethinyl estradiol,ethinyl estradiol,amneal pharms,,tablet,oral,approved,discontinued,27.10.2015,2015,no,,,,pregnancy and childbirth,,,yes,,,amneal,FDA,"1 indications and usage femynor tablets are indicated for use by females of reproductive potential to prevent pregnancy [ see clinical studies (14) ]. femynor are estrogen/progestin cocs, indicated for use by women to prevent pregnancy. ( 1 )",fda,no,not reported,
anda203870,,norgestimate and ethinyl estradiol,ethinyl estradiol,amneal pharms,,tablet,oral,approved,discontinued,12.11.2015,2015,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda203871,,levonorgestrel and ethinyl estradiol,ethinyl estradiol,amneal pharms,,tablet,oral,approved,authorised,13.11.2015,2015,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda203872,,levonorgestrel and ethinyl estradiol,ethinyl estradiol,amneal pharms,,tablet,oral,approved,authorised,22.12.2015,2015,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda203873,,norgestimate and ethinyl estradiol,ethinyl estradiol,amneal pharms,,tablet,oral,approved,authorised,12.05.2016,2016,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda204057,,norgestimate and ethinyl estradiol,ethinyl estradiol,glenmark speclt,,tablet,oral,approved,authorised,23.02.2016,2016,no,,,,,,,yes,,,glenmark,FDA,,fda,no,,
anda204213,,fyavolv,ethinyl estradiol,lupin ltd,,tablet,oral,approved,authorised,10.12.2015,2015,no,,,,"endocrine, nutritional, and metabolic diseases; diseases of the musculoskeletal system and connective tissue",,,yes,,,lupin,FDA,"1 indications and usage fyavolv is a combination of an estrogen and progestin indicated in a woman with a uterus for: treatment of moderate to severe vasomotor symptoms due to menopause ( 1.1 ) prevention of postmenopausal osteoporosis ( 1.2 ) 1.1 treatment of moderate to severe vasomotor symptoms due to menopause 1.2 prevention of postmenopausal osteoporosis limitation of use when prescribing solely for the prevention of postmenopausal osteoporosis, first consider the use of non-estrogen medications. consider estrogen therapy only for women at significant risk of osteoporosis.",fda,no,"<menopause>; <osteoporosis, postmenopausal>",
anda204305,,ethinyl estradiol; etonogestrel,ethinyl estradiol,teva pharms usa inc,,ring,vaginal,approved,authorised,13.01.2021,2021,no,,,,,,,yes,,,teva,FDA,,fda,no,,
anda204703,,ethynodiol diacetate and ethinyl estradiol,ethinyl estradiol,xiromed,,tablet,oral,approved,authorised,28.07.2016,2016,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda204704,,ethynodiol diacetate and ethinyl estradiol,ethinyl estradiol,xiromed,,tablet,oral,approved,authorised,09.02.2016,2016,no,,,,pregnancy and childbirth,,,yes,,,xiromed,FDA,"indications and usage valtya 1/50 is indicated for the prevention of pregnancy in women who elect to use oral contraceptives as a method of contraception. oral contraceptive products such as valtya 1/50, which contain 50 mcg of estrogen, should not be used unless medically indicated. oral contraceptives are highly effective. table 1 lists the typical accidental pregnancy rates for users of combination oral contraceptives and other methods of contraception. the efficacy of these contraceptive methods, except sterilization and progestogen implants and injections, depends upon the reliability with which they are used. correct and consistent use of methods can result in lower failure rates. table 1. percentage of women experiencing an unintended pregnancy during the first year of typical use and the first year of perfect use of contraception and the percentage continuing use at the end of the first year. united states. % of women experiencing an unintended pregnancy within the first year of use % of women continuing use at one year (c) method (1) typical use (a) (2) perfect use (b) (3) (4) chance (d) 85 85 spermicides (e) 26 6 40 periodic abstinence 25 63 calendar 9 ovulation method 3 sympto-thermal (f) 2 post-ovulation 1 withdrawal 19 4 cap (g) parous women 40 26 42 nulliparous women 20 9 56 sponge parous women 40 20 42 nulliparous women 20 9 56 diaphragm (g) 20 6 56 condom (h) female (reality ) 21 5 56 male 14 3 61 pill 5 71 progestin only 0.5 combined 0.1 iud progesterone t 2 1.5 81 copper t 380a 0.8 0.6 78 lng 20 0.1 0.1 81 injection (depo-provera) 0.3 0.3 70 implant (norplant and norplant-2) 0.05 0.05 88 female sterilization 0.5 0.5 100 male sterilization 0.15 0.1 100 emergency contraceptive pills : treatment initiated within 72 hours after unprotected intercourse reduces the risk of pregnancy by at least 75%. (i) lactational amenorrhea method : lam is a highly effective, temporary method of contraception. (j) source: trussell j, contraceptive efficacy. in hatcher ra, trussell j, stewart f, cates w, stewart gk, kowal d, guest f, contraceptive technology: seventeenth revised edition. new york ny: irvington publishers, 1998, in press. 1 (a) among typical couples who initiate use of a method (not necessarily for the first time), the percentage who experience an accidental pregnancy during the first year if they do not stop use for any other reason. (b) among couples who initiate use of a method (not necessarily for the first time) and who use it perfectly (both consistently and correctly), the percentage who experience an accidental pregnancy during the first year if they do not stop use for any other reason. (c) among couples attempting to avoid pregnancy, the percentage who continue to use a method for one year. (d) the percents becoming pregnant in columns (2) and (3) are based on data from populations where contraception is not used and from women who cease using contraception in order to become pregnant. among such populations, about 89% become pregnant within one year. this estimate was lowered slightly (to 85%) to represent the percent who would become pregnant within one year among women now relying on reversible methods of contraception if they abandoned contraception altogether. (e) foams, creams, gels, vaginal suppositories, and vaginal film. (f) cervical mucus (ovulation) method supplemented by calendar in the pre-ovulatory and basal body temperature in the post-ovulatory phases. (g) with spermicidal cream or jelly. (h) without spermicides. (i) the treatment schedule is one dose within 72 hours after unprotected intercourse and a second dose 12 hours after the first dose. the food and drug administration has declared the following brands of oral contraceptives to be safe and effective for emergency contraception: ovral (1 dose is 2 white pills), alesse (1 dose is 5 pink pills), nordette or levlen (1 dose is 2 light-orange pills), lo/ovral (1 dose is 4 white pills), triphasil or tri-levlen (1 dose is 4 yellow pills). (j) however, to maintain effective protection against pregnancy, another method of contraception must be used as soon as menstruation resumes, the frequency or duration of breastfeeds is reduced, bottle feeds are introduced, or the baby reaches six months of age.",fda,no,not reported,
anda204847,,hailey 24 fe,ethinyl estradiol,glenmark pharms ltd,,tablet,oral,approved,authorised,17.11.2017,2017,no,,,,,,,yes,,,glenmark,FDA,,fda,no,,
anda205049,,norethindrone acetate and ethinyl estradiol and ethinyl estradiol and ferrous fumarate,ethinyl estradiol,xiromed,,tablet,oral,approved,discontinued,31.05.2016,2016,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda205069,,norethindrone acetate and ethinyl estradiol,ethinyl estradiol,xiromed,,tablet,oral,approved,authorised,22.06.2018,2018,no,,,,pregnancy and childbirth; diseases of the skin,,,yes,,,xiromed,FDA,"indications and usage xarah fe is indicated for the prevention of pregnancy in women who elect to use combined oral contraceptives as a method of contraception. xarah fe is indicated for the treatment of moderate acne vulgaris in females, ≥ 15 years of age, who have no known contraindications to combined oral contraceptive therapy, desire oral contraception, have achieved menarche, and are unresponsive to topical anti-acne medications. xarah fe should be used for the treatment of acne only if the patient desires a combined oral contraceptive for birth control and plans to stay on it for at least 6 months. combined oral contraceptives are highly effective for pregnancy prevention. table 2 lists the typical accidental pregnancy rates for users of combination oral contraceptives and other methods of contraception. the efficacy of these contraceptive methods, except sterilization, depends upon the reliability with which they are used. correct and consistent use of methods can result in lower failure rates. table 2. percentage of women experiencing an unintended pregnancy during the first year of typical use and the first year of perfect use of contraception and the percentage continuing use at the end of the first year. united states. emergency contraceptives pills: treatment initiated within 72 hours after unprotected intercourse reduces the risk of pregnancy by at least 75%. è lactational amenorrhea method: lam is a highly effective, temporary method of contraception. ð source: trussell j, the essentials of contraception. in hatcher ra, trussell j, stewart f, cates w, stewart gk, kowel d, guest f, contraceptive technology : seventeenth revised edition. new york ny: irvington publishers, 1998. % of women experiencing an unintended pregnancy within the first year of use % of women continuing use at one year ‡ method (1) typical use * (2) perfect use † (3) (4) chance § 85 85 spermicides ¶ 26 6 40 periodic abstinence 25 63 calendar 9 ovulation method 3 symptothermal #þ 2 post-ovulation 1 cap ß parous women 40 26 42 nulliparous women 20 9 56 sponge parous women 40 20 42 nulliparous women 20 9 56 diaphragm ß 20 6 56 withdrawal 19 4 condom à female (reality ® ) 21 5 56 male 14 3 61 pill 5 71 progestin only 0.5 combined 0.1 iud progesterone t 2.0 1.5 81 copper t380a 0.8 0.6 78 lng 20 0.1 0.1 81 depo-provera ® 0.3 0.3 70 norplant ® and norplant-2 ® 0.05 0.05 88 female sterilization 0.5 0.5 100 male sterilization 0.15 0.10 100 ‡ among couples attempting to avoid pregnancy, the percentage who continue to use a method for 1 year. * among typical couples who initiate use of a method (not necessarily for the first time), the percentage who experience an accidental pregnancy during the first year if they do not stop use for any other reason. † among couples who initiate use of a method (not necessarily for the first time) and who use it perfectly (both consistently and correctly), the percentage who experience an accidental pregnancy during the first year if they do not stop use for any other reason. § the percentages becoming pregnant in columns (2) and (3) are based on data from populations where contraception is not used and from women who cease using contraception in order to become pregnant. among such populations, about 89% become pregnant within one year. this estimate was lowered slightly (to 85%) to represent the percent who would become pregnant within one year among women now relying on reversible methods of contraception if they abandoned contraception altogether. ¶ foams, creams, gels, vaginal suppositories, and vaginal film. #þ cervical mucus (ovulation) method supplemented by calendar in the pre-ovulatory and basal body temperature in the post-ovulatory phases. ß with spermicidal cream or jelly. à without spermicides. è the treatment schedule is one dose within 72 hours after unprotected intercourse, and a second dose 12 hours after the first dose. the food and drug administration has declared the following brands of combined oral contraceptives to be safe and effective for emergency contraception: ovral ® (1 dose is 2 white pills), alesse ® (1 dose is 5 pink pills), nordette ® or levlen ® (1 dose is 4 light-orange pills), lo/ovral ® (1 dose is 4 white pills), triphasil ® or tri-levlen ® (1 dose is 4 yellow pills). ð however, to maintain effective protection against pregnancy, another method of contraception must be used as soon as menstruation resumes, the frequency or duration of breastfeeds is reduced, bottle feeds are introduced, or the baby reaches 6 months of age. xarah fe were evaluated for the treatment of acne vulgaris in two randomized, double-blind, placebo-controlled, multicenter, phase 3, six (28-day) cycle studies. a total of 296 patients received xarah fe and 295 received placebo. mean age at enrollment for both groups was 24 years. at six months each study demonstrated a statistically significant difference between xarah fe and placebo for mean change from baseline in lesion counts (see table 3 and figure 2). each study also demonstrated overall treatment success in the investigator’s global evaluation. patients with severe androgen excess were not studied. table 3. acne vulgaris indication pooled data 376-403 and 376-404 observed means at six months and at baseline* intent to treat population xarah fe n=296 placebo n=295 difference in counts between xarah fe and placebo at six months (95% ci) † number of lesions counts % reduction counts % reduction inflammatory lesions baseline mean 29 29 six month mean 14 52% 17 41% 3 (±2) non-inflammatory lesions baseline mean 44 43 six month mean 27 38% 32 25% 5 (±3.5) total lesions baseline mean 74 72 six month mean 42 43% 49 32% 7 (±5) *numbers rounded to nearest integer † limits for 95% confidence interval; not adjusted for baseline differences xarah fe users who started with about 74 acne lesions had about 42 lesions after 6 months of treatment. placebo users who started with about 72 acne lesions had about 49 lesions after the same duration of treatment. figure 2. mean percent reduction in total lesion counts from baseline to each 28-day cycle and mean total lesion counts at each cycle following administration of xarah fe and placebo (statistically significant differences were not found in both studies individually until cycle 6) figure 2. mean percent reduction in total lesion counts from baseline to each 28-day cycle and mean total lesion counts at each cycle following administration of norethindrone acetate and ethinyl estradiol tablets and ferrous fumarate tablets and placebo (statistically significant differences were not found in both studies individually until cycle 6)",fda,no,<acne vulgaris>,
anda205131,,levonorgestrel and ethinyl estradiol and ethinyl estradiol,ethinyl estradiol,xiromed,,tablet,oral,approved,authorised,14.12.2017,2017,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda205441,,tri-mili,ethinyl estradiol,aurobindo pharma ltd,,tablet,oral,approved,authorised,06.07.2016,2016,no,,,,,,,yes,,,aurobindo,FDA,,fda,no,,
anda205449,,mili,ethinyl estradiol,aurobindo pharma ltd,,tablet,oral,approved,authorised,07.07.2016,2016,no,,,,pregnancy and childbirth,,,yes,,,aurobindo,FDA,"1 indications and usage mili is a combination of norgestimate, a progestin, and ethinyl estradiol, an estrogen, indicated for use by females of reproductive potential to prevent pregnancy. ( 1.1 ) 1.1 oral contraceptive mili tablets are indicated for use by females of reproductive potential to prevent pregnancy [see clinical studies (14) ] .",fda,no,not reported,
anda205588,,norgestimate and ethinyl estradiol,ethinyl estradiol,lupin ltd,,tablet,oral,approved,authorised,26.04.2016,2016,no,,,,,,,yes,,,lupin,FDA,,fda,no,,
anda205630,,norgestimate and ethinyl estradiol,ethinyl estradiol,lupin ltd,,tablet,oral,approved,authorised,27.10.2016,2016,no,,,,,,,yes,,,lupin,FDA,,fda,no,,
anda205762,,tri-lo-mili,ethinyl estradiol,aurobindo pharma,,tablet,oral,approved,authorised,04.11.2016,2016,no,,,,pregnancy and childbirth,,,yes,,,aurobindo,FDA,"1 indications and usage tri-lo-mili (norgestimate and ethinyl estradiol tablets) is an estrogen/progestin coc, indicated for use by women to prevent pregnancy. ( 1.1 ) 1.1 oral contraception tri-lo-mili (norgestimate and ethinyl estradiol tablets) is indicated for use by females of reproductive potential to prevent pregnancy [see clinical studies (14) ] .",fda,no,not reported,
anda205943,,fayosim,ethinyl estradiol,lupin ltd,,tablet,oral,approved,discontinued,29.03.2016,2016,no,,,,,,,yes,,,lupin,FDA,,fda,no,,
anda206053,,levonorgestrel and ethinyl estradiol and ethinyl estradiol,ethinyl estradiol,xiromed,,tablet,oral,approved,authorised,02.10.2017,2017,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda206120,,norethindrone acetate and ethinyl estradiol and ferrous fumarate,ethinyl estradiol,xiromed,,tablet,oral,approved,discontinued,12.09.2017,2017,no,,,,,,,yes,,,xiromed,FDA,,fda,no,,
anda206201,,ethinyl estradiol; levonorgestrel,ethinyl estradiol,mayne pharma inc,,tablet,oral,conditional marketing authorisation,none (conditional marketing authorisation),28.04.2017,2017,no,,,,,,,yes,,,mayne,FDA,,fda,no,,
anda206287,,mibelas 24 fe,ethinyl estradiol,lupin,,tablet,oral,approved,authorised,24.05.2016,2016,no,,,,,,,yes,,,lupin,FDA,,fda,no,,
anda206597,,hailey fe 1/20,ethinyl estradiol,glenmark pharms ltd,,tablet,oral,approved,authorised,21.11.2017,2017,no,,,,,,,yes,,,glenmark,FDA,,fda,no,,
anda206850,,iclevia,ethinyl estradiol,aurobindo pharma ltd,,tablet,oral,approved,authorised,29.06.2018,2018,no,,,,pregnancy and childbirth,,,yes,,,aurobindo,FDA,"1 indications and usage iclevia tm (levonorgestrel and ethinyl estradiol tablets) is indicated for use by females of reproductive potential to prevent pregnancy. iclevia is a combination of levonorgestrel, a progestin, and ethinyl estradiol, an estrogen, indicated for use by females of reproductive potential to prevent pregnancy. ( 1 )",fda,no,not reported,
anda206851,,simpesse,ethinyl estradiol,aurobindo pharma,,tablet,oral,approved,authorised,07.04.2017,2017,no,,,,,,,yes,,,aurobindo,FDA,,fda,no,,
anda206852,,lo simpesse,ethinyl estradiol,aurobindo pharma,,tablet,oral,approved,authorised,28.04.2017,2017,no,,,,,,,yes,,,aurobindo,FDA,,fda,no,,
anda206864,,norethindrone and ethinyl estradiol,ethinyl estradiol,naari pte ltd,,tablet,oral,approved,authorised,28.04.2017,2017,no,,,,,,,yes,,,naari,FDA,,fda,no,,
anda206866,,ayuna,ethinyl estradiol,aurobindo pharma,,tablet,oral,approved,authorised,23.09.2016,2016,no,,,,,,,yes,,,aurobindo,FDA,,fda,no,,
anda206886,,afirmelle,ethinyl estradiol,aurobindo pharma,,tablet,oral,approved,authorised,14.11.2016,2016,no,,,,,,,yes,,,aurobindo,FDA,,fda,no,,
anda206969,,norethindrone acetate and ethinyl estradiol,ethinyl estradiol,glenmark pharms ltd,,tablet,oral,approved,authorised,20.01.2016,2016,no,,,,,,,yes,,,glenmark,FDA,,fda,no,,
anda207033,,levonorgestrel and ethinyl estradiol,ethinyl estradiol,naari pte ltd,,tablet,oral,approved,authorised,09.10.2020,2020,no,,,,pregnancy and childbirth,,,yes,,,naari,FDA,indications and usage levonorgestrel and ethinyl estradiol tablets are indicated for use by females of reproductive potential to prevent pregnancy.,fda,no,not reported,
anda207054,,nylia 7/7/7,ethinyl estradiol,aurobindo pharma,,tablet,oral,approved,authorised,21.10.2016,2016,no,,,,pregnancy and childbirth,,,yes,,,aurobindo,FDA,"indications and usage nylia ® 7/7/7 is indicated for the prevention of pregnancy in women who elect to use this product as a method of contraception. oral contraceptives are highly effective. table 1 lists the typical accidental pregnancy rates for users of combined oral contraceptives and other methods of contraception. the efficacy of these contraceptive methods, except sterilization, the iud, and the norplant ® system depends upon the reliability with which they are used. correct and consistent use of methods can result in lower failure rates. table 1: percentage of women experiencing an unintended pregnancy during the first year of typical use and the first year of perfect use of contraception and the percentage continuing use at the end of the first year. united states. adapted from hatcher et al., 1998, ref. #1. emergency contraceptive pills: treatment initiated within 72 hours after unprotected intercourse reduces the risk of pregnancy by at least 75%. § lactational amenorrhea method: lam is a highly effective, temporary method of contraception. ¶ source: trussell j. contraceptive efficacy. in hatcher ra, trussell j, stewart f, cates w, stewart gk, kowal d, guest f. contraceptive technology: seventeenth revised edition. new york, ny: irvington publishers, 1998. * among couples attempting to avoid pregnancy, the percentage who continue to use a method for one year. † among typical couples who initiate use of a method (not necessarily for the first time), the percentage who experience an accidental pregnancy during the first year if they do not stop use for any other reason. ‡ among couples who initiate use of a method (not necessarily for the first time) and who use it perfectly (both consistently and correctly), the percentage who experience an accidental pregnancy during the first year if they do not stop use for any other reason. § the treatment schedule is one dose within 72 hours after unprotected intercourse, and a second dose 12 hours after the first dose. the food and drug administration has declared the following brands of oral contraceptives to be safe and effective for emergency contraception: ovral ® (1 dose is 2 white pills), alesse ® (1 dose is 5 pink pills), nordette ® or levlen ® (1 dose is 2 light-orange pills), lo/ovral ® (1 dose is 4 white pills), triphasil ® or tri-levlen ® (1 dose is 4 yellow pills). ¶ however, to maintain effective protection against pregnancy, another method of contraception must be used as soon as menstruation resumes, the frequency or duration of breastfeeds is reduced, bottle feeds are introduced, or the baby reaches six months of age. # the percents becoming pregnant in columns (2) and (3) are based on data from populations where contraception is not used and from women who cease using contraception in order to become pregnant. among such populations, about 89% become pregnant within one year. this estimate was lowered slightly (to 85%) to represent the percent who would become pregnant within one year among women now relying on reversible methods of contraception if they abandoned contraception altogether. þ foams, creams, gels, vaginal suppositories, and vaginal film. ß cervical mucus (ovulation) method supplemented by calendar in the pre-ovulatory and basal body temperature in the post-ovulatory phases. à with spermicidal cream or jelly. è without spermicides. % of women experiencing an unintended pregnancy within the first year of use % of women continuing use at one year* method (1) typical use † (2) perfect use ‡ (3) (4) chance # 85 85 spermicides þ 26 6 40 periodic abstinence 25 63 calendar 9 ovulation method 3 sympto-thermal ß 2 post-ovulation 1 cap à parous women 40 26 42 nulliparous women 20 9 56 sponge parous women 40 20 42 nulliparous women 20 9 56 diaphragm à 20 6 56 withdrawal 19 4 condom è female (reality ® ) 21 5 56 male 14 3 61 pill 5 71 progestin only 0.5 combined 0.1 iud progesterone t 2 1.5 81 copper t380a 0.8 0.6 78 lng 20 0.1 0.1 81 depo-provera ® 0.3 0.3 70 norplant ® and norplant-2 ® 0.05 0.05 88 female sterilization 0.5 0.5 100 male sterilization 0.15 0.1 100 nylia ® 7/7/7 have not been studied for and are not indicated for use in emergency contraception.",fda,no,not reported,
anda207055,,cyonanz,ethinyl estradiol,aurobindo pharma,,tablet,oral,approved,authorised,21.10.2016,2016,no,,,,pregnancy and childbirth,,,yes,,,aurobindo,FDA,"indications and usage cyonanz tm tablets are indicated for the prevention of pregnancy in women who elect to use this product as a method of contraception. oral contraceptives are highly effective. table 1 lists the typical accidental pregnancy rates for users of combined oral contraceptives and other methods of contraception. the efficacy of these contraceptive methods, except sterilization, the iud, and the norplant ® system depends upon the reliability with which they are used. correct and consistent use of methods can result in lower failure rates. table 1: percentage of women experiencing an unintended pregnancy during the first year of typical use and the first year of perfect use of contraception and the percentage continuing use at the end of the first year. united states. adapted from hatcher et al., 1998, ref. #1. emergency contraceptive pills: treatment initiated within 72 hours after unprotected intercourse reduces the risk of pregnancy by at least 75%. § lactational amenorrhea method: lam is a highly effective, temporary method of contraception. ¶ source: trussell j. contraceptive efficacy. in hatcher ra, trussell j, stewart f, cates w, stewart gk, kowal d, guest f. contraceptive technology: seventeenth revised edition. new york, ny: irvington publishers, 1998. * among couples attempting to avoid pregnancy, the percentage who continue to use a method for one year. † among typical couples who initiate use of a method (not necessarily for the first time), the percentage who experience an accidental pregnancy during the first year if they do not stop use for any other reason. ‡ among couples who initiate use of a method (not necessarily for the first time) and who use it perfectly (both consistently and correctly), the percentage who experience an accidental pregnancy during the first year if they do not stop use for any other reason. § the treatment schedule is one dose within 72 hours after unprotected intercourse, and a second dose 12 hours after the first dose. the food and drug administration has declared the following brands of oral contraceptives to be safe and effective for emergency contraception: ovral ® (1 dose is 2 white pills), alesse ® (1 dose is 5 pink pills), nordette ® or levlen ® (1 dose is 2 light-orange pills), lo/ovral ® (1 dose is 4 white pills), triphasil ® or tri-levlen ® (1 dose is 4 yellow pills). ¶ however, to maintain effective protection against pregnancy, another method of contraception must be used as soon as menstruation resumes, the frequency or duration of breastfeeds is reduced, bottle feeds are introduced, or the baby reaches six months of age. # the percents becoming pregnant in columns (2) and (3) are based on data from populations where contraception is not used and from women who cease using contraception in order to become pregnant. among such populations, about 89% become pregnant within one year. this estimate was lowered slightly (to 85%) to represent the percent who would become pregnant within one year among women now relying on reversible methods of contraception if they abandoned contraception altogether. þ foams, creams, gels, vaginal suppositories, and vaginal film. ß cervical mucus (ovulation) method supplemented by calendar in the pre-ovulatory and basal body temperature in the post-ovulatory phases. à with spermicidal cream or jelly. è without spermicides. % of women experiencing an unintended pregnancy within the first year of use % of women continuing use at one year* method (1) typical use † (2) perfect use ‡ (3) (4) chance # 85 85 spermicides þ 26 6 40 periodic abstinence 25 63 calendar 9 ovulation method 3 sympto-thermal ß 2 post-ovulation 1 cap à parous women 40 26 42 nulliparous women 20 9 56 sponge parous women 40 20 42 nulliparous women 20 9 56 diaphragm à 20 6 56 withdrawal 19 4 condom è female (reality ® ) 21 5 56 male 14 3 61 pill 5 71 progestin only 0.5 combined 0.1 iud progesterone t 2 1.5 81 copper t380a 0.8 0.6 78 lng 20 0.1 0.1 81 depo-provera ® 0.3 0.3 70 norplant ® and norplant-2 ® 0.05 0.05 88 female sterilization 0.5 0.5 100 male sterilization 0.15 0.1 100 cyonanz tm has not been studied for and are not indicated for use in emergency contraception.",fda,no,not reported,
anda207056,,nylia 1/35,ethinyl estradiol,aurobindo pharma,,tablet,oral,approved,authorised,21.10.2016,2016,no,,,,,,,yes,,,aurobindo,FDA,,fda,no,,
