Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Marketing_authorisation_holder_extracted,Agency,Indications_and_usage,Origin,Referral,Disease_name(s),DRUG_CODE
anda040236,,hydrocodone bitartrate and acetaminophen,acetaminophen,mutual pharm,small molecule,tablet,oral,approved,discontinued,25.09.1997,1997,no,,,,,,,yes,,,mutual,FDA,,fda,no,,
anda040240,,hydrocodone bitartrate and acetaminophen,acetaminophen,mutual pharm,small molecule,tablet,oral,approved,discontinued,26.11.1997,1997,no,,,,,,,yes,,,mutual,FDA,,fda,no,,
anda040248,,hydrocodone bitartrate and acetaminophen,acetaminophen,chartwell,small molecule,tablet,oral,approved,discontinued,28.04.2000,2000,no,,,,,,,yes,,,chartwell,FDA,,fda,no,,
anda040257,,oxycodone and acetaminophen,acetaminophen,mallinckrodt,small molecule,capsule,oral,approved,discontinued,04.08.1998,1998,no,,,,,,,yes,,,mallinckrodt,FDA,,fda,no,,
anda040261,,"butalbital, acetaminophen and caffeine",acetaminophen,hikma,small molecule,capsule,oral,approved,discontinued,28.10.1998,1998,no,,,,,,,yes,,,hikma,FDA,,fda,no,,
anda040267,,"butalbital, acetaminophen and caffeine",acetaminophen,watson labs,small molecule,tablet,oral,approved,discontinued,30.07.1998,1998,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040272,,oxycodone and acetaminophen,acetaminophen,duramed pharms barr,small molecule,tablet,oral,approved,discontinued,30.06.1998,1998,no,,,,,,,yes,,,duramed,FDA,,fda,no,,
anda040280,,hydrocodone bitartrate and acetaminophen,acetaminophen,vintage pharms llc,small molecule,tablet,oral,approved,discontinued,30.09.1998,1998,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040281,,hydrocodone bitartrate and acetaminophen,acetaminophen,vintage pharms llc,small molecule,tablet,oral,approved,discontinued,30.09.1998,1998,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040288,,zydone,acetaminophen,vintage pharms llc,small molecule,tablet,oral,approved,discontinued,27.11.1998,1998,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040289,,oxycodone and acetaminophen,acetaminophen,duramed pharms barr,small molecule,capsule,oral,approved,discontinued,16.03.1999,1999,no,,,,,,,yes,,,barr,FDA,,fda,no,,
anda040303,,oxycodone and acetaminophen,acetaminophen,vintage pharms llc,small molecule,capsule,oral,approved,discontinued,30.12.1999,1999,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040304,,oxycodone and acetaminophen,acetaminophen,barr,small molecule,capsule,oral,approved,discontinued,02.10.2000,2000,no,,,,,,,yes,,,barr,FDA,,fda,no,,
anda040307,,hydrocodone bitartrate and acetaminophen,acetaminophen,barr,small molecule,tablet,oral,approved,discontinued,26.07.2000,2000,no,,,,,,,yes,,,barr,FDA,,fda,no,,
anda040308,,hydrocodone bitartrate and acetaminophen,acetaminophen,barr,small molecule,tablet,oral,approved,discontinued,26.07.2000,2000,no,,,,,,,yes,,,barr,FDA,,fda,no,,
anda040309,,hydrocodone bitartrate and acetaminophen,acetaminophen,barr,small molecule,tablet,oral,approved,discontinued,26.07.2000,2000,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040316,,"acetaminophen, caffeine, and dihydrocodeine bitartrate",acetaminophen,mikart,small molecule,tablet,oral,approved,discontinued,28.04.1999,1999,no,,,,,,,yes,,,mikart,FDA,,fda,no,,
anda040330,,percocet,acetaminophen,endo operations,small molecule,tablet,oral,approved,authorised,25.06.1999,1999,no,,,,"injury, poisoning and certain other consequences of external causes",,,yes,,,endo,FDA,"indications and usage endocet is indicated for the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate. limitations of use : because of the risks of addiction, abuse, and misuse with opioids, which can occur at any dosage or duration [see warnings ] , reserve endocet for use in patients for whom alternative treatment options (e.g., non-opioid analgesics): have not been tolerated or are not expected to be tolerated, have not provided adequate analgesia or are not expected to provide adequate analgesia endocet should not be used for an extended period of time unless the pain remains severe enough to require an opioid analgesic and for which alternative treatment options continue to be inadequate.",fda,no,not reported,
anda040336,,"butalbital, acetaminophen and caffeine",acetaminophen,hikma,small molecule,tablet,oral,approved,discontinued,18.08.1999,1999,no,,,,,,,yes,,,hikma,FDA,,fda,no,,
anda040341,,percocet,acetaminophen,vintage pharms llc,small molecule,tablet,oral,approved,discontinued,26.07.1999,1999,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040355,,hydrocodone bitartrate and acetaminophen,acetaminophen,strides pharma,small molecule,tablet,oral,approved,authorised,31.05.2000,2000,no,,,,,,,yes,,,strides,FDA,,fda,no,,
anda040356,,hydrocodone bitartrate and acetaminophen,acetaminophen,vintage pharms,small molecule,tablet,oral,approved,discontinued,31.05.2000,2000,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040358,,hydrocodone bitartrate and acetaminophen,acetaminophen,vintage pharms,small molecule,tablet,oral,approved,discontinued,31.05.2000,2000,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040366,,hydrocodone bitartrate and acetaminophen,acetaminophen,nesher pharms,small molecule,solution,oral,approved,discontinued,23.01.2002,2002,no,,,,,,,yes,,,nesher,FDA,,fda,no,,
anda040371,,oxycodone and acetaminophen,acetaminophen,watson labs,small molecule,tablet,oral,approved,discontinued,29.12.2000,2000,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040387,,"butalbital, acetaminophen and caffeine",acetaminophen,mikart,small molecule,solution,oral,approved,authorised,31.01.2003,2003,no,,,,,,,yes,,,mikart,FDA,,fda,no,,
anda040390,,"butalbital, acetaminophen and caffeine",acetaminophen,able,small molecule,tablet,oral,approved,discontinued,23.07.2001,2001,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040394,,"butalbital, acetaminophen and caffeine",acetaminophen,able,small molecule,tablet,oral,approved,discontinued,23.07.2001,2001,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040400,,hydrocodone bitartrate and acetaminophen,acetaminophen,specgx llc,small molecule,tablet,oral,approved,authorised,26.07.2000,2000,no,,,,,,,yes,,,specgx,FDA,,fda,no,,
anda040405,,anexsia 7.5/325,acetaminophen,specgx llc,small molecule,tablet,oral,approved,authorised,08.09.2000,2000,no,,,,,,,yes,,,specgx,FDA,,fda,no,,
anda040409,,anexsia 5/325,acetaminophen,specgx llc,small molecule,tablet,oral,approved,authorised,20.10.2000,2000,no,,,,,,,yes,,,specgx,FDA,,fda,no,,
anda040418,,hydrocodone bitartrate and acetaminophen,acetaminophen,mallinckrodt,small molecule,solution,oral,approved,discontinued,27.06.2001,2001,no,,,,,,,yes,,,mallinckrodt,FDA,,fda,no,,
anda040419,,acetaminophen and codeine phosphate,acetaminophen,specgx llc,small molecule,tablet,oral,approved,authorised,31.05.2001,2001,no,,,,"injury, poisoning and certain other consequences of external causes",,,yes,,,specgx,FDA,"indications and usage acetaminophen and codeine phosphate tablets are indicated for the management of mild to moderate pain, where treatment with an opioid is appropriate and for which alternative treatments are inadequate. limitations of use because of the risks of addiction, abuse, and misuse, with opioids, which can occur at any dosage or duration ( see warnings ), reserve acetaminophen and codeine phosphate tablets for use in patients for whom alternative treatment options (e.g., non-opioid analgesics) have not provided adequate analgesia or are not expected to provide adequate analgesia, have not been tolerated or are not expected to be tolerated. acetaminophen and codeine phosphate tablets should not be used for an extended period of time unless the pain remains severe enough to require an opioid analgesic and for which alternative treatment options continue to be inadequate.",fda,no,not reported,
anda040432,,hydrocodone bitartrate and acetaminophen,acetaminophen,chartwell,small molecule,tablet,oral,approved,discontinued,22.01.2003,2003,no,,,,,,,yes,,,chartwell,FDA,,fda,no,,
anda040441,,codrix,acetaminophen,watson labs florida,small molecule,tablet,oral,approved,discontinued,27.03.2003,2003,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040443,,acetaminophen and codeine phosphate,acetaminophen,watson labs florida,small molecule,tablet,oral,approved,discontinued,22.01.2003,2003,no,,,,,,,yes,,,watson,FDA,,fda,no,,
