Origin,Marketing authorisation Number,Drug name,Non proprietary name,Marketing authorisation holder/ applicant,Pharmaceutical form,Administration route,Decision,Decision date,Current status,Non-clinical abridge,Referral
FDA,ANDA076177,CAMILA,NORETHINDRONE,DR REDDYS LABS SA,TABLET,ORAL-28,Approved,21.10.2002,authorised,yes,No
FDA,ANDA076178,NIZATIDINE,NIZATIDINE,EPIC PHARMA LLC,CAPSULE,ORAL,Approved,05.07.2002,authorised,yes,No
FDA,Adzynma,ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE,DR REDDYS LABS LTD,TABLET,ORAL,Approved,26.12.2006,authorised,yes,No
FDA,ANDA076213,FLUCONAZOLE,FLUCONAZOLE,ROXANE,TABLET,ORAL,Approved,29.07.2004,Discontinued,yes,No
FDA,ANDA076215,BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE,FOUGERA PHARMS,"CREAM, AUGMENTED",TOPICAL,Approved,09.12.2003,authorised,yes,No
FDA,ANDA076221,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL,BARR LABS INC,TABLET,ORAL,Approved,06.11.2009,authorised,yes,No
FDA,ANDA076254,BRIMONIDINE TARTRATE,BRIMONIDINE TARTRATE,SANDOZ,SOLUTION/DROPS,OPHTHALMIC,Approved,16.09.2003,authorised,yes,No
FDA,NDA017391,IMURAN,AZATHIOPRINE SODIUM,CASPER PHARMA LLC,INJECTABLE,INJECTION,Approved,19.07.1974,Discontinued,no,Yes
FDA,ANDA076258,FENTANYL-100; FENTANYL-12; FENTANYL-25; FENTANYL-37; FENTANYL-50; FENTANYL-62; FENTANYL-75; FENTANYL-87,FENTANYL,MYLAN TECHNOLOGIES,"FILM, EXTENDED RELEASE",TRANSDERMAL,Approved,28.01.2005,authorised,yes,No
FDA,ANDA076273,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,DR REDDYS,TABLET,ORAL,Approved,14.01.2008,authorised,yes,No
FDA,ANDA076298,FEXOFENADINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,IMPAX PHARMS,"TABLET, EXTENDED RELEASE",ORAL,Approved,12.11.2010,Discontinued,yes,No
FDA,ANDA076300,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,CHARTWELL RX,OINTMENT,TOPICAL,Approved,14.05.2004,Discontinued,yes,No
FDA,ANDA076302,NEFAZODONE HYDROCHLORIDE,NEFAZODONE HYDROCHLORIDE,CHARTWELL RX,TABLET,ORAL,Approved,16.09.2003,Discontinued,yes,No
FDA,ANDA076304,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER,FLUCONAZOLE,HOSPIRA,INJECTABLE,INJECTION,Approved,29.07.2004,Discontinued,yes,No
FDA,NDA017406,DICOPAC KIT,CYANOCOBALAMIN,GE HEALTHCARE,N/A,N/A,Approved,10.06.1974,Discontinued,no,No
FDA,ANDA076312,MIRTAZAPINE,MIRTAZAPINE,WATSON LABS,TABLET,ORAL,Approved,19.06.2003,Discontinued,yes,No
FDA,ANDA076324,FAMOTIDINE PRESERVATIVE FREE,FAMOTIDINE,EPIC PHARMA LLC,INJECTABLE,INJECTION,Approved,27.11.2002,Discontinued,yes,No
FDA,ANDA076332,FLUCONAZOLE,FLUCONAZOLE,SUN PHARM INDS LTD,FOR SUSPENSION,ORAL,Approved,29.07.2004,Discontinued,yes,No
FDA,ANDA076338,CYCLAFEM 7/7/7,ETHINYL ESTRADIOL,ENDO OPERATIONS,TABLET,ORAL-28,Approved,16.11.2010,Discontinued,yes,No
FDA,ANDA076342,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,BENAZEPRIL HYDROCHLORIDE,ANI PHARMS,TABLET,ORAL,Approved,11.02.2004,authorised,yes,No
FDA,ANDA076363,DIGOXIN,DIGOXIN,SUN PHARM INDS INC,TABLET,ORAL,Approved,31.01.2003,authorised,yes,No
FDA,ANDA076372,BRIMONIDINE TARTRATE,BRIMONIDINE TARTRATE,TEVA PARENTERAL,SOLUTION/DROPS,OPHTHALMIC,Approved,10.09.2004,Discontinued,yes,No
FDA,ANDA076388,LAMOTRIGINE,LAMOTRIGINE,TEVA,TABLET,ORAL,Approved,30.08.2006,Discontinued,yes,No
FDA,ANDA076405,TRI-LEGEST 21,ETHINYL ESTRADIOL,BARR,TABLET,ORAL-21,Approved,26.10.2007,Discontinued,yes,No
FDA,NDA017423,SEPTISOL,HEXACHLOROPHENE,VESTAL LABS,SOLUTION,TOPICAL,,,Discontinued,no,No
FDA,ANDA076416,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE,SUN PHARM INDS INC,TABLET,ORAL,Approved,29.09.2003,authorised,yes,No
FDA,NDA017424,SEPTISOL,HEXACHLOROPHENE,VESTAL LABS,AEROSOL,TOPICAL,,,Discontinued,no,No
FDA,ANDA076442,SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE,SCIEGEN PHARMS INC,TABLET,ORAL,Approved,30.04.2007,authorised,yes,No
FDA,ANDA076461,VINORELBINE TARTRATE,VINORELBINE TARTRATE,HIKMA,INJECTABLE,INJECTION,Approved,11.12.2003,authorised,yes,No
FDA,ANDA076498,TRETINOIN,TRETINOIN,ZO SKIN HEALTH,CREAM,TOPICAL,Approved,15.09.2005,Discontinued,yes,No
FDA,ANDA076505,METRONIDAZOLE,METRONIDAZOLE,ABLE,CAPSULE,ORAL,Approved,13.11.2003,Discontinued,yes,No
FDA,ANDA076510,DESOXIMETASONE,DESOXIMETASONE,PADAGIS ISRAEL,CREAM,TOPICAL,Approved,01.07.2003,authorised,yes,No
FDA,ANDA076534,OLANZAPINE,OLANZAPINE,DR REDDYS LABS LTD,"TABLET, ORALLY DISINTEGRATING",ORAL,Approved,24.10.2011,authorised,yes,No
FDA,ANDA076554,SUMATRIPTAN SUCCINATE,SUMATRIPTAN SUCCINATE,SUN PHARM INDS LTD,TABLET,ORAL,Approved,10.08.2009,Discontinued,yes,No
FDA,ANDA076555,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE,RENOVA PHARMS,SOLUTION/DROPS,OPHTHALMIC,Approved,11.12.2008,Discontinued,yes,No
FDA,ANDA076561,CATAFLAM,DICLOFENAC POTASSIUM,AMICI PHARMA,TABLET,ORAL,Approved,18.03.2004,authorised,yes,No
FDA,ANDA076591,MOMETASONE FUROATE,MOMETASONE FUROATE,CHARTWELL MOLECULAR,CREAM,TOPICAL,Approved,18.04.2007,Discontinued,yes,No
FDA,ANDA076593,CIPROFLOXACIN; CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN; CIPROFLOXACIN HYDROCHLORIDE,AIPING PHARM INC,TABLET; Tablet,ORAL; Oral,Approved,16.03.2004,authorised,yes,No
FDA,ANDA076607,QUINAPRIL HYDROCHLORIDE,QUINAPRIL HYDROCHLORIDE,SUN PHARM INDS LTD,TABLET,ORAL,Approved,15.12.2004,Discontinued,yes,No
FDA,ANDA076608,FOSINOPRIL SODIUM AND HYDROCHLOROTHIAZIDE,FOSINOPRIL SODIUM,ANI PHARMS,TABLET,ORAL,Approved,03.12.2004,Discontinued,yes,No
FDA,ANDA076616,OFLOXACIN,OFLOXACIN,HIKMA,SOLUTION/DROPS,OTIC,Approved,17.03.2008,Discontinued,yes,No
FDA,ANDA076624,MOMETASONE FUROATE,MOMETASONE FUROATE,TARO,OINTMENT,TOPICAL,Approved,03.12.2004,Discontinued,yes,No
FDA,NDA017451,PLASMA-LYTE 148 AND DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE,BAXTER HLTHCARE,INJECTABLE,INJECTION,Approved,02.02.1979,Discontinued,no,Yes
FDA,ANDA076633,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,ENCUBE,CREAM,TOPICAL,Approved,14.05.2004,Discontinued,yes,No
FDA,ANDA076635,FENOFIBRATE,FENOFIBRATE,SUN PHARM INDS LTD,TABLET,ORAL,Approved,31.10.2005,authorised,yes,No
FDA,ANDA076652,GLYCOLAX,POLYETHYLENE GLYCOL 3350,LANNETT CO INC,FOR SOLUTION,ORAL,Approved,02.07.2004,Discontinued,yes,No
FDA,ANDA076667,FEXOFENADINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,DR REDDYS,"TABLET, EXTENDED RELEASE",ORAL,Approved,18.11.2014,authorised,yes,No
FDA,ANDA076668,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,PADAGIS ISRAEL,OINTMENT,TOPICAL,Approved,14.05.2004,authorised,yes,No
FDA,ANDA076671,SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE,NORVIUM BIOSCIENCE,TABLET,ORAL,Approved,06.02.2007,Discontinued,yes,No
FDA,ANDA076673,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE,WATSON LABS INC,SOLUTION/DROPS,OPHTHALMIC,Approved,21.01.2005,authorised,yes,No
FDA,ANDA076675,EMOQUETTE,DESOGESTREL,ENDO OPERATIONS,TABLET,ORAL-28,Approved,25.02.2011,Discontinued,yes,No
FDA,ANDA076682,OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,LANNETT CO INC,SYRUP,ORAL,Approved,28.12.2004,Discontinued,yes,No
FDA,ANDA076720,MORPHINE SULFATE,MORPHINE SULFATE,NESHER PHARMS,"TABLET, EXTENDED RELEASE",ORAL,Approved,19.05.2004,Discontinued,yes,No
FDA,ANDA076729,TERIL,CARBAMAZEPINE,TARO,SUSPENSION,ORAL,Approved,20.09.2004,authorised,yes,No
FDA,ANDA076736,FLUCONAZOLE IN SODIUM CHLORIDE 0.9%,FLUCONAZOLE,HIKMA FARMACEUTICA,INJECTABLE,INJECTION,Approved,23.08.2005,authorised,yes,No
FDA,ANDA076745,OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,IMPAX PHARMS,"TABLET, EXTENDED RELEASE",ORAL,Approved,09.11.2006,Discontinued,yes,No
FDA,NDA017471,SODIUM PERTECHNETATE TC 99M,TECHNETIUM TC-99M SODIUM PERTECHNETATE,GE HEALTHCARE,SOLUTION,"INJECTION, ORAL",Approved,18.07.1974,Discontinued,no,Yes
FDA,NDA017473,ORAP,PIMOZIDE,TEVA,TABLET,ORAL,Approved,31.07.1984,Discontinued,no,Yes
FDA,ANDA076774,HALOPERIDOL,HALOPERIDOL LACTATE,GLAND PHARMA LTD,INJECTABLE,INJECTION,Approved,25.08.2004,authorised,yes,No
FDA,ANDA076778,NICOTINE POLACRILEX,NICOTINE POLACRILEX,L PERRIGO CO,"GUM, CHEWING",BUCCAL,Approved,16.09.2004,Discontinued,yes,No
FDA,ANDA076787,FLUMAZENIL,FLUMAZENIL,HIKMA,INJECTABLE,INJECTION,Approved,12.10.2004,authorised,yes,No
FDA,NDA017478,GALLIUM CITRATE GA 67,GALLIUM CITRATE GA-67,LANTHEUS MEDCL,INJECTABLE,INJECTION,Approved,17.05.1976,Discontinued,no,No
FDA,ANDA076801,PIOGLITAZONE HYDROCHLORIDE,PIOGLITAZONE HYDROCHLORIDE,NORVIUM BIOSCIENCE,TABLET,ORAL,Approved,17.08.2012,Discontinued,yes,No
FDA,NDA017481,VERMOX,MEBENDAZOLE,JANSSEN PHARMS,"TABLET, CHEWABLE",ORAL,Approved,28.06.1974,Discontinued,no,Yes
FDA,ANDA076809,CLOZAPINE,CLOZAPINE,IVAX SUB TEVA PHARMS,TABLET,ORAL,Approved,16.12.2005,authorised,yes,No
FDA,ANDA076820,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE,AMNEAL PHARMS,TABLET,ORAL,Approved,03.02.2006,authorised,yes,No
FDA,ANDA076829,AMMONIUM LACTATE,AMMONIUM LACTATE,WATSON LABS INC,CREAM,TOPICAL,Approved,07.02.2006,Discontinued,yes,No
FDA,NDA017486,HEPARIN SODIUM,HEPARIN SODIUM,EPIC PHARMA LLC,INJECTABLE,INJECTION,Approved,10.12.1975,Discontinued,no,No
FDA,ANDA076832,LITHIUM CARBONATE,LITHIUM CARBONATE,HIKMA,"TABLET, EXTENDED RELEASE",ORAL,Approved,28.10.2004,authorised,yes,No
FDA,ANDA076846,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,TEVA,TABLET,ORAL,Approved,28.06.2007,authorised,yes,No
FDA,ANDA076858,LEVOCARNITINE,LEVOCARNITINE,RISING,TABLET,ORAL,Approved,20.09.2004,authorised,yes,No
FDA,ANDA076863,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,BARR,"TABLET, EXTENDED RELEASE",ORAL,Approved,14.10.2004,Discontinued,yes,No
FDA,ANDA076864,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,TEVA,"TABLET, EXTENDED RELEASE",ORAL,Approved,12.04.2005,authorised,yes,No
FDA,ANDA076880,NICOTINE POLACRILEX,NICOTINE POLACRILEX,IVAX SUB TEVA PHARMS,"GUM, CHEWING",BUCCAL,Approved,18.02.2009,Discontinued,yes,No
FDA,ANDA076887,TERBUTALINE SULFATE,TERBUTALINE SULFATE,FRESENIUS KABI USA,INJECTABLE,INJECTION,Approved,26.05.2004,authorised,yes,No
FDA,NDA006921,CHLOR-TRIMETON,CHLORPHENIRAMINE MALEATE,SCHERING,SYRUP; TABLET,ORAL,Approved,13.07.1949,Discontinued,no,No
FDA,ANDA076897,OXANDROLONE,OXANDROLONE,SANDOZ,TABLET,ORAL,Approved,01.12.2006,Discontinued,yes,No
FDA,ANDA076903,HALOBETASOL PROPIONATE,HALOBETASOL PROPIONATE,FOUGERA PHARMS,OINTMENT,TOPICAL,Approved,16.12.2004,Discontinued,yes,No
FDA,ANDA076906,FOSINOPRIL SODIUM,FOSINOPRIL SODIUM,APOTEX,TABLET,ORAL,Approved,17.05.2005,Discontinued,yes,No
FDA,ANDA076923,LIOTHYRONINE SODIUM,LIOTHYRONINE SODIUM,XGEN PHARMS,INJECTABLE,INJECTION,Approved,17.08.2005,authorised,yes,No
FDA,NDA017508,LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,ABRAXIS PHARM,INJECTABLE,INJECTION,Approved,27.10.1976,Discontinued,no,No
FDA,ANDA076951,NITROFURANTOIN (MONOHYDRATE/MACROCRYSTALS),NITROFURANTOIN,RANBAXY LABS LTD,CAPSULE,ORAL,Approved,30.03.2005,Discontinued,yes,No
FDA,ANDA076957,FLUCONAZOLE,FLUCONAZOLE,THINQ PHARM-CRO PVT,TABLET,ORAL,Approved,28.09.2005,authorised,yes,No
FDA,ANDA076958,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,TEVA,TABLET,ORAL,Approved,06.04.2010,Discontinued,yes,No
FDA,ANDA076999,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,TEVA,TABLET,ORAL,Approved,17.05.2012,authorised,yes,No
FDA,ANDA077004,RAMIPRIL,RAMIPRIL,CIPLA,CAPSULE,ORAL,Approved,07.08.2008,Discontinued,yes,No
FDA,ANDA077028,CILOSTAZOL,CILOSTAZOL,ACTAVIS ELIZABETH,TABLET,ORAL,Approved,26.11.2004,authorised,yes,No
FDA,ANDA077066,NITROFURANTOIN (MONOHYDRATE/MACROCRYSTALS),NITROFURANTOIN,SANDOZ,CAPSULE,ORAL,Approved,05.04.2005,authorised,yes,No
FDA,ANDA077067,NIMODIPINE,NIMODIPINE,SUN PHARM INDS INC,CAPSULE,ORAL,Approved,17.04.2007,Discontinued,yes,No
FDA,ANDA077077,GILDESS 1/20; GILDESS FE 1/20,ETHINYL ESTRADIOL,ENDO OPERATIONS,TABLET,ORAL-21; ORAL-28,Approved,20.05.2005,Discontinued,yes,No
FDA,ANDA077092,CICLOPIROX,CICLOPIROX,TARO,SUSPENSION,TOPICAL,Approved,10.08.2005,authorised,yes,No
FDA,ANDA077095,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,AUROBINDO,TABLET,ORAL,Approved,14.01.2005,authorised,yes,No
FDA,ANDA077101,QUASENSE,ETHINYL ESTRADIOL,WATSON LABS,TABLET,ORAL,Approved,06.09.2006,authorised,yes,No
FDA,ANDA077120,CARBIDOPA AND LEVODOPA,CARBIDOPA,APOTEX INC,TABLET,ORAL,Approved,02.06.2008,Discontinued,yes,No
FDA,ANDA077127,NIFEDIPINE,NIFEDIPINE,OSMOTICA PHARM US,"TABLET, EXTENDED RELEASE",ORAL,Approved,21.11.2005,authorised,yes,No
FDA,ANDA077129,RIVASTIGMINE TARTRATE,RIVASTIGMINE TARTRATE,WATSON LABS,CAPSULE,ORAL,Approved,08.01.2008,authorised,yes,No
FDA,NDA006931,SYNCURINE,DECAMETHONIUM BROMIDE,GLAXOSMITHKLINE,INJECTABLE,INJECTION,,,Discontinued,no,No
FDA,ANDA077154,FENTANYL-100; FENTANYL-12; FENTANYL-25; FENTANYL-37; FENTANYL-50; FENTANYL-62; FENTANYL-75,FENTANYL,SPECGX LLC,"FILM, EXTENDED RELEASE",TRANSDERMAL,Approved,09.02.2011,authorised,yes,No
FDA,NDA017536,DIPROSONE,BETAMETHASONE DIPROPIONATE,SCHERING,CREAM,TOPICAL,Approved,29.01.1975,Discontinued,no,No
FDA,ANDA077165,GRANISETRON HYDROCHLORIDE PRESERVATIVE FREE,GRANISETRON HYDROCHLORIDE,DR REDDYS,INJECTABLE,INJECTION,Approved,31.12.2007,Discontinued,yes,No
FDA,ANDA077167,DIDANOSINE,DIDANOSINE,BARR,"CAPSULE, DELAYED REL PELLETS",ORAL,Approved,03.12.2004,Discontinued,yes,No
FDA,ANDA077182,DESOGESTREL AND ETHINYL ESTRADIOL; DESOGESTREL; ETHINYL ESTRADIOL,DESOGESTREL,DR REDDYS LABS SA,TABLET,ORAL-28,Approved,24.01.2006,authorised,yes,No
FDA,ANDA077194,CLONAZEPAM,CLONAZEPAM,BARR,"TABLET, ORALLY DISINTEGRATING",ORAL,Approved,10.08.2005,authorised,yes,No
FDA,ANDA077197,METRONIDAZOLE,METRONIDAZOLE,FOUGERA PHARMS,LOTION,TOPICAL,Approved,24.05.2006,authorised,yes,No
FDA,ANDA077209,CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE HYDROCHLORIDE,OXFORD PHARMS,TABLET,ORAL,Approved,04.10.2005,authorised,yes,No
FDA,ANDA077223,TERBINAFINE HYDROCHLORIDE,TERBINAFINE HYDROCHLORIDE,ROXANE,TABLET,ORAL,Tentative Approval,27.06.2005,Discontinued,yes,No
FDA,NDA017548,OCUSERT PILO-40,PILOCARPINE,EPIC PHARMA LLC,"INSERT, EXTENDED RELEASE",OPHTHALMIC,Approved,29.07.1974,Discontinued,no,No
FDA,ANDA077239,ZALEPLON,ZALEPLON,TEVA PHARMS,CAPSULE,ORAL,Approved,06.06.2008,Discontinued,yes,No
FDA,ANDA077248,PILOCARPINE HYDROCHLORIDE,PILOCARPINE HYDROCHLORIDE,IMPAX LABS,TABLET,ORAL,Approved,31.03.2006,authorised,yes,No
FDA,ANDA077278,CITALOPRAM HYDROBROMIDE,CITALOPRAM HYDROBROMIDE,TARO,TABLET,ORAL,Approved,22.03.2006,Discontinued,yes,No
FDA,ANDA077289,CITALOPRAM HYDROBROMIDE,CITALOPRAM HYDROBROMIDE,AMNEAL PHARMS NY,TABLET,ORAL,Approved,30.11.2006,authorised,yes,No
FDA,ANDA077297,GRANISETRON HYDROCHLORIDE,GRANISETRON HYDROCHLORIDE,DR REDDYS,INJECTABLE,INJECTION,Approved,30.06.2008,authorised,yes,No
FDA,ANDA077302,"DEXTROAMP SACCHARATE, AMP ASPARTATE, DEXTROAMP SULFATE AND AMP SULFATE",AMPHETAMINE ASPARTATE,ACTAVIS ELIZABETH,"CAPSULE, EXTENDED RELEASE",ORAL,Approved,22.06.2012,authorised,yes,No
FDA,ANDA077303,ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE,CHARTWELL MOLECULES,TABLET,ORAL,Approved,25.06.2007,authorised,yes,No
FDA,ANDA077318,CETIRIZINE HYDROCHLORIDE ALLERGY,CETIRIZINE HYDROCHLORIDE,CIPLA LTD,TABLET,ORAL,Approved,25.07.2013,Discontinued,yes,No
FDA,ANDA077359,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,SUN PHARM INDS INC,TABLET,ORAL,Approved,23.04.2007,Discontinued,yes,No
FDA,ANDA077364,CICLOPIROX,CICLOPIROX,PADAGIS ISRAEL,CREAM,TOPICAL,Approved,03.03.2006,authorised,yes,No
FDA,ANDA077370,GLIMEPIRIDE,GLIMEPIRIDE,PRINSTON INC,TABLET,ORAL,Approved,23.12.2005,authorised,yes,No
FDA,ANDA077376,MIRTAZAPINE,MIRTAZAPINE,AUROBINDO PHARMA,"TABLET, ORALLY DISINTEGRATING",ORAL,Approved,08.12.2005,authorised,yes,No
FDA,ANDA077396,LORAZEPAM,LORAZEPAM,ANI PHARMS,TABLET,ORAL,Approved,13.12.2006,authorised,yes,No
FDA,ANDA077406,ONDANSETRON,ONDANSETRON,CHARTWELL MOLECULES,"TABLET, ORALLY DISINTEGRATING",ORAL,Approved,26.12.2006,authorised,yes,No
FDA,NDA002918,BENSULFOID,SULFUR,POYTHRESS,POWDER,TOPICAL,Approved,17.09.1940,Discontinued,no,No
FDA,ANDA077421,LORATADINE,LORATADINE,LANNETT CO INC,SYRUP,ORAL,Approved,29.06.2006,authorised,yes,No
FDA,ANDA077433,PAMIDRONATE DISODIUM,PAMIDRONATE DISODIUM,AREVA PHARMS,INJECTABLE,INJECTION,Approved,26.11.2008,authorised,yes,No
FDA,ANDA077443,ATENOLOL,ATENOLOL,UNIQUE,TABLET,ORAL,Approved,13.09.2006,authorised,yes,No
FDA,ANDA077456,RIBAVIRIN,RIBAVIRIN,CHARTWELL RX,TABLET,ORAL,Approved,05.12.2005,Discontinued,yes,No
FDA,ANDA077461,NATEGLINIDE,NATEGLINIDE,DR REDDYS LABS LTD,TABLET,ORAL,Approved,09.09.2009,authorised,yes,No
FDA,NDA017575,DTIC-DOME,DACARBAZINE,BAYER HLTHCARE,INJECTABLE,INJECTION,Approved,27.05.1975,Discontinued,no,Yes
FDA,ANDA077499,CETIRIZINE HYDROCHLORIDE ALLERGY; CETIRIZINE HYDROCHLORIDE HIVES,CETIRIZINE HYDROCHLORIDE,SUN PHARM INDS INC,TABLET,ORAL,Approved,27.12.2007,Discontinued,yes,No
FDA,ANDA077513,RAMIPRIL,RAMIPRIL,ACTAVIS ELIZABETH,CAPSULE,ORAL,Approved,18.06.2008,Discontinued,yes,No
FDA,ANDA077527,DROSPIRENONE AND ETHINYL ESTRADIOL,DROSPIRENONE,BARR,TABLET,ORAL-28,Approved,09.05.2008,Discontinued,yes,No
FDA,ANDA077530,VALSARTAN,VALSARTAN,IVAX PHARMS,TABLET,ORAL,Approved,04.01.2016,Discontinued,yes,No
FDA,ANDA077544,ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE,PLIVA HRVATSKA DOO,INJECTABLE,INJECTION,Approved,26.12.2006,Discontinued,yes,No
FDA,ANDA077569,ALBUTEROL SULFATE,ALBUTEROL SULFATE,LANDELA PHARM,SOLUTION,INHALATION,Approved,04.04.2006,Discontinued,yes,No
FDA,ANDA077582,ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE,AM REGENT,INJECTABLE,INJECTION,Approved,26.12.2006,Discontinued,yes,No
FDA,ANDA077590,GALANTAMINE HYDROBROMIDE,GALANTAMINE HYDROBROMIDE,MYLAN,TABLET,ORAL,Approved,29.05.2009,Discontinued,yes,No
FDA,ANDA077601,CITALOPRAM HYDROBROMIDE,CITALOPRAM HYDROBROMIDE,PHARM ASSOC,SOLUTION,ORAL,Approved,15.11.2005,Discontinued,yes,No
FDA,ANDA077603,GALANTAMINE HYDROBROMIDE,GALANTAMINE HYDROBROMIDE,NORVIUM BIOSCIENCE,TABLET,ORAL,Approved,28.08.2008,Discontinued,yes,No
FDA,ANDA077604,GALANTAMINE HYDROBROMIDE,GALANTAMINE HYDROBROMIDE,YABAO PHARM,TABLET,ORAL,Approved,06.02.2009,authorised,yes,No
FDA,ANDA077637,ZONISAMIDE,ZONISAMIDE,RISING,CAPSULE,ORAL,Approved,22.12.2005,Discontinued,yes,No
FDA,ANDA077642,ZONISAMIDE,ZONISAMIDE,APOTEX,CAPSULE,ORAL,Approved,22.12.2005,Discontinued,yes,No
FDA,ANDA077652,LEVOFLOXACIN,LEVOFLOXACIN,ZYDUS LIFESCIENCES,TABLET,ORAL,Approved,07.09.2012,authorised,yes,No
FDA,ANDA077654,CITALOPRAM HYDROBROMIDE,CITALOPRAM HYDROBROMIDE,GLENMARK PHARMS LTD,TABLET,ORAL,Approved,27.02.2009,authorised,yes,No
FDA,ANDA077656,THRIVE,NICOTINE POLACRILEX,GLAXOSMITHKLINE CONS,"GUM, CHEWING",BUCCAL,Approved,19.06.2007,Discontinued,yes,No
FDA,ANDA077657,LORAZEPAM,LORAZEPAM,RISING,TABLET,ORAL,Approved,16.03.2006,Discontinued,yes,No
FDA,ANDA077671,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,WATSON LABS,TABLET,ORAL,Approved,19.07.2007,Discontinued,yes,No
FDA,ANDA077700,LEVOFLOXACIN,LEVOFLOXACIN,RISING,SOLUTION/DROPS,OPHTHALMIC,Approved,20.12.2010,authorised,yes,No
FDA,NDA017608,DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE,ICU MEDICAL INC,INJECTABLE,INJECTION,Approved,13.08.1975,authorised,no,Yes
FDA,ANDA077717,ONDANSETRON,ONDANSETRON,NESHER PHARMS,"TABLET, ORALLY DISINTEGRATING",ORAL,Tentative Approval,23.05.2007,Discontinued,yes,No
FDA,NDA017609,NORMOSOL-R AND DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE,ICU MEDICAL INC,INJECTABLE,INJECTION,Approved,13.08.1975,authorised,no,No
FDA,ANDA077728,CALCIUM ACETATE,CALCIUM ACETATE,HIKMA,CAPSULE,ORAL,Approved,26.02.2008,authorised,yes,No
FDA,ANDA077729,ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE,TARO,TABLET,ORAL,Approved,28.03.2011,Discontinued,yes,No
FDA,ANDA077733,TOPIRAMATE,TOPIRAMATE,VIWIT PHARM,TABLET,ORAL,Approved,27.03.2009,authorised,yes,No
FDA,ANDA077745,QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,TEVA PHARMS,TABLET,ORAL,Approved,27.03.2012,authorised,yes,No
FDA,ANDA077749,DIAZEPAM,DIAZEPAM,STRIDES PHARMA,TABLET,ORAL,Approved,31.03.2006,authorised,yes,No
FDA,ANDA077781,GALANTAMINE HYDROBROMIDE,GALANTAMINE HYDROBROMIDE,APOTEX INC,TABLET,ORAL,Approved,27.09.2011,Discontinued,yes,No
FDA,ANDA077795,OXCARBAZEPINE,OXCARBAZEPINE,HIKMA,TABLET,ORAL,Approved,09.10.2007,Discontinued,yes,No
FDA,NDA007245,AEROLONE,ISOPROTERENOL HYDROCHLORIDE,LILLY,SOLUTION,INHALATION,,,Discontinued,no,No
FDA,ANDA077806,BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM,HIKMA,CAPSULE,ORAL,Approved,28.12.2007,authorised,yes,No
FDA,ANDA077812,CITALOPRAM HYDROBROMIDE,CITALOPRAM HYDROBROMIDE,AUROBINDO PHARMA,SOLUTION,ORAL,Approved,28.08.2006,authorised,yes,No
