Origin,Marketing authorisation Number,Drug name,Non proprietary name,Marketing authorisation holder/ applicant,Pharmaceutical form,Administration route,Decision,Decision date,Current status,Non-clinical abridge,Referral
FDA,ANDA089736,VICODIN ES,ACETAMINOPHEN,ABBVIE,TABLET,ORAL,Approved,09.12.1988,Discontinued,yes,No
FDA,ANDA089765,THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE,PAR PHARM,TABLET,ORAL,,,Discontinued,yes,No
FDA,ANDA089785,MEPERIDINE HYDROCHLORIDE,MEPERIDINE HYDROCHLORIDE,IGI LABS INC,INJECTABLE,INJECTION,,,Discontinued,yes,No
FDA,ANDA089798,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,COSETTE,CREAM,TOPICAL,Approved,31.05.1991,authorised,yes,No
FDA,ANDA089823,UNI-DUR,THEOPHYLLINE,SCHERING,"TABLET, EXTENDED RELEASE",ORAL,Approved,04.01.1995,Discontinued,yes,No
FDA,ANDA089835,METHYCLOTHIAZIDE,METHYCLOTHIAZIDE,CHARTWELL RX,TABLET,ORAL,Approved,18.08.1988,Discontinued,yes,No
FDA,ANDA089849,METHOCARBAMOL,METHOCARBAMOL,MARSAM PHARMS LLC,INJECTABLE,INJECTION,Approved,27.12.1991,Discontinued,yes,No
FDA,ANDA089883,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,ACETAMINOPHEN,WATSON LABS,TABLET,ORAL,Approved,01.12.1988,Discontinued,yes,No
FDA,ANDA089894,QUINIDINE GLUCONATE,QUINIDINE GLUCONATE,RISING,"TABLET, EXTENDED RELEASE",ORAL,Approved,15.12.1988,Discontinued,yes,No
FDA,ANDA089977,THEOPHYLLINE,THEOPHYLLINE,HOSPIRA,"CAPSULE, EXTENDED RELEASE",ORAL,,,Discontinued,yes,No
FDA,ANDA089987,BUTAPAP,ACETAMINOPHEN,MIKART,TABLET,ORAL,Approved,26.10.1992,authorised,yes,No
FDA,ANDA090005,NAFCILLIN SODIUM,NAFCILLIN SODIUM,ISTITUTO BIO ITA SPA,INJECTABLE,INJECTION,Approved,20.04.2011,authorised,yes,No
FDA,ANDA090018,ZOLEDRONIC ACID,ZOLEDRONIC ACID,SUN PHARMA GLOBAL,INJECTABLE,INTRAVENOUS,Approved,04.03.2013,Discontinued,yes,No
FDA,ANDA090019,"PEG-3350, POTASSIUM CHLORIDE, SODIUM BICARBONATE, SODIUM CHLORIDE",POLYETHYLENE GLYCOL 3350,NOVEL LABS INC,FOR SOLUTION,ORAL,Approved,27.05.2009,authorised,yes,No
FDA,ANDA090037,DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE,DORZOLAMIDE HYDROCHLORIDE,BAUSCH AND LOMB,SOLUTION/DROPS,OPHTHALMIC,Approved,14.07.2009,authorised,yes,No
FDA,ANDA090039,METHOTREXATE SODIUM PRESERVATIVE FREE,METHOTREXATE SODIUM,SANDOZ,INJECTABLE,INJECTION,Approved,31.03.2009,authorised,yes,No
FDA,ANDA090060,FINASTERIDE,FINASTERIDE,HETERO LABS LTD III,TABLET,ORAL,Approved,01.07.2013,authorised,yes,No
FDA,ANDA090080,MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE,APOTEX,SOLUTION/DROPS,OPHTHALMIC,Approved,30.06.2017,authorised,yes,No
FDA,ANDA090083,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,AUROBINDO PHARMA,TABLET,ORAL,Approved,06.10.2010,authorised,yes,No
FDA,NDA018714,BILTRICIDE,PRAZIQUANTEL,BAYER HLTHCARE,TABLET,ORAL,Approved,29.12.1982,Discontinued,no,Yes
