Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
bevacizumab,Avastin,2010-02-11 00:00:00,Treatment of primary peritoneal carcinoma.,Designated/Approved,,,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens",11/14/2014,11/14/2021,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent primary peritoneal cancer who received no more than 2 prior chemotherapy regimens","Genentech, Inc.",1 DNA Way,,South San Francisco,California,' 94080 ' ,United States,317810.0
bevacizumab,Avastin,11/23/2010,Treatment of fallopian tube carcinoma,Designated/Approved,,,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who have received no more than 2 prior chemotherapy regimens.",11/14/2014,11/14/2021,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent fallopian tube cancer who have received no more than 2 prior chemotherapy regimens.","Genentech, Inc.",1 DNA Way,,South San Francisco,California,' 94080 ' ,United States,318010.0
bevacizumab,Avastin,2006-09-02 00:00:00,Therapeutic treatment of patients with ovarian cancer,Designated/Approved,,,"Avastin in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens. Avastin, either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitive recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer.",2016-06-12 00:00:00,2023-06-12 00:00:00,"Either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitive recurrent epithelial ovarian cancer.","Genentech, Inc.",1 DNA Way,,South San Francisco,California,' 94080 ' ,United States,216405.0
bevacizumab,Avastin,11/23/2010,Treatment of fallopian tube carcinoma,Designated/Approved,,,"Avastin in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens. Avastin, either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitive recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer.",2016-06-12 00:00:00,2023-06-12 00:00:00,"Either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitive recurrent fallopian tube cancer.","Genentech, Inc.",1 DNA Way,,South San Francisco,California,' 94080 ' ,United States,318010.0
bevacizumab,Avastin,2003-06-11 00:00:00,Treatment of renal cell carcinoma,Designated/Approved,,,Treatment of renal cell carcinoma in combination with interferon alfa,07/31/2009,07/31/2016,,"Genentech, Inc.",1 DNA Way,,South San Francisco,California,' 94080 ' ,United States,172903.0
Bexarotene,Targretin,06/18/1999,Treatment of cutaneous T-cell lymphoma.,Designated/Approved,,,Treatment of cutaneous manifestations of cutaneous T-cell lymphoma in patients who are refractory to at least one prior systemic therapy.,12/29/1999,12/29/2006,,"Eisai, Inc.",300 Tice Blvd,,Woodcliff Lake,New Jersey,' 07677 ' ,United States,124699.0
"bictegravir, emtricitabine, and tenofovir alafenamide",Biktarvy,05/17/2017,Treatment of Human Immunodeficiency Virus type 1 infection in pediatric patients,Designated/Approved,,,BIKTARVY is indicated as a complete regimen for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults and pediatric patients weighing at least 25 kg who have no antiretroviral treatment history or to replace the current antiretroviral regimen in those who are virologically-suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral with no history of treatment failure and no known substitutions associated with resistance to the individual components o,06/18/2019,06/18/2026,As a complete regimen for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in pediatric patients weighing at least 25 kg who have no antiretroviral treatment history or to replace the current antiretroviral regimen in those who are virologically-suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral with no history of treatment failure and no known substitutions associated with resistance to the individual components of,"Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,' 94404 ' ,United States,559316.0
"bictegravir, emtricitabine, and tenofovir alafenamide",Biktarvy,05/17/2017,Treatment of Human Immunodeficiency Virus type 1 infection in pediatric patients,Designated/Approved,,,As a complete regimen for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults and pediatric patients weighing at least 14 kg who have no antiretroviral treatment history or to replace the current antiretroviral regimen in those who are virologically-suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral regimen with no history of treatment failure and no known substitutions associated with resistance to the individual components of Biktarvy,2021-07-10 00:00:00,2028-07-10 00:00:00,As a complete regimen for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in pediatric patients weighing 14 kg to less than 25 kg who have no antiretroviral treatment history or to replace the current antiretroviral regimen in those who are virologically-suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral regimen with no history of treatment failure and no known substitutions associated with resistance to the individual components of Biktarvy,"Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,' 94404 ' ,United States,559316.0
"bictegravir, emtricitabine, and tenofovir alafenamide",Biktarvy,05/17/2017,Treatment of Human Immunodeficiency Virus type 1 infection in pediatric patients,Designated/Approved,,,as a complete regimen for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults and pediatric patients weighing at least 14 kg: (1) who have no antiretroviral treatment history or (2) to replace the current antiretroviral regimen in those who are virologically-suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral regimen with no known or suspected substitutions associated with resistance to bictegravir or tenofovir,02/23/2024,02/23/2031,treatment of human immunodeficiency virus type 1 (HIV-1) infection in pediatric patients weighing at least 14 kg to replace the current antiretroviral regimen in those who are virologically suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral regimen with no known or suspected substitutions associated with resistance to bictegravir or tenofovir and with known or suspected substitutions associated with resistance to emtricitabine,"Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,' 94404 ' ,United States,559316.0
birch triterpenes,Filsuvez,2014-07-08 00:00:00,Treatment of epidermolysis bullosa,Designated/Approved,,,Treatment of wounds associated with dystrophic and junctional epidermolysis bullosa (EB) in adult and pediatric patients 6 months of age and older,12/18/2023,12/18/2030,Treatment of wounds associated with dystrophic and junctional epidermolysis bullosa (EB) in adult and pediatric patients 6 months of age and older,Chiesi Farmaceutici S.p.A.,Via Palermo 26/A,,Parma,Emilia Romagna,' 43122 ' ,Italy,438114.0
