Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
Anthrax Vaccine Adsorbed,BioThrax,2014-11-04 00:00:00,For post-exposure prophylaxis of anthrax disease resulting from suspected or confirmed Bacillus anthracis exposure,Designated/Approved,,,"For post-exposure prophylaxis of disease following suspected or confirmed Bacillus anthracis exposure, when administered in conjunction with recommended antibacterial drugs.",11/23/2015,11/23/2022,"For post-exposure prophylaxis of disease following suspected or confirmed Bacillus anthracis exposure, when administered in conjunction with recommended antibacterial drugs.",Emergent BioDefense Operations Lansing LLC,300 Proessional Drive,,Gaithersburg,Maryland,' 20879 ' ,United States,424914.0
"Anthrax Vaccine Adsorbed, Adjuvanted",Cyfendus,08/19/2021,Post-exposure prophylaxis of anthrax disease resulting from suspected or confirmed Bacillus anthracis exposure,Designated/Approved,,,post-exposure prophylaxis of disease following suspected or confirmed exposure to Bacillus anthracis in persons 18 through 65 years of age when administered in conjunction with recommended antibacterial drugs,07/20/2023,,,"Emergent Product Development Gaithersburg, Inc.",300 Professional Drive,,Gaitherburg,Maryland,' 20879 ' ,United States,832521.0
anti-inhibitor coagulant complex,FEIBA,2013-12-04 00:00:00,Routine prophylaxis to prevent or reduce the frequency of bleeding episodes in hemophilia A and B patients with inhibitors,Designated/Approved,,,Routine prophylaxis to prevent or reduce the frequency of bleeding episodes in hemophilia A and B patients with inhibitors,12/16/2013,12/16/2020,Routine prophylaxis to prevent or reduce the frequency of bleeding episodes in hemophilia A and B patients with inhibitors,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,393913.0
Antihemophilic factor (human),Alphanate,1996-05-01 00:00:00,Treatment of von Willebrand's disease,Designated/Approved,,,For surgical and/or invasive procedures in patients with von Willebrand Disease (VWD) in whom desmopressin is either ineffective or contraindicated. It is not indicated for patients with severe VWD (Type 3) undergoing major surgery,01/31/2007,01/31/2014,,Grifols Biologicals Inc.,5555 Valley Boulevard,,Los Angeles,California,' 90032 ' ,United States,93895.0
Antihemophilic factor (recombinant),"ReFacto, Xyntha",1996-08-02 00:00:00,For the control and prevention of hemorrhagic episodes and for surgical prophylaxis in patients with hemophilia A (congenital factor VIII deficiency or classic hemophilia).,Designated/Approved,,,,2000-06-03 00:00:00,,,"Wyeth Pharmaceuticals, Inc.",P. O. Box 8299,,Philadelphia,Pennsylvania,' 19101 ' ,United States,94495.0
Antihemophilic factor (recombinant),Kogenate,09/25/1989,Prophylaxis and treatment of bleeding in individuals with hemophilia A or for prophylaxis when surgery is required in individuals with hemophilia A.,Designated/Approved,,,Treatment and prophylaxis of bleeding in patients with hemophilia A (not von Willebrand's disease),02/25/1993,02/25/2000,,Bayer Corporation,1884 Miles Avenue,,Elkhart,Indiana,' 46515 ' ,United States,39289.0
"antihemophilic factor (recombinant), Fc fusion protein",Eloctate,11/23/2010,Treatment of hemophilia A,Designated/Approved,,,"Indicated in adults and children with Hemophilia A (congenital Factor VIII deficiency) for on-demand treatment and control of bleeding episodes, perioperative management of bleeding, and routine prophylaxis to reduce the frequency of bleeding episodes.",2014-06-06 00:00:00,2021-06-06 00:00:00,"Treatment of adults and children with Hemophilia A (congenital Factor VIII deficiency) for control and prevention of bleeding episodes, perioperative management, and routine prophylaxis to prevent or reduce the frequency of bleeding episodes.","Bioverativ Therapeutics, Inc.",225 2nd Avenue,,Waltham,Massachusetts,' 02451 ' ,United States,321610.0
"antihemophilic factor (recombinant), Fc-VWF-XTEN fusion protein-ehtl",Altuviiio,2017-03-08 00:00:00,Treatment of hemophilia A,Designated/Approved,,,in adults and children with hemophilia A (congenital factor VIII deficiency) for routine prophylaxis to reduce the frequency of bleeding episodes; on-demand treatment and control of bleeding episodes; and perioperative management of bleeding,02/22/2023,02/22/2030,in adults and children with hemophilia A (congenital factor VIII deficiency) for routine prophylaxis to reduce the frequency of bleeding episodes; on-demand treatment and control of bleeding episodes; and perioperative management of bleeding,"Bioverativ Therapeutics, Inc.",225 Second Avenue,,Waltham,Massachusetts,' 02451 ' ,United States,591217.0
"antihemophilic factor (recombinant), porcine sequence",OBIZUR,03/16/2004,Treatment and prevention of episodic bleeding in patients with inhibitor antibodies to human coagulation factor VIII,Designated/Approved,,,Treatment of bleeding episodes in adults with acquired hemophilia A.,10/23/2014,10/23/2021,Treatment of bleeding episodes in adults with acquired hemophilia A.,"Takeda Development Center Americas, Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,181403.0
"Antihemophilic factor/von Willebrand factor complex (human), dried, pasteurized",Humate-P,10/16/1992,Treatment of patients with von Willebrand's disease,Designated/Approved,,,"(1) In adult patients for treatment and prevention of bleeding in hemophilia A (classic hemophilia) and (2) in adult and pediatric patients for treatment of spontaneous and trauma-induced bleeding episodes in severe von Willebrand disease, and in mild and moderate von Willebrand disease where use of desmopressin is known or suspected to be inadequate.",1999-01-04 00:00:00,2006-01-04 00:00:00,,CSL Behring,1020 First Avenue,PO Box 61501,King Of Prussia,Pennsylvania,' 19406 ' ,United States,67992.0
