Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
coagulation factor IX (recombinant); coagulation factor IX (recombinant),RIXUBIS; RIXUBIS,10/31/2012,Prophylactic use to prevent or reduce the frequency of bleeding episodes in patients with hemophilia B (routine prophylaxis in patients where there is no evidence or suspicion of bleeding),Designated/Approved,,,"Adults with Hemophilia B for (1) control and prevention of bleeding episodes, (2) perioperative management, and (3) routine prophylaxis to prevent or reduce the frequency of bleeding episodes.",06/26/2013,06/26/2020,Adults with Hemophilia B for routine prophylaxis to prevent or reduce the frequency of bleeding episodes.,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,377412.0
Coagulation factor VIIa (recombinant),NovoSeven,2004-10-09 00:00:00,Treatment of bleeding episodes in patients with congenital factor VII deficiency,Designated/Approved,,,Treatment of bleeding episodes in patients with Factor VII Deficiency,2005-11-07 00:00:00,2012-11-07 00:00:00,,"Novo Nordisk, Inc.",100 Overlook Center,Suite 200,Princeton,New Jersey,' 08540 ' ,United States,185904.0
coagulation factor VIIa (recombinant),NovoSeven RT,06/18/2004,Treatment of bleeding episodes in Glanzmann's thrombasthenia,Designated/Approved,,,"Treatment of bleeding episodes and peri-operative management in adults and children with Glanzmann's thrombasthenia with refractoriness to platelet transfusions, with or without antibodies to platelets.",2014-02-07 00:00:00,2021-02-07 00:00:00,"Treatment of bleeding episodes and peri-operative management in adults and children with Glanzmann's thrombasthenia with refractoriness to platelet transfusions, with or without antibodies to platelets.",Novo Nordisk Inc.,800 Scudders Mill Rd.,,Plainsboro,New Jersey,' 08536 ' ,United States,186004.0
Coagulation factor VIIa (recombinant),NovoSeven,06/18/2004,"Prevention of bleeding episodes in patients with hemophilia A or B, with or without inhibitors",Designated/Approved,,,Prevention of bleeding in surgical interventions or invasive procedures in hemophilia A or B patients with inhibitors to Factor VIII or Factor IX,2005-12-08 00:00:00,2012-12-08 00:00:00,,"Novo Nordisk, Inc.",100 Overlook Center,Suite 200,Princeton,New Jersey,' 08540 ' ,United States,186104.0
Coagulation Factor VIIa (Recombinant),NovoSeven,07/16/2004,Treatment of bleeding episodes in patients with acquired inhibitors to Factor VIII or Factor IX,Designated/Approved,,,Treatment of bleeding episodes in surgical interventions or invasive procedures in patients with acquired hemophilia,10/13/2006,10/13/2013,,"Novo Nordisk, Inc.",100 Overlook Center,Suite 200,Princeton,New Jersey,' 08540 ' ,United States,186204.0
Coagulation factor VIIa (recombinant),NovoSeven,2004-10-09 00:00:00,Prevention of bleeding episodes in patients with congenital Factor VII deficiency,Designated/Approved,,,Prevention of bleeding in surgical interventions or invasive procedures in patients with congenital F VII deficiency,2005-11-07 00:00:00,2012-11-07 00:00:00,,"Novo Nordisk, Inc.",100 Overlook Center,Suite 200,Princeton,New Jersey,' 08540 ' ,United States,189904.0
Coagulation factor VIIa (recombinant),NovoSeven,1988-06-06 00:00:00,Treatment of bleeding episodes in hemophilia A or B patients with inhibitors to Factor VIII or Factor IX.,Designated/Approved,,,Treatment of bleeding episodes in hemophilia A or B patients with inhibitors to Factor VIII or Factor IX.,03/25/1999,03/25/2006,,"Novo Nordisk, Inc.",100 Overlook Center,Suite 200,Princeton,New Jersey,' 08540 ' ,United States,26588.0
Coagulation factor VIIa (recombinant),NovoSeven,07/21/2004,Prevention of bleeding episodes in patients with acquired inhibitors to Factor VIII or Factor IX,Designated/Approved,,,Prevention of bleeding in surgical interventions or invasive procedures in patients with acquired hemophilia,10/13/2006,10/13/2013,,"Novo Nordisk, Inc.",100 Overlook Center,Suite 200,Princeton,New Jersey,' 08540 ' ,United States,190104.0
Coagulation factor X (human),Coagadex,2007-08-11 00:00:00,Treatment of hereditary factor X deficiency,Designated/Approved,,,"in adults and children with hereditary Factor X deficiency for routine prophylaxis to reduce the frequency of bleeding episodes; on-demand treatment and control of bleeding episodes; and perioperative management of bleeding in patients with mild, moderate, and severe hereditary Factor X deficiency",04/14/2023,04/14/2030,perioperative management of bleeding in adults and children with severe hereditary Factor X deficiency,Bio Products Laboratory Limited,Dagger Lane,,Elstree,Hertfordshire,' ' ,United Kingdom,246907.0
Coagulation factor X (human),COAGADEX,2007-08-11 00:00:00,Treatment of hereditary factor X deficiency,Designated/Approved,,,COAGADEX is indicated in adults and children with hereditary Factor X deficiency for routine prophylaxis to reduce the frequency of bleeding episodes; on-demand treatment and control of bleeding episodes; and perioperative management of bleeding in patients with mild and moderate hereditary Factor X deficiency.,09/21/2018,09/21/2025,Coagadex is indicated for routine prophylaxis to reduce the frequency of bleeding episodes in adults and children with hereditary Factor X deficiency; on-demand treatment and control of bleeding episodes in children under the age of 12 years with hereditary Factor X deficiency; perioperative management of bleeding in children under the age of 12 years with mild hereditary factor X deficiency; perioperative management of bleeding in adults and children with moderate hereditary Factor X deficiency,Bio Products Laboratory Limited,Dagger Lane,,Elstree,Hertfordshire,' ' ,United Kingdom,246907.0
Coagulation factor X (human),COAGADEX,2007-08-11 00:00:00,Treatment of hereditary factor X deficiency,Designated/Approved,,,Treatment of adults and adolescents (aged 12 years and above) with hereditary Factor X deficiency for on-demand treatment and control of bleeding episodes and perioperative management of bleeding in patients with mild hereditary Factor X deficiency,10/20/2015,10/20/2022,Treatment of adults and adolescents (aged 12 years and above) with hereditary Factor X deficiency for on-demand treatment and control of bleeding episodes and perioperative management of bleeding in patients with mild hereditary Factor X deficiency,Bio Products Laboratory Limited,Dagger Lane,,Elstree,Hertfordshire,' ' ,United Kingdom,246907.0
"Coagulation factor Xa (recombinant), inactivated-zhzo",ANDEXXA,02/23/2015,For reversing the anticoagulant effect of direct or indirect factor Xa inhibitors in patients experiencing a serious uncontrolled bleeding event or who require urgent or emergent surgery,Designated/Approved,,,"Coagulation factor Xa (recombinant), inactivated-zhzo is indicated for patients treated with rivaroxaban and apixaban, when reversal of anticoagulation is needed due to life-threatening or uncontrolled bleeding",2018-03-05 00:00:00,2025-03-05 00:00:00,"Coagulation factor Xa (recombinant), inactivated-zhzo is indicated for patients treated with rivaroxaban and apixaban, when reversal of anticoagulation is needed due to life-threatening or uncontrolled bleeding","Alexion Pharmaceuticals, Inc.",121 Seaport Boulevard,,Boston,Massachusetts,' 02210 ' ,United States,437414.0
coagulation factor XIII A-subunit (recombinant),TRETTEN,2003-06-11 00:00:00,Prophylaxis of bleeding associated with congential factor XIII deficiency,Designated/Approved,,,Routine prophylaxis of bleeding in patients with congenital Factor XIII A-subunit deficiency.,12/23/2013,12/23/2020,Routine prophylaxis of bleeding in patients with congenital Factor XIII A-subunit deficiency.,"Novo Nordisk, Inc.",800 Scudders Mill Rd.,,Plainsboro,New Jersey,' 08536 ' ,United States,174803.0
cobimetinib,,01/31/2014,"Treatment of stage IIb, IIc, III, and IV melanoma with BRAFV600 mutation",Designated/Approved,,,"For the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutation, in combination with vemurafenib. Limitations of Use: COTELLIC is not indicated for treatment of patients with wild-type BRAF melanoma.",2015-10-11 00:00:00,2022-10-11 00:00:00,"For the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutation, in combination with vemurafenib. COTELLIC is not indicated for treatment of patients with wild-type BRAF melanoma","Genentech, Inc.","1 DNA Way, MS 241A",,South San Francisco,California,' 94080 ' ,United States,419513.0
coccidioidin SD Skin Test Antigen,,12/19/2007,For the diagnosis of Coccidioidomycosis,Designated/Approved,,,"For the detection of delayed type hypersensitivity to C. immitis in individuals, 18-64 years of age, with a history of pulmonary coccidioidomy-cosis",07/29/2011,,,"Allermed Labortories, Inc.",7203 Convoy Court,,San Diego,California,' 92111 ' ,United States,246007.0
"Colfosceril palmitate, cetyl alcohol, tyloxapol",Exosurf Neonatal for Intratracheal Suspension,10/20/1989,"1. Prevention of hyaline membrane disease, also known as respiratory distress syndrome, in infants born at 32 weeks gestation or less 2. Treatment of established hyaline membrane disease at all gestational ages",Designated/Approved,,,"Prevention of hyaline membrane disease (HMD), also known as respiratory distress syndrome (RDS), in infants born at 32 weeks gestation or less and in the treatment of established HMO at all gestational ages",1990-02-08 00:00:00,1997-02-08 00:00:00,,Glaxo Wellcome Inc.,5 Moore Drive,,Research Triangle Park,North Carolina,' 27709 ' ,United States,14886.0
Combination of nivolumab and ipilimumab,,2014-09-10 00:00:00,Treatment of Stage IIb to Stage IV melanoma,Designated/Approved,,,"Treatment of patients with BRAF V600 wild-type, unresectable or metastatic melanoma",09/30/2015,09/30/2022,"Treatment of patients with BRAF V600 wild-type, unresectable or metastatic melanoma",Bristol-Myers Squibb Company,5 Research Parkway,,Wallingford,Connecticut,' 06492 ' ,United States,445014.0
Cromolyn sodium 4% ophthalmic solution,Opticrom 4% ophthalmic solution,07/24/1985,Treatment of vernal keratoconjunctivitis.,Designated/Approved,,,,1984-03-10 00:00:00,1991-03-10 00:00:00,,Fisons Corporation,755 Jefferson Rd.,P.O. Box 1710,Rochester,New York,' 14603 ' ,United States,8285.0
crotalidae immune F(ab')2 (equine),Anavip,01/29/2004,Treatment of envenomation by Crotaline snakes,Designated/Approved,,,Management of adult and pediatric patients with North American rattlesnake envenomation,2015-06-05 00:00:00,2022-06-05 00:00:00,Management of adult and pediatric patients with North American rattlesnake envenomation,"Rare Disease Therapeutics, Inc.",12975 Brookprinter Place,Suite 170,Poway,California,' 92064 ' ,United States,177503.0
crotalidae immune F(ab')2 (equine),Anavip,01/29/2004,Treatment of envenomation by Crotaline snakes,Designated/Approved,,,For the management of adult and pediatric patients with North American Pit Viper envenomation,2021-01-04 00:00:00,,,"Rare Disease Therapeutics, Inc.",12975 Brookprinter Place,Suite 170,Poway,California,' 92064 ' ,United States,177503.0
Cytarabine:daunorubicin liposome injection; daunorubicin and cytarabine (liposome); daunorubicin and cytarabine liposome for injection,VYXEOS ; Vyxeos ; Vyxeos,08/22/2008,Treatment of acute myeloid leukemia,Designated/Approved,,,treatment of newly-diagnosed therapy-related acute myeloid leukemia (t-AML) or AML with myelodysplasia-related changes (AML-MRC) in adults and pediatric patients ages 1 year and older,03/30/2021,03/30/2028,treatment of newly-diagnosed therapy-related acute myeloid leukemia (t-AML) or AML with myelodysplasia-related changes (AML-MRC) in pediatric patients ages 1 year and older,"Celator Pharmaceuticals, Inc. (a Jazz Pharmaceuticals Company)",3170 Porter Drive,,Palo Alto,California,' 94304 ' ,United States,265808.0
Cytarabine:daunorubicin liposome injection; daunorubicin and cytarabine (liposome); daunorubicin and cytarabine liposome for injection,VYXEOS ; Vyxeos ; Vyxeos,08/22/2008,Treatment of acute myeloid leukemia,Designated/Approved,,,Treatment of adults with newly-diagnosed therapy-related acute myeloid leukemia (t-AML) or AML with myelodysplasia-related changes (AML-MRC),2017-03-08 00:00:00,2024-03-08 00:00:00,Treatment of adults with newly-diagnosed therapy-related acute myeloid leukemia (t-AML) or AML with myelodysplasia-related changes (AML-MRC),"Celator Pharmaceuticals, Inc. (a Jazz Pharmaceuticals Company)",3170 Porter Drive,,Palo Alto,California,' 94304 ' ,United States,265808.0
Cytomegalovirus immune globulin (human),CytoGam,1987-03-08 00:00:00,Prevention or attenuation of primary cytomegalovirus disease in immunosuppressed recipients of organ transplants.,Designated/Approved,,,"#1) Attenuation of primary CMV disease associated with kidney transplant recipients who are seronegative for CMV and who receive a kidney from a CMV seropositve donor; #2) Prophylaxis of CMV disease associated transplantation of kidney (all other), lung, liver, pancreas and heart.",1998-04-12 00:00:00,2005-04-12 00:00:00,,CSL Behring LLC,1020 First Avenue,P. O. Box 61501,King of Prussia,Pennsylvania,' 19406 ' ,United States,15386.0
dabrafenib and trametinib,Tafinlar(r) Capsules a nd Mekinist(r) Tablets,2016-01-09 00:00:00,Treatment of patients with anaplastic thyroid cancer and locally advanced or metastatic papillary thyroid cancer whose tumors harbor a BRAF V600 mutation.,Designated/Approved,,,"TAFINLAR is indicated, in combination with trametinib, for the treatment of patients with locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation and with no satisfactory locoregional treatment options",2018-04-05 00:00:00,2025-04-05 00:00:00,"MEKINIST (trametinib) and TAFINLAR (dabrafenib) in combination, for the treatment of patients with locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation and with no satisfactory locoregional treatment options",Novartis Pharmaceuticals Corporation,1 Health Plaza,Building 337,East Hanover,New Jersey,' 07936 ' ,United States,521616.0
dabrafenib and trametinib,Tafinlar(r) Capsules a nd Mekinist(r) Tablets,2016-01-09 00:00:00,Treatment of patients with anaplastic thyroid cancer and locally advanced or metastatic papillary thyroid cancer whose tumors harbor a BRAF V600 mutation.,Designated/Approved,,,"MEKINIST is indicated, in combination with dabrafenib, for the treatment of patients with locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation and with no satisfactory locoregional treatment options",2018-04-05 00:00:00,2025-04-05 00:00:00,"MEKINIST (trametinib) and TAFINLAR (dabrafenib) in combination, for the treatment of patients with locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation and with no satisfactory locoregional treatment options",Novartis Pharmaceuticals Corporation,1 Health Plaza,Building 337,East Hanover,New Jersey,' 07936 ' ,United States,521616.0
Daclizumab,Zenapax,1993-05-03 00:00:00,Prevention of acute renal allograft rejection.,Designated/Approved/Designation Withdrawn or Revoked,2024-12-09,,"Prophylaxis of acute organ rejection in patients receiving renal transplants, to be used as a part of an immunosuppressive regimen that includes cyclosporine and corticosteroids.",1997-10-12 00:00:00,2004-10-12 00:00:00,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,' 07110 ' ,United States,67692.0
deferasirox,Exjade; Jadenu Sprinkles,02/24/2015,Treatment of chronic iron overload in alpha-thalassemia,Designated/Approved,,,Treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and a serum ferritin greater than 300 mcg/L.,05/18/2017,,,Novartis Pharmaceuticals Corporation,One Health Plaza,,East Hanover,New Jersey,' 07936 ' ,United States,354411.0
deferasirox,Exjade; Jadenu Sprinkles,02/24/2015,Treatment of chronic iron overload in alpha-thalassemia,Designated/Approved,,,Treatment of chronic iron overload in patients 10 years of age and older with non-transfusion dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and serum ferritin greater than 300 mcg/L.,01/23/2013,01/23/2020,Treatment of chronic iron overload in patients 10 years of age and older with non-transfusion dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and serum ferritin greater than 300 mcg/L.,Novartis Pharmaceuticals Corporation,One Health Plaza,,East Hanover,New Jersey,' 07936 ' ,United States,354411.0
Deferasirox,Exjade; Jadenu Sprinkles,11/21/2002,Treatment of chronic iron overload in patients with transfusion-dependent anemias,Designated/Approved,,,treatment of chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age and older,05/18/2017,,,Novartis Pharmaceuticals Corp.,One Health Plaza,,East Hanover,New Hampshire,' 07936 ' ,United States,161002.0
Deferasirox,Exjade; Jadenu Sprinkles,11/21/2002,Treatment of chronic iron overload in patients with transfusion-dependent anemias,Designated/Approved,,,Treatment of chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age or older,2005-02-11 00:00:00,2012-02-11 00:00:00,,Novartis Pharmaceuticals Corp.,One Health Plaza,,East Hanover,New Hampshire,' 07936 ' ,United States,161002.0
delandistrogene moxeparvovec-rokl,Elevidys,06/21/2018,Treatment of Duchenne Muscular Dystrophy,Designated/Approved,,,treatment of ambulatory pediatric patients aged 4 through 5 years with Duchenne muscular dystrophy (DMD) with a confirmed mutation in the DMD gene,06/22/2023,06/22/2030,treatment of ambulatory pediatric patients aged 4 through 5 years with Duchenne muscular dystrophy (DMD) with a confirmed mutation in the DMD gene,"Sarepta Therapeutics, Inc.",215 First Street,,Cambridge,Massachusetts,' 02142 ' ,United States,641318.0
delandistrogene moxeparvovec-rokl,Elevidys,06/21/2018,Treatment of Duchenne Muscular Dystrophy,Designated/Approved,,,"treatment of Duchenne muscular dystrophy (DMD) in individuals at least 4 years of age for patients who are ambulatory and have a confirmed mutation in the DMD gene, and for patients who are non-ambulatory and have a confirmed mutation in the DMD gene",06/20/2024,06/20/2031,"treatment of Duchenne muscular dystrophy (DMD) in individuals greater than 5 years of age who are ambulatory and have a confirmed mutation in the DMD gene, and treatment of DMD in individuals at least 4 years of age who are non-ambulatory and have a confirmed mutation in the DMD gene","Sarepta Therapeutics, Inc.",215 First Street,,Cambridge,Massachusetts,' 02142 ' ,United States,641318.0
denosumab,XGEVA,2013-11-09 00:00:00,Treatment of hypercalcemia in malignancy,Designated/Approved,,,To treat hypercalcemia of malignancy refractory to biphosphonate therapy.,2014-05-12 00:00:00,2021-05-12 00:00:00,To treat hypercalcemia of malignancy refractory to biphosphonate therapy.,"Amgen, Inc.",One Amgen Center Drive,MS 17-2-C,Thousand Oaks,California,' 91320 ' ,United States,404213.0
denosumab,Xgeva,12/20/2010,Treatment of patients with giant cell tumor of bone,Designated/Approved,,,Treatment of adults and skeletally mature adolescents with giant cell tumor of bone that is unresectable or where surgical resection is likely to result in severe morbidity.,06/13/2013,06/13/2020,Treatment of adults and skeletally mature adolescents with giant cell tumor of bone that is unresectable or where surgical resection is likely to result in severe morbidity.,"Amgen, Inc.",One Amgen Center Drive,,Thousand Oaks,California,' 91320 ' ,United States,324110.0
Desmopressin acetate,,01/22/1991,Treatment of mild hemophilia A and von Willebrand's disease.,Designated/Approved,,,Treatment of patients with hemophilia A or von Willebrand's disease (type I) whose factor VIII coagulant activity level is greater than 5%.,1994-07-03 00:00:00,2001-07-03 00:00:00,,"Ferring Pharmaceuticals, Inc.",100 Interpace Parkway,,Parsippany-Troy Hills,New Jersey,' 07054 ' ,United States,51490.0
dexrazoxane,Totect(r),03/25/2004,Treatment of anthracycline extravasation during chemotherapy,Designated/Approved,,,Treatment of extravasation resulting from IV anthracycline chemotherapy,2007-06-09 00:00:00,2014-06-09 00:00:00,,"Clinigen, Inc.",790 Township Line Road,Suite 120,Yardley,Pennsylvania,' 19067 ' ,United States,181103.0
Diazepam viscous solution for rectal administration,Diastat,02/25/1992,"For the management of selected, refractory, patients with epilepsy, on stable regimens of antiepileptic drugs (AEDs), who require intermittent use of diazepam to control bouts of increased seizure activity.",Designated/Approved,,,,07/29/1997,07/29/2004,,Valeant Pharmaceuticals,3300 Hyland Avenue,,Costa Mesa,California,' 92626 ' ,United States,61591.0
dichlorphenamide,,2010-02-09 00:00:00,Treatment of primary periodic paralyses,Designated/Approved,,,"Treatment of primary hyperkalemic periodic paralysis, primary hypokalemic period paralysis, and related variants",2015-07-08 00:00:00,2022-07-08 00:00:00,"Treatment of primary hyperkalemic periodic paralysis, primary hypokalemic period paralysis, and related variants","Xeris Pharmaceuticals, Inc.","180 N La Salle Street, Suite 1600",,Chicago,Illinois,' 60601 ' ,United States,314210.0
Diethylenetriaminepentaacetic acid (DTPA),,04/28/2004,"Treatment of patients with known or suspected internal contamination with plutonium, americium, or curium to increase the rates of elimination.",Designated/Approved,,,"Treatment of internal contamination with plutonium, americium or curium",2004-11-08 00:00:00,2011-11-08 00:00:00,,Hameln Pharmaceuticals gmbh,Langes Feld 13,,Hameln,,' ' ,Germany,186804.0
Digoxin immune FAB (Ovine),Digibind,1984-01-11 00:00:00,Treatment of potentially life threatening digitalis intoxication in patients who are refractory to management by conventional therapy.,Designated/Approved,,,,04/22/1986,04/22/1993,,Glaxo Wellcome Inc.,5 Moore Drive,,Research Triangle Park,North Carolina,' 27709 ' ,United States,2584.0
donislecel-jujn,Lantidra,2017-01-02 00:00:00,Treatment of Brittle Type 1 Diabetes,Designated/Approved,,,treatment of adults with Type 1 diabetes who are unable to approach target HbA1c because of current repeated episodes of severe hypoglycemia despite intensive diabetes management and education (exclusivity waived),06/28/2023,,,CellTrans Inc.,2201 W. Campbell Park Drive,,Chicago,Illinois,' 60612 ' ,United States,549916.0
doxorubicin HCL liposome injection,Doxil,12/29/2004,Treatment of multiple myeloma,Designated/Approved,,,For use in combination with bortezomib for the treatment of patients with multiple myeloma who have not previously received bortezomib and have at least one prior therapy.,05/17/2007,05/17/2014,,Johnson & Johnson Pharmaceutical Research & Dev.,"920 US Highway 202, P. O. Box 300",,Raritan,,' 08869 ' ,United States,191704.0
Doxorubicin liposome,Doxil,1998-04-11 00:00:00,Treatment of ovarian cancer.,Designated/Approved,,,"Treatment of metastatic carcinoma of the ovary in patients with disease that is refractory to both paclitaxel- and platinium-based chemotherapy regimens. Refractory disease is defined as disease that has progressed while on treatment, or within 6 months of completing treatment.",06/28/1999,06/28/2006,,Alza Corporation,1550 Plymouth St.,PO Box 7210,Mountain View,California,' 94039 ' ,United States,117398.0
eladocagene exuparvovec-tneq,Kebilidi,2016-08-06 00:00:00,treatment of aromatic L-amino acid decarboxylase deficiency,Designated/Approved,,,treatment of adult and pediatric patients with aromatic L-amino acid decarboxylase (AADC) deficiency,11/13/2024,11/13/2031,treatment of adult and pediatric patients with aromatic L-amino acid decarboxylase (AADC) deficiency,"PTC Therapeutics, Inc.",500 Warren Corporate Center Drive,,Warren,New Jersey,' 07059 ' ,United States,526916.0
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor",Trikafta,08/29/2018,Treatment of Cystic Fibrosis,Designated/Approved,,,TRIKAFTA is indicated for the treatment of cystic fibrosis (CF) in patients aged 12 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,10/21/2019,10/21/2026,Indicated for the treatment of cystic fibrosis (CF) in patients aged 12 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene.,Vertex Pharmaceuticals Incorporated,50 Northern Avenue,,Boston,Massachusetts,' 02210 ' ,United States,647618.0
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor",Trikafta,08/29/2018,Treatment of Cystic Fibrosis,Designated/Approved,,,treatment of cystic fibrosis (CF) in patients aged 12 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or a mutation in the CFTR gene that is responsive based on in vitro data,12/21/2020,12/21/2027,treatment of cystic fibrosis in patients aged 12 years and older who have a mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene that is responsive based on in vitro data.,Vertex Pharmaceuticals Incorporated,50 Northern Avenue,,Boston,Massachusetts,' 02210 ' ,United States,647618.0
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor",Trikafta,08/29/2018,Treatment of Cystic Fibrosis,Designated/Approved,,,Treatment of cystic fibrosis (CF) in patients aged 6 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or a mutation in the CFTR gene that is responsive based on in vitro data,2021-08-06 00:00:00,2028-08-06 00:00:00,Treatment of cystic fibrosis (CF) in patients aged 6 through 11 years old who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or a mutation in the CFTR gene that is responsive based on in vitro data,Vertex Pharmaceuticals Incorporated,50 Northern Avenue,,Boston,Massachusetts,' 02210 ' ,United States,647618.0
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor",Trikafta,08/29/2018,Treatment of Cystic Fibrosis,Designated/Approved,,,treatment of cystic fibrosis (CF) in patients aged 2 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or a mutation in the CFTR gene that is responsive based on clinical and/or in vitro data,12/20/2024,12/20/2031,"treatment of cystic fibrosis (CF) in patients aged 2 years and older who have one of the additional mutations in the cystic fibrosis transmembrane conductance regulator (CFTR) gene that is responsive based on clinical and/or in vitro data and identified in the approval on December 20, 2024",Vertex Pharmaceuticals Incorporated,50 Northern Avenue,,Boston,Massachusetts,' 02210 ' ,United States,647618.0
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor",Trikafta,08/29/2018,Treatment of Cystic Fibrosis,Designated/Approved,,,treatment of cystic fibrosis (CF) in patients aged 2 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or a mutation in the CFTR gene that is responsive based on in vitro data,04/26/2023,04/26/2030,treatment of cystic fibrosis (CF) in patients aged 2 years to less than 6 years who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or a mutation in the CFTR gene that is responsive based on in vitro data,Vertex Pharmaceuticals Incorporated,50 Northern Avenue,,Boston,Massachusetts,' 02210 ' ,United States,647618.0
elivaldogene autotemcel,Skysona,04/19/2012,Treatment of adrenoleukodystrophy,Designated/Approved,,,"To slow the progression of neurologic dysfunction in boys 4-17 years of age with early, active cerebral adrenoleukodystrophy (CALD)",09/16/2022,09/16/2029,"To slow the progression of neurologic dysfunction in boys 4-17 years of age with early, active cerebral adrenoleukodystrophy (CALD)","bluebird bio, Inc.",455 Grand Union Blvd,,Somerville,Massachusetts,' 02145 ' ,United States,368212.0
encorafenib + binimetinib,,11/19/2013,Treatment of Stage IIB-IV melanoma positive for the BRAF mutation.,Designated/Approved,,,"MEKTOVI is indicated, in combination with encorafenib, for the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, as detected by an FDA-approved test",06/27/2018,06/27/2025,"BRAFTOVI (encorafenib) and MEKTOVI (binimetinib) indicated, in combination, for the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, as detected by an FDA-approved test.","Array BioPharma, Inc.",100 Cambridgepark Drive,Suite 505,Cambridge,Massachusetts,' 02140 ' ,United States,411613.0
encorafenib + binimetinib,,11/19/2013,Treatment of Stage IIB-IV melanoma positive for the BRAF mutation.,Designated/Approved,,,"BRAFTOVI is indicated, in combination with binimetinib, for the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, as detected by an FDA-approved test",06/27/2018,06/27/2025,"BRAFTOVI (encorafenib) and MEKTOVI (binimetinib) indicated, in combination, for the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, as detected by an FDA-approved test.","Array BioPharma, Inc.",100 Cambridgepark Drive,Suite 505,Cambridge,Massachusetts,' 02140 ' ,United States,411613.0
eplontersen,Wainua,2022-06-01 00:00:00,Treatment of transthyretin-mediated amyloidosis,Designated/Approved,,,Treatment of the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults,12/21/2023,12/21/2030,Treatment of the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults,"Ionis Pharmaceuticals, Inc.",2855 Gazelle Ct,,Carlsbad,California,' 92010 ' ,United States,827521.0
Epoetin alfa,Epogen,1991-01-07 00:00:00,Treatment of anemia associated with HIV infection or HIV treatment.,Designated/Approved,,,Treatment of AZT-induced anemia in HIV infected patients.,12/31/1990,12/31/1997,,"Amgen, Inc.",1840 Dehavilland Drive,,Thousand Oaks,California,' 91320 ' ,United States,56490.0
Epoetin alfa,Epogen,1986-10-04 00:00:00,Treatment of anemia associated with end stage renal disease.,Designated/Approved,,,"Treatment of anemia associated with chronic renal failure, including patients on dialysis (end stage renal disesae) and patients not on dialysis",1989-01-06 00:00:00,1996-01-06 00:00:00,,"Amgen, Inc.",1840 Dehavilland Drive,,Thousand Oaks,California,' 91320 ' ,United States,12486.0
