Generic Name;Trade Name;Date Designated;Orphan Designation;Orphan Designation Status;Date Designation Withdrawn or Revoked;FDA Orphan Approval Status;Approved Labeled Indication;Marketing Approval Date;Exclusivity End Date;Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present);Sponsor Company;Sponsor Address 1;Sponsor Address 2;Sponsor City;Sponsor State;Sponsor Zip;Sponsor Country;CF Grid Key
setmelanotide;Imcivree;09/19/2019;Treatment of Bardet-Biedl syndrome;Designated/Approved;;;For chronic weight management in adult and pediatric patients 6 years of age and older with monogenic or syndromic obesity due to Bardet-Biedl syndrome (BBS);06/16/2022;06/16/2029;For chronic weight management in adult and pediatric patients 6 years of age and older with monogenic or syndromic obesity due to Bardet-Biedl syndrome (BBS);Rhythm Pharmaceuticals, Inc;222 Berkeley Street;Suite 1200;Boston;Massachusetts;' 02116 ' ;United States;700719
setmelanotide;Imcivree;11/27/2017;Treatment of leptin receptor deficiency;Designated/Approved;;;to reduce excess body weight and maintain weight reduction long term in adults and pediatric patients aged 2 years and older with syndromic or monogenic obesity due to pro-opiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency as determined by an FDA-approved test demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS);12/20/2024;12/20/2031;to reduce excess body weight and maintain weight reduction long term in pediatric patients aged 2 years to less than 6 years with syndromic or monogenic obesity due to pro-opiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency as determined by an FDA-approved test demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS);Rhythm Pharmaceuticals, Inc.;222 Berkeley St., Suite 1200;;Boston;Massachusetts;' 02116 ' ;United States;613717
setmelanotide;Imcivree;04.04.16;Treatment of pro-opiomelanocortin (POMC) deficiency due to mutations in the POMC gene;Designated/Approved;;;to reduce excess body weight and maintain weight reduction long term in adults and pediatric patients aged 2 years and older with syndromic or monogenic obesity due to pro-opiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency as determined by an FDA-approved test demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS);12/20/2024;12/20/2031;to reduce excess body weight and maintain weight reduction long term in pediatric patients aged 2 years to less than 6 years with syndromic or monogenic obesity due to pro-opiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency as determined by an FDA-approved test demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS);Rhythm Pharmaceuticals, Inc.;222 Berkeley St., Suite 1200;;Boston;Massachusetts;' 02116 ' ;United States;514815
setmelanotide;Imcivree;04.04.16;Treatment of pro-opiomelanocortin (POMC) deficiency due to mutations in the POMC gene;Designated/Approved;;;chronic weight management in adult and pediatric patients 6 years of age and older with obesity due to proopiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency confirmed by genetic testing demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS).;11/25/2020;11/25/2027;chronic weight management in adult and pediatric patients 6 years of age and older with obesity due to proopiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency confirmed by genetic testing demonstrating variants in POMC, PCSK1, or LEPR genes that are interpreted as pathogenic, likely pathogenic, or of uncertain significance (VUS).;Rhythm Pharmaceuticals, Inc.;222 Berkeley St., Suite 1200;;Boston;Massachusetts;' 02116 ' ;United States;514815
sildenafil;Revatio;07/28/2011;Treatment of pediatric (defined as children less than 17 years of age) pulmonary arterial hypertension;Designated/Approved;;;treatment of pulmonary arterial hypertension (PAH) (WHO Group I) in pediatric patients 1 to 17 years old to improve exercise ability and, in pediatric patients too young to perform standardized exercise testing, pulmonary hemodynamics thought to underly improvements in exercise;01/31/2023;01/31/2030;treatment of pulmonary arterial hypertension (PAH) (WHO Group I) in pediatric patients 1 to 17 years old to improve exercise ability and, in pediatric patients too young to perform standardized exercise testing, pulmonary hemodynamics thought to underly improvements in exercise;Viatris Specialty LLC;3711 Collins Ferry Road;;Morgantown;West Virginia;' 26505 ' ;United States;344211
sildenafil;Revatio;07/28/2011;Treatment of pediatric (defined as children less than 17 years of age) pulmonary arterial hypertension;Designated/Approved;;;treatment of pulmonary arterial hypertension (PAH) (WHO Group I) in pediatric patients (1 to 17 years old) to improve exercise ability and, in pediatric patients too young to perform standardized exercise testing, pulmonary hemodynamics thought to underlie improvements in exercise;03.03.23;;;Viatris Specialty LLC;3711 Collins Ferry Road;;Morgantown;West Virginia;' 26505 ' ;United States;344211
siltuximab;SYLVANT;05/26/2006;Treatment of Castleman's disease;Designated/Approved;;;Treatment of patients with multicentric Castleman's disease (MCD) who are human immunodeficiency virus (HIV) negative and human herpesvirus-8 (HHV-8) negative.;04/23/2014;04/23/2021;Treatment of patients with multicentric Castleman's disease (MCD) who are human immunodeficiency virus (HIV) negative and human herpesvirus-8 (HHV-8) negative.;Recordati Rare Diseases Inc.;440 Route 22 East;;Bridgewater;New Jersey;' 08807 ' ;United States;200605
sirolimus;Rapamune;10/31/2012;Treatment of lymphangioleiomyomatosis;Designated/Approved;;;Treatment of lymphangioleiomyomatosis (LAM);05/28/2015;05/28/2022;Treatment of lymphangioleiomyomatosis (LAM);Pfizer, Inc.;500 Arcola Road;;Collegeville;Pennsylvania;' 19426 ' ;United States;379312
sirolimus;Hyftor;05/17/2017;Treatment of angiofibroma associated with tuberous sclerosis;Designated/Approved;;;treatment of facial angiofibroma associated with tuberous sclerosis in adults and pediatric patients 6 years of age and older;03/22/2022;03/22/2029;treatment of facial angiofibroma associated with tuberous sclerosis in adults and pediatric patients 6 years of age and older;NobelPharma Co., LTD;12-10 Nihonbashi-kobunacho;;Chuo-ku;Tokyo-to;' ' ;Japan;568416
sirolimus protein-bound particles for injectable suspension (albumin-bound);Fyarro;12/21/2017;Treatment of perivascular epithelioid cell tumors (PEComa);Designated/Approved;;;treatment of adult patients with locally advanced unresectable or metastatic malignant perivascular epithelioid cell tumor (PEComa);11/22/2021;11/22/2028;treatment of adult patients with locally advanced unresectable or metastatic malignant perivascular epithelioid cell tumor (PEComa);Aadi Bioscience, Inc.;17383 Sunset Blvd, A250;;Pacific Palisades;California;' 90272 ' ;United States;616217
