,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Nonclinical_abridged,Orphan_drug_status,Marketing_authorisation_holder_extracted,Drug_class,Disease_class(es),Disease_name(s),Indication_approved_extracted,Application_date,Application_year,Document_name,Indication_approved,Indication_requested,Indication_requested_extracted,Procedure_number,Referral_body,Dataset
18,ANDA040027,PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE,DEXTROMETHORPHAN HYDROBROMIDE,HIKMA,SYRUP,ORAL,Approved,31.07.1996,1996.0,Discontinued,yes,No,Hikma,Small molecule,,,,,,,,,,,No,FDA
19,ANDA040028,KIONEX,SODIUM POLYSTYRENE SULFONATE,ANI PHARMS,SUSPENSION,oral; rectal,Approved,17.09.2007,2007.0,authorised,yes,No,ANI,Other,,,,,,,,,,,No,FDA
20,ANDA040029,KIONEX,SODIUM POLYSTYRENE SULFONATE,ANI PHARMS,POWDER,oral; rectal,Approved,06.02.1998,1998.0,authorised,yes,No,ANI,Other,,,,,,,,,,,No,FDA
21,ANDA040032,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,ROXANE,TABLET,ORAL,Approved,17.08.1999,1999.0,Discontinued,yes,No,Roxane,Small molecule,,,,,,,,,,,No,FDA
22,ANDA040034,THEOPHYLLINE,THEOPHYLLINE,INWOOD LABS,tablet,ORAL,Approved,28.04.1995,1995.0,Discontinued,yes,No,Inwood,Small molecule,,,,,,,,,,,No,FDA
23,ANDA040035,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,TARO,CREAM,TOPICAL,Approved,31.10.1994,1994.0,Discontinued,yes,No,Taro,Small molecule,,,,,,,,,,,No,FDA
24,ANDA040036,METHAZOLAMIDE,METHAZOLAMIDE,CHARTWELL RX,TABLET,ORAL,Approved,30.06.1993,1993.0,authorised,yes,No,Chartwell,Small molecule,,,,,,,,,,,No,FDA
25,ANDA040037,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,TARO,OINTMENT,TOPICAL,Approved,30.09.1994,1994.0,authorised,yes,No,Taro,Small molecule,Diseases of the skin,<Dermatoses>,<Dermatoses>,,,,INDICATIONS AND USAGE Triamcinolone Acetonide Ointment is indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.,,,,No,FDA
26,ANDA040038,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,TARO,CREAM,TOPICAL,Approved,26.10.1994,1994.0,Discontinued,yes,No,Taro,Small molecule,,,,,,,,,,,No,FDA
27,ANDA040039,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,TARO,CREAM,TOPICAL,Approved,26.11.1997,1997.0,authorised,yes,No,Taro,Small molecule,Diseases of the skin,<Dermatoses>,<Dermatoses>,,,,"INDICATIONS AND USAGE Triamcinolone acetonide cream, 0.1% is indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.",,,,No,FDA
28,ANDA040040,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,TARO,OINTMENT,TOPICAL,Approved,30.09.1994,1994.0,Discontinued,yes,No,Taro,Small molecule,,,,,,,,,,,No,FDA
29,ANDA040041,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,TARO,OINTMENT,TOPICAL,Approved,15.09.1994,1994.0,authorised,yes,No,Taro,Small molecule,,,,,,,,,,,No,FDA
30,ANDA040042,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,TARO,CREAM,TOPICAL,Approved,31.10.1994,1994.0,Discontinued,yes,No,Taro,Small molecule,,,,,,,,,,,No,FDA
31,ANDA040043,EDROPHONIUM CHLORIDE PRESERVATIVE FREE,EDROPHONIUM CHLORIDE,WATSON LABS,INJECTABLE,INJECTION,,,,Discontinued,yes,No,Watson,Small molecule,,,,,,,,,,,No,FDA
32,ANDA040044,EDROPHONIUM CHLORIDE,EDROPHONIUM CHLORIDE,WATSON LABS,INJECTABLE,INJECTION,,,,Discontinued,yes,No,Watson,Small molecule,,,,,,,,,,,No,FDA
33,ANDA040045,QUINIDINE SULFATE,QUINIDINE SULFATE,COSETTE,tablet,ORAL,Approved,30.06.1994,1994.0,Discontinued,yes,No,Cosette,Small molecule,,,,,,,,,,,No,FDA
34,ANDA040047,NITROGLYCERIN,NITROGLYCERIN,NOVEN,film,Transdermal,conditional marketing authorisation,26.11.1996,1996.0,None (conditional marketing authorisation),yes,No,Noven,Small molecule,,,,,,,,,,,No,FDA
35,ANDA040048,NITROGLYCERIN,NITROGLYCERIN,NOVEN,film,Transdermal,conditional marketing authorisation,26.11.1996,1996.0,None (conditional marketing authorisation),yes,No,Noven,Small molecule,,,,,,,,,,,No,FDA
36,ANDA040049,NITROGLYCERIN,NITROGLYCERIN,NOVEN,film,Transdermal,conditional marketing authorisation,26.11.1996,1996.0,None (conditional marketing authorisation),yes,No,Noven,Small molecule,,,,,,,,,,,No,FDA
37,ANDA040050,METHADOSE,METHADONE HYDROCHLORIDE,SPECGX LLC,TABLET,ORAL,Approved,15.04.1993,1993.0,Discontinued,yes,No,SPECGX,Small molecule,,,,,,,,,,,No,FDA
38,ANDA040052,THEOPHYLLINE,THEOPHYLLINE,INWOOD LABS,capsule,ORAL,Approved,14.02.1994,1994.0,Discontinued,yes,No,Inwood,Small molecule,,,,,,,,,,,No,FDA
