Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form
ORAL,APPROVED,9,MARKETED,31.12.1951,1951,TAPAZOLE,ENDO OPERATIONS LTD.,Endo,00015741,METHIMAZOLE,Small molecule,TABLET
ORAL,APPROVED,15,MARKETED,31.12.1965,1965,AVENTYL,AA PHARMA INC,AA,00015229,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),Small molecule,CAPSULE
ORAL,APPROVED,16,MARKETED,31.12.1965,1965,AVENTYL,AA PHARMA INC,AA,00015237,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),Small molecule,CAPSULE
TOPICAL,MARKETED,57,MARKETED,31.12.1951,1951,MINERALE LEGERE HUILE,LABORATOIRE ATLAS INC,Atlas,00050520,MINERAL OIL LIGHT,Other,LIQUID
ORAL,MARKETED,68,MARKETED,31.12.1951,1951,METHYLENE BLEU LIQ 1%,LABORATOIRE ATLAS INC,Atlas,00050466,METHYLENE BLUE,Small molecule,LIQUID
ORAL,MARKETED,69,MARKETED,31.12.1951,1951,METHYLENE BLEU LIQ 2%,LABORATOIRE ATLAS INC,Atlas,00050474,METHYLENE BLUE,Small molecule,LIQUID
INTRAVENOUS; SUBCUTANEOUS; INTRAMUSCULAR,MARKETED,115,MARKETED,31.12.1951,1951,BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP,PFIZER CANADA ULC,Pfizer,00037818,SODIUM CHLORIDE,Other,SOLUTION
INTRAVENOUS; SUBCUTANEOUS; INTRAMUSCULAR,MARKETED,117,MARKETED,31.12.1952,1952,BACTERIOSTATIC WATER FOR INJECTION USP,PFIZER CANADA ULC,Pfizer,00038202,WATER,Other,SOLUTION
INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,MARKETED,160,MARKETED,31.12.1951,1951,PAPAVERINE HYDROCHLORIDE INJECTION USP,SANDOZ CANADA INCORPORATED,Sandoz,00009881,PAPAVERINE HYDROCHLORIDE,Small molecule,LIQUID
RECTAL,MARKETED,193,MARKETED,31.12.1951,1951,GRAVOL SUPPOSITORIES,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00013609,DIMENHYDRINATE,Small molecule,SUPPOSITORY
INTRAMUSCULAR,MARKETED,197,MARKETED,31.12.1953,1953,GRAVOL IM,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00013579,DIMENHYDRINATE,Small molecule,SOLUTION
ORAL,MARKETED,198,MARKETED,31.12.1963,1963,OVOL DROPS,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00013617,SIMETHICONE,Small molecule,DROPS
TOPICAL,MARKETED,211,MARKETED,31.12.1954,1954,XYLOCAINE OINTMENT 5%,ASPEN PHARMACARE CANADA INC.,Aspen,00001961,LIDOCAINE,Small molecule,OINTMENT
TOPICAL,MARKETED,212,MARKETED,31.12.1951,1951,XYLOCAINE JELLY 2%,ASPEN PHARMACARE CANADA INC.,Aspen,00001694,LIDOCAINE HYDROCHLORIDE,Small molecule,GEL
INTRAVENOUS,MARKETED,227,MARKETED,31.12.1952,1952,QUELICIN,PFIZER CANADA ULC,Pfizer,00038172,SUCCINYLCHOLINE CHLORIDE,Small molecule,SOLUTION
TOPICAL; IRRIGATION; INTRAPERITONEAL,MARKETED,228,MARKETED,31.12.1966,1966,SODIUM CHLORIDE IRRIGATION USP,ICU MEDICAL CANADA INC,ICU Medical,00037834,SODIUM CHLORIDE,Other,SOLUTION
TOPICAL; INTRAPERITONEAL; IRRIGATION,MARKETED,229,MARKETED,31.12.1964,1964,STERILE WATER FOR IRRIGATION USP,ICU MEDICAL CANADA INC,ICU Medical,00038229,WATER,Other,LIQUID
INTRAVENOUS,MARKETED,250,MARKETED,31.12.1963,1963,COSMEGEN,RECORDATI RARE DISEASES CANADA INC,Recordati,00213071,DACTINOMYCIN,Small molecule,POWDER FOR SOLUTION
OPHTHALMIC,MARKETED,254,MARKETED,31.12.1964,1964,ALCON ATROPINE,ALCON CANADA INC,Alcon,00035017,ATROPINE SULFATE,Small molecule,SOLUTION
OPHTHALMIC,MARKETED,259,MARKETED,31.12.1963,1963,MAXITROL,NOVARTIS PHARMACEUTICALS CANADA INC,Novartis,00042676,POLYMYXIN B SULFATE; DEXAMETHASONE; NEOMYCIN (NEOMYCIN SULFATE),Small molecule,SUSPENSION
OPHTHALMIC,MARKETED,260,MARKETED,31.12.1951,1951,MYDRIACYL,ALCON CANADA INC,Alcon,00000981,TROPICAMIDE,Small molecule,SOLUTION
ORAL,MARKETED,287,MARKETED,31.12.1964,1964,CUPRIMINE,"BAUSCH HEALTH, CANADA INC.",Bausch,00016055,PENICILLAMINE,Small molecule,CAPSULE
ORAL,MARKETED,290,MARKETED,31.12.1966,1966,TEVA-QUININE,TEVA CANADA LIMITED,Teva,00021016,QUININE SULFATE,Small molecule,CAPSULE
ORAL,MARKETED,316,MARKETED,31.12.1956,1956,ATARAX,SEARCHLIGHT PHARMA INC,Searchlight,00024694,HYDROXYZINE HYDROCHLORIDE,Small molecule,SYRUP
INTRAMUSCULAR; INTRABURSAL; INTRA-ARTICULAR; INTRADERMAL,MARKETED,354,MARKETED,31.12.1965,1965,CELESTONE SOLUSPAN,ORGANON CANADA INC.,Organon,00028096,BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE); BETAMETHASONE ACETATE,Small molecule,SUSPENSION
ORAL,MARKETED,405,MARKETED,31.12.1957,1957,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Pharmascience,00178799,PHENOBARBITAL,Small molecule,TABLET
ORAL,MARKETED,406,MARKETED,31.12.1957,1957,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Pharmascience,00178802,PHENOBARBITAL,Small molecule,TABLET
ORAL,MARKETED,407,MARKETED,31.12.1957,1957,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Pharmascience,00178810,PHENOBARBITAL,Small molecule,TABLET
ORAL,MARKETED,408,MARKETED,31.12.1957,1957,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Pharmascience,00178829,PHENOBARBITAL,Small molecule,TABLET
INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS,MARKETED,415,MARKETED,31.12.1946,1946,"DIHYDROERGOTAMINE (DHE), 1MG/ML",STERIMAX INC,Sterimax,00027243,DIHYDROERGOTAMINE MESYLATE,Small molecule,LIQUID
ORAL,MARKETED,430,MARKETED,31.12.1961,1961,PROVERA 5MG TABLETS,PFIZER CANADA ULC,Pfizer,00030937,MEDROXYPROGESTERONE ACETATE,Small molecule,TABLET
ORAL,MARKETED,432,MARKETED,31.12.1954,1954,CORTEF,PFIZER CANADA ULC,Pfizer,00030910,HYDROCORTISONE,Small molecule,TABLET
ORAL,MARKETED,433,MARKETED,31.12.1954,1954,CORTEF,PFIZER CANADA ULC,Pfizer,00030929,HYDROCORTISONE,Small molecule,TABLET
ORAL,MARKETED,507,MARKETED,31.12.1967,1967,TEVA-PREDNISONE,TEVA CANADA LIMITED,Teva,00021695,PREDNISONE,Small molecule,TABLET
ORAL,MARKETED,579,MARKETED,31.12.1967,1967,TEVA-PHENIRAM,TEVA CANADA LIMITED,Teva,00021288,CHLORPHENIRAMINE MALEATE,Small molecule,TABLET
BLOCK/INFILTRATION,MARKETED,585,MARKETED,31.12.1954,1954,XYLOCAINE 1%,ASPEN PHARMACARE CANADA INC.,Aspen,00001732,LIDOCAINE HYDROCHLORIDE,Small molecule,SOLUTION
BLOCK/INFILTRATION,MARKETED,587,MARKETED,31.12.1954,1954,XYLOCAINE 2%,ASPEN PHARMACARE CANADA INC.,Aspen,00036641,LIDOCAINE HYDROCHLORIDE,Small molecule,SOLUTION
BLOCK/INFILTRATION,MARKETED,589,MARKETED,31.12.1954,1954,XYLOCAINE 1% W EPINEPHRINE 1:100000,ASPEN PHARMACARE CANADA INC.,Aspen,00001791,LIDOCAINE HYDROCHLORIDE; EPINEPHRINE (EPINEPHRINE BITARTRATE),Small molecule,SOLUTION
BLOCK/INFILTRATION,MARKETED,590,MARKETED,31.12.1954,1954,XYLOCAINE 1% W EPINEPHRINE 1:200000,ASPEN PHARMACARE CANADA INC.,Aspen,00001805,EPINEPHRINE (EPINEPHRINE BITARTRATE); LIDOCAINE HYDROCHLORIDE,Small molecule,SOLUTION
ORAL,MARKETED,613,MARKETED,31.12.1953,1953,DILANTIN-125 SUSPENSION,BGP PHARMA ULC,BGP,00023450,PHENYTOIN,Small molecule,SUSPENSION
TOPICAL,MARKETED,631,MARKETED,31.12.1968,1968,LOCACORTEN VIOFORM,ENDO OPERATIONS LTD.,Endo,00074462,FLUMETHASONE PIVALATE; CLIOQUINOL,Small molecule,CREAM
SUBCUTANEOUS,MARKETED,635,MARKETED,31.12.1964,1964,OCTOCAINE HCL 2% EPINEPHRINE 1:50000,NOVOCOL PHARMACEUTICAL OF CANADA INC,NOVOCOL,00151874,LIDOCAINE HYDROCHLORIDE; EPINEPHRINE (EPINEPHRINE BITARTRATE),Small molecule,SOLUTION
SUBCUTANEOUS,MARKETED,636,MARKETED,31.12.1964,1964,OCTOCAINE HCL 2% EPINEPHRINE 1:100000,NOVOCOL PHARMACEUTICAL OF CANADA INC,NOVOCOL,00151866,EPINEPHRINE (EPINEPHRINE BITARTRATE); LIDOCAINE HYDROCHLORIDE,Small molecule,SOLUTION
ORAL,MARKETED,651,MARKETED,31.12.1966,1966,TEVA-QUININE,TEVA CANADA LIMITED,Teva,00021008,QUININE SULFATE,Small molecule,CAPSULE
RECTAL,MARKETED,721,MARKETED,31.12.1969,1969,FLEET ENEMA MINERAL OIL,C B FLEET COMPANY INC,Fleet,00107875,MINERAL OIL,Other,ENEMA
ORAL,MARKETED,728,MARKETED,31.12.1961,1961,LIBRAX,"BAUSCH HEALTH, CANADA INC.",Bausch,00115630,CHLORDIAZEPOXIDE HYDROCHLORIDE; CLIDINIUM BROMIDE,Small molecule,CAPSULE
ORAL,MARKETED,731,MARKETED,31.12.1964,1964,ZARONTIN SYRUP,SEARCHLIGHT PHARMA INC,Searchlight,00023485,ETHOSUXIMIDE,Small molecule,SYRUP
ORAL,MARKETED,769,MARKETED,31.12.1968,1968,DILANTIN-30 SUSPENSION,BGP PHARMA ULC,BGP,00023442,PHENYTOIN,Small molecule,SUSPENSION
ORAL,MARKETED,771,MARKETED,31.12.1960,1960,ZARONTIN,SEARCHLIGHT PHARMA INC,Searchlight,00022799,ETHOSUXIMIDE,Small molecule,CAPSULE
ORAL,MARKETED,772,MARKETED,31.12.1951,1951,THYROID,SEARCHLIGHT PHARMA INC,Searchlight,00023949,THYROID,Peptides and proteins,TABLET
ORAL,MARKETED,773,MARKETED,31.12.1951,1951,THYROID,SEARCHLIGHT PHARMA INC,Searchlight,00023957,THYROID,Peptides and proteins,TABLET
ORAL,MARKETED,774,MARKETED,31.12.1951,1951,THYROID,SEARCHLIGHT PHARMA INC,Searchlight,00023965,THYROID,Peptides and proteins,TABLET
ORAL,MARKETED,777,MARKETED,31.12.1969,1969,TEGRETOL,NOVARTIS PHARMACEUTICALS CANADA INC,Novartis,00010405,CARBAMAZEPINE,Small molecule,TABLET
ORAL,MARKETED,778,MARKETED,31.12.1968,1968,TEVA-HYDROCHLOROTHIAZIDE,TEVA CANADA LIMITED,Teva,00021474,HYDROCHLOROTHIAZIDE,Small molecule,TABLET
OPHTHALMIC,MARKETED,780,MARKETED,31.12.1969,1969,MYDRIACYL,ALCON CANADA INC,Alcon,00001007,TROPICAMIDE,Small molecule,SOLUTION
INTRASYNOVIAL; INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR,MARKETED,789,MARKETED,31.12.1969,1969,DEPO-MEDROL,PFIZER CANADA ULC,Pfizer,00030767,METHYLPREDNISOLONE ACETATE,Small molecule,SUSPENSION
OPHTHALMIC,MARKETED,793,MARKETED,31.12.1969,1969,ALCON TEARS 0.5%,ALCON CANADA INC,Alcon,00000809,HYPROMELLOSE,Other,SOLUTION
OPHTHALMIC,MARKETED,794,MARKETED,31.12.1970,1970,ALCON TEARS 1%,ALCON CANADA INC,Alcon,00000817,HYPROMELLOSE,Other,SOLUTION
TOPICAL,MARKETED,810,MARKETED,31.12.1957,1957,VIOFORM HYDROCORTISONE,ENDO OPERATIONS LTD.,Endo,00074500,HYDROCORTISONE; CLIOQUINOL,Small molecule,CREAM
ORAL,MARKETED,812,MARKETED,31.12.1968,1968,TEVA-HYDROCHLOROTHIAZIDE,TEVA CANADA LIMITED,Teva,00021482,HYDROCHLOROTHIAZIDE,Small molecule,TABLET
INTRAPERITONEAL; SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR,MARKETED,817,MARKETED,31.12.1967,1967,SODIUM CHLORIDE INJECTION USP,PFIZER CANADA ULC,Pfizer,00037796,SODIUM CHLORIDE,Other,SOLUTION
OTIC,MARKETED,868,MARKETED,31.12.1969,1969,LOCACORTEN VIOFORM EARDROPS,ENDO OPERATIONS LTD.,ENDO,00074454,FLUMETHASONE PIVALATE; CLIOQUINOL,Small molecule,DROPS
ORAL,MARKETED,872,MARKETED,31.12.1970,1970,FIORINAL-C 1/4,ARALEZ PHARMACEUTICALS CANADA INC,Aralez,00176192,BUTALBITAL; CAFFEINE; ACETYLSALICYLIC ACID; CODEINE PHOSPHATE,Small molecule,CAPSULE
ORAL,MARKETED,873,MARKETED,31.12.1970,1970,FIORINAL-C 1/2,ARALEZ PHARMACEUTICALS CANADA INC,Aralez,00176206,CODEINE PHOSPHATE; ACETYLSALICYLIC ACID; CAFFEINE; BUTALBITAL,Small molecule,CAPSULE
INTRAVENOUS,MARKETED,933,MARKETED,31.12.1958,1958,FUNGIZONE,CHEPLAPHARM ARZNEIMITTEL GMBH,CHEPLAPHARM,00029149,AMPHOTERICIN B,Small molecule,POWDER FOR SOLUTION
OPHTHALMIC,MARKETED,934,MARKETED,31.12.1970,1970,ALBALON,ABBVIE CORPORATION,AbbVie,00001147,NAPHAZOLINE HYDROCHLORIDE,Small molecule,DROPS
ORAL,MARKETED,937,MARKETED,31.12.1960,1960,LOMOTIL,PFIZER CANADA ULC,Pfizer,00036323,ATROPINE SULFATE; DIPHENOXYLATE HYDROCHLORIDE,Small molecule,TABLET
ORAL,MARKETED,938,MARKETED,31.12.1970,1970,MATULANE,"LEADIANT BIOSCIENCES, INC",Leadiant,00012750,PROCARBAZINE (PROCARBAZINE HYDROCHLORIDE),Small molecule,CAPSULE
INTRAMUSCULAR; INTRASPINAL; SUBCUTANEOUS; INTRAVENOUS; OPHTHALMIC; INTRACARDIAC,MARKETED,940,MARKETED,31.12.1951,1951,ADRENALIN,SEARCHLIGHT PHARMA INC,Searchlight,00155357,EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE),Small molecule,SOLUTION
ORAL,MARKETED,943,MARKETED,18.12.1986,1986,CODEINE PHOSPHATE SYRUP,LABORATOIRE ATLAS INC,Atlas,00050024,CODEINE PHOSPHATE,Small molecule,SYRUP
ORAL,MARKETED,944,MARKETED,31.12.1970,1970,SINEQUAN,AA PHARMA INC,AA,00024325,DOXEPIN (DOXEPIN HYDROCHLORIDE),Small molecule,CAPSULE
ORAL,MARKETED,945,MARKETED,31.12.1970,1970,SINEQUAN,AA PHARMA INC,AA,00024333,DOXEPIN (DOXEPIN HYDROCHLORIDE),Small molecule,CAPSULE
ORAL,MARKETED,946,MARKETED,31.12.1970,1970,SINEQUAN,AA PHARMA INC,AA,00024341,DOXEPIN (DOXEPIN HYDROCHLORIDE),Small molecule,CAPSULE
ORAL,MARKETED,959,MARKETED,31.12.1954,1954,MYLERAN,ASPEN PHARMACARE CANADA INC.,Aspen,00004618,BUSULFAN,Small molecule,TABLET
ORAL,MARKETED,960,MARKETED,31.12.1954,1954,PURINETHOL,TEVA CANADA LIMITED,Teva,00004723,MERCAPTOPURINE,Small molecule,TABLET
ORAL,MARKETED,1036,MARKETED,31.12.1951,1951,DILANTIN,BGP PHARMA ULC,BGP,00022772,PHENYTOIN SODIUM,Small molecule,CAPSULE
ORAL,MARKETED,1037,MARKETED,31.12.1951,1951,DILANTIN,BGP PHARMA ULC,BGP,00022780,PHENYTOIN SODIUM,Small molecule,CAPSULE
ORAL,MARKETED,1086,MARKETED,31.12.1952,1952,DILANTIN INFATABS,BGP PHARMA ULC,BGP,00023698,PHENYTOIN,Small molecule,TABLET (CHEWABLE)
RECTAL,MARKETED,1090,MARKETED,31.12.1950,1950,NEO-LARYNGOBIS,TEVA CANADA LIMITED,Teva,00065927,BISMUTH DIPROPYLACETATE,Small molecule,SUPPOSITORY
ORAL,MARKETED,1124,MARKETED,31.12.1971,1971,TEVA-AMPICILLIN,TEVA CANADA LIMITED,Teva,00020885,AMPICILLIN (AMPICILLIN TRIHYDRATE),Small molecule,CAPSULE
ORAL,MARKETED,1125,MARKETED,31.12.1971,1971,TEVA-AMPICILLIN,TEVA CANADA LIMITED,Teva,00020877,AMPICILLIN (AMPICILLIN TRIHYDRATE),Small molecule,CAPSULE
INTRAVENOUS; INTRAMUSCULAR,MARKETED,1130,MARKETED,31.12.1971,1971,SOLU-MEDROL,PFIZER CANADA ULC,Pfizer,00036137,METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE),Small molecule,POWDER FOR SOLUTION
INTRAMUSCULAR; INTRAVENOUS,MARKETED,1132,MARKETED,31.12.1970,1970,SOLU-MEDROL,PFIZER CANADA ULC,Pfizer,00030678,METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE),Small molecule,POWDER FOR SOLUTION
INTRASYNOVIAL; INTRALESIONAL; INTRA-ARTICULAR; INTRAMUSCULAR,MARKETED,1134,MARKETED,31.12.1960,1960,DEPO-MEDROL,PFIZER CANADA ULC,Pfizer,00030759,METHYLPREDNISOLONE ACETATE,Small molecule,SUSPENSION
OPHTHALMIC,MARKETED,1172,MARKETED,31.12.1971,1971,ALCAINE,ALCON CANADA INC,Alcon,00035076,PROPARACAINE HYDROCHLORIDE,Small molecule,DROPS
INTRAVENOUS,MARKETED,1181,MARKETED,31.12.1970,1970,MANNITOL INJECTION USP,PFIZER CANADA ULC,Pfizer,00038024,MANNITOL,Small molecule,SOLUTION
ORAL,MARKETED,1192,MARKETED,31.12.1966,1966,IMURAN,ASPEN PHARMACARE CANADA INC.,Aspen,00004596,AZATHIOPRINE,Small molecule,TABLET
ORAL,MARKETED,1193,MARKETED,31.12.1957,1957,LEUKERAN,ASPEN PHARMACARE CANADA INC.,Aspen,00004626,CHLORAMBUCIL,Small molecule,TABLET
ORAL,MARKETED,1195,MARKETED,31.12.1964,1964,ALKERAN,ASPEN PHARMACARE CANADA INC.,Aspen,00004715,MELPHALAN,Small molecule,TABLET
INTRAVENOUS; INTRAMUSCULAR,MARKETED,1214,MARKETED,31.12.1972,1972,KETALAR,SEARCHLIGHT PHARMA INC,Searchlight,00224391,KETAMINE (KETAMINE HYDROCHLORIDE),Small molecule,SOLUTION
INTRAVENOUS; INTRAMUSCULAR,MARKETED,1215,MARKETED,31.12.1972,1972,KETALAR,SEARCHLIGHT PHARMA INC,Searchlight,00224405,KETAMINE (KETAMINE HYDROCHLORIDE),Small molecule,SOLUTION
ORAL,MARKETED,1225,MARKETED,31.12.1972,1972,DALACIN C FLAVOURED GRANULES,PFIZER CANADA ULC,Pfizer,00225851,CLINDAMYCIN (CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE),Small molecule,GRANULES FOR SOLUTION
ORAL,MARKETED,1233,MARKETED,31.12.1971,1971,FIORINAL,ARALEZ PHARMACEUTICALS CANADA INC,Aralez,00226327,CAFFEINE; ACETYLSALICYLIC ACID; BUTALBITAL,Small molecule,CAPSULE
INTRAPERITONEAL; IRRIGATION,MARKETED,1239,MARKETED,31.12.1964,1964,SODIUM CHLORIDE IRRIGATION USP,ICU MEDICAL CANADA INC,ICU Medical,00037826,SODIUM CHLORIDE,Other,SOLUTION
SUBLINGUAL,MARKETED,1253,MARKETED,31.12.1972,1972,NITROSTAT,BGP PHARMA ULC,BGP,00037621,NITROGLYCERIN,Small molecule,TABLET
SUBLINGUAL,MARKETED,1254,MARKETED,31.12.1972,1972,NITROSTAT,BGP PHARMA ULC,BGP,00037613,NITROGLYCERIN,Small molecule,TABLET
ORAL,MARKETED,1256,MARKETED,31.12.1951,1951,KIDS GRAVOL LIQUID,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00230197,DIMENHYDRINATE,Small molecule,SYRUP
INTRAMUSCULAR,MARKETED,1275,MARKETED,31.12.1955,1955,DELATESTRYL,"BAUSCH HEALTH, CANADA INC.",Bausch,00029246,TESTOSTERONE ENANTHATE,Peptides and proteins,SOLUTION
ORAL,MARKETED,1286,MARKETED,31.12.1972,1972,TEVA-PREDNISONE,TEVA CANADA LIMITED,Teva,00232378,PREDNISONE,Small molecule,TABLET
ORAL,MARKETED,1293,MARKETED,31.12.1967,1967,TEVA-CHLORPROMAZINE,TEVA CANADA LIMITED,Teva,00232807,CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE),Small molecule,TABLET
ORAL,MARKETED,1294,MARKETED,31.12.1967,1967,TEVA-CHLORPROMAZINE,TEVA CANADA LIMITED,Teva,00232823,CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE),Small molecule,TABLET
ORAL,MARKETED,1295,MARKETED,31.12.1967,1967,TEVA-CHLORPROMAZINE,TEVA CANADA LIMITED,Teva,00232831,CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE),Small molecule,TABLET
ORAL,MARKETED,1327,MARKETED,31.12.1971,1971,CARBOLITH,"BAUSCH HEALTH, CANADA INC.",Bausch,00236683,LITHIUM CARBONATE,Small molecule,CAPSULE
ORAL,MARKETED,1396,MARKETED,31.12.1968,1968,MEDROL,PFIZER CANADA ULC,Pfizer,00036129,METHYLPREDNISOLONE,Small molecule,TABLET
ORAL,MARKETED,1397,MARKETED,31.12.1960,1960,MEDROL,PFIZER CANADA ULC,Pfizer,00030988,METHYLPREDNISOLONE,Small molecule,TABLET
INTRAMUSCULAR,MARKETED,1398,MARKETED,31.12.1953,1953,DEPO-TESTOSTERONE INJ 100MG/ML,PFIZER CANADA ULC,Pfizer,00030783,TESTOSTERONE CYPIONATE,Small molecule,SOLUTION
ORAL,MARKETED,1401,MARKETED,31.12.1961,1961,NORLUTATE,SEARCHLIGHT PHARMA INC,SEARCHLIGHT,00023760,NORETHINDRONE ACETATE,Small molecule,TABLET
ORAL,MARKETED,1403,MARKETED,31.12.1959,1959,ALDACTONE 25 MG,PFIZER CANADA ULC,Pfizer,00028606,SPIRONOLACTONE,Small molecule,TABLET
OPHTHALMIC,MARKETED,1470,MARKETED,31.12.1972,1972,FML,ABBVIE CORPORATION,AbbVie,00247855,FLUOROMETHOLONE,Small molecule,SUSPENSION
ORAL,MARKETED,1471,MARKETED,31.12.1972,1972,ETIBI,"BAUSCH HEALTH, CANADA INC.",Bausch,00247960,ETHAMBUTOL HYDROCHLORIDE,Small molecule,TABLET
ORAL,MARKETED,1472,MARKETED,31.12.1972,1972,ETIBI,"BAUSCH HEALTH, CANADA INC.",Bausch,00247979,ETHAMBUTOL HYDROCHLORIDE,Small molecule,TABLET
TOPICAL,MARKETED,1508,MARKETED,31.12.1951,1951,ADRENALIN TOPICAL SOLUTION,SEARCHLIGHT PHARMA INC,Searchlight,00155365,EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE),Small molecule,SOLUTION
OPHTHALMIC,MARKETED,1530,MARKETED,31.12.1972,1972,CYCLOGYL,ALCON CANADA INC,Alcon,00252506,CYCLOPENTOLATE HYDROCHLORIDE,Small molecule,DROPS
ORAL,MARKETED,1553,MARKETED,31.12.1958,1958,DULCOLAX,SANOFI CONSUMER HEALTH INC,Sanofi,00254142,BISACODYL,Small molecule,TABLET (ENTERIC-COATED)
RECTAL,MARKETED,1555,MARKETED,31.12.1958,1958,DULCOLAX,SANOFI CONSUMER HEALTH INC,Sanofi,00003875,BISACODYL,Small molecule,SUPPOSITORY
PERIARTICULAR; INTRASYNOVIAL; INTRABURSAL; INTRA-ARTICULAR,MARKETED,1619,MARKETED,31.12.1973,1973,DEPO-MEDROL WITH LIDOCAINE,PFIZER CANADA ULC,Pfizer,00260428,LIDOCAINE HYDROCHLORIDE; METHYLPREDNISOLONE ACETATE,Small molecule,SUSPENSION
INTRAVENOUS; INTRAMUSCULAR,MARKETED,1620,MARKETED,31.12.1973,1973,DALACIN C PHOSPHATE,PFIZER CANADA ULC,Pfizer,00260436,CLINDAMYCIN (CLINDAMYCIN PHOSPHATE),Small molecule,SOLUTION
INTRAVENOUS,MARKETED,1628,MARKETED,31.12.1957,1957,"LACTATED RINGER'S INJECTION, USP",BAXTER CORPORATION,Baxter,00061085,POTASSIUM CHLORIDE; SODIUM LACTATE; SODIUM CHLORIDE; CALCIUM CHLORIDE,Small molecule,SOLUTION
ORAL,MARKETED,1649,MARKETED,31.12.1973,1973,COTAZYM,ORGANON CANADA INC.,Organon,00263818,LIPASE; AMYLASE; PROTEASE,Peptides and proteins,CAPSULE (IMMEDIATE RELEASE)
TOPICAL,MARKETED,1667,MARKETED,31.12.1973,1973,TARDAN SHP,ODAN LABORATORIES LTD,ODAN,00266493,COAL TAR; SALICYLIC ACID; TRICLOSAN,Small molecule,SHAMPOO
TOPICAL,MARKETED,1668,MARKETED,31.12.1973,1973,ADASEPT LIQ 0.5%,ODAN LABORATORIES LTD,ODAN,00266507,TRICLOSAN,Small molecule,LIQUID
INTRAVENOUS,MARKETED,1673,MARKETED,31.12.1973,1973,"LACTATED RINGER'S AND 5% DEXTROSE INJECTION, USP",BAXTER CORPORATION,Baxter,00061131,POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE; CALCIUM CHLORIDE; DEXTROSE,Other,SOLUTION
INTRAVENOUS,MARKETED,1734,MARKETED,31.12.1951,1951,STERILE WATER FOR INJECTION USP,ICU MEDICAL CANADA INC,ICU Medical,00038245,WATER,Other,SOLUTION
INTRAVENOUS,MARKETED,1736,MARKETED,31.12.1960,1960,SODIUM CHLORIDE INJECTION USP,ICU MEDICAL CANADA INC,ICU Medical,00037788,SODIUM CHLORIDE,Other,SOLUTION
INTRAVENOUS,MARKETED,1738,MARKETED,31.12.1965,1965,NORMOSOL-R,ICU MEDICAL CANADA INC,ICU Medical,00039500,POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE; MAGNESIUM CHLORIDE (MAGNESIUM CHLORIDE HEXAHYDRATE),Small molecule,SOLUTION
INTRAVENOUS,MARKETED,1740,MARKETED,31.12.1963,1963,MANNITOL INJECTION USP,ICU MEDICAL CANADA INC,ICU Medical,00038016,MANNITOL,Small molecule,SOLUTION
INTRAVENOUS,MARKETED,1743,MARKETED,31.12.1968,1968,LMD 10% IN 0.9% SODIUM CHLORIDE,PFIZER CANADA ULC,Pfizer,00224227,DEXTRAN; SODIUM CHLORIDE,Other,SOLUTION
INTRAVENOUS,MARKETED,1744,MARKETED,31.12.1968,1968,LMD 10% IN DEXTROSE 5%,PFIZER CANADA ULC,Pfizer,00224235,DEXTRAN; DEXTROSE,Other,SOLUTION
INTRAVENOUS,MARKETED,1745,MARKETED,31.12.1951,1951,LACTATED RINGER'S INJECTION,ICU MEDICAL CANADA INC,ICU Medical,00039470,POTASSIUM CHLORIDE; CALCIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,Other,SOLUTION
