Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form
INTRAVENOUS,MARKETED,65472,MARKETED,10.07.2000,2000,"VANCOMYCIN HYDROCHLORIDE FOR INJECTION, USP",FRESENIUS KABI CANADA LTD,Fresenius,02241807,VANCOMYCIN (VANCOMYCIN HYDROCHLORIDE),Peptides and proteins,POWDER FOR SOLUTION
ORAL,MARKETED,65483,APPROVED,29.02.2000,2000,AVALIDE,SANOFI-AVENTIS CANADA INC,Sanofi-Aventis,02241818,IRBESARTAN; HYDROCHLOROTHIAZIDE,Small molecule,TABLET
ORAL,MARKETED,65484,APPROVED,29.02.2000,2000,AVALIDE,SANOFI-AVENTIS CANADA INC,Sanofi-Aventis,02241819,HYDROCHLOROTHIAZIDE; IRBESARTAN,Small molecule,TABLET
TRANSDERMAL,MARKETED,65502,APPROVED,13.03.2000,2000,ESTALIS 140/50 MCG,SANDOZ CANADA INCORPORATED,Sandoz,02241835,ESTRADIOL; NORETHINDRONE ACETATE,Small molecule,PATCH
TRANSDERMAL,MARKETED,65503,APPROVED,13.03.2000,2000,ESTALIS 250/50 MCG,SANDOZ CANADA INCORPORATED,Sandoz,02241837,ESTRADIOL; NORETHINDRONE ACETATE,Small molecule,PATCH
ORAL,MARKETED,65558,APPROVED,16.03.2000,2000,ARAVA,SANOFI-AVENTIS CANADA INC,Sanofi-Aventis,02241888,LEFLUNOMIDE,Small molecule,TABLET
ORAL,MARKETED,65559,APPROVED,16.03.2000,2000,ARAVA,SANOFI-AVENTIS CANADA INC,Sanofi-Aventis,02241889,LEFLUNOMIDE,Small molecule,TABLET
ORAL,MARKETED,65565,APPROVED,15.03.2000,2000,APO-FLUCONAZOLE-150,APOTEX INC,Apotex,02241895,FLUCONAZOLE,Small molecule,CAPSULE
ORAL,MARKETED,65570,APPROVED,15.03.2000,2000,DIOVAN-HCT,NOVARTIS PHARMACEUTICALS CANADA INC,Novartis,02241900,HYDROCHLOROTHIAZIDE; VALSARTAN,Small molecule,TABLET
ORAL,MARKETED,65571,APPROVED,15.03.2000,2000,DIOVAN-HCT,NOVARTIS PHARMACEUTICALS CANADA INC,Novartis,02241901,HYDROCHLOROTHIAZIDE; VALSARTAN,Small molecule,TABLET
EPIDURAL; BLOCK/INFILTRATION,MARKETED,65585,APPROVED,24.03.2000,2000,MARCAINE E,PFIZER CANADA ULC,Pfizer,02241915,EPINEPHRINE BITARTRATE; BUPIVACAINE HYDROCHLORIDE,Small molecule,SOLUTION
EPIDURAL; BLOCK/INFILTRATION,MARKETED,65586,APPROVED,24.03.2000,2000,MARCAINE E,PFIZER CANADA ULC,Pfizer,02241916,EPINEPHRINE BITARTRATE; BUPIVACAINE HYDROCHLORIDE,Small molecule,SOLUTION
EPIDURAL; RETROBULBAR,MARKETED,65587,APPROVED,24.03.2000,2000,MARCAINE,PFIZER CANADA ULC,Pfizer,02241917,BUPIVACAINE HYDROCHLORIDE,Small molecule,SOLUTION
INTRAVENOUS,MARKETED,65597,APPROVED,17.03.2000,2000,RITUXAN,HOFFMANN-LA ROCHE LIMITED,Roche,02241927,RITUXIMAB,Biologics,SOLUTION
ORAL,MARKETED,65603,MARKETED,02.06.2000,2000,VIOKACE,NESTLE ENTERPRISES S.A.,Nestle,02241933,PROTEASE; LIPASE; AMYLASE,Peptides and proteins,TABLET
EPIDURAL; INTRACAUDAL,MARKETED,65669,MARKETED,01.06.2001,2001,CARBOCAINE 1%,PFIZER CANADA ULC,Pfizer,02241999,MEPIVACAINE HYDROCHLORIDE,Small molecule,SOLUTION
BLOCK/INFILTRATION,MARKETED,65670,MARKETED,15.07.2001,2001,CARBOCAINE 1%,PFIZER CANADA ULC,Pfizer,02242000,MEPIVACAINE HYDROCHLORIDE,Small molecule,SOLUTION
INTRACAUDAL; EPIDURAL,MARKETED,65671,MARKETED,15.07.2001,2001,CARBOCAINE 2%,PFIZER CANADA ULC,Pfizer,02242001,MEPIVACAINE HYDROCHLORIDE,Small molecule,SOLUTION
INTRAVENOUS,MARKETED,65680,APPROVED,04.04.2000,2000,DOBUTAMINE INJECTION USP,SANDOZ CANADA INCORPORATED,Sandoz,02242010,DOBUTAMINE (DOBUTAMINE HYDROCHLORIDE),Small molecule,LIQUID
INHALATION,MARKETED,65700,APPROVED,13.04.2000,2000,QVAR,"BAUSCH HEALTH, CANADA INC.",Bausch,02242029,BECLOMETHASONE DIPROPIONATE,Small molecule,METERED-DOSE AEROSOL
INHALATION,MARKETED,65701,APPROVED,13.04.2000,2000,QVAR,"BAUSCH HEALTH, CANADA INC.",Bausch,02242030,BECLOMETHASONE DIPROPIONATE,Small molecule,METERED-DOSE AEROSOL
ORAL,MARKETED,65741,APPROVED,13.04.2000,2000,TRILEPTAL 300 MG,NOVARTIS PHARMACEUTICALS CANADA INC,Novartis,02242068,OXCARBAZEPINE,Small molecule,TABLET
ORAL,MARKETED,65742,APPROVED,13.04.2000,2000,TRILEPTAL 600 MG,NOVARTIS PHARMACEUTICALS CANADA INC,Novartis,02242069,OXCARBAZEPINE,Small molecule,TABLET
