Marketing_authorisation_number,Indications_and_usage,Origin,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Nonclinical_abridged,Referral,Orphan_drug_status,Marketing_authorisation_holder_extracted,Drug_class,Disease_class(es),Disease_name(s),Agency
anda078561,,fda,alprazolam,alprazolam,actavis elizabeth,tablet,oral,approved,16.03.2010,2010,authorised,yes,no,no,actavis,,,,FDA
anda078562,,fda,mivacurium chloride,mivacurium chloride,rising,injection,injection,approved,30.04.2009,2009,discontinued,yes,no,no,rising,,,,FDA
anda078564,,fda,granisetron hydrochloride,granisetron hydrochloride,wockhardt usa,injection,injection,approved,30.06.2008,2008,discontinued,yes,no,no,wockhardt,,,,FDA
anda078565,,fda,granisetron hydrochloride,granisetron hydrochloride,wockhardt usa,injection,injection,approved,30.06.2008,2008,discontinued,yes,no,no,wockhardt,,,,FDA
anda078566,,fda,granisetron hydrochloride,granisetron hydrochloride,wockhardt usa,injection,injection,approved,29.02.2008,2008,discontinued,yes,no,no,wockhardt,,,,FDA
anda078567,,fda,ciclopirox,ciclopirox,mylan pharms inc,solution,topical,approved,18.09.2007,2007,discontinued,yes,no,no,mylan,,,,FDA
anda078569,,fda,acetaminophen,acetaminophen,sun pharm inds ltd,tablet,oral,approved,14.12.2011,2011,discontinued,yes,no,no,sun,,,,FDA
anda078571,,fda,mometasone furoate,mometasone furoate,glenmark pharms inc,ointment,topical,approved,28.05.2008,2008,authorised,yes,no,no,glenmark,,,,FDA
anda078572,1 indications and usage fluoxetine delayed-release capsules are indicated for the treatment of: • acute and maintenance treatment of major depressive disorder [see clinical studies ( 14.1 )] . fluoxetine delayed-release capsules are selective serotonin reuptake inhibitor indicated for: acute and maintenance treatment of major depressive disorder (mdd) (1),fda,fluoxetine hydrochloride,fluoxetine hydrochloride,dr reddys labs ltd,capsule; pellet,oral,approved,22.03.2010,2010,authorised,yes,no,no,dr reddys,,mental and behavioural disorders,<major depressive disorder>,FDA
anda078573,,fda,amlodipine besylate,amlodipine besylate,torrent pharms,tablet,oral,approved,22.09.2008,2008,discontinued,yes,no,no,torrent,,,,FDA
anda078575,,fda,bicalutamide,bicalutamide,sandoz,tablet,oral,approved,06.07.2009,2009,authorised,yes,no,no,sandoz,,,,FDA
anda078576,,fda,zoledronic acid,zoledronic acid,teva parenteral,injection,intravenous,conditional marketing authorisation,09.06.2009,2009,none (conditional marketing authorisation),yes,no,no,teva,,,,FDA
anda078577,,fda,levofloxacin,levofloxacin,hospira,injection,injection,approved,12.08.2015,2015,discontinued,yes,no,no,hospira,,,,FDA
anda078578,,fda,amiodarone hydrochloride,amiodarone hydrochloride,rubicon,tablet,oral,approved,06.11.2008,2008,authorised,yes,no,no,rubicon,,,,FDA
anda078579,,fda,levofloxacin in dextrose 5% in plastic container,levofloxacin,hospira,injection,injection,approved,03.09.2015,2015,authorised,yes,no,no,hospira,,,,FDA
anda078580,,fda,zoledronic acid,zoledronic acid,teva parenteral,injection,intravenous,conditional marketing authorisation,09.06.2009,2009,none (conditional marketing authorisation),yes,no,no,teva,,,,FDA
anda078581,,fda,temazepam,temazepam,sun pharm industries,capsule,oral,approved,08.09.2009,2009,discontinued,yes,no,no,sun,,,,FDA
anda078582,,fda,levetiracetam,levetiracetam,strides pharma,solution,oral,approved,15.01.2009,2009,authorised,yes,no,no,strides,,,,FDA
anda078583,,fda,aripiprazole,aripiprazole,apotex,tablet,oral,approved,24.07.2015,2015,authorised,yes,no,no,apotex,,,,FDA
anda078584,"1 indications and usage nevirapine tablets are indicated in combination with other antiretroviral agents for the treatment of human immunodeficiency virus (hiv-1) infection in adults and pediatric patients 15 days and older [see clinical studies (14.1 , 14.2) ] . limitations of use: based on serious and life-threatening hepatotoxicity observed in controlled and uncontrolled trials, nevirapine tablets are not recommended to be initiated, unless the benefit outweighs the risk, in: adult females with cd4 + cell counts greater than 250 cells/mm 3 or adult males with cd4 + cell counts greater than 400 cells/mm3 [see warnings and precautions (5.1) ] . nevirapine tablet is an nnrti indicated in combination with other antiretroviral agents for the treatment of human immunodeficiency virus (hiv-1) infection in adults and pediatric patients 15 days and older. ( 1 ) limitations of use: based on serious and life-threatening hepatotoxicity observed in controlled and uncontrolled trials, nevirapine tablet is not recommended to be initiated, unless the benefit outweighs the risk, in: adult females with cd4 + cell counts greater than 250 cells/mm 3 adult males with cd4 + cell counts greater than 400 cells/mm 3 ( 1 , 5.1 )",fda,nevirapine,nevirapine,hetero labs ltd iii,tablet,oral,approved,22.05.2012,2012,authorised,yes,no,no,hetero,,infectious and parasitic diseases,<acquired immunodeficiency syndrome>,FDA
anda078587,,fda,stavudine,stavudine,emcure pharma,capsule,oral,conditional marketing authorisation,12.12.2007,2007,none (conditional marketing authorisation),yes,no,no,emcure,,,,FDA
anda078589,1 indications and usage irinotecan hydrochloride injection is indicated as a component of first-line therapy in combination with 5-fluorouracil (5-fu) and leucovorin (lv) for patients with metastatic carcinoma of the colon or rectum. irinotecan hydrochloride injection is indicated for patients with metastatic carcinoma of the colon or rectum whose disease has recurred or progressed following initial fluorouracil-based therapy. irinotecan hydrochloride injection is a topoisomerase inhibitor indicated for: first-line therapy in combination with 5-fluorouracil and leucovorin for patients with metastatic carcinoma of the colon or rectum. ( 1 ) patients with metastatic carcinoma of the colon or rectum whose disease has recurred or progressed following initial fluorouracil-based therapy. ( 1 ),fda,irinotecan hydrochloride,irinotecan hydrochloride,actavis totowa,injection,injection,approved,27.02.2008,2008,authorised,yes,no,no,actavis,,neoplasms; diseases of the digestive system,<colorectal neoplasms>,FDA
anda078591,,fda,hydromorphone hydrochloride,hydromorphone hydrochloride,hospira inc,injection,injection,approved,17.06.2008,2008,authorised,yes,no,no,hospira,,,,FDA
anda078592,,fda,carbamazepine,carbamazepine,teva pharms,capsule,oral,approved,20.09.2012,2012,authorised,yes,no,no,teva,,,,FDA
anda078593,,fda,sumatriptan succinate,sumatriptan succinate,wockhardt,injection,subcutaneous,approved,06.02.2009,2009,authorised,yes,no,no,wockhardt,,,,FDA
anda078594,"1 indications and usage ciclopirox shampoo, 1% is indicated for the topical treatment of seborrheic dermatitis of the scalp in adults. • ciclopirox shampoo, 1% is an antifungal indicated for the topical treatment of seborrheic dermatitis of the scalp in adults. ( 1 )",fda,ciclopirox,ciclopirox,padagis us,shampoo,topical,approved,16.02.2010,2010,authorised,yes,no,no,padagis,,diseases of the skin,<seborrheic dermatitis>,FDA
anda078595,,fda,flumazenil,flumazenil,rising,injection,injection,approved,13.05.2008,2008,authorised,yes,no,no,not reported,,,,FDA
anda078596,1 indications and usage metformin hydrochloride extended-release tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. metformin hydrochloride extended-release tablets are a biguanide indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ( 1 ),fda,metformin hydrochloride,metformin hydrochloride,amneal pharms ny,tablet,oral,approved,03.01.2008,2008,authorised,yes,no,no,amneal,,"endocrine, nutritional, and metabolic diseases",<type 2 diabetes mellitus>,FDA
anda078597,,fda,divalproex sodium,divalproex sodium,sun pharm inds,tablet,oral,approved,29.07.2008,2008,authorised,yes,no,no,sun,,,,FDA
anda078598,,fda,ciprofloxacin hydrochloride,ciprofloxacin hydrochloride,amring pharms,solution; drops,ophthalmic,approved,16.01.2008,2008,discontinued,yes,no,no,amring,,,,FDA
anda078599,,fda,gemfibrozil,gemfibrozil,hikma pharms,tablet,oral,approved,16.08.2010,2010,discontinued,yes,no,no,hikma,,,,FDA
anda078601,,fda,ropivacaine hydrochloride,ropivacaine hydrochloride,navinta llc,injection; solution,injection,approved,17.07.2014,2014,authorised,yes,no,no,navinta,,,,FDA
anda078602,,fda,ondansetron,ondansetron,sun pharm inds ltd,tablet,oral,approved,24.02.2011,2011,discontinued,yes,no,no,sun,,,,FDA
anda078604,,fda,escitalopram oxalate,escitalopram oxalate,invagen pharms,tablet,oral,approved,11.09.2012,2012,authorised,yes,no,no,invagen,,,,FDA
anda078605,,fda,montelukast sodium,montelukast sodium,teva pharms,tablet,oral,approved,03.08.2012,2012,authorised,yes,no,no,teva,,,,FDA
anda078606,,fda,mitoxantrone hydrochloride,mitoxantrone hydrochloride,fresenius kabi oncol,injection,injection,approved,14.05.2008,2008,discontinued,yes,no,no,fresenius,,,,FDA
anda078607,,fda,aripiprazole,aripiprazole,teva pharms usa,tablet,oral,approved,28.04.2015,2015,discontinued,yes,no,no,teva,,,,FDA
anda078608,,fda,aripiprazole,aripiprazole,teva pharms usa,tablet,oral,approved,28.04.2015,2015,discontinued,yes,no,no,teva,,,,FDA
anda078610,,fda,fludarabine phosphate,fludarabine phosphate,actavis totowa,injection,injection,approved,11.02.2009,2009,authorised,yes,no,no,actavis,,,,FDA
anda078612,,fda,aripiprazole,aripiprazole,barr labs inc,tablet; tablet,oral,conditional marketing authorisation,29.11.2012,2012,none (conditional marketing authorisation),yes,no,no,barr,,,,FDA
anda078613,,fda,aripiprazole,aripiprazole,barr labs inc,tablet,oral,conditional marketing authorisation,12.10.2012,2012,none (conditional marketing authorisation),yes,no,no,barr,,,,FDA
anda078614,,fda,aripiprazole,aripiprazole,sun pharma global,tablet,oral,conditional marketing authorisation,14.02.2013,2013,none (conditional marketing authorisation),yes,no,no,sun,,,,FDA
anda078615,,fda,cetirizine hydrochloride allergy,cetirizine hydrochloride,heritage pharma,tablet,oral,approved,28.12.2007,2007,discontinued,yes,no,no,heritage,,,,FDA
anda078616,,fda,zolpidem tartrate,zolpidem tartrate,strides pharma,tablet,oral,approved,21.11.2008,2008,discontinued,yes,no,no,strides,,,,FDA
anda078617,,fda,cetirizine hydrochloride,cetirizine hydrochloride,actavis mid atlantic,solution,oral,approved,02.02.2010,2010,discontinued,yes,no,no,actavis,,,,FDA
anda078618,,fda,adenosine,adenosine,bedford labs,injection,injection,conditional marketing authorisation,26.06.2008,2008,none (conditional marketing authorisation),yes,no,no,bedford,,,,FDA
anda078619,,fda,fluoxetine hydrochloride,fluoxetine hydrochloride,aurobindo pharma,capsule,oral,approved,31.01.2008,2008,authorised,yes,no,no,aurobindo,,,,FDA
anda078620,,fda,naproxen,naproxen,zydus pharms usa,tablet,oral,approved,07.06.2007,2007,authorised,yes,no,no,zydus,,,,FDA
anda078621,indications and usage azelastine hydrochloride ophthalmic solution is indicated for the treatment of itching of the eye associated with allergic conjunctivitis.,fda,azelastine hydrochloride,azelastine hydrochloride,apotex,solution; drops,ophthalmic,approved,03.08.2009,2009,authorised,yes,no,no,apotex,,diseases of the eye and adnexa,"<conjunctivitis, allergic>",FDA
anda078623,,fda,albuterol sulfate,albuterol sulfate,apotex inc,solution,inhalation,approved,05.04.2010,2010,discontinued,yes,no,no,apotex,,,,FDA
anda078625,,fda,lamotrigine,lamotrigine,rubicon,tablet,oral,approved,27.01.2009,2009,authorised,yes,no,no,rubicon,,,,FDA
anda078626,,fda,sertraline hydrochloride,sertraline hydrochloride,norvium bioscience,tablet,oral,approved,31.01.2008,2008,discontinued,yes,no,no,norvium,,,,FDA
anda078627,"indications and usage venlafaxine tablets, usp is indicated for the treatment of major depressive disorder. the efficacy of venlafaxine tablets, usp in the treatment of major depressive disorder was established in 6 week controlled trials of adult outpatients whose diagnoses corresponded most closely to the dsm-iii or dsm-iii-r category of major depression and in a 4 week controlled trial of inpatients meeting diagnostic criteria for major depression with melancholia (see clinical trials ). a major depressive episode implies a prominent and relatively persistent depressed or dysphoric mood that usually interferes with daily functioning (nearly every day for at least 2 weeks); it should include at least 4 of the following 8 symptoms: change in appetite, change in sleep, psychomotor agitation or retardation, loss of interest in usual activities or decrease in sexual drive, increased fatigue, feelings of guilt or worthlessness, slowed thinking or impaired concentration, and a suicide attempt or suicidal ideation. the efficacy of venlafaxine hydrochloride extended-release capsules in maintaining an antidepressant response for up to 26 weeks following 8 weeks of acute treatment was demonstrated in a placebo-controlled trial. the efficacy of venlafaxine tablets, usp in maintaining an antidepressant response in patients with recurrent depression who had responded and continued to be improved during an initial 26 weeks of treatment and were then followed for a period of up to 52 weeks was demonstrated in a second placebo-controlled trial (see clinical trials ). nevertheless, the physician who elects to use venlafaxine tablets, usp/venlafaxine hydrochloride extended-release capsules for extended periods should periodically re-evaluate the long-term usefulness of the drug for the individual patient.",fda,venlafaxine hydrochloride,venlafaxine hydrochloride,sun pharm inds inc,tablet,oral,approved,13.06.2008,2008,authorised,yes,no,no,sun,,mental and behavioural disorders,<major depressive disorder>,FDA
anda078629,"1 indications and usage granisetron hydrochloride injection, usp is a serotonin-3 (5-ht 3 ) receptor antagonist indicated for: the prevention of nausea and/or vomiting associated with initial and repeat courses of emetogenic cancer therapy, including high-dose cisplatin. granisetron hydrochloride injection, usp is a serotonin-3 (5-ht 3 ) receptor antagonist indicated for: prevention of nausea and/or vomiting associated with initial and repeat courses of emetogenic cancer therapy, including high-dose cisplatin. ( 1 )",fda,granisetron hydrochloride,granisetron hydrochloride,hikma farmaceutica,injection,injection,approved,23.12.2009,2009,authorised,yes,no,no,hikma,,neoplasms,<neoplasms>,FDA
anda078630,,fda,terbutaline sulfate,terbutaline sulfate,hikma farmaceutica,injection,injection,approved,20.05.2009,2009,authorised,yes,no,no,hikma,,,,FDA
anda078631,,fda,carboplatin,carboplatin,pliva lachema,injection,intravenous,approved,02.12.2008,2008,discontinued,yes,no,no,pliva,,,,FDA
anda078633,,fda,buprenorphine hydrochloride,buprenorphine hydrochloride,hikma,tablet,sublingual,approved,08.10.2009,2009,authorised,yes,no,no,hikma,,,,FDA
anda078634,,fda,bicalutamide,bicalutamide,watson labs teva,tablet,oral,approved,28.08.2009,2009,authorised,yes,no,no,watson,,,,FDA
anda078635,,fda,bisoprolol fumarate,bisoprolol fumarate,unichem,tablet,oral,approved,18.08.2009,2009,authorised,yes,no,no,unichem,,,,FDA
anda078636,,fda,lamivudine,lamivudine,teva pharms,tablet,oral,conditional marketing authorisation,22.03.2011,2011,none (conditional marketing authorisation),yes,no,no,teva,,,,FDA
anda078637,,fda,topiramate,topiramate,actavis totowa,tablet,oral,approved,27.02.2013,2013,discontinued,yes,no,no,actavis,,,,FDA
anda078638,,fda,alendronate sodium,alendronate sodium,mylan,tablet,oral,approved,04.08.2008,2008,discontinued,yes,no,no,mylan,,,,FDA
anda078639,,fda,fomepizole,fomepizole,mylan institutional,injection,injection,approved,03.03.2008,2008,authorised,yes,no,no,mylan,,,,FDA
anda078640,,fda,adenosine,adenosine,norvium bioscience,injection,injection,approved,21.03.2014,2014,discontinued,yes,no,no,norvium,,,,FDA
anda078641,,fda,famotidine,famotidine,mylan labs ltd,injection,injection,approved,25.06.2008,2008,authorised,yes,no,no,mylan,,,,FDA
anda078642,,fda,famotidine preservative free,famotidine,mylan labs ltd,injection,injection,approved,25.06.2008,2008,authorised,yes,no,no,mylan,,,,FDA
anda078643,"indications and usage cyclobenzaprine hydrochloride tablets, usp are indicated as an adjunct to rest and physical therapy for relief of muscle spasm associated with acute, painful musculoskeletal conditions. improvement is manifested by relief of muscle spasm and its associated signs and symptoms, namely, pain, tenderness, limitation of motion, and restriction in activities of daily living. cyclobenzaprine hydrochloride tablets, usp should be used only for short periods (up to two or three weeks) because adequate evidence of effectiveness for more prolonged use is not available and because muscle spasm associated with acute, painful musculoskeletal conditions is generally of short duration and specific therapy for longer periods is seldom warranted. cyclobenzaprine hydrochloride tablets, usp have not been found effective in the treatment of spasticity associated with cerebral or spinal cord disease, or in children with cerebral palsy.",fda,cyclobenzaprine hydrochloride,cyclobenzaprine hydrochloride,aurobindo pharma,tablet,oral,approved,26.09.2008,2008,authorised,yes,no,no,aurobindo,,diseases of the musculoskeletal system and connective tissue,<musculoskeletal diseases>,FDA
anda078644,,fda,nevirapine,nevirapine,prinston inc,tablet,oral,approved,22.05.2012,2012,discontinued,yes,no,no,prinston,,,,FDA
anda078645,,fda,lamotrigine,lamotrigine,aiping pharm inc,tablet,oral,approved,27.01.2009,2009,discontinued,yes,no,no,aiping,,,,FDA
anda078648,,fda,dexbrompheniramine maleate and pseudoephedrine sulfate,dexbrompheniramine maleate,avanthi inc,tablet,oral,approved,27.02.2013,2013,discontinued,yes,no,no,avanthi,,,,FDA
anda078649,"indications sulfacetamide sodium topical suspension usp, 10% (lotion) is indicated in the topical treatment of acne vulgaris .",fda,sulfacetamide sodium,sulfacetamide sodium,padagis us,lotion,topical,approved,23.03.2009,2009,authorised,yes,no,no,padagis,,diseases of the skin,<acne vulgaris>,FDA
anda078650,"indications and usage sevoflurane is indicated for induction and maintenance of general anesthesia in adult and pediatric patients for inpatient and outpatient surgery. sevoflurane should be administered only by persons trained in the administration of general anesthesia. facilities for maintenance of a patent airway, artificial ventilation, oxygen enrichment, and circulatory resuscitation must be immediately available. since level of anesthesia may be altered rapidly, only vaporizers producing predictable concentrations of sevoflurane should be used.",fda,sevoflurane,sevoflurane,halocarbon prods,liquid,inhalation,approved,19.11.2007,2007,authorised,yes,no,no,halocarbon,,"injury, poisoning and certain other consequences of external causes",not reported,FDA
anda078651,,fda,rocuronium bromide,rocuronium bromide,fresenius kabi usa,injection,injection,approved,29.12.2008,2008,authorised,yes,no,no,fresenius,,,,FDA
anda078652,,fda,amlodipine besylate; benazepril hydrochloride,amlodipine besylate,zydus pharms usa inc,capsule,oral,conditional marketing authorisation,28.03.2013,2013,none (conditional marketing authorisation),yes,no,no,zydus,,,,FDA
anda078653,,fda,ranitidine hydrochloride,ranitidine hydrochloride,wockhardt,tablet,oral,approved,26.11.2007,2007,discontinued,yes,no,no,wockhardt,,,,FDA
anda078654,,fda,clonazepam,clonazepam,sun pharm inds inc,tablet,oral,approved,27.08.2014,2014,discontinued,yes,no,no,sun,,,,FDA
anda078656,,fda,valacyclovir hydrochloride,valacyclovir hydrochloride,hikma,tablet,oral,approved,24.05.2010,2010,discontinued,yes,no,no,hikma,,,,FDA
anda078657,,fda,desoximetasone,desoximetasone,fougera pharms,ointment,topical,approved,28.09.2012,2012,authorised,yes,no,no,fougera,,,,FDA
anda078658,,fda,rosiglitazone maleate,rosiglitazone maleate,hikma pharms,tablet,oral,conditional marketing authorisation,08.12.2009,2009,none (conditional marketing authorisation),yes,no,no,hikma,,,,FDA
anda078660,,fda,enoxaparin sodium,enoxaparin sodium,sandoz inc,injection,intravenous; subcutaneous,approved,28.11.2011,2011,authorised,yes,no,no,sandoz,,,,FDA
anda078662,,fda,donepezil hydrochloride,donepezil hydrochloride,strides pharma,tablet,oral,approved,31.05.2011,2011,authorised,yes,no,no,strides,,,,FDA
anda078665,,fda,levonorgestrel,levonorgestrel,fdn consumer,tablet,oral,approved,28.08.2009,2009,discontinued,yes,no,no,fdn,,,,FDA
anda078666,,fda,levonorgestrel,levonorgestrel,watson labs,tablet,oral,approved,24.06.2009,2009,discontinued,yes,no,no,watson,,,,FDA
anda078668,,fda,sulfacetamide sodium,sulfacetamide sodium,taro,lotion,topical,approved,20.05.2009,2009,authorised,yes,no,no,taro,,,,FDA
anda078669,,fda,lamotrigine,lamotrigine,actavis totowa,tablet,oral,approved,08.04.2011,2011,discontinued,yes,no,no,actavis,,,,FDA
anda078670,"1 indications and usage monotherapy and combination therapy pioglitazone tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus in multiple clinical settings [see clinical studies ( 14 )]. important limitations of use pioglitazone tablets exerts its antihyperglycemic effect only in the presence of endogenous insulin. pioglitazone tablets should not be used to treat type 1 diabetes or diabetic ketoacidosis, as it would not be effective in these settings. use caution in patients with liver disease [ see warnings and precautions ( 5.3 )]. pioglitazone tablets are a thiazolidinedione and an agonist for peroxisome proliferator-activated receptor (ppar) gamma indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus in multiple clinical settings. ( 1 , 14 ) important limitations of use: • not for treatment of type 1 diabetes or diabetic ketoacidosis. ( 1 )",fda,pioglitazone hydrochloride,pioglitazone hydrochloride,sandoz,tablet,oral,approved,13.02.2013,2013,authorised,yes,no,no,sandoz,,"endocrine, nutritional, and metabolic diseases",<type 2 diabetes mellitus>,FDA
anda078671,,fda,nabumetone,nabumetone,invagen pharms,tablet,oral,approved,07.03.2008,2008,authorised,yes,no,no,invagen,,,,FDA
anda078674,,fda,rosiglitazone maleate,rosiglitazone maleate,sandoz,tablet,oral,conditional marketing authorisation,09.03.2009,2009,none (conditional marketing authorisation),yes,no,no,sandoz,,,,FDA
anda078676,,fda,adenosine,adenosine,teva pharms usa,injection,injection,approved,31.07.2008,2008,discontinued,yes,no,no,teva,,,,FDA
anda078677,,fda,sertraline hydrochloride,sertraline hydrochloride,reyoung,tablet,oral,approved,04.03.2009,2009,authorised,yes,no,no,not reported,,,,FDA
anda078678,,fda,granisetron hydrochloride,granisetron hydrochloride,orbion pharms,tablet,oral,approved,13.02.2008,2008,authorised,yes,no,no,orbion,,,,FDA
anda078679,,fda,quetiapine fumarate,quetiapine fumarate,chartwell rx,tablet,oral,approved,14.12.2012,2012,discontinued,yes,no,no,chartwell,,,,FDA
anda078680,,fda,cetirizine hydrochloride allergy; cetirizine hydrochloride hives,cetirizine hydrochloride,unichem,tablet,oral,approved,26.06.2009,2009,discontinued,yes,no,no,unichem,,,,FDA
anda078682,uses temporarily relieves minor aches and pains due to: headache toothache backache menstrual cramps the common cold muscular aches minor pain of arthritis temporarily reduces fever,fda,ibuprofen,ibuprofen,bionpharma,capsule,oral,approved,24.03.2009,2009,authorised,yes,no,no,bion,,diseases of the nervous system; diseases of the respiratory system; diseases of the musculoskeletal system and connective tissue; diseases of the genitourinary system,<headache>; <toothache>; <back pain>; <dysmenorrhea>; <common cold>; <muscle pain>; <arthritis>,FDA
anda078684,,fda,ranitidine hydrochloride,ranitidine hydrochloride,nostrum labs inc,syrup,oral,approved,27.08.2009,2009,discontinued,yes,no,no,nostrum,,,,FDA
anda078686,"indications and usage intravenous adenosine injection is indicated for the following: conversion to sinus rhythm of paroxysmal supraventricular tachycardia (psvt), including that associated with accessory bypass tracts (wolff-parkinson-white syndrome). when clinically advisable, appropriate vagal maneuvers (e.g., valsalva maneuver), should be attempted prior to adenosine administration. it is important to be sure the adenosine injection solution actually reaches the systemic circulation (see dosage and administration ). adenosine injection does not convert atrial flutter, atrial fibrillation, or ventricular tachycardia to normal sinus rhythm. in the presence of atrial flutter or atrial fibrillation, a transient modest slowing of ventricular response may occur immediately following adenosine administration.",fda,adenosine,adenosine,mylan labs ltd,injection,injection,approved,13.05.2009,2009,authorised,yes,no,no,mylan,,diseases of the circulatory system,<paroxysmal supraventricular tachycardia>; <wolff-parkinson-white syndrome>,FDA
anda078687,,fda,enalaprilat,enalaprilat,hikma farmaceutica,injection,injection,approved,23.12.2008,2008,authorised,yes,no,no,hikma,,,,FDA
anda078688,,fda,nadolol and bendroflumethiazide,bendroflumethiazide,natco pharma,tablet,oral,approved,15.02.2008,2008,discontinued,yes,no,no,natco,,,,FDA
anda078690,"indications and usage carbidopa and levodopa orally disintegrating tablets are indicated in the treatment of parkinson’s disease, post-encephalitic parkinsonism, and symptomatic parkinsonism that may follow carbon monoxide intoxication or manganese intoxication. carbidopa allows patients treated for parkinson’s disease to use much lower doses of levodopa. some patients who responded poorly to levodopa have improved on carbidopa and levodopa orally disintegrating tablets. this is most likely due to decreased peripheral decarboxylation of levodopa caused by administration of carbidopa rather than by a primary effect of carbidopa on the nervous system. carbidopa has not been shown to enhance the intrinsic efficacy of levodopa. carbidopa may also reduce nausea and vomiting and permit more rapid titration of levodopa.",fda,carbidopa and levodopa,carbidopa,sun pharm,tablet,oral,approved,31.07.2009,2009,authorised,yes,no,no,sun,,diseases of the nervous system,<parkinson disease>; <parkinsonism>,FDA
anda078691,,fda,lamotrigine,lamotrigine,lupin ltd,tablet,oral,approved,01.06.2010,2010,authorised,yes,no,no,lupin,,,,FDA
anda078692,,fda,children's cetirizine hydrochloride allergy,cetirizine hydrochloride,sandoz,tablet,oral,approved,14.02.2008,2008,authorised,yes,no,no,sandoz,,,,FDA
anda078694,,fda,betaxolol hydrochloride,betaxolol hydrochloride,acella,solution; drops,ophthalmic,approved,16.11.2009,2009,authorised,yes,no,no,not reported,,,,FDA
anda078695,,fda,rosiglitazone maleate,rosiglitazone maleate,roxane,tablet,oral,conditional marketing authorisation,10.03.2008,2008,none (conditional marketing authorisation),yes,no,no,roxane,,,,FDA
anda078697,,fda,nicotine polacrilex,nicotine polacrilex,p and l,"gum, chewing",buccal,approved,29.12.2008,2008,authorised,yes,no,no,not reported,,,,FDA
anda078698,,fda,fluconazole in sodium chloride 0.9% in plastic container,fluconazole,hikma farmaceutica,injection,injection,approved,30.01.2012,2012,authorised,yes,no,no,hikma,,,,FDA
anda078699,,fda,nicotine polacrilex,nicotine polacrilex,p and l,"gum, chewing",buccal,approved,29.12.2008,2008,authorised,yes,no,no,p and l,,,,FDA
anda078700,,fda,divalproex sodium,divalproex sodium,cosette,tablet,oral,approved,03.08.2009,2009,discontinued,yes,no,no,cosette,,,,FDA
anda078701,,fda,ranitidine hydrochloride,ranitidine hydrochloride,wockhardt,tablet,oral,approved,11.12.2009,2009,discontinued,yes,no,no,wockhardt,,,,FDA
anda078702,"1 indications and usage candesartan cilexetil tablets are an angiotensin ii receptor blocker (arb) indicated for: • treatment of hypertension in adults and children 1 to < 17 years of age, to lower blood pressure. lowering blood pressure reduces the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions ( 1.1 ). • treatment of heart failure (nyha class ii-iv); candesartan cilexetil tablets reduce cardiovascular death and heart failure hospitalization ( 1.2 ). 1.1 hypertension candesartan cilexetil tablets are indicated for the treatment of hypertension in adults and in children 1 to < 17 years of age, to lower blood pressure. lowering blood pressure reduces the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. these benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including the class to which this drug principally belongs. control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. many patients will require more than one drug to achieve blood pressure goals. for specific advice on goals and management, see published guidelines, such as those of the national high blood pressure education program’s joint national committee on prevention, detection, evaluation, and treatment of high blood pressure (jnc). numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. the largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmhg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). these considerations may guide selection of therapy. candesartan cilexetil tablets may be used alone or in combination with other antihypertensive agents. 1.2 heart failure candesartan cilexetil tablets are indicated for the treatment of heart failure (nyha class ii-iv) in adults with left ventricular systolic dysfunction (ejection fraction ≤ 40%) to reduce cardiovascular death and to reduce heart failure hospitalizations [see clinical studies (14.2) ] . candesartan cilexetil tablets also have an added effect on these outcomes when used with an ace inhibitor [see drug interactions (7.4) ] .",fda,candesartan cilexetil,candesartan cilexetil,mylan,tablet,oral,approved,03.05.2013,2013,authorised,yes,no,no,mylan,,diseases of the circulatory system,<hypertension>; <heart failure>,FDA
