drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
linagliptin,EMA,TGA,120,3.9421813403416555,2011-06-23,2011-10-21,EMA -> TGA
lipegfilgrastim,EMA,TGA,882,28.97503285151117,2013-05-30,2015-10-29,EMA -> TGA
liraglutide,EMA,TGA,482,15.83442838370565,2009-04-23,2010-08-18,EMA -> TGA
lisocabtagene maraleucel,EMA,Swissmedic,60,1.9710906701708277,2022-01-27,2022-03-28,EMA -> Swissmedic
lixisenatide,EMA,TGA,112,3.679369250985545,2012-11-28,2013-03-20,EMA -> TGA
lonoctocog alfa,EMA,TGA,139,4.566360052562418,2016-11-10,2017-03-29,EMA -> TGA
lorlatinib,EMA,TGA,256,8.409986859395532,2019-02-28,2019-11-11,EMA -> TGA
lumacaftor / ivacaftor,EMA,TGA,160,5.256241787122208,2015-09-24,2016-03-02,EMA -> TGA
lumasiran,EMA,Swissmedic,412,13.534822601839684,2020-10-15,2021-12-01,EMA -> Swissmedic
lumasiran,Swissmedic,TGA,932,30.617608409986858,2021-12-01,2024-06-20,Swissmedic -> TGA
lurbinectedin,TGA,Swissmedic,543,17.83837056504599,2021-09-10,2023-03-07,TGA -> Swissmedic
luspatercept,EMA,TGA,484,15.900131406044677,2020-04-30,2021-08-27,EMA -> TGA
lutetium (177lu) chloride,TGA,EMA,225,7.391590013140604,2021-12-08,2022-07-21,TGA -> EMA
macitentan,EMA,TGA,99,3.252299605781866,2013-10-24,2014-01-31,EMA -> TGA
mannitol,TGA,EMA,374,12.28646517739816,2011-02-07,2012-02-16,TGA -> EMA
maralixibat chloride,EMA,Swissmedic,644,21.156373193166885,2022-10-13,2024-07-18,EMA -> Swissmedic
maraviroc,EMA,TGA,1803,59.23127463863337,2007-09-15,2012-08-22,EMA -> TGA
maribavir,EMA,TGA,12,0.39421813403416556,2022-09-15,2022-09-27,EMA -> TGA
